university_name,field,exposure_firstjob_beta,n_people
AGSM @ UNSW Business School,Business,0.518427589519292,10
ANU College of Business and Economics,Business,0.434603324715066,10
Academies Australasia Polytechnic,Business,0.337856042876186,142
Academy of Interactive Technology,Engineering,0.61551068845831,20
Academy of Interactive Technology,Information Technology,0.649048337904575,74
Alphacrucis College,Business,0.46343855693058,28
Asia Pacific International College,Business,0.452411316196497,181
Asia Pacific International College,Engineering,0.399211356532091,12
Asia Pacific International College,Information Technology,0.464303121998442,28
Australian Catholic University,Accounting,0.517624673909222,528
Australian Catholic University,Business,0.492048030477322,2070
Australian Catholic University,Economics,0.474826825158602,95
Australian Catholic University,Education,0.351026611708058,2190
Australian Catholic University,Engineering,0.532444774278525,37
Australian Catholic University,Finance,0.493286125802245,232
Australian Catholic University,Information Technology,0.542825591766151,198
Australian Catholic University,Law,0.469029275170018,354
Australian Catholic University,Marketing,0.485383112386232,508
Australian Catholic University,Mathematics,0.467009775016831,36
Australian Catholic University,Medicine,0.368234429951236,16
Australian Catholic University,Nursing,0.364953462964792,3211
Australian College of Applied Psychology,Business,0.505567876156671,16
Australian College of Natural Medicine Pty Ltd.,Medicine,0.426294622214934,761
Australian College of Nursing,Nursing,0.355257227892009,11
Australian Defence Force Academy,Business,0.471555238633402,22
Australian Defence Force Academy,Engineering,0.461558774111539,17
Australian Institute of Business,Business,0.513452906839395,59
Australian Institute of Higher Education,Accounting,0.420256137208457,154
Australian Institute of Higher Education,Business,0.456804526950271,312
Australian Institute of Higher Education,Engineering,0.399413231764103,29
Australian Institute of Higher Education,Finance,0.537805641106143,24
Australian Institute of Higher Education,Information Technology,0.416013812516625,90
Australian Institute of Management - AIM Business School,Business,0.468584236860484,83
Australian Maritime College,Business,0.463645103996487,118
Australian Maritime College,Engineering,0.433447954930193,313
Australian Pacific College,Business,0.410324801058614,20
Avondale College of Higher Education,Accounting,0.55143834863492,11
Avondale College of Higher Education,Business,0.483583817066952,93
Avondale College of Higher Education,Education,0.360183104522201,107
Avondale College of Higher Education,Nursing,0.377898156342133,194
Blue Mountains International Hotel Management School,Business,0.402372441388741,70
Bond University,Accounting,0.511659618299325,146
Bond University,Architecture,0.460854894420379,121
Bond University,Business,0.48590879516536,1205
Bond University,Economics,0.439732170981662,34
Bond University,Engineering,0.591883871928145,49
Bond University,Finance,0.526878059605597,255
Bond University,Information Technology,0.60716810920639,62
Bond University,Law,0.470939641605294,671
Bond University,Marketing,0.521827598608416,131
Bond University,Medicine,0.417704587109617,145
Box Hill Institute,Accounting,0.512443807230629,14
Box Hill Institute,Business,0.454555042194792,144
Box Hill Institute,Engineering,0.578414302513552,126
CIC Higher Education,Accounting,0.492486161762324,48
CIC Higher Education,Business,0.462983088658638,55
CPA Australia,Accounting,0.530552138479393,42
CPA Australia,Business,0.50940217496926,19
CPA Australia,Finance,0.527327063001454,37
Central Queensland University,Accounting,0.524619922847532,1057
Central Queensland University,Architecture,0.480372573058203,13
Central Queensland University,Biology,0.407880078316273,22
Central Queensland University,Business,0.484771984063302,1891
Central Queensland University,Chemistry,0.438990553304493,31
Central Queensland University,Economics,0.480631659798173,15
Central Queensland University,Education,0.378305782381493,279
Central Queensland University,Engineering,0.475500549756,863
Central Queensland University,Finance,0.541059279715276,163
Central Queensland University,Information Technology,0.586655344906707,962
Central Queensland University,Law,0.46385677676501,240
Central Queensland University,Marketing,0.467520269721083,58
Central Queensland University,Medicine,0.379310561703676,11
Central Queensland University,Nursing,0.369263921527578,685
Charles Darwin University,Accounting,0.49939418562969,278
Charles Darwin University,Architecture,0.501963888932487,45
Charles Darwin University,Biology,0.479441832109532,16
Charles Darwin University,Business,0.485883479642772,307
Charles Darwin University,Economics,0.46021308419908,23
Charles Darwin University,Education,0.363558067616757,263
Charles Darwin University,Engineering,0.460750864185802,288
Charles Darwin University,Finance,0.506653997742886,45
Charles Darwin University,Information Technology,0.505530825675551,225
Charles Darwin University,Law,0.472870478390136,340
Charles Darwin University,Marketing,0.541328002873185,28
Charles Darwin University,Nursing,0.363326268806265,589
Charles Sturt University,Accounting,0.516877461654481,672
Charles Sturt University,Biology,0.34590651831688,49
Charles Sturt University,Business,0.497282658702198,4083
Charles Sturt University,Chemistry,0.448094529697061,29
Charles Sturt University,Economics,0.493109083649673,10
Charles Sturt University,Education,0.379939515313691,1471
Charles Sturt University,Engineering,0.58092183121375,509
Charles Sturt University,Finance,0.523289221258901,136
Charles Sturt University,Information Technology,0.583313587799275,983
Charles Sturt University,Law,0.428344184466688,108
Charles Sturt University,Marketing,0.494765729207381,143
Charles Sturt University,Mathematics,0.421649400444772,26
Charles Sturt University,Medicine,0.36997745078112,252
Charles Sturt University,Nursing,0.373199849928796,618
Charles Sturt University,Physics,0.497815780351318,15
Chartered Accountants Australia and New Zealand,Accounting,0.562145260133059,21
Chisholm Institute,Engineering,0.309421311631169,149
Christian Heritage College,Business,0.492659045445631,48
Christian Heritage College,Education,0.369425925973562,91
Collarts (Australian College of the Arts),Business,0.428900423197555,211
Collarts (Australian College of the Arts),Engineering,0.412216840940693,26
Collarts (Australian College of the Arts),Marketing,0.470874251057566,17
Crown Institute of Higher Education,Accounting,0.363203295771551,27
Curtin College,Business,0.378025459920283,12
Curtin University,Accounting,0.520415807337746,2048
Curtin University,Architecture,0.463217935731073,998
Curtin University,Biology,0.431313181079721,410
Curtin University,Business,0.490254514325423,4905
Curtin University,Chemistry,0.429352763432941,264
Curtin University,Economics,0.49741438054991,339
Curtin University,Education,0.373324001213771,1005
Curtin University,Engineering,0.480290421080591,5145
Curtin University,Finance,0.50702095136821,2353
Curtin University,Information Technology,0.635820951637368,328
Curtin University,Law,0.489830060234709,365
Curtin University,Marketing,0.48113586721671,1669
Curtin University,Mathematics,0.441108606335817,60
Curtin University,Medicine,0.414046335468122,132
Curtin University,Nursing,0.363753843901508,726
Curtin University,Physics,0.504261990775952,96
Curtin University,Statistics,0.563800987081157,37
Deakin University,Accounting,0.504077264277622,1812
Deakin University,Architecture,0.457773777385034,641
Deakin University,Biology,0.405710367130154,828
Deakin University,Business,0.472178319042735,6028
Deakin University,Chemistry,0.427724592942282,196
Deakin University,Economics,0.494056045057575,396
Deakin University,Education,0.362832517166734,1750
Deakin University,Engineering,0.516169459522424,2172
Deakin University,Finance,0.51224725332213,2589
Deakin University,Information Technology,0.565772944126567,1190
Deakin University,Law,0.482791236368874,1736
Deakin University,Marketing,0.483958743608089,965
Deakin University,Mathematics,0.434795769676324,42
Deakin University,Medicine,0.416772182015608,251
Deakin University,Nursing,0.372142957502733,1878
Ducere Global Business School,Business,0.548440864668086,24
Edith Cowan University,Accounting,0.51338417384471,368
Edith Cowan University,Biology,0.428723146590206,233
Edith Cowan University,Business,0.481516040519128,3900
Edith Cowan University,Chemistry,0.408790231481435,49
Edith Cowan University,Economics,0.489472297863827,15
Edith Cowan University,Education,0.367581870463574,1317
Edith Cowan University,Engineering,0.53243414549796,1646
Edith Cowan University,Finance,0.50033654202305,260
Edith Cowan University,Information Technology,0.575965431770859,218
Edith Cowan University,Law,0.467377274215479,213
Edith Cowan University,Marketing,0.472614644347861,371
Edith Cowan University,Mathematics,0.533601737957224,34
Edith Cowan University,Medicine,0.338791944926955,21
Edith Cowan University,Nursing,0.360558162705498,1168
Edith Cowan University,Physics,0.404450370046088,10
Elite Education Institute,Accounting,0.438891994289301,27
Elite Education Institute,Business,0.509186068388611,27
Engineering Institute of Technology,Engineering,0.409407541500655,32
Federation University Australia,Accounting,0.495236066209457,482
Federation University Australia,Business,0.466759360715113,1361
Federation University Australia,Economics,0.506562293658964,11
Federation University Australia,Education,0.36086153448609,350
Federation University Australia,Engineering,0.507839144351913,357
Federation University Australia,Finance,0.509903298969935,87
Federation University Australia,Information Technology,0.522905546614346,1307
Federation University Australia,Law,0.521520046339849,11
Federation University Australia,Marketing,0.515604963267256,15
Federation University Australia,Nursing,0.379556162002345,383
Flinders University,Accounting,0.517333647081082,326
Flinders University,Biology,0.433019756021042,330
Flinders University,Business,0.467966086007528,1355
Flinders University,Chemistry,0.446577970070921,207
Flinders University,Economics,0.482076269120245,36
Flinders University,Education,0.364615774390386,1094
Flinders University,Engineering,0.50534303713552,663
Flinders University,Finance,0.497893971050263,352
Flinders University,Information Technology,0.594658830821024,361
Flinders University,Law,0.469657152720182,577
Flinders University,Marketing,0.491723837105492,63
Flinders University,Mathematics,0.531122028952196,44
Flinders University,Medicine,0.429779050288632,160
Flinders University,Nursing,0.367319099502523,1267
Flinders University,Physics,0.498888026121037,27
Griffith College,Business,0.414146937936008,73
Griffith College,Engineering,0.31840894903329,15
Griffith University,Accounting,0.512780485003335,1519
Griffith University,Architecture,0.440731700637477,299
Griffith University,Biology,0.43354345046775,626
Griffith University,Business,0.467829401259269,11233
Griffith University,Chemistry,0.431476166579375,246
Griffith University,Economics,0.499231742125464,227
Griffith University,Education,0.379612289295481,1333
Griffith University,Engineering,0.486537071269815,2292
Griffith University,Finance,0.517474579851462,1048
Griffith University,Information Technology,0.611420566343867,1020
Griffith University,Law,0.464430765008896,1044
Griffith University,Marketing,0.49550408231316,647
Griffith University,Mathematics,0.497536671591827,51
Griffith University,Medicine,0.413280580370994,196
Griffith University,Nursing,0.352867550947331,1926
Griffith University,Physics,0.504206627336598,40
Griffith University,Statistics,0.532296699510694,10
Holmes Institute,Accounting,0.440659931623304,367
Holmes Institute,Business,0.451647938257508,135
Holmes Institute,Finance,0.453775756653783,82
Holmes Institute,Information Technology,0.459363911764081,27
Holmesglen Institute,Accounting,0.5385221755246,92
Holmesglen Institute,Business,0.473573080231819,395
Holmesglen Institute,Education,0.272181148651608,31
Holmesglen Institute,Engineering,0.560177937578372,10
Holmesglen Institute,Finance,0.450853153770034,24
Holmesglen Institute,Information Technology,0.560200061007456,17
Holmesglen Institute,Nursing,0.333040174832983,145
ICHM,Business,0.421739900396207,341
IIBITAUS,Information Technology,0.543645873960315,10
International College of Management Sydney,Business,0.44248774713576,1170
JMC Academy,Business,0.46036588276444,606
