university_name,field,exposure_alljobs_beta,n_people
AGSM @ UNSW Business School,Business,0.516202082041957,10
ANU College of Business and Economics,Business,0.476684543985228,10
Academies Australasia Polytechnic,Business,0.348912938002059,142
Academy of Interactive Technology,Engineering,0.630667057999692,20
Academy of Interactive Technology,Information Technology,0.67121751175665,74
Alphacrucis College,Business,0.460823091052466,28
Asia Pacific International College,Business,0.473897118090769,181
Asia Pacific International College,Engineering,0.41325445545739,12
Asia Pacific International College,Information Technology,0.484988597689601,28
Australian Catholic University,Accounting,0.521379144855047,528
Australian Catholic University,Business,0.496827308074958,2070
Australian Catholic University,Economics,0.486785297304289,95
Australian Catholic University,Education,0.353723195951661,2190
Australian Catholic University,Engineering,0.536079822972732,37
Australian Catholic University,Finance,0.505337098702772,232
Australian Catholic University,Information Technology,0.558134209457047,198
Australian Catholic University,Law,0.477594277922179,354
Australian Catholic University,Marketing,0.491752565957672,508
Australian Catholic University,Mathematics,0.463124828203525,36
Australian Catholic University,Medicine,0.379192163354474,16
Australian Catholic University,Nursing,0.369209474215367,3211
Australian College of Applied Psychology,Business,0.490787855792551,16
Australian College of Natural Medicine Pty Ltd.,Medicine,0.427117726427996,761
Australian College of Nursing,Nursing,0.354842451240447,11
Australian Defence Force Academy,Business,0.473048405793761,22
Australian Defence Force Academy,Engineering,0.462458668560087,17
Australian Institute of Business,Business,0.517127473649323,59
Australian Institute of Higher Education,Accounting,0.432225998804046,154
Australian Institute of Higher Education,Business,0.468088088692984,312
Australian Institute of Higher Education,Engineering,0.413424675518066,29
Australian Institute of Higher Education,Finance,0.530446962114668,24
Australian Institute of Higher Education,Information Technology,0.42899691016131,90
Australian Institute of Management - AIM Business School,Business,0.475943485771755,83
Australian Maritime College,Business,0.459557250479152,118
Australian Maritime College,Engineering,0.438951236830027,313
Australian Pacific College,Business,0.439301945384454,20
Avondale College of Higher Education,Accounting,0.557942990223772,11
Avondale College of Higher Education,Business,0.485552168466772,93
Avondale College of Higher Education,Education,0.36554207106188,107
Avondale College of Higher Education,Nursing,0.37339760234271,194
Blue Mountains International Hotel Management School,Business,0.410488432297768,70
Bond University,Accounting,0.521902813373561,146
Bond University,Architecture,0.464611593341157,121
Bond University,Business,0.489795158705262,1205
Bond University,Economics,0.451521476822594,34
Bond University,Engineering,0.581422671809124,49
Bond University,Finance,0.5300699025536,255
Bond University,Information Technology,0.60110201661686,62
Bond University,Law,0.472085875875007,671
Bond University,Marketing,0.520654238516248,131
Bond University,Medicine,0.420822045857274,145
Box Hill Institute,Accounting,0.508555762840305,14
Box Hill Institute,Business,0.463676403692703,144
Box Hill Institute,Engineering,0.580877460793236,126
CIC Higher Education,Accounting,0.499329795582521,48
CIC Higher Education,Business,0.485578872300643,55
CPA Australia,Accounting,0.533212621849427,42
CPA Australia,Business,0.513658375147935,19
CPA Australia,Finance,0.521054984755376,37
Central Queensland University,Accounting,0.526262505867475,1057
Central Queensland University,Architecture,0.480609781601271,13
Central Queensland University,Biology,0.421267877694145,22
