university_name,field,exposure_firstjob_beta,n_people
Académie royale des Beaux-Arts de Bruxelles - Ecole supérieure des Arts,Architecture,0.456899376008497,15
Antwerp Maritime Academy,Engineering,0.413251301963288,32
Artesis Plantijn University College Antwerp,Accounting,0.583217369324556,23
Artesis Plantijn University College Antwerp,Architecture,0.482780296053087,75
Artesis Plantijn University College Antwerp,Business,0.512010955167008,1317
Artesis Plantijn University College Antwerp,Chemistry,0.395251020183456,83
Artesis Plantijn University College Antwerp,Education,0.42454175657983,159
Artesis Plantijn University College Antwerp,Engineering,0.49604868882825,385
Artesis Plantijn University College Antwerp,Finance,0.534035428648343,52
Artesis Plantijn University College Antwerp,Information Technology,0.706747907428656,18
Artesis Plantijn University College Antwerp,Law,0.522729989765424,42
Artesis Plantijn University College Antwerp,Marketing,0.508685948906561,208
Artesis Plantijn University College Antwerp,Nursing,0.378217110380559,43
Arteveldehogeschool,Accounting,0.524350192082939,78
Arteveldehogeschool,Business,0.502302452799601,2818
Arteveldehogeschool,Economics,0.442726600968224,18
Arteveldehogeschool,Education,0.412268229468957,484
Arteveldehogeschool,Engineering,0.570856462044976,10
Arteveldehogeschool,Finance,0.512726186882737,177
Arteveldehogeschool,Law,0.440478641925185,33
Arteveldehogeschool,Marketing,0.506262272400367,553
Arteveldehogeschool,Nursing,0.396764007319636,172
BME - Business Management across Europe,Business,0.448652881542648,25
Brugge Business School,Business,0.481519490679659,53
CAD - College of Advertising and Design,Architecture,0.464664638257489,14
"Chambre Belge des Comptables, Experts-Comptables et Conseils Fiscaux",Accounting,0.608983154611283,14
EHSAL Management School,Business,0.521219128401647,25
EPFC,Accounting,0.56182348654091,48
EPFC,Business,0.517669823085966,42
EPFC,Engineering,0.749618946519618,36
EPFC,Finance,0.548885417046216,22
Ecole Pratique des Hautes Etudes Commerciales,Accounting,0.538160241167376,289
Ecole Pratique des Hautes Etudes Commerciales,Business,0.523426059986688,756
Ecole Pratique des Hautes Etudes Commerciales,Economics,0.579650561944647,11
Ecole Pratique des Hautes Etudes Commerciales,Engineering,0.646912639520471,141
Ecole Pratique des Hautes Etudes Commerciales,Finance,0.541404937372284,89
Ecole Pratique des Hautes Etudes Commerciales,Information Technology,0.698415417970915,57
Ecole Pratique des Hautes Etudes Commerciales,Law,0.524957170554227,139
Ecole Pratique des Hautes Etudes Commerciales,Marketing,0.5122329004823,1883
Ecole polytechnique de Bruxelles,Engineering,0.546471054475135,205
Ecole supérieure des Arts - Saint-Luc Bruxelles,Architecture,0.529637245015041,35
Ecole supérieure des Arts Saint-Luc Liège,Architecture,0.462169134322865,20
Ecsedi Isalt,Business,0.493179635296758,261
Erasmushogeschool Brussel,Architecture,0.433635110207382,70
Erasmushogeschool Brussel,Business,0.504442743275025,1144
Erasmushogeschool Brussel,Education,0.380473586091145,79
Erasmushogeschool Brussel,Engineering,0.624551823061537,264
Erasmushogeschool Brussel,Information Technology,0.672106012409518,49
Erasmushogeschool Brussel,Marketing,0.522288144545017,79
Erasmushogeschool Brussel,Nursing,0.406550132855001,53
Faculteit Geneeskunde KU Leuven Faculty of Medicine,Medicine,0.412610298118346,79
Faculté Polytechnique de Mons,Engineering,0.536896721163455,173
Facultés Universitaires Saint-Louis,Business,0.530403673136315,232
Facultés Universitaires Saint-Louis,Economics,0.494643714431905,122
Facultés Universitaires Saint-Louis,Engineering,0.53289223742858,285
Facultés Universitaires Saint-Louis,Law,0.481376859398904,908
Ghent University,Architecture,0.508706989641052,43
Ghent University,Biology,0.502712469842542,90
Ghent University,Business,0.501693296213253,1847
Ghent University,Chemistry,0.504298640372731,127
Ghent University,Economics,0.532098232026744,394
Ghent University,Education,0.39774466461686,71
Ghent University,Engineering,0.516362761414063,3644
Ghent University,Information Technology,0.612994788070641,10
Ghent University,Law,0.479902444142838,564
Ghent University,Mathematics,0.547477503434458,46
Ghent University,Medicine,0.401307278957229,552
Ghent University,Physics,0.539116763194054,126
HELB - Haute Ecole Libre de Bruxelles Ilya Prigogine,Business,0.770363148992618,22
HELB - Haute Ecole Libre de Bruxelles Ilya Prigogine,Engineering,0.725110380011321,15
HEPN - Haute Ecole de la Province de Namur,Business,0.462270159381076,62
HOWEST Hogeschool West-Vlaanderen,Accounting,0.474462552377593,12
HOWEST Hogeschool West-Vlaanderen,Architecture,0.469942555046723,146
HOWEST Hogeschool West-Vlaanderen,Business,0.51562944591652,565
HOWEST Hogeschool West-Vlaanderen,Economics,0.589661325766223,21
HOWEST Hogeschool West-Vlaanderen,Education,0.425955851857734,55
HOWEST Hogeschool West-Vlaanderen,Engineering,0.646745728728828,354
HOWEST Hogeschool West-Vlaanderen,Finance,0.551723125778544,32
HOWEST Hogeschool West-Vlaanderen,Information Technology,0.678239736420899,52
HOWEST Hogeschool West-Vlaanderen,Marketing,0.513176320675468,192
HOWEST Hogeschool West-Vlaanderen,Nursing,0.396001092799103,15
Hasselt University,Architecture,0.478738830267322,179
Hasselt University,Biology,0.520170880553346,55
Hasselt University,Business,0.480877606329803,218
Hasselt University,Chemistry,0.519428651697988,114
Hasselt University,Economics,0.527448488722335,166
Hasselt University,Engineering,0.539517995668042,534
Hasselt University,Law,0.484745374694762,202
Hasselt University,Mathematics,0.588938548237588,43
Hasselt University,Medicine,0.404709706104516,130
Hasselt University,Physics,0.539499144793877,64
Haute Ecole Albert Jacquard,Business,0.499795574043941,10
Haute Ecole Albert Jacquard,Engineering,0.553598300394913,30
Haute Ecole Bruxelles - Brabant,Engineering,0.547747231751113,48
Haute Ecole Charlemagne,Architecture,0.402019756772638,18
Haute Ecole Charlemagne,Business,0.513767924450025,123
Haute Ecole Charlemagne,Education,0.37088669821067,24
"Haute Ecole Galilée, Bruxelles",Business,0.534998001813993,113
"Haute Ecole Galilée, Bruxelles",Education,0.344361219989015,11
"Haute Ecole Galilée, Bruxelles",Nursing,0.474688133790038,16
Haute Ecole Libre Mosane,Accounting,0.534013467343922,74
Haute Ecole Libre Mosane,Business,0.532288816971844,382
Haute Ecole Libre Mosane,Economics,0.520009854140302,15
Haute Ecole Libre Mosane,Education,0.440214963658607,37
Haute Ecole Libre Mosane,Engineering,0.52397316782465,100
Haute Ecole Libre Mosane,Finance,0.554381742438784,36
Haute Ecole Libre Mosane,Information Technology,0.728719312670024,10
Haute Ecole Libre Mosane,Law,0.539715114765231,50
Haute Ecole Libre Mosane,Marketing,0.510979745782558,267
Haute Ecole Louvain en Hainaut,Accounting,0.549108046801392,51
Haute Ecole Louvain en Hainaut,Biology,0.522324968158134,13
Haute Ecole Louvain en Hainaut,Business,0.53452541774892,148
Haute Ecole Louvain en Hainaut,Chemistry,0.482682905372001,50
Haute Ecole Louvain en Hainaut,Education,0.442519023751443,26
Haute Ecole Louvain en Hainaut,Engineering,0.581639696533536,151
Haute Ecole Louvain en Hainaut,Information Technology,0.685732944022774,22
Haute Ecole Louvain en Hainaut,Marketing,0.516693648482724,54
Haute Ecole Lucia de Brouckere,Accounting,0.561644450780478,17
Haute Ecole Lucia de Brouckere,Architecture,0.44157170441194,15
Haute Ecole Lucia de Brouckere,Business,0.49820493574503,111
Haute Ecole Lucia de Brouckere,Education,0.38205770963761,10
Haute Ecole Lucia de Brouckere,Engineering,0.400989117208808,16
Haute Ecole Lucia de Brouckere,Law,0.516529859907068,17
Haute Ecole Lucia de Brouckere,Marketing,0.501358156128659,79
"Haute Ecole de la Communauté française 'Paul-Henri Spaak', Bruxelles",Business,0.556807650242895,16
"Haute Ecole de la Communauté française 'Paul-Henri Spaak', Bruxelles",Education,0.268769745097236,11
"Haute Ecole de la Communauté française 'Paul-Henri Spaak', Bruxelles",Law,0.493440144638009,21
Haute Ecole de la Province de Liège,Accounting,0.554678065270399,20
Haute Ecole de la Province de Liège,Biology,0.54069387137095,10
Haute Ecole de la Province de Liège,Business,0.52259180330866,196
Haute Ecole de la Province de Liège,Chemistry,0.48516408446886,22
Haute Ecole de la Province de Liège,Economics,0.599342033652843,10
Haute Ecole de la Province de Liège,Education,0.396156094948834,32
Haute Ecole de la Province de Liège,Engineering,0.616880004890421,231
Haute Ecole de la Province de Liège,Finance,0.541897615825607,18
Haute Ecole de la Province de Liège,Information Technology,0.665624470591563,12
Haute Ecole de la Province de Liège,Law,0.53425767079058,15
