university_name,field,exposure_alljobs_beta,n_people
Académie royale des Beaux-Arts de Bruxelles - Ecole supérieure des Arts,Architecture,0.45669129940562,15
Antwerp Maritime Academy,Engineering,0.412667083291724,32
Artesis Plantijn University College Antwerp,Accounting,0.566666858766223,23
Artesis Plantijn University College Antwerp,Architecture,0.484975376460376,75
Artesis Plantijn University College Antwerp,Business,0.515413903001076,1317
Artesis Plantijn University College Antwerp,Chemistry,0.39810497083058,83
Artesis Plantijn University College Antwerp,Education,0.414244044988191,159
Artesis Plantijn University College Antwerp,Engineering,0.501570987420272,385
Artesis Plantijn University College Antwerp,Finance,0.530865892016325,52
Artesis Plantijn University College Antwerp,Information Technology,0.731658590507461,18
Artesis Plantijn University College Antwerp,Law,0.52777132670356,42
Artesis Plantijn University College Antwerp,Marketing,0.51466996023756,208
Artesis Plantijn University College Antwerp,Nursing,0.38617894031163,43
Arteveldehogeschool,Accounting,0.532719246116895,78
Arteveldehogeschool,Business,0.509915898881631,2818
Arteveldehogeschool,Economics,0.472635796891302,18
Arteveldehogeschool,Education,0.417345688431333,484
Arteveldehogeschool,Engineering,0.550284721356466,10
Arteveldehogeschool,Finance,0.522743062490937,177
Arteveldehogeschool,Law,0.455673610031667,33
Arteveldehogeschool,Marketing,0.512006413238934,553
Arteveldehogeschool,Nursing,0.401735941508585,172
BME - Business Management across Europe,Business,0.449265298714049,25
Brugge Business School,Business,0.485181780057736,53
CAD - College of Advertising and Design,Architecture,0.47670527250703,14
"Chambre Belge des Comptables, Experts-Comptables et Conseils Fiscaux",Accounting,0.59024681018843,14
EHSAL Management School,Business,0.5261890207852,25
EPFC,Accounting,0.560864956829219,48
EPFC,Business,0.525703186676727,42
EPFC,Engineering,0.749170839245538,36
EPFC,Finance,0.545718368239181,22
Ecole Pratique des Hautes Etudes Commerciales,Accounting,0.539808222008887,289
Ecole Pratique des Hautes Etudes Commerciales,Business,0.525130253703583,756
Ecole Pratique des Hautes Etudes Commerciales,Economics,0.574092989933992,11
Ecole Pratique des Hautes Etudes Commerciales,Engineering,0.643089605661952,141
Ecole Pratique des Hautes Etudes Commerciales,Finance,0.542493423255136,89
Ecole Pratique des Hautes Etudes Commerciales,Information Technology,0.695171288220284,57
Ecole Pratique des Hautes Etudes Commerciales,Law,0.528401470475028,139
Ecole Pratique des Hautes Etudes Commerciales,Marketing,0.514990145821505,1883
Ecole polytechnique de Bruxelles,Engineering,0.542912516711326,205
Ecole supérieure des Arts - Saint-Luc Bruxelles,Architecture,0.523159894293734,35
Ecole supérieure des Arts Saint-Luc Liège,Architecture,0.462691114425029,20
Ecsedi Isalt,Business,0.499341783568185,261
Erasmushogeschool Brussel,Architecture,0.430549522283848,70
Erasmushogeschool Brussel,Business,0.508063954035872,1144
Erasmushogeschool Brussel,Education,0.374449173172252,79
Erasmushogeschool Brussel,Engineering,0.629350198288302,264
Erasmushogeschool Brussel,Information Technology,0.672394576526415,49
Erasmushogeschool Brussel,Marketing,0.520324497202897,79
Erasmushogeschool Brussel,Nursing,0.407046049770428,53
Faculteit Geneeskunde KU Leuven Faculty of Medicine,Medicine,0.426405498671925,79
Faculté Polytechnique de Mons,Engineering,0.544451037473751,173
Facultés Universitaires Saint-Louis,Business,0.53151312112674,232
Facultés Universitaires Saint-Louis,Economics,0.497965294400898,122
Facultés Universitaires Saint-Louis,Engineering,0.531883638325838,285
Facultés Universitaires Saint-Louis,Law,0.481715943220685,908
Ghent University,Architecture,0.498592004681677,43
Ghent University,Biology,0.505355889892174,90
Ghent University,Business,0.508266573692936,1847
Ghent University,Chemistry,0.510353520564514,127
Ghent University,Economics,0.531946953936946,394
Ghent University,Education,0.3994017813007,71
Ghent University,Engineering,0.519909913897025,3644
Ghent University,Information Technology,0.609945294568942,10
Ghent University,Law,0.480525097432759,564
Ghent University,Mathematics,0.554052736309227,46
Ghent University,Medicine,0.405206423455886,552
Ghent University,Physics,0.536494230710136,126
HELB - Haute Ecole Libre de Bruxelles Ilya Prigogine,Business,0.751263870084465,22
HELB - Haute Ecole Libre de Bruxelles Ilya Prigogine,Engineering,0.716741090863743,15
HEPN - Haute Ecole de la Province de Namur,Business,0.474199602778695,62
HOWEST Hogeschool West-Vlaanderen,Accounting,0.494313546377643,12
HOWEST Hogeschool West-Vlaanderen,Architecture,0.479552676015926,146
HOWEST Hogeschool West-Vlaanderen,Business,0.518025760226682,565
HOWEST Hogeschool West-Vlaanderen,Economics,0.592500410020964,21
HOWEST Hogeschool West-Vlaanderen,Education,0.43834845297192,55
HOWEST Hogeschool West-Vlaanderen,Engineering,0.658676938124485,354
HOWEST Hogeschool West-Vlaanderen,Finance,0.552365219994433,32
