university_name,field,exposure_firstjob_beta,n_people
ATHON Ensino Superior,Business,0.541793105468843,12
ATHON Ensino Superior,Marketing,0.473658773692546,10
Academia University Centre,Architecture,0.48654993092359,17
Academia University Centre,Education,0.381606976040823,10
Academia University Centre,Engineering,0.553609006476242,16
Adventist University Centre of São Paulo,Accounting,0.55966586773997,24
Adventist University Centre of São Paulo,Architecture,0.4952155600417,13
Adventist University Centre of São Paulo,Business,0.529800330162475,118
Adventist University Centre of São Paulo,Education,0.413932878077178,140
Adventist University Centre of São Paulo,Engineering,0.600346628483515,98
Adventist University Centre of São Paulo,Information Technology,0.610909164288135,23
Adventist University Centre of São Paulo,Law,0.524493618597905,19
Adventist University Centre of São Paulo,Marketing,0.583869965291129,12
Adventist University Centre of São Paulo,Mathematics,0.409282229482635,29
Albert Einstein Israeli Faculty of Health Sciences,Education,0.310339619010189,15
Alves Faria University Centre,Business,0.533001657110205,29
Amparo University Centre - UNIFIA,Education,0.412960676250394,13
Anhanguera Pitágoras Unopar University Centre of Niterói,Business,0.506728976321346,13
Anhanguera Pitágoras Unopar University Centre of Niterói,Engineering,0.57274024125696,45
Anhanguera University Centre - UNIFIAN,Accounting,0.532533595111276,173
Anhanguera University Centre - UNIFIAN,Architecture,0.479738618282968,52
Anhanguera University Centre - UNIFIAN,Business,0.530977720276081,2512
Anhanguera University Centre - UNIFIAN,Education,0.418669398345698,1506
Anhanguera University Centre - UNIFIAN,Engineering,0.521102948347949,1644
Anhanguera University Centre - UNIFIAN,Finance,0.54204188047974,29
Anhanguera University Centre - UNIFIAN,Information Technology,0.679521194499238,101
Anhanguera University Centre - UNIFIAN,Law,0.515909992280939,99
Anhanguera University Centre - UNIFIAN,Marketing,0.515539368704304,377
Anhanguera University Centre - UNIFIAN,Mathematics,0.450189262981672,105
Anhanguera University Centre - UNIFIAN,Medicine,0.354653792812533,21
Anhanguera University Centre - UNIFIAN,Nursing,0.381946250604964,60
Anhanguera-Uniderp University,Accounting,0.585892734656752,13
Anhanguera-Uniderp University,Architecture,0.458764433233784,22
Anhanguera-Uniderp University,Business,0.509051462035461,88
Anhanguera-Uniderp University,Education,0.414730642997325,78
Anhanguera-Uniderp University,Engineering,0.542941066929378,71
Anhanguera-Uniderp University,Law,0.476506425160656,27
Anhanguera-Uniderp University,Marketing,0.46033708978965,12
Anhanguera-Uniderp University,Mathematics,0.489142523101238,24
Anhembi Morumbi University,Accounting,0.530472576623121,112
Anhembi Morumbi University,Architecture,0.493107240681666,182
Anhembi Morumbi University,Business,0.525627758930387,1594
Anhembi Morumbi University,Economics,0.531939874780388,21
Anhembi Morumbi University,Education,0.443981144869488,199
Anhembi Morumbi University,Engineering,0.58995566574352,724
Anhembi Morumbi University,Finance,0.580294550885594,16
Anhembi Morumbi University,Information Technology,0.651070126849581,57
Anhembi Morumbi University,Law,0.474873853546605,51
Anhembi Morumbi University,Marketing,0.523981097842416,948
Anhembi Morumbi University,Medicine,0.414357606411235,74
Anhembi Morumbi University,Nursing,0.394600221948547,25
Araguaia University Centre,Business,0.498603639666772,10
Araguaia University Centre,Education,0.442590422764208,21
Armando Álvares Penteado University Centre,Architecture,0.494032560638067,86
Armando Álvares Penteado University Centre,Business,0.511718574222754,798
Armando Álvares Penteado University Centre,Economics,0.527059550788587,68
Armando Álvares Penteado University Centre,Engineering,0.521160388305463,92
Armando Álvares Penteado University Centre,Law,0.479621083838346,69
Armando Álvares Penteado University Centre,Marketing,0.521835392787836,173
Arnaldo Janssen Faculty,Business,0.535785311937868,17
Arnaldo Janssen Faculty,Law,0.495461579246985,12
Assis Gurgacz Faculty,Engineering,0.463255428368209,14
Assisi Gurgacz University Centre,Education,0.425463937367377,15
Assisi Gurgacz University Centre,Engineering,0.577966175255507,27
Assunção University Centre,Accounting,0.505933969920464,10
Assunção University Centre,Business,0.56296729783666,76
Assunção University Centre,Education,0.40462790423748,64
Assunção University Centre,Engineering,0.632520170669861,35
Ateneu University Centre,Business,0.519485689954188,34
Ateneu University Centre,Education,0.41598237620678,16
Atitus Educação,Architecture,0.483843801579166,13
Atitus Educação,Business,0.492982180973886,10
Atitus Educação,Law,0.499275584747571,11
Augusto Motta University Centre,Accounting,0.572564448865566,14
Augusto Motta University Centre,Architecture,0.508350416231983,21
Augusto Motta University Centre,Business,0.559712796085322,157
Augusto Motta University Centre,Education,0.434172344790033,162
Augusto Motta University Centre,Engineering,0.494205606836436,162
Augusto Motta University Centre,Law,0.453545242795264,13
Augusto Motta University Centre,Marketing,0.543245146922436,21
Augusto Motta University Centre,Mathematics,0.483884092177162,17
Autonomous University Centre of Brazil,Business,0.555109872583557,95
Autonomous University Centre of Brazil,Education,0.377390343506339,36
Autonomous University Centre of Brazil,Engineering,0.556830323502402,21
Autonomous University Centre of Brazil,Law,0.482657277554849,37
Autonomous University Centre of Brazil,Marketing,0.497142287182899,16
Avantis University Centre,Business,0.54127847647327,25
Bahia Adventist University,Education,0.442030950626251,11
Baptist Faculty of Minas Gerais,Business,0.49438021935762,12
Barão de Mauá University Centre,Architecture,0.491184572903647,16
Barão de Mauá University Centre,Business,0.509248493162739,39
Barão de Mauá University Centre,Education,0.435916933998494,44
Barão de Mauá University Centre,Engineering,0.603001407085253,28
Barão de Mauá University Centre,Marketing,0.50528362221796,18
Blessed Sacrament Faculty,Engineering,0.526947510110237,10
Braz Cubas University Centre,Architecture,0.482227097724134,20
Braz Cubas University Centre,Business,0.534273875603673,107
Braz Cubas University Centre,Education,0.421269776354352,155
Braz Cubas University Centre,Engineering,0.545897875041634,93
Braz Cubas University Centre,Law,0.499564759581514,21
Braz Cubas University Centre,Marketing,0.53891019356358,19
Braz Cubas University Centre,Mathematics,0.438422507667431,17
Brazil Associated Faculty,Education,0.384934189678915,12
Brazilian Baptist Faculty,Business,0.526961814157478,13
CEDERJ - Cecierj,Education,0.449626640150324,26
CEDERJ - Cecierj,Mathematics,0.466097684135131,17
CESAR School,Engineering,0.776158380196887,12
CESUCA University Centre,Business,0.540714350329265,17
CESUMAR Faculty,Accounting,0.550484935807609,34
CESUMAR Faculty,Architecture,0.486638377782157,28
CESUMAR Faculty,Business,0.510758336275105,281
CESUMAR Faculty,Economics,0.538637494678952,11
CESUMAR Faculty,Education,0.430358410417233,572
CESUMAR Faculty,Engineering,0.591525282336279,258
CESUMAR Faculty,Information Technology,0.65427212753804,33
CESUMAR Faculty,Law,0.485856553963795,16
CESUMAR Faculty,Marketing,0.494408273957762,93
CESUMAR Faculty,Mathematics,0.473770175747976,111
CESUSC Faculty,Business,0.490080425270814,25
CESUSC Faculty,Law,0.497363580048593,43
CEUMA University,Architecture,0.542716270734575,21
CEUMA University,Business,0.529984675274406,86
CEUMA University,Education,0.428794947625145,40
CEUMA University,Engineering,0.521024497603631,38
CEUMA University,Information Technology,0.690367865239601,16
CEUMA University,Law,0.513317726026426,38
CEUMA University,Marketing,0.513582196186105,11
CNEC Faculty of Campo Largo,Business,0.516685898310741,14
CNEC Faculty of Varginha,Business,0.51815186815442,11
CNEC UNAI Faculty,Business,0.507905390114985,19
Cambury University Centre,Business,0.523612713517993,23
Cambury University Centre,Marketing,0.512753600706292,19
Campo Limpo Paulista University Centre,Business,0.581897361883916,33
Campo Limpo Paulista University Centre,Education,0.410680525866219,38
Campo Limpo Paulista University Centre,Engineering,0.493766673145299,56
Campo Limpo Paulista University Centre,Mathematics,0.41110745970146,17
Campos Salles Integrated Faculties,Accounting,0.528549750110986,14
Campos Salles Integrated Faculties,Business,0.538619404878063,76
Campos Salles Integrated Faculties,Education,0.380924153327037,64
Campos Salles Integrated Faculties,Law,0.534485127330298,13
Campos Salles Integrated Faculties,Marketing,0.554596493692629,14
Campos de Andrade University Centre,Business,0.56311099320378,32
Campos de Andrade University Centre,Education,0.414314428885371,47
Campos de Andrade University Centre,Engineering,0.717244905593917,16
Candido Mendes University,Accounting,0.516602177061937,73
Candido Mendes University,Business,0.527630795068737,356
Candido Mendes University,Chemistry,0.437353202292856,11
Candido Mendes University,Economics,0.514263492896931,31
Candido Mendes University,Education,0.419521626633551,75
Candido Mendes University,Engineering,0.513646911321355,192
Candido Mendes University,Finance,0.489642934730205,10
Candido Mendes University,Law,0.488685996302838,272
Candido Mendes University,Marketing,0.533019422038956,18
Candido Mendes University,Mathematics,0.45948612083184,14
Carlos Drummond de Andrade Higher Centre for Legal Studies,Business,0.516735316048972,26
Carlos Drummond de Andrade Higher Centre for Legal Studies,Education,0.362378716887278,18
Carlos Drummond de Andrade Higher Centre for Legal Studies,Engineering,0.575654136350146,11
Castelo Branco University - Rio de Janeiro,Business,0.537462508049912,138
Castelo Branco University - Rio de Janeiro,Education,0.390169731287222,152
Castelo Branco University - Rio de Janeiro,Information Technology,0.601818632712126,10
Castelo Branco University - Rio de Janeiro,Marketing,0.456849630636022,12
Castelo Branco University - Rio de Janeiro,Mathematics,0.419362019437074,44
Cathedral University Centre,Law,0.459517971946961,10
Catholic Salesian Faculty of Macaé,Business,0.550682387242731,19
Catholic Salesian Faculty of Macaé,Engineering,0.443803827597526,50
Catholic University Centre of Tocantins,Engineering,0.520101135184076,10
Catholic University Centre of the East of Minas Gerais,Architecture,0.476098649489321,17
Catholic University Centre of the East of Minas Gerais,Business,0.52281898598081,44
Catholic University Centre of the East of Minas Gerais,Education,0.395777484035106,32
Catholic University Centre of the East of Minas Gerais,Engineering,0.471118133562884,176
Catholic University of Pelotas,Business,0.496271569186753,30
Catholic University of Pelotas,Education,0.470705138392376,16
Catholic University of Pelotas,Engineering,0.62701119837682,27
Catholic University of Pelotas,Law,0.49209578201022,14
Catholic University of Pernambuco,Accounting,0.499949879211487,17
Catholic University of Pernambuco,Architecture,0.487383048409036,33
Catholic University of Pernambuco,Business,0.528475070549838,153
Catholic University of Pernambuco,Education,0.438612416763362,52
Catholic University of Pernambuco,Engineering,0.642794405448461,208
Catholic University of Pernambuco,Law,0.50260960535214,173
Catholic University of Pernambuco,Mathematics,0.397940427196269,14
Catholic University of Petrópolis,Business,0.548347661932481,52
Catholic University of Petrópolis,Education,0.460516771246949,28
Catholic University of Petrópolis,Engineering,0.532106067554039,159
Catholic University of Petrópolis,Law,0.513777589539886,34
Catholic University of Petrópolis,Marketing,0.521226331166796,18
Catholic University of Salvador,Business,0.51008461154394,56
Catholic University of Salvador,Education,0.424383017822201,62
Catholic University of Salvador,Engineering,0.544800036852208,79
Catholic University of Salvador,Law,0.477429997490641,80
Catholic University of Salvador,Marketing,0.537358159471521,11
Catholic University of Salvador,Mathematics,0.426036254993399,18
Catholic University of Salvador,Nursing,0.401630245362304,11
Catholic University of Santos,Architecture,0.494200957106054,43
Catholic University of Santos,Business,0.54341362866871,93
Catholic University of Santos,Economics,0.519404279655076,13
Catholic University of Santos,Education,0.461438061555379,35
Catholic University of Santos,Engineering,0.568891755671524,92
Catholic University of Santos,Law,0.512325374451947,69
Católica de Santa Catarina - Centro Universitário,Accounting,0.548360633396689,13
Católica de Santa Catarina - Centro Universitário,Architecture,0.587435419163732,11
Católica de Santa Catarina - Centro Universitário,Business,0.55098430355894,65
Católica de Santa Catarina - Centro Universitário,Engineering,0.552199111503429,86
Católica de Santa Catarina - Centro Universitário,Law,0.554922531478219,26
Católica de Santa Catarina - Centro Universitário,Marketing,0.561801473956245,12
Ceilândia Projection Faculty,Business,0.525221177012804,60
Ceilândia Projection Faculty,Education,0.442422869137067,99
Ceilândia Projection Faculty,Engineering,0.645718116411613,21
Ceilândia Projection Faculty,Information Technology,0.609899490065681,20
Ceilândia Projection Faculty,Law,0.510216159864203,18
Ceilândia Projection Faculty,Mathematics,0.47047051069378,22
Celso Lisboa University Centre,Business,0.53232558792922,46
Celso Lisboa University Centre,Education,0.413073653416403,34
Celso Lisboa University Centre,Engineering,0.519081433789811,10
Celso Lisboa University Centre,Nursing,0.282344519159234,10
Cenecista Faculty of Capivari,Business,0.557654945256479,18
Centro Universitario de Belo Horizonte,Architecture,0.498030650991603,22
Centro Universitario de Belo Horizonte,Business,0.529115196368689,83
Centro Universitario de Belo Horizonte,Education,0.446337944268913,88
Centro Universitario de Belo Horizonte,Engineering,0.583936047271112,288
Centro Universitario de Belo Horizonte,Law,0.43797320016362,13
Centro Universitario de Belo Horizonte,Marketing,0.524636616260465,29
Centro Universitario de Belo Horizonte,Mathematics,0.435146159508625,39
Centro Universitario de Belo Horizonte,Medicine,0.451492109337614,17
Centro Universitario de Votuporanga,Education,0.404808650365834,15
Centro Universitário Católico Italo Brasileiro,Accounting,0.599096549663715,13
Centro Universitário Católico Italo Brasileiro,Business,0.564191392303676,82
Centro Universitário Católico Italo Brasileiro,Education,0.37253348153425,150
Centro Universitário Católico Italo Brasileiro,Marketing,0.560122514124646,25
Centro Universitário Católico Italo Brasileiro,Nursing,0.349713588158225,11
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Business,0.573415810299292,18
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Education,0.54313665069338,15
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Engineering,0.545227252630199,32
Centro Universitário Dom Pedro II,Education,0.401971849861731,10
Centro Universitário FAM,Business,0.552628570566989,78
Centro Universitário FAM,Education,0.42670539228492,95
Centro Universitário FAM,Engineering,0.52615036458538,47
Centro Universitário FAM,Marketing,0.559435794978218,33
Centro Universitário FAM,Mathematics,0.429688746349428,19
Centro Universitário SENAI CIMATEC,Engineering,0.541946216905346,42
Centro Universitário Santa Cruz de Curitiba,Business,0.577983076045099,21
Centro Universitário Santa Cruz de Curitiba,Education,0.444965732322681,27
Centro Universitário UniMetrocamp,Business,0.536917655681372,14
Centro Universitário UniMetrocamp,Engineering,0.690019512568025,66
Centro Universitário Unihorizontes,Business,0.533114072218133,25
Centro Universitário da Cidade,Business,0.522189063156203,132
Centro Universitário da Cidade,Education,0.450346895579182,29
Centro Universitário da Cidade,Engineering,0.630781148961178,53
Centro Universitário da Cidade,Information Technology,0.678013983947333,21
Centro Universitário da Cidade,Law,0.502932687122268,18
Centro Universitário da Cidade,Marketing,0.528327270790764,59
Centro de Informática UFPE,Engineering,0.698750463575424,37
Cesmac University Centre,Architecture,0.490894495909262,17
