university_name,field,exposure_alljobs_beta,n_people
ATHON Ensino Superior,Business,0.541680872710403,12
ATHON Ensino Superior,Marketing,0.477898284979434,10
Academia University Centre,Architecture,0.489756209996052,17
Academia University Centre,Education,0.381458563385777,10
Academia University Centre,Engineering,0.573547088123424,16
Adventist University Centre of São Paulo,Accounting,0.550588894773888,24
Adventist University Centre of São Paulo,Architecture,0.49933646814932,13
Adventist University Centre of São Paulo,Business,0.532613639266809,118
Adventist University Centre of São Paulo,Education,0.414447497464964,140
Adventist University Centre of São Paulo,Engineering,0.599270442504371,98
Adventist University Centre of São Paulo,Information Technology,0.627628038944185,23
Adventist University Centre of São Paulo,Law,0.523511175664461,19
Adventist University Centre of São Paulo,Marketing,0.58921547073035,12
Adventist University Centre of São Paulo,Mathematics,0.413921703156273,29
Albert Einstein Israeli Faculty of Health Sciences,Education,0.323818433636041,15
Alves Faria University Centre,Business,0.532603504905883,29
Amparo University Centre - UNIFIA,Education,0.411520330412856,13
Anhanguera Pitágoras Unopar University Centre of Niterói,Business,0.513561768408208,13
Anhanguera Pitágoras Unopar University Centre of Niterói,Engineering,0.573687335778347,45
Anhanguera University Centre - UNIFIAN,Accounting,0.538815568274113,173
Anhanguera University Centre - UNIFIAN,Architecture,0.48689469275179,52
Anhanguera University Centre - UNIFIAN,Business,0.53197434118435,2512
Anhanguera University Centre - UNIFIAN,Education,0.416215178739604,1506
Anhanguera University Centre - UNIFIAN,Engineering,0.522515165782493,1644
Anhanguera University Centre - UNIFIAN,Finance,0.546848451269953,29
Anhanguera University Centre - UNIFIAN,Information Technology,0.678867446502382,101
Anhanguera University Centre - UNIFIAN,Law,0.511925608889805,99
Anhanguera University Centre - UNIFIAN,Marketing,0.515561240490231,377
Anhanguera University Centre - UNIFIAN,Mathematics,0.449632891708415,105
Anhanguera University Centre - UNIFIAN,Medicine,0.346663429340981,21
Anhanguera University Centre - UNIFIAN,Nursing,0.387215829186464,60
Anhanguera-Uniderp University,Accounting,0.582073347484517,13
Anhanguera-Uniderp University,Architecture,0.468504299641529,22
Anhanguera-Uniderp University,Business,0.509002508479884,88
Anhanguera-Uniderp University,Education,0.412498624014648,78
Anhanguera-Uniderp University,Engineering,0.548112604386014,71
Anhanguera-Uniderp University,Law,0.486902146510023,27
Anhanguera-Uniderp University,Marketing,0.46457624900648,12
Anhanguera-Uniderp University,Mathematics,0.497005260384222,24
Anhembi Morumbi University,Accounting,0.53065251770083,112
Anhembi Morumbi University,Architecture,0.495741167328455,182
Anhembi Morumbi University,Business,0.525476058760006,1594
Anhembi Morumbi University,Economics,0.531633779439348,21
Anhembi Morumbi University,Education,0.445436785088578,199
Anhembi Morumbi University,Engineering,0.587741223346171,724
Anhembi Morumbi University,Finance,0.581263288244421,16
Anhembi Morumbi University,Information Technology,0.657538577225495,57
Anhembi Morumbi University,Law,0.476455314146787,51
Anhembi Morumbi University,Marketing,0.526264668880226,948
Anhembi Morumbi University,Medicine,0.415482488998876,74
Anhembi Morumbi University,Nursing,0.376714113266967,25
Araguaia University Centre,Business,0.497271002484519,10
Araguaia University Centre,Education,0.440107535045583,21
Armando Álvares Penteado University Centre,Architecture,0.493588161265864,86
Armando Álvares Penteado University Centre,Business,0.512356251378154,798
Armando Álvares Penteado University Centre,Economics,0.531557329941643,68
Armando Álvares Penteado University Centre,Engineering,0.529129862279143,92
Armando Álvares Penteado University Centre,Law,0.484818214162808,69
Armando Álvares Penteado University Centre,Marketing,0.522362678395651,173
Arnaldo Janssen Faculty,Business,0.53185943547402,17
Arnaldo Janssen Faculty,Law,0.487138750835987,12
Assis Gurgacz Faculty,Engineering,0.46386417759993,14
Assisi Gurgacz University Centre,Education,0.421105193918483,15
Assisi Gurgacz University Centre,Engineering,0.58781276312255,27
Assunção University Centre,Accounting,0.512279761857629,10
Assunção University Centre,Business,0.555402605279519,76
Assunção University Centre,Education,0.406979012999441,64
Assunção University Centre,Engineering,0.644386135105355,35
Ateneu University Centre,Business,0.537495019643875,34
Ateneu University Centre,Education,0.421258107987075,16
Atitus Educação,Architecture,0.4808621077069,13
Atitus Educação,Business,0.488133981361541,10
Atitus Educação,Law,0.496500396619807,11
Augusto Motta University Centre,Accounting,0.563396637734182,14
Augusto Motta University Centre,Architecture,0.49675929576986,21
Augusto Motta University Centre,Business,0.557478122666918,157
Augusto Motta University Centre,Education,0.434097134806829,162
Augusto Motta University Centre,Engineering,0.492291816368919,162
Augusto Motta University Centre,Law,0.454051381487716,13
Augusto Motta University Centre,Marketing,0.533822754688134,21
Augusto Motta University Centre,Mathematics,0.499940702939555,17
Autonomous University Centre of Brazil,Business,0.552396073826445,95
Autonomous University Centre of Brazil,Education,0.380939813749697,36
Autonomous University Centre of Brazil,Engineering,0.564220048017108,21
Autonomous University Centre of Brazil,Law,0.487713361215061,37
Autonomous University Centre of Brazil,Marketing,0.512148967761165,16
Avantis University Centre,Business,0.54554253702658,25
Bahia Adventist University,Education,0.460155669295045,11
Baptist Faculty of Minas Gerais,Business,0.496305975034661,12
Barão de Mauá University Centre,Architecture,0.494760323973872,16
Barão de Mauá University Centre,Business,0.512496341142892,39
Barão de Mauá University Centre,Education,0.43552542572268,44
Barão de Mauá University Centre,Engineering,0.620615425027402,28
Barão de Mauá University Centre,Marketing,0.501003989111936,18
Blessed Sacrament Faculty,Engineering,0.522507908862013,10
Braz Cubas University Centre,Architecture,0.488772968812322,20
Braz Cubas University Centre,Business,0.53508788853578,107
Braz Cubas University Centre,Education,0.425965218324697,155
Braz Cubas University Centre,Engineering,0.549246939204593,93
Braz Cubas University Centre,Law,0.491448258753651,21
Braz Cubas University Centre,Marketing,0.542608331411668,19
Braz Cubas University Centre,Mathematics,0.441798995151694,17
Brazil Associated Faculty,Education,0.394695507864218,12
Brazilian Baptist Faculty,Business,0.543167716251071,13
CEDERJ - Cecierj,Education,0.449491712874407,26
CEDERJ - Cecierj,Mathematics,0.48691135850215,17
CESAR School,Engineering,0.766405665977928,12
CESUCA University Centre,Business,0.547210711949972,17
CESUMAR Faculty,Accounting,0.544010590544253,34
CESUMAR Faculty,Architecture,0.496761573551152,28
CESUMAR Faculty,Business,0.514405262431545,281
CESUMAR Faculty,Economics,0.543938890797953,11
CESUMAR Faculty,Education,0.431515636104024,572
CESUMAR Faculty,Engineering,0.599227380754374,258
CESUMAR Faculty,Information Technology,0.652170766971408,33
CESUMAR Faculty,Law,0.474631518739649,16
CESUMAR Faculty,Marketing,0.499394126320784,93
CESUMAR Faculty,Mathematics,0.461911304591591,111
CESUSC Faculty,Business,0.50287981541572,25
CESUSC Faculty,Law,0.49237192470266,43
CEUMA University,Architecture,0.537491060580601,21
CEUMA University,Business,0.529506776676047,86
CEUMA University,Education,0.436992309206076,40
CEUMA University,Engineering,0.52421771063432,38
CEUMA University,Information Technology,0.690800413581931,16
CEUMA University,Law,0.508737804647884,38
CEUMA University,Marketing,0.510365817831738,11
CNEC Faculty of Campo Largo,Business,0.506037819737083,14
CNEC Faculty of Varginha,Business,0.512297373418511,11
CNEC UNAI Faculty,Business,0.509519004433102,19
Cambury University Centre,Business,0.509448552483939,23
Cambury University Centre,Marketing,0.520913987175228,19
Campo Limpo Paulista University Centre,Business,0.573894919665698,33
Campo Limpo Paulista University Centre,Education,0.418603040355869,38
Campo Limpo Paulista University Centre,Engineering,0.505473487821534,56
Campo Limpo Paulista University Centre,Mathematics,0.412289412481848,17
Campos Salles Integrated Faculties,Accounting,0.527230322281644,14
Campos Salles Integrated Faculties,Business,0.535980485151107,76
Campos Salles Integrated Faculties,Education,0.37326818699514,64
Campos Salles Integrated Faculties,Law,0.543494407619931,13
Campos Salles Integrated Faculties,Marketing,0.552454888721137,14
Campos de Andrade University Centre,Business,0.569053743094305,32
Campos de Andrade University Centre,Education,0.419954511589371,47
Campos de Andrade University Centre,Engineering,0.731521537861806,16
Candido Mendes University,Accounting,0.517158635168716,73
Candido Mendes University,Business,0.53010201275425,356
Candido Mendes University,Chemistry,0.439930091519867,11
Candido Mendes University,Economics,0.520995180506903,31
Candido Mendes University,Education,0.426233872801277,75
Candido Mendes University,Engineering,0.520173796059534,192
Candido Mendes University,Finance,0.492915411953455,10
Candido Mendes University,Law,0.489394263459581,272
Candido Mendes University,Marketing,0.52658445635895,18
Candido Mendes University,Mathematics,0.469723218892128,14
Carlos Drummond de Andrade Higher Centre for Legal Studies,Business,0.516804551377032,26
Carlos Drummond de Andrade Higher Centre for Legal Studies,Education,0.362159928488037,18
Carlos Drummond de Andrade Higher Centre for Legal Studies,Engineering,0.577540741794596,11
Castelo Branco University - Rio de Janeiro,Business,0.542307494585391,138
Castelo Branco University - Rio de Janeiro,Education,0.399579691711546,152
Castelo Branco University - Rio de Janeiro,Information Technology,0.603825708595934,10
Castelo Branco University - Rio de Janeiro,Marketing,0.45343336000444,12
Castelo Branco University - Rio de Janeiro,Mathematics,0.420033545326832,44
Cathedral University Centre,Law,0.460449827520162,10
Catholic Salesian Faculty of Macaé,Business,0.550936719134497,19
Catholic Salesian Faculty of Macaé,Engineering,0.449086834351096,50
Catholic University Centre of Tocantins,Engineering,0.528022822558779,10
Catholic University Centre of the East of Minas Gerais,Architecture,0.476824660384674,17
Catholic University Centre of the East of Minas Gerais,Business,0.520767823124567,44
Catholic University Centre of the East of Minas Gerais,Education,0.400712026426919,32
Catholic University Centre of the East of Minas Gerais,Engineering,0.47318750541337,176
Catholic University of Pelotas,Business,0.498335616938498,30
Catholic University of Pelotas,Education,0.46894073456334,16
Catholic University of Pelotas,Engineering,0.624065553616924,27
Catholic University of Pelotas,Law,0.490502280518092,14
Catholic University of Pernambuco,Accounting,0.505357479123059,17
Catholic University of Pernambuco,Architecture,0.481800573635288,33
Catholic University of Pernambuco,Business,0.530670977258464,153
Catholic University of Pernambuco,Education,0.447874294820254,52
Catholic University of Pernambuco,Engineering,0.63614030575722,208
Catholic University of Pernambuco,Law,0.495907386276573,173
Catholic University of Pernambuco,Mathematics,0.439220262117473,14
Catholic University of Petrópolis,Business,0.540808551543915,52
Catholic University of Petrópolis,Education,0.459505257543717,28
Catholic University of Petrópolis,Engineering,0.53063791447131,159
Catholic University of Petrópolis,Law,0.503778593962743,34
Catholic University of Petrópolis,Marketing,0.529454038636062,18
Catholic University of Salvador,Business,0.502508386623383,56
Catholic University of Salvador,Education,0.431214608399967,62
Catholic University of Salvador,Engineering,0.54358042932274,79
Catholic University of Salvador,Law,0.479714956815938,80
Catholic University of Salvador,Marketing,0.533815621777833,11
Catholic University of Salvador,Mathematics,0.433696328682502,18
Catholic University of Salvador,Nursing,0.397362695554268,11
Catholic University of Santos,Architecture,0.487039835397331,43
Catholic University of Santos,Business,0.536862999777993,93
Catholic University of Santos,Economics,0.522462602014245,13
Catholic University of Santos,Education,0.454255712994479,35
Catholic University of Santos,Engineering,0.571340772176324,92
Catholic University of Santos,Law,0.516114444547302,69
Católica de Santa Catarina - Centro Universitário,Accounting,0.559157155581962,13
Católica de Santa Catarina - Centro Universitário,Architecture,0.58673025854044,11
Católica de Santa Catarina - Centro Universitário,Business,0.550378862927934,65
Católica de Santa Catarina - Centro Universitário,Engineering,0.549495164801746,86
Católica de Santa Catarina - Centro Universitário,Law,0.551376951482294,26
Católica de Santa Catarina - Centro Universitário,Marketing,0.56532981942897,12
Ceilândia Projection Faculty,Business,0.523710594318688,60
Ceilândia Projection Faculty,Education,0.448684753420117,99
Ceilândia Projection Faculty,Engineering,0.653944325423551,21
Ceilândia Projection Faculty,Information Technology,0.621229779195147,20
Ceilândia Projection Faculty,Law,0.497175865869853,18
Ceilândia Projection Faculty,Mathematics,0.424743638211211,22
Celso Lisboa University Centre,Business,0.528924409893048,46
Celso Lisboa University Centre,Education,0.413707556520229,34
Celso Lisboa University Centre,Engineering,0.514963690064904,10
Celso Lisboa University Centre,Nursing,0.281494643268843,10
Cenecista Faculty of Capivari,Business,0.567151792323351,18
Centro Universitario de Belo Horizonte,Architecture,0.492251099080784,22
Centro Universitario de Belo Horizonte,Business,0.53394547120127,83
Centro Universitario de Belo Horizonte,Education,0.441712269025924,88
Centro Universitario de Belo Horizonte,Engineering,0.584550041793759,288
Centro Universitario de Belo Horizonte,Law,0.43852762094582,13
Centro Universitario de Belo Horizonte,Marketing,0.509516519886646,29
Centro Universitario de Belo Horizonte,Mathematics,0.426303773648539,39
Centro Universitario de Belo Horizonte,Medicine,0.449182482805404,17
Centro Universitario de Votuporanga,Education,0.431272205635723,15
Centro Universitário Católico Italo Brasileiro,Accounting,0.600425944954064,13
Centro Universitário Católico Italo Brasileiro,Business,0.552944656178086,82
Centro Universitário Católico Italo Brasileiro,Education,0.369146427816189,150
Centro Universitário Católico Italo Brasileiro,Marketing,0.560623798077351,25
Centro Universitário Católico Italo Brasileiro,Nursing,0.35391989194274,11
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Business,0.577376732341589,18
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Education,0.504417845878245,15
Centro Universitário Católico Salesiano Auxilium - UniSALESIANO Araçatuba,Engineering,0.543138222810144,32
Centro Universitário Dom Pedro II,Education,0.404790201939911,10
Centro Universitário FAM,Business,0.561482512246079,78
Centro Universitário FAM,Education,0.427772698363299,95
