university_name,field,exposure_firstjob_beta,n_people
Academy of Learning Career College,Business,0.494846063081143,24
Acadia University,Accounting,0.527420058871746,40
Acadia University,Biology,0.439380000127089,183
Acadia University,Business,0.484496719018341,1363
Acadia University,Chemistry,0.461304316865585,113
Acadia University,Economics,0.512137808454364,87
Acadia University,Education,0.38040206655065,232
Acadia University,Engineering,0.561407232757175,269
Acadia University,Finance,0.52738686219755,28
Acadia University,Marketing,0.515402348903114,32
Acadia University,Mathematics,0.531753842702529,20
Acadia University,Physics,0.495023493204975,32
Acadia University,Statistics,0.510608346238693,49
Acsenda School of Management - Vancouver,Business,0.457088898374672,429
Alberta Bible College,Education,0.427907762559808,11
Alberta School of Business,Accounting,0.515798136964014,190
Alberta School of Business,Business,0.504988603240385,356
Alberta School of Business,Economics,0.50972738069288,17
Alberta School of Business,Education,0.511417453169002,17
Alberta School of Business,Finance,0.515847772465261,183
Alberta School of Business,Law,0.460806854828436,11
Alberta School of Business,Marketing,0.501162655780193,71
Algoma University,Accounting,0.545207289138843,37
Algoma University,Biology,0.423599433074363,16
Algoma University,Business,0.508788465549886,405
Algoma University,Economics,0.462318413005288,18
Algoma University,Engineering,0.607488558996593,185
Algoma University,Finance,0.478854353925387,25
Algoma University,Law,0.473658803926847,103
Algoma University,Mathematics,0.442202224341709,11
Algonquin College,Architecture,0.404249261933182,30
Algonquin College,Business,0.482410605547624,1028
Algonquin College,Education,0.405984933362273,30
Algonquin College,Engineering,0.514926143371167,150
Algonquin College,Information Technology,0.635976263462955,50
Algonquin College,Marketing,0.456996614557629,17
Algonquin College,Nursing,0.320229494233648,18
Ambrose School of Business,Business,0.438593066150658,18
Ambrose University,Biology,0.509657048735024,19
Ambrose University,Business,0.489277223196545,96
Ambrose University,Education,0.321437900432855,107
Ambrose University College,Business,0.50070132889149,11
Ambrose University College,Education,0.34060570361642,12
Asper School of Business,Accounting,0.554750306932605,13
Asper School of Business,Business,0.514022542403824,29
Asper School of Business,Marketing,0.552141884492762,17
Assiniboine Community College,Business,0.43393633431223,37
Athabasca University,Accounting,0.535935830603357,525
Athabasca University,Architecture,0.431848351276835,38
Athabasca University,Biology,0.360858603537224,12
Athabasca University,Business,0.499885621287903,1556
Athabasca University,Economics,0.527913982947298,13
Athabasca University,Education,0.36458990852662,20
Athabasca University,Engineering,0.610367110840999,163
Athabasca University,Finance,0.526922746595402,137
Athabasca University,Information Technology,0.58021100664722,13
Athabasca University,Marketing,0.518028134794937,36
Athabasca University,Mathematics,0.525395118307297,16
Athabasca University,Nursing,0.379297969457213,502
BCIT School of Business + Media,Accounting,0.531875835122098,106
BCIT School of Business + Media,Business,0.497913302820833,342
BCIT School of Business + Media,Finance,0.549193050884447,16
Bishop's University,Accounting,0.53050426912878,55
Bishop's University,Biology,0.436101773857234,95
Bishop's University,Business,0.511584748170334,1285
Bishop's University,Chemistry,0.411451086299659,27
Bishop's University,Economics,0.500820757060259,98
Bishop's University,Education,0.362723209637242,216
Bishop's University,Engineering,0.640861116144009,98
Bishop's University,Finance,0.52145823396341,46
Bishop's University,Information Technology,0.622378935971736,15
Bishop's University,Law,0.474754019057375,16
Bishop's University,Marketing,0.504400708006609,74
Bishop's University,Mathematics,0.511483177088402,24
Bishop's University,Physics,0.486281907277509,22
Booth University College,Business,0.515834688889537,11
Bow Valley College,Business,0.432415786010388,152
Brandon University,Biology,0.437344949442713,25
Brandon University,Business,0.514722515494262,317
Brandon University,Chemistry,0.432404560564965,20
Brandon University,Economics,0.485624464217067,19
Brandon University,Education,0.333864930358947,217
Brandon University,Engineering,0.584935766058932,75
Brandon University,Mathematics,0.445774653669071,30
Brandon University,Nursing,0.386177672996532,115
Brandon University,Physics,0.476638605976214,18
Briercrest Bible College & Seminary,Business,0.436076719870416,79
