university_name,field,exposure_alljobs_beta,n_people
Academy of Learning Career College,Business,0.498874811132769,24
Acadia University,Accounting,0.524494352664512,40
Acadia University,Biology,0.446330366958898,183
Acadia University,Business,0.490843304501501,1363
Acadia University,Chemistry,0.462107422928027,113
Acadia University,Economics,0.510142856683054,87
Acadia University,Education,0.384219023525642,232
Acadia University,Engineering,0.564673037742963,269
Acadia University,Finance,0.529783728166424,28
Acadia University,Marketing,0.514005723990784,32
Acadia University,Mathematics,0.526701748250848,20
Acadia University,Physics,0.506097834325553,32
Acadia University,Statistics,0.525515666572984,49
Acsenda School of Management - Vancouver,Business,0.472802592895483,429
Alberta Bible College,Education,0.436116988443801,11
Alberta School of Business,Accounting,0.519275427766172,190
Alberta School of Business,Business,0.510060894109789,356
Alberta School of Business,Economics,0.520588844447555,17
Alberta School of Business,Education,0.523589156504903,17
Alberta School of Business,Finance,0.524645462764085,183
Alberta School of Business,Law,0.466476629486745,11
Alberta School of Business,Marketing,0.506758592008812,71
Algoma University,Accounting,0.538916906392645,37
Algoma University,Biology,0.442290022868799,16
Algoma University,Business,0.512298610325213,405
Algoma University,Economics,0.465541721941479,18
Algoma University,Engineering,0.619293805646804,185
Algoma University,Finance,0.518119111627491,25
Algoma University,Law,0.468743026475833,103
Algoma University,Mathematics,0.445720448743124,11
Algonquin College,Architecture,0.413098803205208,30
Algonquin College,Business,0.486886505943751,1028
Algonquin College,Education,0.394372390552864,30
Algonquin College,Engineering,0.524560974336813,150
Algonquin College,Information Technology,0.634911490542646,50
Algonquin College,Marketing,0.473025627579632,17
Algonquin College,Nursing,0.325859475972215,18
Ambrose School of Business,Business,0.434178599603848,18
Ambrose University,Biology,0.495529489361643,19
Ambrose University,Business,0.489034201858207,96
Ambrose University,Education,0.315897403814491,107
Ambrose University College,Business,0.507996397378628,11
Ambrose University College,Education,0.337250902276873,12
Asper School of Business,Accounting,0.561004245128874,13
Asper School of Business,Business,0.510725307722648,29
Asper School of Business,Marketing,0.548258695868739,17
Assiniboine Community College,Business,0.438909637764085,37
Athabasca University,Accounting,0.53457786590327,525
Athabasca University,Architecture,0.432946299253355,38
Athabasca University,Biology,0.378541804682966,12
Athabasca University,Business,0.501474179182562,1556
Athabasca University,Economics,0.544701370614125,13
Athabasca University,Education,0.361369940609003,20
Athabasca University,Engineering,0.613829697813168,163
Athabasca University,Finance,0.527335914324287,137
Athabasca University,Information Technology,0.588446903123217,13
Athabasca University,Marketing,0.512307446999559,36
Athabasca University,Mathematics,0.526083431338022,16
Athabasca University,Nursing,0.381802834346593,502
BCIT School of Business + Media,Accounting,0.542865878351917,106
BCIT School of Business + Media,Business,0.503503561874865,342
BCIT School of Business + Media,Finance,0.56197886958795,16
Bishop's University,Accounting,0.536393484719637,55
Bishop's University,Biology,0.438190150850516,95
Bishop's University,Business,0.512495769362933,1285
Bishop's University,Chemistry,0.444823987608416,27
Bishop's University,Economics,0.50570764082986,98
Bishop's University,Education,0.364501745414124,216
Bishop's University,Engineering,0.64289026631421,98
Bishop's University,Finance,0.512236278750178,46
Bishop's University,Information Technology,0.619978144385167,15
Bishop's University,Law,0.475808849569089,16
Bishop's University,Marketing,0.506506236721775,74
Bishop's University,Mathematics,0.504991774369764,24
Bishop's University,Physics,0.503227254954825,22
Booth University College,Business,0.502689818037104,11
Bow Valley College,Business,0.440700708770455,152
Brandon University,Biology,0.433899938198713,25
Brandon University,Business,0.514415991257907,317
Brandon University,Chemistry,0.428699231097697,20
Brandon University,Economics,0.474635087092274,19
Brandon University,Education,0.333549531208189,217
Brandon University,Engineering,0.587574430297189,75
Brandon University,Mathematics,0.440660458018953,30
Brandon University,Nursing,0.381976542061173,115
Brandon University,Physics,0.468038145254316,18
Briercrest Bible College & Seminary,Business,0.451805873825485,79
British Columbia Institute of Technology,Accounting,0.543267771147156,650
British Columbia Institute of Technology,Architecture,0.481443582538523,99
British Columbia Institute of Technology,Business,0.504445427445464,2186
British Columbia Institute of Technology,Engineering,0.531523775865878,1350
British Columbia Institute of Technology,Finance,0.531052887499109,83
British Columbia Institute of Technology,Information Technology,0.579997703518828,25
British Columbia Institute of Technology,Marketing,0.509229300593617,22
British Columbia Institute of Technology,Nursing,0.378050992458865,566
Brock University,Accounting,0.532678507836278,945
Brock University,Biology,0.42778400324495,88
Brock University,Business,0.487268711349185,4357
Brock University,Chemistry,0.461022534836952,74
Brock University,Economics,0.519588483724504,467
Brock University,Education,0.382191629796743,3162
Brock University,Engineering,0.625129439865483,426
Brock University,Finance,0.515989921048328,87
Brock University,Law,0.481474974690942,25
Brock University,Marketing,0.506128810127004,46
Brock University,Mathematics,0.4595909465245,109
Brock University,Medicine,0.409332823754554,34
Brock University,Nursing,0.365629238333353,284
Brock University,Physics,0.546979985954003,50
Brock University,Statistics,0.543815554035114,61
Burman University,Biology,0.43696133027559,11
Burman University,Business,0.495872954678393,77
Burman University,Education,0.326359956998456,60
CDI College,Business,0.435654911690848,130
CDI College,Engineering,0.515946785593144,19
Camosun College,Accounting,0.542786015552589,92
Camosun College,Business,0.499684902932041,1273
Camosun College,Engineering,0.494800178448021,27
Camosun College,Finance,0.467559598634407,15
Camosun College,Marketing,0.475400389171041,21
Camosun College,Nursing,0.353324421692309,54
Canadian Business College,Business,0.44558233683861,18
Canadian College,Business,0.29661695291199,48
Canadian International College,Business,0.512456228851106,13
Canadian International College,Engineering,0.516202531472183,15
Canadian Mennonite University,Business,0.492332380680273,59
Cape Breton University,Accounting,0.52516885754323,21
Cape Breton University,Biology,0.42129257931464,63
Cape Breton University,Business,0.481336432448896,861
Cape Breton University,Chemistry,0.416411193655189,35
Cape Breton University,Education,0.352644351627396,44
Cape Breton University,Engineering,0.407420425664096,640
Cape Breton University,Finance,0.542770031853798,13
Cape Breton University,Information Technology,0.596238028179232,16
Cape Breton University,Marketing,0.494846825098113,20
Cape Breton University,Mathematics,0.458734083548329,21
Cape Breton University,Nursing,0.368913096011912,88
Carleton University,Accounting,0.532740015917966,692
Carleton University,Architecture,0.479515009297215,661
Carleton University,Biology,0.456944717053611,429
Carleton University,Business,0.517342086745729,2192
Carleton University,Chemistry,0.493678267816903,217
Carleton University,Economics,0.520887709709857,1232
Carleton University,Education,0.508459662185747,37
Carleton University,Engineering,0.563348261219319,5369
Carleton University,Finance,0.536178377870639,412
Carleton University,Information Technology,0.605234701154148,444
Carleton University,Law,0.495866129998357,2250
Carleton University,Marketing,0.501433742491039,333
Carleton University,Mathematics,0.544529678718235,158
Carleton University,Physics,0.537630623351744,85
Carleton University,Statistics,0.574527119217948,182
Centennial College,Accounting,0.528005399180481,30
Centennial College,Architecture,0.465745108682281,13
Centennial College,Biology,0.483602641814534,11
Centennial College,Business,0.467895065181089,505
Centennial College,Education,0.326813206082521,13
Centennial College,Engineering,0.515329437758159,319
Centennial College,Finance,0.531262899920844,10
Centennial College,Information Technology,0.588490008898292,40
Centennial College,Marketing,0.512132885797223,18
Centennial College,Nursing,0.344980323002332,61
Chartered Professional Accountants of Canada (CPA Canada),Accounting,0.52686450666648,39
Chartered Professional Accountants of Canada (CPA Canada),Business,0.517391753711561,29
Chartered Professional Accountants of Canada (CPA Canada),Finance,0.523655189303111,38
Coast Mountain College,Business,0.357790931106895,18
College Dawson,Business,0.494584589961682,47
College Dawson,Engineering,0.525944136726833,14
College of the Rockies,Business,0.504754831341725,52
College of the Rockies,Nursing,0.399577143809318,13
"Collège LaSalle, Montréal",Business,0.453350689601662,40
"Collège LaSalle, Montréal",Engineering,0.530623652774677,14
"Collège LaSalle, Montréal",Marketing,0.392472036575813,10
Collège communautaire du Nouveau-Brunswick (CCNB),Business,0.481465561730762,11
Columbia College (British Columbia),Business,0.422068055490912,14
Concordia University,Accounting,0.539583023161254,2526
Concordia University,Biology,0.491302458506648,621
Concordia University,Business,0.532747446415221,5250
Concordia University,Chemistry,0.510831589485207,120
Concordia University,Economics,0.534641405324688,1392
Concordia University,Education,0.402784031242531,523
Concordia University,Engineering,0.574175519502767,5569
Concordia University,Finance,0.529991902242356,2313
Concordia University,Information Technology,0.619496705393906,14
Concordia University,Law,0.505672279454425,159
