university_name,field,exposure_firstjob_beta,n_people
AIEP Professional Institute,Business,0.522247802876766,34
AIEP Professional Institute,Engineering,0.517987344655448,18
Academia Politécnica Naval,Engineering,0.421524796093435,26
Adolfo Ibáñez University,Business,0.520160832914193,705
Adolfo Ibáñez University,Economics,0.508462426767424,44
Adolfo Ibáñez University,Engineering,0.539794766442657,203
Adolfo Ibáñez University,Law,0.465093969786875,106
Adolfo Ibáñez University,Marketing,0.518081369546536,28
Adventist University of Chile,Education,0.383979111308975,17
Adventist University of Chile,Nursing,0.339143030049136,12
Alberto Hurtado University,Business,0.529103080174772,22
Alberto Hurtado University,Education,0.416032293409085,43
Alberto Hurtado University,Law,0.466451039998878,32
Andrés Bello University,Architecture,0.459869734897103,18
Andrés Bello University,Business,0.532727592847929,217
Andrés Bello University,Chemistry,0.501821157467754,15
Andrés Bello University,Education,0.386639406467298,110
Andrés Bello University,Engineering,0.526640473027098,235
Andrés Bello University,Law,0.455313535126615,127
Andrés Bello University,Marketing,0.547791367197473,25
Andrés Bello University,Medicine,0.416078520461908,12
Andrés Bello University,Nursing,0.386686950722381,82
Andrés Bello University,Physics,0.422099385775118,10
Arturo Prat University,Business,0.48636013287764,46
Arturo Prat University,Education,0.424727492255739,29
Arturo Prat University,Engineering,0.555366420371275,43
Arturo Prat University,Nursing,0.375884380312422,10
Autonomous University of Chile,Business,0.546778159323002,24
Autonomous University of Chile,Education,0.380518390742042,40
Autonomous University of Chile,Law,0.492015365630692,30
Autonomous University of Chile,Nursing,0.355097967715705,71
Bernardo O'Higgins University,Education,0.377905420354701,21
Bernardo O'Higgins University,Nursing,0.396399932218014,11
Catholic University of Chile,Architecture,0.474340374498186,159
Catholic University of Chile,Biology,0.489874547743611,20
Catholic University of Chile,Business,0.517754876970347,431
Catholic University of Chile,Chemistry,0.487207211918015,23
Catholic University of Chile,Economics,0.494142745972467,60
Catholic University of Chile,Education,0.383653540649908,102
Catholic University of Chile,Engineering,0.530800888250322,652
Catholic University of Chile,Law,0.475260188942534,470
Catholic University of Chile,Mathematics,0.507149455614519,60
Catholic University of Chile,Nursing,0.381979601978908,46
Catholic University of Chile,Physics,0.538762991987883,57
Catholic University of Chile,Statistics,0.565734995334478,20
Catholic University of Maule,Education,0.378427943938385,35
Catholic University of Maule,Engineering,0.577944812087443,13
Catholic University of Maule,Nursing,0.353096749516935,25
Catholic University of Valparaíso,Architecture,0.494887179910425,29
Catholic University of Valparaíso,Business,0.535710986475028,47
Catholic University of Valparaíso,Chemistry,0.463281523964578,16
Catholic University of Valparaíso,Education,0.396169712240796,83
Catholic University of Valparaíso,Engineering,0.519846885856082,183
Catholic University of Valparaíso,Law,0.482345786392357,61
Catholic University of Valparaíso,Mathematics,0.431482282787709,13
Catholic University of the North,Architecture,0.540030946785636,14
Catholic University of the North,Business,0.505941434465066,34
Catholic University of the North,Chemistry,0.42747702869973,12
Catholic University of the North,Education,0.371480697575389,22
Catholic University of the North,Engineering,0.53212039625376,55
Catholic University of the North,Law,0.481608429791237,25
Central University of Chile,Architecture,0.475670371185318,31
Central University of Chile,Business,0.503234917213786,21
Central University of Chile,Education,0.350731814049057,62
Central University of Chile,Engineering,0.484808327484706,53
Central University of Chile,Law,0.477545267131135,79
Central University of Chile,Nursing,0.355171377802229,15
Diego Portales University,Architecture,0.47382663892162,39
Diego Portales University,Business,0.53235100672752,96
Diego Portales University,Education,0.390590259233465,30
