university_name,field,exposure_alljobs_beta,n_people
AIEP Professional Institute,Business,0.508736039035471,34
AIEP Professional Institute,Engineering,0.522264644584775,18
Academia Politécnica Naval,Engineering,0.430504532512149,26
Adolfo Ibáñez University,Business,0.518051898398568,705
Adolfo Ibáñez University,Economics,0.516558107342473,44
Adolfo Ibáñez University,Engineering,0.540821393999736,203
Adolfo Ibáñez University,Law,0.467189568197715,106
Adolfo Ibáñez University,Marketing,0.513351894357961,28
Adventist University of Chile,Education,0.397089650472974,17
Adventist University of Chile,Nursing,0.344220340068067,12
Alberto Hurtado University,Business,0.545706981595653,22
Alberto Hurtado University,Education,0.420366235355194,43
Alberto Hurtado University,Law,0.456501140287483,32
Andrés Bello University,Architecture,0.457086527305135,18
Andrés Bello University,Business,0.528792902243124,217
Andrés Bello University,Chemistry,0.511209425407176,15
Andrés Bello University,Education,0.391955442028817,110
Andrés Bello University,Engineering,0.523408974661045,235
Andrés Bello University,Law,0.449573941568359,127
Andrés Bello University,Marketing,0.552749164163257,25
Andrés Bello University,Medicine,0.422720385425384,12
Andrés Bello University,Nursing,0.382241336009063,82
Andrés Bello University,Physics,0.432171994434298,10
Arturo Prat University,Business,0.493214147051857,46
Arturo Prat University,Education,0.428673207463157,29
Arturo Prat University,Engineering,0.557529299671701,43
Arturo Prat University,Nursing,0.379334153400915,10
Autonomous University of Chile,Business,0.54681250442048,24
Autonomous University of Chile,Education,0.388721944380035,40
Autonomous University of Chile,Law,0.483453275491269,30
Autonomous University of Chile,Nursing,0.355906795637952,71
Bernardo O'Higgins University,Education,0.384579638144325,21
Bernardo O'Higgins University,Nursing,0.387421657296196,11
Catholic University of Chile,Architecture,0.479391012400574,159
Catholic University of Chile,Biology,0.494012417107566,20
Catholic University of Chile,Business,0.518752411231555,431
Catholic University of Chile,Chemistry,0.488455298028227,23
Catholic University of Chile,Economics,0.493053026398922,60
Catholic University of Chile,Education,0.395972861414756,102
Catholic University of Chile,Engineering,0.534852895700607,652
Catholic University of Chile,Law,0.474050650590757,470
Catholic University of Chile,Mathematics,0.489756759149595,60
Catholic University of Chile,Nursing,0.385959854176164,46
Catholic University of Chile,Physics,0.525554039253046,57
Catholic University of Chile,Statistics,0.563869265992838,20
Catholic University of Maule,Education,0.368488938887047,35
Catholic University of Maule,Engineering,0.574920548199039,13
Catholic University of Maule,Nursing,0.356749644065075,25
Catholic University of Valparaíso,Architecture,0.484292427025085,29
Catholic University of Valparaíso,Business,0.532018286115437,47
Catholic University of Valparaíso,Chemistry,0.457413567375056,16
Catholic University of Valparaíso,Education,0.39806071680706,83
Catholic University of Valparaíso,Engineering,0.521986654416342,183
Catholic University of Valparaíso,Law,0.481825013471642,61
Catholic University of Valparaíso,Mathematics,0.449398682484663,13
Catholic University of the North,Architecture,0.536932524994901,14
Catholic University of the North,Business,0.494908886797893,34
Catholic University of the North,Chemistry,0.397708103893692,12
Catholic University of the North,Education,0.375564018837208,22
Catholic University of the North,Engineering,0.538490288024435,55
Catholic University of the North,Law,0.477687621575119,25
Central University of Chile,Architecture,0.485152741069174,31
Central University of Chile,Business,0.506699177593735,21
Central University of Chile,Education,0.352954166380042,62
Central University of Chile,Engineering,0.499218328524581,53
Central University of Chile,Law,0.479314557069159,79
Central University of Chile,Nursing,0.343079348879844,15
Diego Portales University,Architecture,0.471484333732241,39
Diego Portales University,Business,0.530636665690661,96
Diego Portales University,Education,0.397090188682272,30
Diego Portales University,Engineering,0.594739954577061,53
Diego Portales University,Law,0.476087362841039,117
Diego Portales University,Marketing,0.515217330762488,24
Diego Portales University,Nursing,0.364844500035471,32
Duoc UC Professional Institute,Business,0.509618460298882,78
Duoc UC Professional Institute,Engineering,0.604710391877544,71
Duoc UC Professional Institute,Marketing,0.512888186266991,28
Facultad de Derecho Pontificia Universidad Católica de Chile,Law,0.464368921195556,16
Facultad de Ingeniería y Ciencias de la Universidad Adolfo Ibáñez,Engineering,0.479086870783521,28
Faculty of Economics and Administration at University of Chile,Business,0.536624094772966,24
Faculty of Economics and Administration at University of Chile,Economics,0.5570868253316,11
Federico Santa María Technical University,Architecture,0.503899660216198,19
Federico Santa María Technical University,Business,0.566087954236654,62
Federico Santa María Technical University,Engineering,0.527657202995711,330
Mayor University,Architecture,0.482255002197234,41
Mayor University,Business,0.54517625139122,88
Mayor University,Education,0.410120462267073,39
