university_name,field,exposure_firstjob_beta,n_people
Agrarian University Foundation of Colombia,Engineering,0.549591819139215,13
Alexander von Humboldt Business University Corporation,Business,0.563513705094635,26
American University Corporation,Business,0.567214401396911,13
Antonio Nariño University,Business,0.556861138596015,22
Antonio Nariño University,Education,0.415644413079508,20
Antonio Nariño University,Engineering,0.467033535841138,37
Areandina University,Business,0.552721540491508,173
Areandina University,Education,0.352759590414509,11
Areandina University,Engineering,0.500354337140143,10
Areandina University,Marketing,0.529372369901366,14
Asturias University Corporation,Business,0.511075845036504,18
Augustinian University,Business,0.569548079025873,48
Autonomous University Foundation of Colombia,Business,0.55989986345955,27
Autonomous University Foundation of Colombia,Engineering,0.56213992293845,23
Autonomous University Foundation of the Americas,Business,0.536937446709669,14
Autonomous University of Bucaramanga,Business,0.513297142146577,178
Autonomous University of Bucaramanga,Economics,0.583545575102609,12
Autonomous University of Bucaramanga,Education,0.309516211423312,19
Autonomous University of Bucaramanga,Engineering,0.60770806027942,45
Autonomous University of Bucaramanga,Law,0.483586177362248,20
Autonomous University of Manizales,Business,0.521174657183226,32
Autonomous University of Manizales,Engineering,0.557663300216907,34
Autonomous University of the Caribbean,Architecture,0.486755399763661,22
Autonomous University of the Caribbean,Business,0.548506451293883,151
Autonomous University of the Caribbean,Engineering,0.551310073053162,65
Autonomous University of the West,Business,0.526035884653641,101
Autonomous University of the West,Economics,0.552311735985672,11
Autonomous University of the West,Engineering,0.564849273477389,94
Business University Foundation of the Chamber of Commerce of Bogotá,Business,0.523025248868696,102
Business University Foundation of the Chamber of Commerce of Bogotá,Finance,0.56863729032076,11
CEIPA University Foundation,Business,0.517148904903732,136
CENDA University Corporation,Education,0.459887672000905,12
CESA,Business,0.515569569246544,1063
Cafam University Foundation,Business,0.554200896720955,12
Catholic University of Colombia,Architecture,0.472407730730129,47
Catholic University of Colombia,Economics,0.578082772619412,16
Catholic University of Colombia,Engineering,0.56571482452596,69
Catholic University of Colombia,Law,0.491836832943092,39
Catholic University of Manizales,Architecture,0.51412717523195,10
Catholic University of Pereira,Architecture,0.471077958421905,10
Catholic University of Pereira,Business,0.566799398396614,32
Catholic University of the East,Business,0.586603981192452,10
Catholic University of the East,Education,0.420478918815135,11
Central Technical Institute,Engineering,0.641238456472845,19
Central Unit of the Valley of the Cauca Region,Education,0.367514900118363,15
Central University,Accounting,0.549999866764498,11
Central University,Business,0.538704289856991,38
Central University,Economics,0.576691846191309,11
Central University,Engineering,0.555078575106374,52
Central University,Marketing,0.570070847854673,15
Co-operative University of Colombia,Accounting,0.527378722062954,10
Co-operative University of Colombia,Business,0.548404856107413,123
Co-operative University of Colombia,Education,0.406135612503128,24
Co-operative University of Colombia,Engineering,0.577846000013497,58
Co-operative University of Colombia,Finance,0.534485244856376,13
Co-operative University of Colombia,Law,0.508774209501142,20
Colombian Adventist University,Education,0.442043896241993,14
Colombian-American University Institution UNICA,Education,0.40613607838495,21
Comfenalco Technological University Foundation,Business,0.544993754344471,13
Comfenalco Technological University Foundation,Engineering,0.658985903630988,10
Compensar University Foundation,Business,0.520565780325984,36
Compensar University Foundation,Education,0.438669325003994,34
Compensar University Foundation,Engineering,0.697006298336228,11
Compensar University Foundation,Marketing,0.563415345182523,18
EAFIT University,Business,0.53160721220084,1004
EAFIT University,Economics,0.556841548900238,106
EAFIT University,Engineering,0.574736292090153,330
EAFIT University,Finance,0.517002439855123,22
EAFIT University,Law,0.494535995323793,45
EAFIT University,Marketing,0.526284672477459,35
EAM University Institute,Business,0.506777272947257,20
EAN University,Business,0.523216075766095,434
EAN University,Economics,0.502443851754656,20
EAN University,Engineering,0.520188022399228,31
EAN University,Marketing,0.489654470207329,12
ECCI University,Business,0.55564123279198,23
ECCI University,Engineering,0.579384119684549,73
EIA University,Business,0.520574779732919,14
EIA University,Engineering,0.562511537452116,218
ESUMER University Institution,Business,0.565704519359836,36
"Escuela Militar de Aviación """"Marco Fidel Suárez""""",Engineering,0.326399630812423,11
Externado University of Colombia,Business,0.531995445968724,370
Externado University of Colombia,Economics,0.536420278828634,70
Externado University of Colombia,Finance,0.519039510615329,160
Externado University of Colombia,Law,0.475463697769981,125
Francisco José de Caldas District University,Business,0.492177532176456,23
Francisco José de Caldas District University,Chemistry,0.408393314779223,67
Francisco José de Caldas District University,Education,0.411849762633282,245
Francisco José de Caldas District University,Engineering,0.576675084233983,317
Francisco José de Caldas District University,Mathematics,0.423445146502261,34
Francisco José de Caldas District University,Physics,0.393207810281093,37
Francisco de Paula Santander University,Architecture,0.451359467534637,10
Francisco de Paula Santander University,Business,0.516293535250829,39
Francisco de Paula Santander University,Engineering,0.525240491510005,55
Grancolombiano Polytechnic,Accounting,0.551506877641985,13
Grancolombiano Polytechnic,Business,0.537934450525269,480
Grancolombiano Polytechnic,Education,0.401767163933445,14
Grancolombiano Polytechnic,Engineering,0.604392621666534,90
Grancolombiano Polytechnic,Marketing,0.524547780186299,83
ICESI University,Business,0.521993908125299,341
ICESI University,Chemistry,0.483226529514851,17
ICESI University,Economics,0.530842465029187,66
ICESI University,Education,0.433597267375647,10
ICESI University,Engineering,0.586452474702024,145
ICESI University,Finance,0.534681265842936,21
ICESI University,Law,0.417552875531984,18
ICESI University,Marketing,0.515660371919298,84
Ibero-american University Corporation,Education,0.359568265346065,42
Industrial University of Santander,Biology,0.49145578833424,10
Industrial University of Santander,Chemistry,0.514454511332021,23
Industrial University of Santander,Economics,0.543775580118019,32
Industrial University of Santander,Education,0.420675169093951,44
Industrial University of Santander,Engineering,0.511809071962755,550
Industrial University of Santander,Law,0.468732527920897,13
Industrial University of Santander,Mathematics,0.386907418905245,18
Industrial University of Santander,Physics,0.516739061811185,18
Institución Universitaria Colegio Mayor del Cauca,Business,0.510550378049131,10
Institución Universitaria Salazar y Herrera - IUSH,Business,0.562012525445806,22
Jaime Isaza Cadavid Colombian Polytechnic,Business,0.535945761225441,12
Jaime Isaza Cadavid Colombian Polytechnic,Education,0.324399162182765,11
Jaime Isaza Cadavid Colombian Polytechnic,Engineering,0.588270876158122,45
Jorge Tadeo Lozano University Foundation of Bogota,Architecture,0.489234439586106,71
Jorge Tadeo Lozano University Foundation of Bogota,Biology,0.495119948573214,41
Jorge Tadeo Lozano University Foundation of Bogota,Business,0.535644796632822,96
Jorge Tadeo Lozano University Foundation of Bogota,Economics,0.582271488611405,13
Jorge Tadeo Lozano University Foundation of Bogota,Engineering,0.545173262328426,44
Jorge Tadeo Lozano University Foundation of Bogota,Finance,0.615794835598031,11
Jorge Tadeo Lozano University Foundation of Bogota,Marketing,0.53696365838785,59
Julio Garavito Colombian School of Engineering,Business,0.544254125638385,43
Julio Garavito Colombian School of Engineering,Economics,0.572012117842459,20
Julio Garavito Colombian School of Engineering,Engineering,0.545534326319142,294
Julio Garavito Colombian School of Engineering,Mathematics,0.538520291108413,11
Konrad Lorenz University Foundation,Business,0.541333172915263,54
La Gran Colombia University,Architecture,0.538012638657488,46
La Gran Colombia University,Business,0.536652624691524,48
La Gran Colombia University,Education,0.415754663695566,86
La Gran Colombia University,Engineering,0.469109719217003,14
La Gran Colombia University,Law,0.535923108503781,26
La Salle University,Accounting,0.549523345221251,16
La Salle University,Architecture,0.483359222100156,67
La Salle University,Business,0.53794259577756,198
La Salle University,Economics,0.567041846445275,40
La Salle University,Education,0.418024509686825,140
La Salle University,Engineering,0.506721031221852,83
La Salle University,Finance,0.561654944161391,50
La Salle University,Medicine,0.450201038819335,19
Lasallian University Corporation,Education,0.350274553850821,10
Latin American Autonomous University,Business,0.543254555206991,12
Latin American Autonomous University,Law,0.567435329859198,10
Los Libertadores University Foundation,Business,0.549242451971599,79
Los Libertadores University Foundation,Education,0.372557964185074,27
Los Libertadores University Foundation,Engineering,0.584722354385538,52
Luis Amigo Catholic University,Business,0.532464904890793,47
Luis Amigo Catholic University,Education,0.393610950453862,64
Lumen Gentium Catholic University Foundation,Business,0.529434403039808,26
Manuela Beltrán University,Business,0.505275743583762,10
Manuela Beltrán University,Engineering,0.565419296890736,54
María Caño University Foundation,Business,0.573049360350824,20
Metropolitan Technological Institute,Business,0.601688979071895,22
Metropolitan Technological Institute,Engineering,0.639860390893176,45
Minuto de Dios University Corporation,Business,0.576597993062032,83
Minuto de Dios University Corporation,Education,0.371095411439424,129
Minuto de Dios University Corporation,Engineering,0.605365240542289,17
Monserrate University Foundation,Business,0.581798986707791,10
Monserrate University Foundation,Education,0.389010677479802,33
National Learning Service,Accounting,0.557326794644566,39
National Learning Service,Architecture,0.412377845087005,17
National Learning Service,Business,0.538241910124899,519
National Learning Service,Engineering,0.562027234719769,381
National Learning Service,Finance,0.579891348184847,98
National Learning Service,Information Technology,0.651477722497678,37
National Learning Service,Marketing,0.54611855149742,25
National Open and Distance University,Business,0.54365948360716,94
National Open and Distance University,Education,0.437696617389636,38
National Open and Distance University,Engineering,0.60195969641259,73
National Open and Distance University,Mathematics,0.378924562458047,12
