university_name,field,exposure_alljobs_beta,n_people
Agrarian University Foundation of Colombia,Engineering,0.545166649728066,13
Alexander von Humboldt Business University Corporation,Business,0.57067648591316,26
American University Corporation,Business,0.55884659431436,13
Antonio Nariño University,Business,0.558046985758734,22
Antonio Nariño University,Education,0.395471926536652,20
Antonio Nariño University,Engineering,0.475384690833386,37
Areandina University,Business,0.554003034445688,173
Areandina University,Education,0.352759590414509,11
Areandina University,Engineering,0.5067024563856,10
Areandina University,Marketing,0.541769699653056,14
Asturias University Corporation,Business,0.521817773370634,18
Augustinian University,Business,0.567477467454918,48
Autonomous University Foundation of Colombia,Business,0.575179252603133,27
Autonomous University Foundation of Colombia,Engineering,0.575702984795924,23
Autonomous University Foundation of the Americas,Business,0.533775457747934,14
Autonomous University of Bucaramanga,Business,0.520020624368596,178
Autonomous University of Bucaramanga,Economics,0.5863346390969,12
Autonomous University of Bucaramanga,Education,0.301784404347083,19
Autonomous University of Bucaramanga,Engineering,0.613517523397145,45
Autonomous University of Bucaramanga,Law,0.487276767330408,20
Autonomous University of Manizales,Business,0.518440742943105,32
Autonomous University of Manizales,Engineering,0.561573842542773,34
Autonomous University of the Caribbean,Architecture,0.488473339858568,22
Autonomous University of the Caribbean,Business,0.545093054760361,151
Autonomous University of the Caribbean,Engineering,0.56401662624779,65
Autonomous University of the West,Business,0.533976227632366,101
Autonomous University of the West,Economics,0.532848834211307,11
Autonomous University of the West,Engineering,0.562319282834043,94
Business University Foundation of the Chamber of Commerce of Bogotá,Business,0.526959341515678,102
Business University Foundation of the Chamber of Commerce of Bogotá,Finance,0.581789878726553,11
CEIPA University Foundation,Business,0.522525285354232,136
CENDA University Corporation,Education,0.434546582680478,12
CESA,Business,0.515281205860452,1063
Cafam University Foundation,Business,0.549294088853161,12
Catholic University of Colombia,Architecture,0.479556812695892,47
Catholic University of Colombia,Economics,0.57355694104059,16
Catholic University of Colombia,Engineering,0.568176201684034,69
Catholic University of Colombia,Law,0.499109433957829,39
Catholic University of Manizales,Architecture,0.514776672526593,10
Catholic University of Pereira,Architecture,0.472275013489196,10
Catholic University of Pereira,Business,0.572840949142901,32
Catholic University of the East,Business,0.59177015408781,10
Catholic University of the East,Education,0.433062747790768,11
Central Technical Institute,Engineering,0.626225139584152,19
Central Unit of the Valley of the Cauca Region,Education,0.370474605695488,15
Central University,Accounting,0.544021729236688,11
Central University,Business,0.544583547379131,38
Central University,Economics,0.577403095170613,11
Central University,Engineering,0.563907546860583,52
Central University,Marketing,0.584505214667861,15
Co-operative University of Colombia,Accounting,0.524593368779094,10
Co-operative University of Colombia,Business,0.550475594210367,123
Co-operative University of Colombia,Education,0.407634096371204,24
Co-operative University of Colombia,Engineering,0.580620931426991,58
Co-operative University of Colombia,Finance,0.533357825328544,13
Co-operative University of Colombia,Law,0.50072262658346,20
Colombian Adventist University,Education,0.478676862136323,14
Colombian-American University Institution UNICA,Education,0.400966823943345,21
Comfenalco Technological University Foundation,Business,0.56541184008327,13
Comfenalco Technological University Foundation,Engineering,0.653216360818719,10
Compensar University Foundation,Business,0.526052091527859,36
Compensar University Foundation,Education,0.444739338856849,34
Compensar University Foundation,Engineering,0.675870668320183,11
Compensar University Foundation,Marketing,0.557121800423843,18
EAFIT University,Business,0.531879005689246,1004
EAFIT University,Economics,0.562013978687741,106
EAFIT University,Engineering,0.574352261725552,330
EAFIT University,Finance,0.51014454239932,22
EAFIT University,Law,0.491623454135424,45
