university_name,field,exposure_firstjob_beta,n_people
American University,Accounting,0.575669261507542,117
American University,Business,0.561139505879896,501
American University,Education,0.4785902920615,69
American University,Engineering,0.616146316319416,323
American University,Finance,0.53027629757679,38
American University,Information Technology,0.66072457468811,10
American University,Law,0.547560955721898,42
American University,Marketing,0.525864728085656,43
Autonomous University of Central America,Architecture,0.506131763138252,38
Autonomous University of Central America,Business,0.555859409952619,118
Autonomous University of Central America,Education,0.307282203048151,23
Autonomous University of Central America,Engineering,0.500578794311158,109
Autonomous University of Central America,Law,0.538688867798723,41
Autonomous University of Central America,Medicine,0.446874635568001,16
Autonomous University of Central America,Nursing,0.303531158374714,35
C.T.P Jesús Ocaña Rojas,Engineering,0.588979973004134,11
Catholic University of Costa Rica,Business,0.558312234942613,20
Catholic University of Costa Rica,Education,0.4002173707111,14
Catholic University of Costa Rica,Engineering,0.683612144022605,30
Costa Rica Institute of Technology,Accounting,0.554565762893818,15
Costa Rica Institute of Technology,Architecture,0.48285019195844,68
Costa Rica Institute of Technology,Business,0.550304990426794,764
Costa Rica Institute of Technology,Engineering,0.591983091011141,1546
Costa Rica Institute of Technology,Finance,0.519198464147917,30
Costa Rica Institute of Technology,Information Technology,0.654331938893362,29
Costa Rica Institute of Technology,Marketing,0.511722974840246,50
EARTH University,Engineering,0.466260698134409,19
Federated University of Costa Rica,Law,0.475796387667437,36
Fidelitas University,Accounting,0.576270171603319,114
Fidelitas University,Business,0.564148792042004,454
Fidelitas University,Engineering,0.571626747325242,1247
Fidelitas University,Finance,0.581818323109211,51
Fidelitas University,Information Technology,0.682427990777868,15
Fidelitas University,Law,0.534630635408187,81
Fidelitas University,Marketing,0.507423505261633,24
Hispano-American University,Accounting,0.568960963526226,95
Hispano-American University,Architecture,0.492780657400797,118
Hispano-American University,Business,0.557085247568845,562
Hispano-American University,Education,0.45868627637445,57
Hispano-American University,Engineering,0.581571118143795,697
Hispano-American University,Finance,0.609201897390204,32
Hispano-American University,Information Technology,0.668630856638876,28
Hispano-American University,Law,0.529519377695592,95
Hispano-American University,Marketing,0.550519307165502,37
Hispano-American University,Medicine,0.4238340358807,12
Hispano-American University,Nursing,0.361532194994686,88
International University of the Americas,Accounting,0.564631511561554,45
International University of the Americas,Business,0.565885194016136,299
International University of the Americas,Economics,0.564180101656742,18
International University of the Americas,Education,0.52954893523676,15
International University of the Americas,Engineering,0.579348140713302,295
International University of the Americas,Finance,0.539195285457453,13
International University of the Americas,Law,0.489014252961382,34
International University of the Americas,Medicine,0.451746155931649,13
Invenio University,Engineering,0.555253334996787,22
Latin American University of Science and Technology,Accounting,0.534596902492543,33
Latin American University of Science and Technology,Business,0.534604251276391,224
Latin American University of Science and Technology,Engineering,0.610437171233057,293
Latin American University of Science and Technology,Finance,0.501225367925944,17
Latin American University of Science and Technology,Information Technology,0.72947476242676,10
Latin American University of Science and Technology,Law,0.544350321852216,20
Latin American University of Science and Technology,Marketing,0.507353609892591,40
Latin University of Costa Rica,Accounting,0.576858677812672,153
Latin University of Costa Rica,Architecture,0.506366399220005,220
Latin University of Costa Rica,Business,0.552471181466801,2180
Latin University of Costa Rica,Economics,0.552692890077323,80
Latin University of Costa Rica,Education,0.419572945128534,125
Latin University of Costa Rica,Engineering,0.581864357911112,2276
Latin University of Costa Rica,Finance,0.520569705202447,58
Latin University of Costa Rica,Information Technology,0.640897041781728,92
Latin University of Costa Rica,Law,0.515834031232284,229
Latin University of Costa Rica,Marketing,0.527812009361901,211
Latin University of Costa Rica,Medicine,0.472579118680026,37
Latin University of Costa Rica,Nursing,0.323743484361942,116
National Technical University,Accounting,0.543609453237169,19
National Technical University,Business,0.552536645925852,138
National Technical University,Education,0.566410940817617,14
National Technical University,Engineering,0.58510009009331,242
National Technical University,Finance,0.546090970602323,81
National Technical University,Information Technology,0.669184859427303,30
National University,Biology,0.524992691235436,58
National University,Business,0.562706751127288,715
National University,Chemistry,0.473537285009902,78
