university_name,field,exposure_alljobs_beta,n_people
Academy of Performing Arts in Prague,Business,0.456733634226914,16
Ambis.Vysoká škola.,Business,0.524959259233701,59
Ambis.Vysoká škola.,Economics,0.469231218376386,10
Anglo-American University,Business,0.530567956434288,268
Anglo-American University,Law,0.494998621628901,14
Anglo-American University,Marketing,0.542021160599607,11
Brno University of Technology,Accounting,0.561711983749867,37
Brno University of Technology,Architecture,0.481974178569985,65
Brno University of Technology,Business,0.58083303050219,473
Brno University of Technology,Chemistry,0.501498945549769,85
Brno University of Technology,Economics,0.553402505174111,64
Brno University of Technology,Engineering,0.562482167664382,1198
Brno University of Technology,Information Technology,0.713542555384318,609
Brno University of Technology,Mathematics,0.611003517895253,12
Business Institut EDU,Business,0.527372266587082,24
Business School Ostrava,Business,0.52284873942388,121
Business School Ostrava,Economics,0.54380424227521,19
Charles University,Biology,0.534817894728208,168
Charles University,Business,0.510981399944474,139
Charles University,Chemistry,0.477557429934974,45
Charles University,Economics,0.547288917129062,146
Charles University,Education,0.438876096656179,131
Charles University,Engineering,0.673653987759103,188
Charles University,Finance,0.587048121525177,82
Charles University,Information Technology,0.658961713094843,18
Charles University,Marketing,0.546460968242551,186
Charles University,Mathematics,0.629315254094612,192
Charles University,Medicine,0.424567402757888,13
Charles University,Nursing,0.422371756041616,18
Charles University,Physics,0.565101201209684,100
Charles University,Statistics,0.580811944847754,12
College of Logistics,Business,0.519345427701077,30
Czech Management Institute,Business,0.525344383124618,11
Czech Technical University in Prague,Architecture,0.485950360686766,163
Czech Technical University in Prague,Business,0.587567884075474,432
Czech Technical University in Prague,Economics,0.55742998380008,15
Czech Technical University in Prague,Education,0.489597689113923,12
Czech Technical University in Prague,Engineering,0.592300837299631,1277
Czech Technical University in Prague,Information Technology,0.69993195932623,115
Czech Technical University in Prague,Mathematics,0.572884531286773,19
Czech Technical University in Prague,Physics,0.597817508560467,36
Czech University of Life Sciences Prague,Business,0.552484496134531,772
Czech University of Life Sciences Prague,Economics,0.549082945695558,162
Czech University of Life Sciences Prague,Education,0.562032943835738,10
Czech University of Life Sciences Prague,Engineering,0.634709938489428,176
Czech University of Life Sciences Prague,Information Technology,0.71625854172899,59
"Faculty of Business and Economics, Mendel University in Brno",Business,0.563119798162132,197
"Faculty of Business and Economics, Mendel University in Brno",Economics,0.582384017843101,37
"Faculty of Business and Economics, Mendel University in Brno",Engineering,0.797185827827238,18
"Faculty of Business and Economics, Mendel University in Brno",Finance,0.629904634493115,32
