university_name,field,exposure_firstjob_beta,n_people
AU Herning,Business,0.548263652754574,14
Aalborg University,Architecture,0.47858472680427,262
Aalborg University,Biology,0.390881127825475,18
Aalborg University,Business,0.51642472259841,1779
Aalborg University,Chemistry,0.48467675456019,31
Aalborg University,Economics,0.511107545712804,410
Aalborg University,Education,0.369681331845258,10
Aalborg University,Engineering,0.534942941002287,2334
Aalborg University,Information Technology,0.598208796137924,122
Aalborg University,Law,0.455091356553048,185
Aalborg University,Mathematics,0.548525706660905,56
Aalborg University,Medicine,0.477120901475528,379
Aalborg University,Physics,0.513599209635492,23
Aarhus School of Architecture,Architecture,0.471704308901365,263
Aarhus School of Marine and Technical Engineering,Business,0.39710013225722,43
Aarhus School of Marine and Technical Engineering,Engineering,0.423881165865074,409
Aarhus University,Biology,0.477880617857809,429
Aarhus University,Business,0.526486580400206,6348
Aarhus University,Chemistry,0.479672877094092,304
Aarhus University,Economics,0.523663815369383,915
Aarhus University,Education,0.478736385072754,163
Aarhus University,Engineering,0.541992577402837,1666
Aarhus University,Finance,0.549557308261879,19
Aarhus University,Information Technology,0.574809599685601,55
Aarhus University,Law,0.476508684249276,875
Aarhus University,Marketing,0.487307306415808,66
Aarhus University,Mathematics,0.584081449497349,110
Aarhus University,Medicine,0.45344286332105,528
Aarhus University,Physics,0.538409867166636,210
Aarhus University,Statistics,0.612415985150953,15
Business Academy Aarhus,Business,0.522446766268675,68
Business Academy Aarhus,Finance,0.449088412204651,10
Business Academy Aarhus,Marketing,0.524256794603641,28
Business Academy Copenhagen North,Marketing,0.512005583280422,10
CPH WEST,Business,0.555686179054034,10
Copenhagen Business School,Accounting,0.534228925004569,18
Copenhagen Business School,Business,0.526556527357504,13878
Copenhagen Business School,Economics,0.526438457300166,646
Copenhagen Business School,Engineering,0.610618701440228,274
Copenhagen Business School,Finance,0.520588409037154,63
Copenhagen Business School,Information Technology,0.519642567533857,33
Copenhagen Business School,Law,0.499196449576215,52
Copenhagen Business School,Marketing,0.516415861724493,596
Copenhagen Business School,Mathematics,0.514280332846455,10
Copenhagen School of Design & Technology,Architecture,0.439127096353518,33
Copenhagen School of Design & Technology,Business,0.495025967833411,1065
Copenhagen School of Design & Technology,Economics,0.550187555329922,19
Copenhagen School of Design & Technology,Engineering,0.621882686569139,81
Copenhagen School of Design & Technology,Information Technology,0.66608961850792,12
Copenhagen School of Design & Technology,Marketing,0.539796201132655,26
Copenhagen School of Marine Engineering and Technology Management,Business,0.351645152383616,14
Copenhagen School of Marine Engineering and Technology Management,Engineering,0.401080436200357,202
Danish School of Media and Journalism,Business,0.505873838296191,182
Engineering College of Aarhus,Engineering,0.516628338144651,808
Engineering College of Aarhus,Information Technology,0.64215725061784,15
Erhvervsakademi SydVest,Business,0.474850754013188,105
Erhvervsakademi SydVest,Engineering,0.634412339450356,23
