university_name,field,exposure_alljobs_beta,n_people
AU Herning,Business,0.546074984847478,14
Aalborg University,Architecture,0.480987758297793,262
Aalborg University,Biology,0.399490032608566,18
Aalborg University,Business,0.519646309006916,1779
Aalborg University,Chemistry,0.482254519562946,31
Aalborg University,Economics,0.516970032100978,410
Aalborg University,Education,0.384667501907999,10
Aalborg University,Engineering,0.539401267279821,2334
Aalborg University,Information Technology,0.609804133609246,122
Aalborg University,Law,0.464303854320269,185
Aalborg University,Mathematics,0.554504894213122,56
Aalborg University,Medicine,0.485787978505838,379
Aalborg University,Physics,0.503281958803734,23
Aarhus School of Architecture,Architecture,0.474860858217078,263
Aarhus School of Marine and Technical Engineering,Business,0.42014853854766,43
Aarhus School of Marine and Technical Engineering,Engineering,0.426280273321177,409
Aarhus University,Biology,0.479186479546742,429
Aarhus University,Business,0.53027147281217,6348
Aarhus University,Chemistry,0.482818127871646,304
Aarhus University,Economics,0.528142328559429,915
Aarhus University,Education,0.475255543863256,163
Aarhus University,Engineering,0.545500786479616,1666
Aarhus University,Finance,0.545954990330096,19
Aarhus University,Information Technology,0.583243595953422,55
Aarhus University,Law,0.477983103065236,875
Aarhus University,Marketing,0.494502136877125,66
Aarhus University,Mathematics,0.585187871905525,110
Aarhus University,Medicine,0.465248181508762,528
Aarhus University,Physics,0.549348404831407,210
Aarhus University,Statistics,0.649692627482246,15
Business Academy Aarhus,Business,0.521778415078412,68
Business Academy Aarhus,Finance,0.456243020830088,10
Business Academy Aarhus,Marketing,0.524846395561784,28
Business Academy Copenhagen North,Marketing,0.506260219961912,10
CPH WEST,Business,0.53666128841106,10
Copenhagen Business School,Accounting,0.515828707392104,18
Copenhagen Business School,Business,0.527766219864594,13878
Copenhagen Business School,Economics,0.529811307923809,646
Copenhagen Business School,Engineering,0.607520834487087,274
Copenhagen Business School,Finance,0.526404920444826,63
Copenhagen Business School,Information Technology,0.545461288849629,33
Copenhagen Business School,Law,0.50156312640441,52
Copenhagen Business School,Marketing,0.517382671579727,596
