university_name,field,exposure_alljobs_beta,n_people
Aboukir High Institutes,Business,0.545990717579257,24
Aboukir High Institutes,Engineering,0.581441513524729,12
Ahram Canadian University,Accounting,0.535435136456421,37
Ahram Canadian University,Architecture,0.553148560542815,14
Ahram Canadian University,Business,0.549282045807065,410
Ahram Canadian University,Economics,0.573333470118696,23
Ahram Canadian University,Engineering,0.621610059529178,425
Ahram Canadian University,Finance,0.562768081201403,13
Ahram Canadian University,Marketing,0.532406504018537,23
Ain Shams University,Accounting,0.548495650430066,12750
Ain Shams University,Architecture,0.496718103378118,1117
Ain Shams University,Biology,0.499619166312988,148
Ain Shams University,Business,0.531464729625362,5613
Ain Shams University,Chemistry,0.483595462136152,1619
Ain Shams University,Economics,0.513230698254694,64
Ain Shams University,Education,0.459240399781292,1342
Ain Shams University,Engineering,0.545693553173648,14536
Ain Shams University,Finance,0.551542430365382,4342
Ain Shams University,Information Technology,0.582755359913379,120
Ain Shams University,Law,0.507791680799599,5658
Ain Shams University,Marketing,0.51859306998171,136
Ain Shams University,Mathematics,0.444745450234891,53
Ain Shams University,Medicine,0.425370221369681,1277
Ain Shams University,Nursing,0.385244140939362,172
Ain Shams University,Physics,0.495841630188978,154
Ain Shams University,Statistics,0.51894707754258,19
Al-Azhar University,Accounting,0.54530770160107,1604
Al-Azhar University,Architecture,0.492324686709577,272
Al-Azhar University,Biology,0.470889269250043,186
Al-Azhar University,Business,0.542978094784881,577
Al-Azhar University,Chemistry,0.46368278717722,1470
Al-Azhar University,Economics,0.537564840772329,108
Al-Azhar University,Education,0.464041952091256,609
Al-Azhar University,Engineering,0.508037684433842,3544
Al-Azhar University,Finance,0.559506196700468,418
Al-Azhar University,Information Technology,0.58185920940361,48
Al-Azhar University,Law,0.5018570993939,584
Al-Azhar University,Mathematics,0.478672003118078,18
Al-Azhar University,Medicine,0.434360024855924,362
Al-Azhar University,Nursing,0.366974897699733,14
Al-Azhar University,Physics,0.526824161281103,48
Al-Azhar University,Statistics,0.600443157984314,50
Alexandria Higher Institute of Engineering & Technology (AIET),Engineering,0.548330209608528,201
Alexandria University,Accounting,0.542391598729278,6677
Alexandria University,Architecture,0.496445981995836,1115
Alexandria University,Biology,0.472725200938483,115
Alexandria University,Business,0.534754090713619,4365
Alexandria University,Chemistry,0.464522597407357,2515
Alexandria University,Economics,0.542850884590673,425
Alexandria University,Education,0.428426701702411,1001
Alexandria University,Engineering,0.513757784167192,13448
Alexandria University,Finance,0.545534106981107,2437
