university_name,field,exposure_firstjob_beta,n_people
Adama Science and Technology University,Accounting,0.5139325424096,28
Adama Science and Technology University,Architecture,0.490918541179593,107
Adama Science and Technology University,Business,0.535424556946131,328
Adama Science and Technology University,Chemistry,0.472372758368792,12
Adama Science and Technology University,Economics,0.564934689441771,59
Adama Science and Technology University,Education,0.451157853665048,12
Adama Science and Technology University,Engineering,0.530152144960594,1567
Adama Science and Technology University,Finance,0.570788548643296,46
Adama Science and Technology University,Information Technology,0.615984242599329,23
Adama Science and Technology University,Law,0.487431851826772,37
Addis Ababa Science and Technology University,Architecture,0.476801166647072,77
Addis Ababa Science and Technology University,Business,0.518833167899951,55
Addis Ababa Science and Technology University,Chemistry,0.507293534982136,17
Addis Ababa Science and Technology University,Engineering,0.543504196337141,1062
Addis Ababa University,Accounting,0.530692598864257,572
Addis Ababa University,Architecture,0.486521747263169,345
Addis Ababa University,Biology,0.455210411769125,56
Addis Ababa University,Business,0.518232117663683,2535
Addis Ababa University,Chemistry,0.489575787485638,126
Addis Ababa University,Economics,0.544718991506769,787
Addis Ababa University,Education,0.455671446136401,116
Addis Ababa University,Engineering,0.535576681012267,3772
Addis Ababa University,Finance,0.541567067604718,920
Addis Ababa University,Information Technology,0.615033677907235,159
Addis Ababa University,Law,0.487837556693892,421
Addis Ababa University,Marketing,0.513657941307973,87
Addis Ababa University,Mathematics,0.477199388944967,61
Addis Ababa University,Medicine,0.471444699978552,45
Addis Ababa University,Nursing,0.433390902225052,139
Addis Ababa University,Physics,0.475238390305764,52
Addis Ababa University,Statistics,0.578330191552804,139
Addis College,Architecture,0.473054165474545,20
Addis College,Business,0.462195363723023,11
Addis College,Engineering,0.472580742551712,16
Adigrat University,Architecture,0.477296022880242,11
Adigrat University,Business,0.527959687560179,33
Adigrat University,Engineering,0.520371133257474,124
Adigrat University,Finance,0.537607947670385,13
Adigrat University,Nursing,0.385540284937773,12
Admas University,Accounting,0.534690409581784,125
Admas University,Business,0.513505817569658,450
Admas University,Economics,0.491417914842013,14
Admas University,Engineering,0.552021168004932,134
Admas University,Finance,0.533406365934883,166
Admas University,Marketing,0.486008898420117,17
Aksum University,Accounting,0.559330350459923,17
Aksum University,Business,0.533432290763372,83
Aksum University,Chemistry,0.478101790913073,15
Aksum University,Economics,0.526994707018963,16
Aksum University,Engineering,0.495070648043496,180
Aksum University,Finance,0.577450859529735,21
Aksum University,Nursing,0.413506749837023,16
Aksum University,Statistics,0.56138471024671,24
Alpha University College,Accounting,0.539999680752087,21
Alpha University College,Business,0.500124159008301,110
Alpha University College,Economics,0.504543206521604,24
Alpha University College,Finance,0.578139577954489,30
Alpha University College,Law,0.471751072066907,12
Ambo University,Accounting,0.578295541954668,17
Ambo University,Architecture,0.505789496673035,10
Ambo University,Business,0.524342969289138,93
Ambo University,Chemistry,0.457855329215473,27
Ambo University,Economics,0.602558869192995,32
Ambo University,Engineering,0.509764754219187,311
Ambo University,Finance,0.552349095187459,56
Ambo University,Information Technology,0.600855978324792,31
Ambo University,Law,0.440709895292013,14
Ambo University,Nursing,0.414287587721605,11
Ambo University,Statistics,0.606493532895357,10
Arba Minch University,Architecture,0.461350711943032,48
Arba Minch University,Biology,0.409846099449356,10
Arba Minch University,Business,0.501650686168633,92
Arba Minch University,Chemistry,0.432198087388388,23
Arba Minch University,Economics,0.548915215851811,74
Arba Minch University,Education,0.436992334854369,10
Arba Minch University,Engineering,0.497888252771647,614
Arba Minch University,Finance,0.475305346084847,48
Arba Minch University,Information Technology,0.589674264811321,11
Arba Minch University,Law,0.434620055363666,13
Arba Minch University,Mathematics,0.450159066701518,11
Arba Minch University,Nursing,0.400380813589247,24
Arba Minch University,Statistics,0.584752389996239,21
Assosa University,Engineering,0.509596248032019,63
Assosa University,Information Technology,0.538349830081434,11
Bahir Dar University,Accounting,0.520739740612533,127
Bahir Dar University,Architecture,0.478448484696662,50
Bahir Dar University,Biology,0.47834671781234,11
Bahir Dar University,Business,0.498540974735826,654
Bahir Dar University,Chemistry,0.444970812698243,65
Bahir Dar University,Economics,0.5259480927892,286
Bahir Dar University,Education,0.456454929451319,132
Bahir Dar University,Engineering,0.491095381706496,2002
Bahir Dar University,Finance,0.535632960437185,151
Bahir Dar University,Information Technology,0.598272320491844,50
Bahir Dar University,Law,0.462936776191655,169
Bahir Dar University,Mathematics,0.529390212341576,33
Bahir Dar University,Nursing,0.422519429334554,20
Bahir Dar University,Physics,0.453701886588151,16
Bahir Dar University,Statistics,0.583107332086572,19
Bule Hora University,Business,0.544201893319519,12
Bule Hora University,Engineering,0.497098338662393,71
Bule Hora University,Finance,0.58833453307503,13
CPU Business and Information Technology College,Engineering,0.572437049375569,11
Debre Berhan University,Business,0.540185454730298,66
Debre Berhan University,Economics,0.52046107541492,14
Debre Berhan University,Engineering,0.510317603677152,161
Debre Berhan University,Finance,0.585968497565805,16
Debre Berhan University,Information Technology,0.594300878390358,36
Debre Berhan University,Law,0.488732337728498,10
Debre Markos University,Business,0.489368464980292,52
Debre Markos University,Economics,0.533514023686047,23
Debre Markos University,Engineering,0.497285089598304,99
Debre Markos University,Finance,0.534266380229512,29
Debre Markos University,Information Technology,0.641262742672522,42
Debre Markos University,Law,0.472167847151637,22
Debre Markos University,Nursing,0.433573139638716,15
Debre Tabor University,Business,0.508845054093418,30
Debre Tabor University,Economics,0.591193064537208,19
Debre Tabor University,Engineering,0.473076815405701,182
Debre Tabor University,Finance,0.547314147748957,11
Debre Tabor University,Information Technology,0.603181147871994,16
Dilla University,Architecture,0.485233198403008,18
Dilla University,Business,0.514127803211663,81
Dilla University,Economics,0.517281862950096,49
Dilla University,Education,0.424999659641128,37
Dilla University,Engineering,0.523440772033265,222
Dilla University,Finance,0.550576867817363,38
Dilla University,Law,0.475978632590742,24
Dilla University,Mathematics,0.479826571883199,10
Dilla University,Statistics,0.561809686470421,17
Dire Dawa University,Accounting,0.520724521598317,17
Dire Dawa University,Architecture,0.481293811204172,46
Dire Dawa University,Business,0.518357240665579,169
Dire Dawa University,Chemistry,0.450868452238039,10
Dire Dawa University,Economics,0.559855621597509,57
Dire Dawa University,Engineering,0.503399657198858,349
Dire Dawa University,Finance,0.551605926350134,38
Dire Dawa University,Law,0.447806051697305,39
Dire Dawa University,Statistics,0.526347340530412,22
Ethiopia Adventist College,Business,0.546109672688757,10
Ethiopian Civil Service University,Business,0.498194354167796,38
Ethiopian Civil Service University,Economics,0.473928442867737,10
Ethiopian Civil Service University,Law,0.417131239217241,11
"Ethiopian Institute of Architecture, Building Construction and City Development at Addis Ababa University",Architecture,0.450728684661981,12
Haramaya University,Accounting,0.532694588597341,118
Haramaya University,Business,0.511297723277978,366
Haramaya University,Economics,0.51819015066715,307
Haramaya University,Education,0.446327324963839,50
Haramaya University,Engineering,0.517810538621893,895
Haramaya University,Finance,0.526567361852835,75
Haramaya University,Information Technology,0.562505788124117,46
Haramaya University,Law,0.466069628961198,120
Haramaya University,Medicine,0.370792541624142,17
Haramaya University,Nursing,0.464951703917197,108
Haramaya University,Physics,0.480312753547771,10
Haramaya University,Statistics,0.630064296835275,25
Harambee University,Business,0.529888246067713,14
Hawassa University,Accounting,0.513558510027121,84
Hawassa University,Architecture,0.464698880012946,23
Hawassa University,Biology,0.420156731747903,23
Hawassa University,Business,0.520910500702348,442
Hawassa University,Chemistry,0.45769146976993,53
Hawassa University,Economics,0.538296396704774,188
Hawassa University,Education,0.503517458862212,21
Hawassa University,Engineering,0.515645173786909,1135
Hawassa University,Finance,0.571227528162039,100
Hawassa University,Information Technology,0.553396687352892,51
Hawassa University,Law,0.458245238374646,119
Hawassa University,Mathematics,0.512510137194414,19
Hawassa University,Medicine,0.503573326890402,10
Hawassa University,Nursing,0.443111419999818,56
Hawassa University,Physics,0.46178706865398,14
Hawassa University,Statistics,0.561146023889747,82
Hayat Medical College,Medicine,0.495167625255109,12
Hayat Medical College,Nursing,0.468329581149273,10
HiLCoE School of Computer Science and Technology,Engineering,0.654916100517865,177
Hope University College,Architecture,0.486211265757046,22
Hope University College,Business,0.518749845323674,15
Hope University College,Finance,0.600028103642798,16
International Leadership Institute,Business,0.493675760916051,11
Jigjiga University,Business,0.506604644119272,87
Jigjiga University,Economics,0.552241958296323,24
Jigjiga University,Education,0.446632709811448,13
Jigjiga University,Engineering,0.539598393088006,138
Jigjiga University,Finance,0.516272683342412,48
Jigjiga University,Information Technology,0.512846654618565,25
Jigjiga University,Law,0.501327553306443,11
Jigjiga University,Medicine,0.417175033596752,10
Jigjiga University,Nursing,0.453480435124662,56
Jimma University,Accounting,0.522065030865223,146
Jimma University,Architecture,0.498769575566553,42
Jimma University,Business,0.509916616891541,466
Jimma University,Chemistry,0.468922835269629,37
Jimma University,Economics,0.527090264262812,287
Jimma University,Education,0.471615659801784,143
Jimma University,Engineering,0.51321518868444,1808
Jimma University,Finance,0.578798776241082,98
Jimma University,Information Technology,0.602771460474757,135
Jimma University,Law,0.467174686569446,142
Jimma University,Mathematics,0.496945237210819,13
Jimma University,Medicine,0.438382289297142,29
Jimma University,Nursing,0.438080075471653,120
Jimma University,Physics,0.436439128328744,20
Jimma University,Statistics,0.601068798850213,57
Kotebe Metropolitan University,Business,0.533482129772256,19
Kotebe Metropolitan University,Economics,0.537154106082273,12
Kotebe Metropolitan University,Engineering,0.48084399448643,10
Madda Walabu University,Business,0.493467819576043,13
Madda Walabu University,Engineering,0.485220488223047,53
Madda Walabu University,Nursing,0.400279769196836,10
Mekelle University,Accounting,0.506287854773582,61
Mekelle University,Architecture,0.48852183485252,152
Mekelle University,Business,0.517570881381803,610
Mekelle University,Chemistry,0.455582986188396,30
Mekelle University,Economics,0.531516357938759,302
Mekelle University,Education,0.458226647646513,61
Mekelle University,Engineering,0.520910214909699,1563
Mekelle University,Finance,0.551790236048562,225
Mekelle University,Information Technology,0.706405484542272,70
Mekelle University,Law,0.474673709293538,258
Mekelle University,Marketing,0.482664844790761,17
Mekelle University,Medicine,0.481873957525948,20
Mekelle University,Nursing,0.435423866568908,33
Mekelle University,Physics,0.421598819196651,11
Mekelle University,Statistics,0.556083717976879,24
Microlink Information Technology College,Accounting,0.587244295174375,12
Microlink Information Technology College,Business,0.574534727152392,15
Microlink Information Technology College,Engineering,0.617889138267706,131
Mizan-Tepi University,Business,0.49881347669695,32
Mizan-Tepi University,Economics,0.552550440307413,13
Mizan-Tepi University,Engineering,0.5145974891962,124
Mizan-Tepi University,Information Technology,0.638065269791416,16
Mizan-Tepi University,Statistics,0.542528444677327,10
New Generation University College,Business,0.488349296162427,45
New Generation University College,Engineering,0.63666394337658,15
Oromia State University,Business,0.503697627222259,14
Oromia State University,Finance,0.510972268159349,17
Rift Valley University,Accounting,0.529245841559804,103
Rift Valley University,Business,0.490619921834363,248
Rift Valley University,Economics,0.539233650139306,36
Rift Valley University,Engineering,0.521038153432159,69
Rift Valley University,Finance,0.540045749893208,161
Rift Valley University,Nursing,0.448142977985337,24
Samara University,Business,0.483714546403755,29
Samara University,Engineering,0.509802920979477,43
Samara University,Finance,0.571069208383237,12
Sheba University College,Business,0.538671577180508,13
Unity University,Accounting,0.527101204501007,179
Unity University,Architecture,0.477755362739312,133
Unity University,Business,0.532791325716451,760
Unity University,Economics,0.516468718747148,163
Unity University,Engineering,0.623172258725576,285
Unity University,Finance,0.564547207438772,349
Unity University,Law,0.515210868063912,35
Unity University,Marketing,0.513960138194771,34
Unity University,Nursing,0.376340115165956,12
University of Gondar,Accounting,0.536544643135143,18
University of Gondar,Architecture,0.478233238722032,63
University of Gondar,Biology,0.481924412829197,24
University of Gondar,Business,0.491824010951717,428
University of Gondar,Chemistry,0.476742297177101,47
University of Gondar,Economics,0.539268078647218,143
University of Gondar,Education,0.388554139673659,10
University of Gondar,Engineering,0.534471815399813,702
University of Gondar,Finance,0.554689737030564,94
University of Gondar,Information Technology,0.603128728487894,86
University of Gondar,Law,0.444714761388003,114
University of Gondar,Mathematics,0.564894382237222,10
University of Gondar,Medicine,0.41262914418517,33
University of Gondar,Nursing,0.445765598650556,86
University of Gondar,Physics,0.464685396834324,21
University of Gondar,Statistics,0.55550627129177,61
Wachemo University,Business,0.460485935358061,16
Wachemo University,Engineering,0.525325313931255,92
Wachemo University,Finance,0.570278208695075,10
Wolaita Sodo University,Architecture,0.49678646794488,21
Wolaita Sodo University,Business,0.562611501355182,31
Wolaita Sodo University,Economics,0.530377932561468,21
Wolaita Sodo University,Engineering,0.46239934525666,100
Wolaita Sodo University,Finance,0.550105257391515,10
Wolaita Sodo University,Information Technology,0.59172420410584,10
Wolaita Sodo University,Law,0.447141422349704,14
Wolaita Sodo University,Nursing,0.361010032859792,15
Woldia University,Business,0.562817996076182,12
Woldia University,Economics,0.55516579963026,11
Woldia University,Engineering,0.570612924653905,96
Woldia University,Finance,0.573076353560627,17
Wolkite University,Architecture,0.484875513635216,32
Wolkite University,Business,0.517019944317075,18
Wolkite University,Economics,0.549087305019878,12
Wolkite University,Engineering,0.559137925503047,197
Wolkite University,Finance,0.547211742989449,17
Wollega University,Architecture,0.460178975666684,24
Wollega University,Business,0.516148630046574,76
Wollega University,Economics,0.554749626608129,38
Wollega University,Engineering,0.521022535813571,165
Wollega University,Finance,0.583433284454004,18
Wollega University,Information Technology,0.612873013318301,11
Wollega University,Law,0.437930015395012,13
Wollega University,Nursing,0.464017395284168,18
