university_name,field,exposure_alljobs_beta,n_people
Adama Science and Technology University,Accounting,0.514111456194825,28
Adama Science and Technology University,Architecture,0.490333853814775,107
Adama Science and Technology University,Business,0.537540891062556,328
Adama Science and Technology University,Chemistry,0.461989796166427,12
Adama Science and Technology University,Economics,0.564208149980726,59
Adama Science and Technology University,Education,0.452141035453856,12
Adama Science and Technology University,Engineering,0.530078103660584,1567
Adama Science and Technology University,Finance,0.563000861269903,46
Adama Science and Technology University,Information Technology,0.60829447650811,23
Adama Science and Technology University,Law,0.478389539487855,37
Addis Ababa Science and Technology University,Architecture,0.475081123866004,77
Addis Ababa Science and Technology University,Business,0.520864599271999,55
Addis Ababa Science and Technology University,Chemistry,0.510937423102723,17
Addis Ababa Science and Technology University,Engineering,0.544381640858437,1062
Addis Ababa University,Accounting,0.528266828230628,572
Addis Ababa University,Architecture,0.487952534499389,345
Addis Ababa University,Biology,0.464536978197191,56
Addis Ababa University,Business,0.519702851935803,2535
Addis Ababa University,Chemistry,0.485059858214671,126
Addis Ababa University,Economics,0.545054918839114,787
Addis Ababa University,Education,0.452732320789781,116
Addis Ababa University,Engineering,0.53543635087303,3772
Addis Ababa University,Finance,0.542389475439189,920
Addis Ababa University,Information Technology,0.619760688503705,159
Addis Ababa University,Law,0.485991415071699,421
Addis Ababa University,Marketing,0.514270149656322,87
Addis Ababa University,Mathematics,0.476750676876359,61
Addis Ababa University,Medicine,0.46293956857081,45
Addis Ababa University,Nursing,0.432517341224554,139
Addis Ababa University,Physics,0.476965588932948,52
Addis Ababa University,Statistics,0.577014552081487,139
Addis College,Architecture,0.470225189180063,20
Addis College,Business,0.429378556604009,11
Addis College,Engineering,0.469965148510037,16
Adigrat University,Architecture,0.47579863812903,11
Adigrat University,Business,0.529177816502762,33
Adigrat University,Engineering,0.521649979768964,124
Adigrat University,Finance,0.543856901232658,13
Adigrat University,Nursing,0.390351616642012,12
Admas University,Accounting,0.5335741776423,125
Admas University,Business,0.513554490000647,450
Admas University,Economics,0.478022589219577,14
Admas University,Engineering,0.553137622783913,134
Admas University,Finance,0.535742931963348,166
Admas University,Marketing,0.501174719699567,17
Aksum University,Accounting,0.558904647939303,17
Aksum University,Business,0.532023502464408,83
Aksum University,Chemistry,0.524458893513717,15
Aksum University,Economics,0.510714485712253,16
Aksum University,Engineering,0.497569864254379,180
Aksum University,Finance,0.56495456792388,21
Aksum University,Nursing,0.420169850487426,16
Aksum University,Statistics,0.562092517169212,24
Alpha University College,Accounting,0.542928496834182,21
Alpha University College,Business,0.506992515857896,110
Alpha University College,Economics,0.506591032361705,24
Alpha University College,Finance,0.579812163075845,30
Alpha University College,Law,0.469692546572091,12
Ambo University,Accounting,0.578111065365567,17
Ambo University,Architecture,0.51158315691029,10
Ambo University,Business,0.521893027835848,93
Ambo University,Chemistry,0.462885004165605,27
Ambo University,Economics,0.605753907322803,32
Ambo University,Engineering,0.508884211482065,311
Ambo University,Finance,0.551612222065245,56
Ambo University,Information Technology,0.604365123957194,31
Ambo University,Law,0.448059070078478,14
Ambo University,Nursing,0.415794451361342,11
Ambo University,Statistics,0.574541237316876,10
Arba Minch University,Architecture,0.464763385892798,48
Arba Minch University,Biology,0.417269043297839,10
Arba Minch University,Business,0.505033766433885,92
Arba Minch University,Chemistry,0.438538064807609,23
Arba Minch University,Economics,0.55521729766788,74
Arba Minch University,Education,0.439401699805279,10
Arba Minch University,Engineering,0.49810681235423,614
Arba Minch University,Finance,0.487940489417838,48
Arba Minch University,Information Technology,0.593501394189428,11
Arba Minch University,Law,0.433890933414493,13
Arba Minch University,Mathematics,0.47868668841781,11
Arba Minch University,Nursing,0.414390527082144,24
Arba Minch University,Statistics,0.578115453264965,21
Assosa University,Engineering,0.516671190209724,63
Assosa University,Information Technology,0.566061090038309,11
Bahir Dar University,Accounting,0.516586028190706,127
Bahir Dar University,Architecture,0.476199584088498,50
Bahir Dar University,Biology,0.47078186437729,11
Bahir Dar University,Business,0.498332074377071,654
Bahir Dar University,Chemistry,0.447247504110315,65
Bahir Dar University,Economics,0.531737831316274,286
Bahir Dar University,Education,0.459343579151668,132
Bahir Dar University,Engineering,0.491294929351658,2002
Bahir Dar University,Finance,0.534196976902442,151
Bahir Dar University,Information Technology,0.602524449156459,50
Bahir Dar University,Law,0.462113775482954,169
Bahir Dar University,Mathematics,0.537295414936079,33
Bahir Dar University,Nursing,0.423388137013674,20
Bahir Dar University,Physics,0.449366010209748,16
Bahir Dar University,Statistics,0.590985040425926,19
Bule Hora University,Business,0.538663606744198,12
Bule Hora University,Engineering,0.505535760875081,71
Bule Hora University,Finance,0.569994376928144,13
CPU Business and Information Technology College,Engineering,0.613750206768744,11
Debre Berhan University,Business,0.524998194940367,66
Debre Berhan University,Economics,0.525542142785768,14
Debre Berhan University,Engineering,0.508192802841704,161
Debre Berhan University,Finance,0.565750688249155,16
Debre Berhan University,Information Technology,0.583870032905068,36
Debre Berhan University,Law,0.527508688745292,10
Debre Markos University,Business,0.480827650691222,52
Debre Markos University,Economics,0.521067733609874,23
Debre Markos University,Engineering,0.497623164596644,99
Debre Markos University,Finance,0.546196589292854,29
Debre Markos University,Information Technology,0.642763536494707,42
Debre Markos University,Law,0.472223971207611,22
Debre Markos University,Nursing,0.43800695126145,15
Debre Tabor University,Business,0.50293652284105,30
Debre Tabor University,Economics,0.581024787443922,19
Debre Tabor University,Engineering,0.467887086001362,182
Debre Tabor University,Finance,0.545350968693547,11
Debre Tabor University,Information Technology,0.606265177160042,16
Dilla University,Architecture,0.480643966253343,18
Dilla University,Business,0.512999916397595,81
Dilla University,Economics,0.519587889911994,49
Dilla University,Education,0.423789340904724,37
Dilla University,Engineering,0.524145653243373,222
Dilla University,Finance,0.550254252434018,38
Dilla University,Law,0.478600805599931,24
Dilla University,Mathematics,0.479826571883199,10
Dilla University,Statistics,0.555591928816211,17
Dire Dawa University,Accounting,0.522724146798152,17
Dire Dawa University,Architecture,0.477132360644298,46
Dire Dawa University,Business,0.519462021216617,169
Dire Dawa University,Chemistry,0.455628317446295,10
Dire Dawa University,Economics,0.549014508139242,57
Dire Dawa University,Engineering,0.50459676610532,349
Dire Dawa University,Finance,0.559588480876946,38
Dire Dawa University,Law,0.459843193459482,39
Dire Dawa University,Statistics,0.528434450661119,22
Ethiopia Adventist College,Business,0.53645614033597,10
Ethiopian Civil Service University,Business,0.500611896943981,38
Ethiopian Civil Service University,Economics,0.477639804309576,10
Ethiopian Civil Service University,Law,0.415913770184653,11
"Ethiopian Institute of Architecture, Building Construction and City Development at Addis Ababa University",Architecture,0.460617033210874,12
Haramaya University,Accounting,0.531687917806566,118
Haramaya University,Business,0.511710109484335,366
Haramaya University,Economics,0.521208794762718,307
Haramaya University,Education,0.448114277224729,50
Haramaya University,Engineering,0.517943215505895,895
Haramaya University,Finance,0.529143021157697,75
Haramaya University,Information Technology,0.55102905510227,46
Haramaya University,Law,0.463624731060062,120
Haramaya University,Medicine,0.366424908369207,17
Haramaya University,Nursing,0.469841843442734,108
Haramaya University,Physics,0.480312753547771,10
Haramaya University,Statistics,0.625779964428725,25
Harambee University,Business,0.574453917830168,14
Hawassa University,Accounting,0.5148544814509,84
Hawassa University,Architecture,0.473542623150845,23
Hawassa University,Biology,0.426333408048041,23
Hawassa University,Business,0.520887832060975,442
Hawassa University,Chemistry,0.459066160032764,53
Hawassa University,Economics,0.53964174255843,188
Hawassa University,Education,0.489525899498063,21
Hawassa University,Engineering,0.516887668384389,1135
Hawassa University,Finance,0.574683894377894,100
Hawassa University,Information Technology,0.558860826829163,51
Hawassa University,Law,0.461456442893005,119
Hawassa University,Mathematics,0.518648483030636,19
Hawassa University,Medicine,0.509803734453979,10
Hawassa University,Nursing,0.448973111512011,56
