university_name,field,exposure_alljobs_beta,n_people
Aalto University,Accounting,0.527027792609669,258
Aalto University,Architecture,0.460138735522449,212
Aalto University,Business,0.539633240697508,1395
Aalto University,Chemistry,0.464273621731817,33
Aalto University,Economics,0.545068382603482,241
Aalto University,Education,0.440453112077714,47
Aalto University,Engineering,0.54060311276181,2446
Aalto University,Finance,0.524973642043814,255
Aalto University,Information Technology,0.601691654204851,82
Aalto University,Marketing,0.533308613157346,147
Aalto University,Mathematics,0.598664801673073,79
Aalto University,Physics,0.439504419333223,12
Arcada University of Applied Sciences,Business,0.504060687729503,942
Arcada University of Applied Sciences,Economics,0.504160121965215,10
Arcada University of Applied Sciences,Engineering,0.506494708154891,304
Arcada University of Applied Sciences,Information Technology,0.663710454462325,42
Arcada University of Applied Sciences,Marketing,0.497630898080309,55
Arcada University of Applied Sciences,Nursing,0.377090355217134,106
Centria University of Applied Sciences,Business,0.485503687160645,785
Centria University of Applied Sciences,Chemistry,0.417422883214491,13
Centria University of Applied Sciences,Education,0.311676323000223,17
Centria University of Applied Sciences,Engineering,0.491463566311312,635
Centria University of Applied Sciences,Information Technology,0.605873113238934,74
Centria University of Applied Sciences,Nursing,0.376826519998525,38
Diaconia University of Applied Sciences,Education,0.411421035450942,25
Diaconia University of Applied Sciences,Nursing,0.383492818007918,134
Edupoli,Business,0.444886696536836,10
Espoo Vantaa Institute of Technology,Engineering,0.516202174793629,19
Espoon seudun koulutuskuntayhtymä Omnia,Business,0.437338679573306,27
HELBUS Helsinki School of Business,Business,0.456727003979846,30
HUMAK University of Applied Sciences,Business,0.479484857760231,352
HUMAK University of Applied Sciences,Education,0.416434153088237,34
Haaga-Helia University of Applied Sciences,Accounting,0.535446107797078,51
Haaga-Helia University of Applied Sciences,Business,0.520707348855819,11744
Haaga-Helia University of Applied Sciences,Economics,0.49974958323067,62
Haaga-Helia University of Applied Sciences,Education,0.423840216606086,26
Haaga-Helia University of Applied Sciences,Engineering,0.646091617304888,127
Haaga-Helia University of Applied Sciences,Finance,0.523120383535077,130
Haaga-Helia University of Applied Sciences,Information Technology,0.615693287478478,443
Haaga-Helia University of Applied Sciences,Marketing,0.505618666156358,303
Hanken School of Economics,Accounting,0.538489579590439,103
Hanken School of Economics,Business,0.507311539894468,439
Hanken School of Economics,Economics,0.49722302843988,63
Hanken School of Economics,Finance,0.519544980702142,194
Hanken School of Economics,Law,0.532552811099305,37
Hanken School of Economics,Marketing,0.533878458649221,95
Helsinki Business College Oy,Business,0.460747643791027,61
Helsinki Polytechnic Stadia,Engineering,0.476547875902466,28
Häme University of Applied Sciences,Accounting,0.539256555914696,13
Häme University of Applied Sciences,Business,0.520666560949251,1641
Häme University of Applied Sciences,Economics,0.513260586385092,14
Häme University of Applied Sciences,Education,0.355438479597563,32
Häme University of Applied Sciences,Engineering,0.50704905449284,1660
Häme University of Applied Sciences,Finance,0.54398301364329,21
Häme University of Applied Sciences,Information Technology,0.61876633562217,94
Häme University of Applied Sciences,Marketing,0.539814283446635,33
Häme University of Applied Sciences,Nursing,0.395803402840718,79
JAMK University of Applied Sciences,Accounting,0.513736485666316,11
JAMK University of Applied Sciences,Business,0.505025512837756,2526
JAMK University of Applied Sciences,Education,0.395198734369432,28
JAMK University of Applied Sciences,Engineering,0.528720121121458,1525
JAMK University of Applied Sciences,Information Technology,0.618317885179492,124
JAMK University of Applied Sciences,Marketing,0.549556064823945,27
JAMK University of Applied Sciences,Nursing,0.364049963332487,179
Kajaani University of Applied Sciences,Business,0.49436548445893,642
Kajaani University of Applied Sciences,Engineering,0.517606581731619,224
Kajaani University of Applied Sciences,Information Technology,0.598241363138067,41
Kajaani University of Applied Sciences,Nursing,0.38608003215522,38
Karelia University of Applied Sciences,Business,0.509512501634196,693
Karelia University of Applied Sciences,Engineering,0.494884517706472,452
Karelia University of Applied Sciences,Information Technology,0.566286654038885,26
Karelia University of Applied Sciences,Marketing,0.522985762295025,18
Karelia University of Applied Sciences,Nursing,0.366322488884068,47
Kemi-Tornion ammattikorkeakoulu,Business,0.508330841797467,18
Kemi-Tornion ammattikorkeakoulu,Engineering,0.443601600699937,25
Koulutuskeskus Salpaus,Business,0.428939157562643,11
LAB University of Applied Sciences,Architecture,0.462860032659388,103
LAB University of Applied Sciences,Business,0.514768940737091,2060
LAB University of Applied Sciences,Education,0.329600102241705,25
LAB University of Applied Sciences,Engineering,0.516092389477382,1025
LAB University of Applied Sciences,Finance,0.492089429328677,10
LAB University of Applied Sciences,Information Technology,0.640745699578403,68
LAB University of Applied Sciences,Marketing,0.498948612901979,68
LAB University of Applied Sciences,Nursing,0.376756198542058,163
LUT School of Business and Management,Business,0.532462226054562,49
LUT School of Business and Management,Finance,0.540761433551259,10
LUT University,Accounting,0.533771811384851,25
LUT University,Business,0.533401202047613,648
LUT University,Economics,0.538985911362515,27
LUT University,Engineering,0.522473167492218,916
LUT University,Finance,0.536374349985712,63
LUT University,Information Technology,0.648542053764325,16
LUT University,Marketing,0.505026482178061,20
Lapland University of Applied Sciences,Business,0.498656725911228,1084
Lapland University of Applied Sciences,Education,0.369485284466569,11
Lapland University of Applied Sciences,Engineering,0.485040373110006,768
Lapland University of Applied Sciences,Information Technology,0.629160168705031,79
Lapland University of Applied Sciences,Marketing,0.503707779497577,11
Lapland University of Applied Sciences,Nursing,0.355537962954867,95
Laurea University of Applied Sciences,Accounting,0.540079375481671,23
Laurea University of Applied Sciences,Business,0.514168905153381,4990
Laurea University of Applied Sciences,Economics,0.535004580841051,36
Laurea University of Applied Sciences,Education,0.348948638250819,48
Laurea University of Applied Sciences,Engineering,0.584098442630002,45
Laurea University of Applied Sciences,Finance,0.556123042138899,35
Laurea University of Applied Sciences,Information Technology,0.613582542893014,150
Laurea University of Applied Sciences,Marketing,0.51701552738092,111
Laurea University of Applied Sciences,Nursing,0.383022062533824,455
Markkinointi-instituutti,Business,0.473276239645226,20
Markkinointi-instituutti,Marketing,0.444672517512188,10
Mercuria Business School,Business,0.496811434340891,145
Mercuria Business School,Finance,0.501663193129471,10
Mercuria Business School,Marketing,0.504650355062903,20
Metropolia University of Applied Sciences,Architecture,0.496419912829881,86
Metropolia University of Applied Sciences,Biology,0.418401060528953,12
Metropolia University of Applied Sciences,Business,0.51637474437124,2366
Metropolia University of Applied Sciences,Chemistry,0.444428924673413,21
Metropolia University of Applied Sciences,Economics,0.463379455094374,15
Metropolia University of Applied Sciences,Education,0.40551429194657,61
Metropolia University of Applied Sciences,Engineering,0.522183738988593,5185
Metropolia University of Applied Sciences,Finance,0.534524689803456,73
Metropolia University of Applied Sciences,Information Technology,0.657925877424187,321
Metropolia University of Applied Sciences,Marketing,0.503341392586653,93
Metropolia University of Applied Sciences,Nursing,0.387513060945004,457
Novia University of Applied Sciences,Business,0.48318039508764,546
Novia University of Applied Sciences,Engineering,0.49687121412264,638
Novia University of Applied Sciences,Information Technology,0.665917931602176,38
Novia University of Applied Sciences,Marketing,0.516245212805582,10
Novia University of Applied Sciences,Nursing,0.348692437981157,74
Oulu University of Applied Sciences,Accounting,0.552334534331339,10
Oulu University of Applied Sciences,Architecture,0.464632082010348,28
Oulu University of Applied Sciences,Business,0.533841932085398,1629
Oulu University of Applied Sciences,Economics,0.467418570723348,18
Oulu University of Applied Sciences,Education,0.333827978054953,28
Oulu University of Applied Sciences,Engineering,0.507771176371958,1387
Oulu University of Applied Sciences,Finance,0.530457352395772,10
Oulu University of Applied Sciences,Information Technology,0.624146626760791,210
Oulu University of Applied Sciences,Law,0.456383560893715,12
Oulu University of Applied Sciences,Marketing,0.46107156404803,35
Oulu University of Applied Sciences,Nursing,0.390804751769471,102
Pelastusopisto - Emergency Services Academy Finland,Engineering,0.373426920862083,13
Perho Liiketalousopisto Oy,Business,0.416417179949174,11
Proakatemia,Business,0.48057436216451,77
Rastor-instituutti,Business,0.484126463321106,10
Saimaan Ammattikorkeakoulu Oy,Accounting,0.518372664005208,10
Saimaan Ammattikorkeakoulu Oy,Business,0.506548096933371,572
Saimaan Ammattikorkeakoulu Oy,Engineering,0.495486691114017,339
Saimaan Ammattikorkeakoulu Oy,Information Technology,0.649513755011192,17
Saimaan Ammattikorkeakoulu Oy,Marketing,0.493930136274582,14
