university_name,field,exposure_firstjob_beta,n_people
3iL Ingénieurs,Engineering,0.657265363851327,14
42,Business,0.533260398293594,10
42,Engineering,0.704961607602268,32
42,Finance,0.544442376188847,15
42,Marketing,0.506139921457664,14
AFC FORMATION LA ROCHELLE,Marketing,0.515470506189346,29
AFIP Formations,Architecture,0.465980231033555,17
AFOREM,Business,0.584521041914126,29
AFOREM,Marketing,0.50458117497392,64
AFPA,Business,0.476571895099092,18
AFPA,Engineering,0.586717699852941,21
AFTEC,Business,0.5002318649146,25
AFTEC,Marketing,0.499380322943541,69
AIM - Académie Internationale de Management,Business,0.462172251333666,91
AIX YNOV CAMPUS,Engineering,0.62092160834426,14
AIX YNOV CAMPUS,Marketing,0.505554097010889,46
AKOR Alternance,Business,0.540095461706816,41
AKOR Alternance,Marketing,0.535960113634578,83
ALTERNANCE EXXECC,Marketing,0.491879722108388,16
AMOS - Sport Business School,Business,0.446814294396466,449
AMOS - Sport Business School,Marketing,0.441813779275982,95
Aix-Marseille University,Business,0.564067314177219,13
Altéa Business & Digital School,Business,0.552437859516975,22
Altéa Business & Digital School,Marketing,0.507512079663556,57
Angers University,Biology,0.518055207307873,45
Angers University,Business,0.510951806710299,260
Angers University,Chemistry,0.544064023985463,14
Angers University,Economics,0.487165924987342,23
Angers University,Engineering,0.550084245071372,36
Angers University,Finance,0.526198346473606,10
Angers University,Law,0.466326167292405,41
Angers University,Marketing,0.548959969825608,12
Angers University,Mathematics,0.586032132913247,17
Artois University,Business,0.540537212586375,30
Artois University,Engineering,0.500406329609442,39
Arts Et Metiers Paristech,Business,0.518973333880798,11
Arts Et Metiers Paristech,Engineering,0.499820141829719,110
Arts et Métiers Sciences et Technologies,Architecture,0.500823781071104,12
Ascencia Business School,Business,0.52376988214182,246
Ascencia Business School,Finance,0.46616962807638,13
Ascencia Business School,Marketing,0.509420989855411,293
Audencia Business School,Business,0.509527496396226,822
Audencia Business School,Finance,0.53228766285097,20
Audencia Business School,Marketing,0.510974367444031,180
Aureïs Formation,Marketing,0.554508728493177,12
Autograf- école de Design et d'Arts Appliqués,Architecture,0.480232116016402,34
Avignon University,Biology,0.470258597275772,10
Avignon University,Business,0.496069398679191,67
Avignon University,Chemistry,0.450767884892186,13
Avignon University,Engineering,0.603243750150256,44
Avignon University,Mathematics,0.55462264020253,12
Bachelor Institute - Ecole de Management en 3ans,Business,0.557406005969231,10
Bachelor Institute - Ecole de Management en 3ans,Marketing,0.511008239561773,20
Bellecour School,Architecture,0.491322649794461,20
Bellecour School,Engineering,0.478482397806098,14
Bioforce,Business,0.501738597203566,13
Bordeaux Montaigne University,Business,0.531888145831304,62
Bordeaux Montaigne University,Marketing,0.5330647183447,30
Bordeaux YNOV Campus,Architecture,0.502829628115731,16
Bordeaux YNOV Campus,Engineering,0.665556762529556,15
Bordeaux YNOV Campus,Marketing,0.48257730351416,59
Brest Business School,Business,0.507533556721253,401
Brest Business School,Marketing,0.513663705077629,34
Burgundy School of Business,Business,0.498015047445565,725
Burgundy School of Business,Marketing,0.512460907586985,163
Burgundy University,Biology,0.521633641330392,31
Burgundy University,Business,0.553983431496481,41
Burgundy University,Chemistry,0.52881101114261,10
Burgundy University,Engineering,0.600482603159265,20
Burgundy University,Law,0.500417270449077,16
C3A (anciennement C3 Alternance),Business,0.515211408505516,18
C3A (anciennement C3 Alternance),Marketing,0.506705940187762,52
CCI Campus Alsace,Business,0.491290254607472,88
CCI Campus Alsace,Marketing,0.529074644239962,20
CCI Campus Moselle,Business,0.508680011954435,18
CCI Charente Formation,Business,0.515437401414224,35
CCI Maine-et-Loire Formation,Business,0.486489502931181,53
CCI Maine-et-Loire Formation,Marketing,0.450587076621522,11
CESI,Business,0.546186255297669,31
CESI,Engineering,0.658189412224233,38
CESI École Supérieure de l’Alternance,Business,0.559007166873639,48
CESI École Supérieure de l’Alternance,Engineering,0.62778677887057,36
CFA CODIS,Marketing,0.454777595002136,77
CFA IESA Strasbourg - Institut d'Enseignement Supérieur par Alternance,Marketing,0.51357568390323,29
CFA IGS - CIEFA,Business,0.508900170276444,12
CFA IGS - CIEFA,Marketing,0.5221232211595,63
CMH ACADEMY,Business,0.483095995666881,549
CNAM,Accounting,0.542230458646873,12
CNAM,Business,0.53747593171921,262
CNAM,Economics,0.541356094950489,17
CNAM,Engineering,0.588169514951131,130
CNAM,Finance,0.547655287729736,40
CNAM,Information Technology,0.644718798679481,22
CNAM,Law,0.491526186900496,17
CNAM,Marketing,0.485652372427973,83
COMNICIA,Business,0.501522754763395,14
COMNICIA,Marketing,0.509835337017414,323
COMPTALIA,Business,0.568052295858604,61
COMPTALIA,Finance,0.538093327939,121
CPE Lyon,Chemistry,0.479110943024855,16
CPE Lyon,Engineering,0.525798189089125,51
CPGE - Classes préparatoires aux grandes écoles,Mathematics,0.624736191992388,12
CY Cergy Paris Université,Business,0.387972936497957,16
CY Cergy Paris Université CY Tech,Biology,0.490954638102839,55
CY Cergy Paris Université CY Tech,Business,0.529185461261496,233
CY Cergy Paris Université CY Tech,Chemistry,0.444784355959072,35
CY Cergy Paris Université CY Tech,Economics,0.54006226761096,32
CY Cergy Paris Université CY Tech,Engineering,0.576088990868166,109
CY Cergy Paris Université CY Tech,Finance,0.537403231386811,68
CY Cergy Paris Université CY Tech,Law,0.49535838762565,149
CY Cergy Paris Université CY Tech,Mathematics,0.531171773711301,31
CY Cergy Paris Université CY Tech,Physics,0.548277583263443,17
Campus Academy,Marketing,0.479488300200294,20
Campus Eductive Grenoble,Marketing,0.492496846930185,16
Campus Eductive Paris,Business,0.564095530506306,20
Campus Eductive Paris,Marketing,0.51311827824069,13
Campus IGS Alternance Toulouse,Marketing,0.474172267272279,17
Campus Pro,Marketing,0.492271769338978,20
Campus Saint Marc,Business,0.541921908153187,11
Campus Sciences-U Lyon,Business,0.538659780622378,78
Campus Sciences-U Lyon,Engineering,0.664962983264271,14
Campus Sciences-U Lyon,Marketing,0.515563279846662,161
Campus du Lac : Ecole Professionnelle de la CCI Bordeaux Gironde,Business,0.486954645581935,13
Catholic Institute of Rennes,Law,0.429734604348407,10
Centrale Lyon,Business,0.491157874685209,12
Centrale Lyon,Engineering,0.499044532971519,13
Centrale Méditerranée,Engineering,0.460138204029489,11
Centre de formation de la profession bancaire,Finance,0.534617154638757,26
Claude Bernard Lyon 1 University,Biology,0.52212837061444,173
Claude Bernard Lyon 1 University,Business,0.48949745698928,121
Claude Bernard Lyon 1 University,Chemistry,0.491048365427226,67
Claude Bernard Lyon 1 University,Economics,0.69129548513816,14
Claude Bernard Lyon 1 University,Engineering,0.55111303277187,266
Claude Bernard Lyon 1 University,Marketing,0.489763790307465,12
Claude Bernard Lyon 1 University,Mathematics,0.609093924663362,79
Claude Bernard Lyon 1 University,Medicine,0.428662292994935,19
Claude Bernard Lyon 1 University,Physics,0.536442579014428,68
Clermont Auvergne University,Biology,0.495338245662523,60
Clermont Auvergne University,Business,0.510851537049356,152
Clermont Auvergne University,Chemistry,0.440227299001465,26
Clermont Auvergne University,Economics,0.529714715436369,43
Clermont Auvergne University,Engineering,0.543354515550631,86
Clermont Auvergne University,Law,0.548796376900698,19
Clermont Auvergne University,Mathematics,0.598433935697891,16
Clermont Auvergne University,Physics,0.506803711201925,13
Cogefi Formation,Marketing,0.540046426168593,13
Cours Diderot,Business,0.527604498410486,26
Cours Diderot,Marketing,0.524052356945539,63
Côte d’Azur University,Biology,0.527896998011654,40
Côte d’Azur University,Business,0.515937312112623,264
Côte d’Azur University,Chemistry,0.460914449666413,26
Côte d’Azur University,Economics,0.533918779981286,70
Côte d’Azur University,Engineering,0.616534761897638,91
Côte d’Azur University,Finance,0.506832886441763,15
Côte d’Azur University,Law,0.493790223606032,63
Côte d’Azur University,Marketing,0.49857374680245,11
Côte d’Azur University,Mathematics,0.566947733488663,54
Côte d’Azur University,Physics,0.528129826092683,26
DIGISUP Ecole Supérieure de Marketing Digital,Marketing,0.546593069875319,22
DSP Digital School of Paris,Marketing,0.509233253830858,30
Digital College,Business,0.544510956809809,10
Digital College,Marketing,0.525605168923912,328
Diplôme de design Program at Nantes Atlantique School of Design,Architecture,0.466874288460839,91
E2SE Business School,Business,0.552216011550198,25
E2SE Business School,Marketing,0.522149548306622,92
EAF - ECOLE AUVERGNE FORMATION,Business,0.508438228697592,13
EBBS BUSINESS SCHOOL,Business,0.488790421900709,36
EBBS BUSINESS SCHOOL,Marketing,0.537032728643939,35
EBS Paris,Business,0.51206267305393,74
EBS Paris,Marketing,0.513830105152765,10
EC2M MULHOUSE,Business,0.51143060165226,15
ECAM Lasalle - Lyon,Engineering,0.476031007228527,40
ECE. Ecole d'ingénieurs. Engineering School.,Business,0.551591384919342,25
ECE. Ecole d'ingénieurs. Engineering School.,Engineering,0.650276900646209,36
ECEMA,Business,0.532626868429746,182
ECITV,Marketing,0.542415804025995,103
ECMGP,Marketing,0.514482748240123,18
ECOLE GRANDJEAN STRASBOURG,Marketing,0.510416289055718,35
ECOLE SUPERIEURE DU PARFUM,Business,0.374763365733985,17
ECS - European Communication School,Marketing,0.52289810380238,74
ECV Paris,Business,0.644350357270072,18
ECV Paris,Marketing,0.596875853307545,13
EDBS France,Marketing,0.526035313588314,62
EDC Paris Business School,Business,0.495278414646287,98
EDC Valence,Business,0.526705016300552,27
EDC Valence,Marketing,0.527345858349843,61
EDHEC Business School,Business,0.518379345812189,3738
EDHEC Business School,Economics,0.488059859154163,13
EDHEC Business School,Finance,0.506776141322122,130
EDHEC Business School,Marketing,0.516933893221534,250
EEMI,Business,0.60833298224716,26
EEMI,Engineering,0.70017814259467,14
EEMI,Marketing,0.562853204002501,69
EFAP,Business,0.591133220502158,11
EFAP,Marketing,0.502529948868225,23
EFET STUDIO CRÉA,Architecture,0.528840297662341,10
EFFICOM,Architecture,0.451198459963483,12
EFFICOM,Business,0.515570379881308,43
EFFICOM,Engineering,0.626614990594464,19
EFFICOM,Marketing,0.52126654255605,168
EFMH,Business,0.427112803230715,72
EGC CENTREST Campus de Bourg-en-Bresse,Business,0.532153057663156,22
EGC CENTREST Campus de Bourg-en-Bresse,Marketing,0.515841707319136,23
EGC Le Mans,Business,0.501112064389956,21
EGC Le Mans,Marketing,0.489223153160628,51
EGC Lille,Accounting,0.5183995419879,19
EGC Lille,Business,0.509593201950955,119
EGC Lille,Marketing,0.505360264840179,80
EGC Montauban,Business,0.51207607045306,75
EGC Montauban,Marketing,0.509368624192792,21
EGC Normandie,Accounting,0.555118663480907,10
EGC Normandie,Business,0.529797609761634,43
EGC Normandie,Marketing,0.509278611161831,33
EGC Rodez,Accounting,0.491039703444146,13
EGC Rodez,Business,0.527794347806822,43
EGC Rodez,Marketing,0.498477144170099,25
EGC Réunion,Business,0.489997876266911,29
EGC Réunion,Marketing,0.527379662566565,17
EGC VENDEE,Business,0.532288074189539,50
EGC VENDEE,Marketing,0.503117493481498,50
EICAR,Engineering,0.487887306954782,11
EIDM - École Internationale de Mode & Luxe,Business,0.475571676559864,35
EIDM - École Internationale de Mode & Luxe,Marketing,0.403059383681928,15
EIML Paris,Business,0.473534884265249,51
EIML Paris,Marketing,0.49495802373414,842
EKLYA School of Business,Business,0.496628693339728,266
EKLYA School of Business,Marketing,0.452112711071276,17
EM Normandie,Business,0.504679334381255,486
EM Normandie,Marketing,0.509097200935893,66
EMBA Business School,Business,0.485724897524278,61
EMCD PARIS,Marketing,0.532227019230429,17
EMD Business School,Business,0.509811070105797,199
EMD Business School,Marketing,0.502035431906601,89
ENC - Écoles Nantaises de Commerce,Business,0.543802217949363,17
ENC - Écoles Nantaises de Commerce,Marketing,0.51491389105243,70
ENC COMMUNICATION,Business,0.531874183434636,37
ENC COMMUNICATION,Marketing,0.512261975937932,79
ENGDE,Finance,0.549043976150601,26
ENOES: l'Ecole de l'Expertise Comptable et de l'Audit,Business,0.569191120091822,11
ENSA Lyon,Architecture,0.503529753169863,43
ENSA Montpellier,Architecture,0.433177649248618,17
ENSA Nantes,Architecture,0.47064096383346,36
ENSA Paris-La-Villette,Architecture,0.490856028691274,22
ENSAP Bordeaux,Architecture,0.472925757542456,17
ENSAP Lille,Architecture,0.45762152917887,23
ENSEEIHT,Engineering,0.546448382182219,12
ENSEIRB-MATMECA,Engineering,0.609098174585866,39
ENSMI - Ecole Nationale Supérieure du Management Immobilier,Business,0.486756944248345,49
ENSUP Business School,Business,0.540265850828877,53
ENSUP Business School,Marketing,0.477640934445954,141
EPF,Business,0.506611989669308,12
EPF,Engineering,0.517383028029297,57
EPITA,Engineering,0.645039076520319,23
ESA - Ecole Supérieure de l'alternance,Marketing,0.472567075940259,17
ESAIP,Engineering,0.671170261103752,17
ESAM DESIGN,Architecture,0.50015032111065,24
ESC 3 FRONTIERES,Business,0.502176307336905,14
ESC Auvergne (Ecole Supérieure de Commerce),Marketing,0.448071480547263,12
ESC Clermont Business School,Business,0.516820366052915,734
ESC Clermont Business School,Finance,0.505893774952728,13
ESC Clermont Business School,Marketing,0.516878882898151,171
ESCAET,Business,0.509478236487059,111
"ESCAM - École Supérieure de Commerce, des Affaires et du Management",Marketing,0.552856694040044,10
ESCCOM,Business,0.521453567884383,18
ESCCOM,Marketing,0.496280063315867,87
ESCCOT GROUPE Ecole de Commerce et CFA,Business,0.562338285832229,15
ESCCOT GROUPE Ecole de Commerce et CFA,Marketing,0.508103622193843,53
ESCE,Business,0.500195591281477,24
ESCEN Ecole Supérieure de Commerce et d'Economie Numérique,Business,0.564228350847271,47
ESCEN Ecole Supérieure de Commerce et d'Economie Numérique,Marketing,0.53801762994479,128
ESCP Business School,Business,0.513263336613555,419
ESCP Business School,Marketing,0.490295695941202,25
ESD - École Supérieure du Digital,Business,0.547325802173596,14
ESD - École Supérieure du Digital,Marketing,0.530010348174195,15
"ESDAC, école de Design, Arts Appliqués et Communication",Architecture,0.395074547980682,32
ESEO,Engineering,0.602320053094137,36
ESG Luxe,Business,0.455934324136848,29
ESG Luxe,Marketing,0.486866395133695,15
ESG Sport,Business,0.474545544758958,80
ESGCI,Business,0.510389838369393,531
ESGCI,Marketing,0.513099509641216,963
ESGI,Architecture,0.726976335407858,90
ESGI,Business,0.629895900662996,105
ESGI,Engineering,0.678767109372267,131
ESGRH,Business,0.593519544857989,33
ESI GREEN & SOCIAL BUSINESS SCHOOL,Business,0.507509277322116,110
ESI GREEN & SOCIAL BUSINESS SCHOOL,Marketing,0.529944610170646,11
ESICAD,Business,0.492853956769443,78
ESICAD,Finance,0.535085744023879,17
ESICAD,Marketing,0.518428104528647,180
ESIEE,Engineering,0.6240426507968,15
ESIEE-IT,Business,0.533970344620344,14
ESMA - Ecole Supérieure des Métiers Artistiques,Architecture,0.407199698430774,12
ESMAE Ecole des Professionnels du Recrutement et de l'Intérim,Business,0.58664906370644,14
ESME Sudria,Engineering,0.534639577851173,18
