university_name,field,exposure_alljobs_beta,n_people
3iL Ingénieurs,Engineering,0.646024145542549,14
42,Business,0.532012868757028,10
42,Engineering,0.692170505285345,32
42,Finance,0.535655672648427,15
42,Marketing,0.492664356228245,14
AFC FORMATION LA ROCHELLE,Marketing,0.531274461644813,29
AFIP Formations,Architecture,0.479749550972111,17
AFOREM,Business,0.586293871342291,29
AFOREM,Marketing,0.516006387710112,64
AFPA,Business,0.482915145066908,18
AFPA,Engineering,0.588621019977728,21
AFTEC,Business,0.501989251046427,25
AFTEC,Marketing,0.503881290164909,69
AIM - Académie Internationale de Management,Business,0.459094318500233,91
AIX YNOV CAMPUS,Engineering,0.642139626293434,14
AIX YNOV CAMPUS,Marketing,0.510813480119221,46
AKOR Alternance,Business,0.538057113341121,41
AKOR Alternance,Marketing,0.535300623277735,83
ALTERNANCE EXXECC,Marketing,0.493254123999457,16
AMOS - Sport Business School,Business,0.457532108609925,449
AMOS - Sport Business School,Marketing,0.450335945355069,95
Aix-Marseille University,Business,0.563733657578471,13
Altéa Business & Digital School,Business,0.551846559127931,22
Altéa Business & Digital School,Marketing,0.506124314744803,57
Angers University,Biology,0.509118233006007,45
Angers University,Business,0.5112721659481,260
Angers University,Chemistry,0.541181000074144,14
Angers University,Economics,0.495550103002574,23
Angers University,Engineering,0.55460002235385,36
Angers University,Finance,0.542605490431296,10
Angers University,Law,0.480313309547251,41
Angers University,Marketing,0.549778996412151,12
Angers University,Mathematics,0.602964876309788,17
Artois University,Business,0.54383144543899,30
Artois University,Engineering,0.513297843310514,39
Arts Et Metiers Paristech,Business,0.512740234730666,11
Arts Et Metiers Paristech,Engineering,0.499882965363602,110
Arts et Métiers Sciences et Technologies,Architecture,0.493380721202117,12
Ascencia Business School,Business,0.520587669850921,246
Ascencia Business School,Finance,0.493240419470302,13
Ascencia Business School,Marketing,0.510633058107555,293
Audencia Business School,Business,0.511965500607191,822
Audencia Business School,Finance,0.522701587175303,20
