university_name,field,exposure_firstjob_beta,n_people
ADG Business School an der Steinbeis-Hochschule Berlin GmbH,Business,0.527943651429452,321
ADG Business School an der Steinbeis-Hochschule Berlin GmbH,Finance,0.541805090841758,22
AKAD University of Applied Sciences in Stuttgart,Business,0.54072143651265,243
AKAD University of Applied Sciences in Stuttgart,Economics,0.510978893563025,18
AKAD University of Applied Sciences in Stuttgart,Engineering,0.521806756228653,131
AKAD University of Applied Sciences in Stuttgart,Marketing,0.506042723617482,22
AMD Akademie Mode & Design,Business,0.513241126708037,307
ASW gGmbH,Accounting,0.5592156474732,16
ASW gGmbH,Business,0.568256284636218,58
ASW gGmbH,Economics,0.519461080852723,10
ASW gGmbH,Engineering,0.51051693104795,170
Aachen University of Applied Sciences,Architecture,0.480918864747237,81
Aachen University of Applied Sciences,Business,0.529975627961115,764
Aachen University of Applied Sciences,Chemistry,0.514394952619414,47
Aachen University of Applied Sciences,Economics,0.517559653331044,101
Aachen University of Applied Sciences,Engineering,0.527843811911806,2187
Aachen University of Applied Sciences,Information Technology,0.671141875196768,10
Aalen University,Business,0.534608085196289,426
Aalen University,Chemistry,0.53149946248109,40
Aalen University,Economics,0.531282237124156,16
Aalen University,Engineering,0.528175712436689,1773
Aalen University,Marketing,0.521861399108281,15
Academy of Fine Arts Munich,Architecture,0.478786810164489,10
Accadis University of Applied Sciences Bad Homburg,Business,0.523299399089253,842
Accadis University of Applied Sciences Bad Homburg,Marketing,0.524001233192386,36
Akademie Handel e.V.,Business,0.491469861149327,57
Akademie Handel e.V.,Marketing,0.503440807292394,94
Akkon University of Human Sciences,Business,0.433042395664608,31
Alanus University of Arts and Social Sciences,Business,0.528384348685027,47
Albstadt-Sigmaringen University,Business,0.535075659298179,166
Albstadt-Sigmaringen University,Engineering,0.51667437310088,608
Albstadt-Sigmaringen University,Marketing,0.508682485635976,31
Alice Salomon University of Applied Sciences Berlin,Business,0.450791557938347,10
Ansbach University of Applied Sciences,Business,0.522554882053549,301
Ansbach University of Applied Sciences,Engineering,0.524051132618278,535
Ansbach University of Applied Sciences,Marketing,0.512774539704969,13
Aschaffenburg University of Applied Sciences,Business,0.524442655490371,389
Aschaffenburg University of Applied Sciences,Economics,0.538243142697772,16
