university_name,field,exposure_alljobs_beta,n_people
ADG Business School an der Steinbeis-Hochschule Berlin GmbH,Business,0.527164443652181,321
ADG Business School an der Steinbeis-Hochschule Berlin GmbH,Finance,0.550808761358658,22
AKAD University of Applied Sciences in Stuttgart,Business,0.539733561855879,243
AKAD University of Applied Sciences in Stuttgart,Economics,0.527777556888572,18
AKAD University of Applied Sciences in Stuttgart,Engineering,0.521333749854852,131
AKAD University of Applied Sciences in Stuttgart,Marketing,0.49867477063532,22
AMD Akademie Mode & Design,Business,0.518994847285391,307
ASW gGmbH,Accounting,0.557363656913999,16
ASW gGmbH,Business,0.574141645601221,58
ASW gGmbH,Economics,0.516134042823331,10
ASW gGmbH,Engineering,0.516998076351022,170
Aachen University of Applied Sciences,Architecture,0.48148319781561,81
Aachen University of Applied Sciences,Business,0.533490820301293,764
Aachen University of Applied Sciences,Chemistry,0.504064108291366,47
Aachen University of Applied Sciences,Economics,0.516722783133991,101
Aachen University of Applied Sciences,Engineering,0.529675758411045,2187
Aachen University of Applied Sciences,Information Technology,0.665553377398362,10
Aalen University,Business,0.531010491755809,426
Aalen University,Chemistry,0.533347457402757,40
Aalen University,Economics,0.522787814532196,16
Aalen University,Engineering,0.529957414654997,1773
Aalen University,Marketing,0.522830995132455,15
Academy of Fine Arts Munich,Architecture,0.476796777555655,10
Accadis University of Applied Sciences Bad Homburg,Business,0.524054618600101,842
Accadis University of Applied Sciences Bad Homburg,Marketing,0.534322702376646,36
Akademie Handel e.V.,Business,0.498638921496223,57
Akademie Handel e.V.,Marketing,0.509147418923694,94
Akkon University of Human Sciences,Business,0.446822809876661,31
Alanus University of Arts and Social Sciences,Business,0.537719994496897,47
Albstadt-Sigmaringen University,Business,0.52970011259222,166
Albstadt-Sigmaringen University,Engineering,0.519284376487841,608
Albstadt-Sigmaringen University,Marketing,0.509795812277324,31
Alice Salomon University of Applied Sciences Berlin,Business,0.439252646581096,10
Ansbach University of Applied Sciences,Business,0.522431961238095,301
Ansbach University of Applied Sciences,Engineering,0.524713217532982,535
Ansbach University of Applied Sciences,Marketing,0.506671983695948,13
Aschaffenburg University of Applied Sciences,Business,0.52419090300119,389
Aschaffenburg University of Applied Sciences,Economics,0.535811898053446,16
Aschaffenburg University of Applied Sciences,Engineering,0.540210486348867,984
Aschaffenburg University of Applied Sciences,Finance,0.547475532735676,10
Aschaffenburg University of Applied Sciences,Marketing,0.499571212167906,11
BA Breitenbrunn - Berufsakademie Sachsen - Staatliche Studienakademie Breitenbrunn,Business,0.516610707151861,11
BA Dresden - Berufsakademie Sachsen - Staatliche Studienakademie Dresden,Business,0.555772138488825,13
BA Dresden - Berufsakademie Sachsen - Staatliche Studienakademie Dresden,Engineering,0.610305377605587,25
BA Glauchau - Berufsakademie Sachsen - Staatliche Studienakademie Glauchau,Engineering,0.453399785620459,15
BA Riesa - Berufsakademie Sachsen - Staatliche Studienakademie Riesa,Engineering,0.492366964091153,11
BSP Business School Berlin,Business,0.523269124828156,374
BSP Business School Berlin,Marketing,0.501984389488733,42
Baden-Wuerttemberg Cooperative State University,Business,0.539948761576348,521
Baden-Wuerttemberg Cooperative State University,Economics,0.533582014163305,23
Baden-Wuerttemberg Cooperative State University,Engineering,0.51429285686215,1662
Baden-Wuerttemberg Cooperative State University,Finance,0.527239152603949,23
Baden-Wuerttemberg Cooperative State University,Marketing,0.490024086107161,32
Baden-Wuerttemberg Cooperative State University (DHBW),Accounting,0.538087944867911,236
Baden-Wuerttemberg Cooperative State University (DHBW),Business,0.542188290770995,7403
Baden-Wuerttemberg Cooperative State University (DHBW),Economics,0.518866513707807,359
Baden-Wuerttemberg Cooperative State University (DHBW),Engineering,0.532256693333352,9741
Baden-Wuerttemberg Cooperative State University (DHBW),Finance,0.524476300749487,225
Baden-Wuerttemberg Cooperative State University (DHBW),Information Technology,0.646234523937056,70
Baden-Wuerttemberg Cooperative State University (DHBW),Law,0.542475081795995,76
Baden-Wuerttemberg Cooperative State University (DHBW),Marketing,0.513255652224384,245
"Bard College Berlin, A Liberal Arts University",Economics,0.535880869790437,17
Bauhaus-Universität Weimar,Architecture,0.516173376229867,103
Bauhaus-Universität Weimar,Business,0.495903920539692,130
Bauhaus-Universität Weimar,Engineering,0.545966166427849,71
Bavarian University of Applied Sciences,Business,0.558411066313517,58
Bavarian University of Applied Sciences,Engineering,0.526117201887066,74
Berlin International University of Applied Sciences,Architecture,0.523179249406123,21
Berlin International University of Applied Sciences,Business,0.556994290327325,46
