university_name,field,exposure_alljobs_beta,n_people
AKTO College,Architecture,0.48807212127112,18
Agricultural University of Athens,Business,0.500765160246296,95
Agricultural University of Athens,Economics,0.515846240766633,72
Agricultural University of Athens,Engineering,0.468511918765238,90
American College of Thessaloniki,Business,0.496942498419967,133
American College of Thessaloniki,Engineering,0.562504504821587,24
Aristotle University of Thessaloniki,Accounting,0.510827510490286,11
Aristotle University of Thessaloniki,Architecture,0.485381574707963,60
Aristotle University of Thessaloniki,Biology,0.495061403575393,123
Aristotle University of Thessaloniki,Business,0.520106736359068,311
Aristotle University of Thessaloniki,Chemistry,0.463066373425174,577
Aristotle University of Thessaloniki,Economics,0.533280090650409,1390
Aristotle University of Thessaloniki,Education,0.367929692972579,1305
Aristotle University of Thessaloniki,Engineering,0.567626179464926,802
Aristotle University of Thessaloniki,Finance,0.490243673437394,22
Aristotle University of Thessaloniki,Information Technology,0.649001136927917,20
Aristotle University of Thessaloniki,Law,0.466283244082549,1343
Aristotle University of Thessaloniki,Mathematics,0.527613056003541,559
Aristotle University of Thessaloniki,Medicine,0.404993688426575,168
Aristotle University of Thessaloniki,Physics,0.513583665130655,424
Athens University of Economics and Business,Accounting,0.544102945126311,34
Athens University of Economics and Business,Business,0.545975423846561,3706
Athens University of Economics and Business,Economics,0.545672589568436,1350
Athens University of Economics and Business,Education,0.548995270702147,24
Athens University of Economics and Business,Engineering,0.678695775544237,493
Athens University of Economics and Business,Finance,0.546418377894926,1446
Athens University of Economics and Business,Information Technology,0.684562937737786,65
Athens University of Economics and Business,Marketing,0.52034028765196,816
Athens University of Economics and Business,Statistics,0.60744223867502,369
Democritus University of Thrace,Architecture,0.462268785961169,32
Democritus University of Thrace,Biology,0.492055550683291,283
Democritus University of Thrace,Business,0.504876679583891,131
Democritus University of Thrace,Economics,0.538685160772689,389
Democritus University of Thrace,Education,0.312935362201718,393
Democritus University of Thrace,Engineering,0.49699236279906,251
Democritus University of Thrace,Finance,0.496094588783864,11
Democritus University of Thrace,Law,0.461413421627363,1229
Democritus University of Thrace,Medicine,0.388607511831403,12
Department of Banking and Financial Management,Business,0.568573130454792,47
Department of Informatics,Engineering,0.625299300268799,10
Department of Supply Chain Management I.H.U. Katerini Greece,Business,0.523410096469312,16
"Deree College, The American College of Greece",Business,0.507519629701261,1326
"Deree College, The American College of Greece",Economics,0.500709396694659,78
"Deree College, The American College of Greece",Engineering,0.618181961517563,135
"Deree College, The American College of Greece",Finance,0.527193038177792,171
"Deree College, The American College of Greece",Information Technology,0.58723836904966,50
"Deree College, The American College of Greece",Marketing,0.523709108891069,161
Harokopio University,Economics,0.492124594899224,104
Harokopio University,Education,0.511373242761875,22
Harokopio University,Engineering,0.718129084136243,34
Harokopio University,Information Technology,0.702556761987667,22
Hellenic Mediterranean University,Business,0.492156654105895,79
Hellenic Mediterranean University,Engineering,0.521390366423889,135
Hellenic Mediterranean University,Finance,0.55921266874067,29
Hellenic Mediterranean University,Nursing,0.38723930133807,17
Hellenic Open University,Business,0.517060357991436,976
Hellenic Open University,Education,0.428052075985109,17
Hellenic Open University,Engineering,0.595136330602523,403
Hellenic Open University,Information Technology,0.631221283925669,58
International Hellenic University,Accounting,0.53571013215623,31
International Hellenic University,Business,0.480798575587091,309
International Hellenic University,Education,0.259819753882515,13
International Hellenic University,Engineering,0.524204397880891,495
International Hellenic University,Finance,0.547972011756507,79
International Hellenic University,Information Technology,0.702336271839441,20
International Hellenic University,Marketing,0.5105914633035,16
International Hellenic University,Nursing,0.365558268433385,30
Ionian University,Business,0.526778738018366,52
Ionian University,Engineering,0.628155049957631,60
Ionian University,Information Technology,0.678934058835471,19
Mediterranean College,Business,0.415915576246671,36
Mediterranean College,Engineering,0.618303401755268,11
Merchant Marine Academy of Crete,Engineering,0.395676324228551,29
National Technical University of Athens,Architecture,0.479185454913395,73
National Technical University of Athens,Business,0.481517796795067,59
National Technical University of Athens,Education,0.370229823310676,12
National Technical University of Athens,Engineering,0.514116716561663,772
National Technical University of Athens,Marketing,0.515561890266887,13
National Technical University of Athens,Mathematics,0.532292640426074,68
National Technical University of Athens,Nursing,0.429647707765648,10
National Technical University of Athens,Physics,0.523934462707604,10
National and Kapodistrian University of Athens,Accounting,0.461396258856381,10
National and Kapodistrian University of Athens,Biology,0.497062493203152,118
National and Kapodistrian University of Athens,Business,0.495853808543204,148
National and Kapodistrian University of Athens,Chemistry,0.485774118869312,478
