university_name,field,exposure_firstjob_beta,n_people
Apor Vilmos Catholic College,Education,0.456945782035373,31
Budapest Business School,Accounting,0.531210507162185,89
Budapest Business School,Business,0.550389330287928,4075
Budapest Business School,Economics,0.534385929282785,1154
Budapest Business School,Education,0.520242055552962,31
Budapest Business School,Engineering,0.617690787453393,80
Budapest Business School,Finance,0.541252503953953,1145
Budapest Business School,Information Technology,0.681621764647735,77
Budapest Business School,Marketing,0.53365198384183,1027
Budapest Metropolitan University,Architecture,0.504365784989126,14
Budapest Metropolitan University,Business,0.535724330641764,839
Budapest Metropolitan University,Economics,0.547085253667634,241
Budapest Metropolitan University,Finance,0.497061127745215,43
Budapest Metropolitan University,Marketing,0.543074415328427,318
Budapest University of Technology and Economics,Architecture,0.515752810754198,83
Budapest University of Technology and Economics,Business,0.546401471422674,1510
Budapest University of Technology and Economics,Chemistry,0.459469675334764,17
Budapest University of Technology and Economics,Economics,0.56415440909482,419
Budapest University of Technology and Economics,Education,0.477149508315624,18
Budapest University of Technology and Economics,Engineering,0.562668874956087,7472
Budapest University of Technology and Economics,Finance,0.557587373815045,78
Budapest University of Technology and Economics,Information Technology,0.684513983529773,92
Budapest University of Technology and Economics,Marketing,0.496331542947224,10
Budapest University of Technology and Economics,Mathematics,0.623626012526572,118
Budapest University of Technology and Economics,Physics,0.586024471000406,103
College of Szolnok,Business,0.516092213925714,136
College of Szolnok,Economics,0.522647868100887,135
College of Szolnok,Engineering,0.492999729160611,11
College of Szolnok,Finance,0.542915410272243,44
College of Szolnok,Marketing,0.540812058319683,46
Corvinus University of Budapest,Accounting,0.55786732280437,34
Corvinus University of Budapest,Architecture,0.487579568519665,95
Corvinus University of Budapest,Business,0.566537391422045,3894
Corvinus University of Budapest,Economics,0.559749711536995,999
Corvinus University of Budapest,Education,0.523840699397483,12
Corvinus University of Budapest,Engineering,0.536070282033988,507
Corvinus University of Budapest,Finance,0.548081941621214,973
Corvinus University of Budapest,Information Technology,0.676753019627839,59
Corvinus University of Budapest,Law,0.520748308091503,11
Corvinus University of Budapest,Marketing,0.531170688906087,770
Corvinus University of Budapest,Mathematics,0.543416624575553,10
Dennis Gabor Applied University,Business,0.517834367926158,53
Dennis Gabor Applied University,Economics,0.52421091241768,10
Dennis Gabor Applied University,Engineering,0.65749978493683,119
Dennis Gabor Applied University,Information Technology,0.664925951989276,38
Dennis Gabor College,Business,0.661332932151245,22
Dennis Gabor College,Economics,0.519896131272353,10
Dennis Gabor College,Engineering,0.657972016019393,72
Dennis Gabor College,Information Technology,0.62247510339504,38
Edutus University,Business,0.540079031717517,184
Edutus University,Economics,0.538931524453515,105
Edutus University,Engineering,0.404014690052645,14
Edutus University,Marketing,0.518179453092342,96
Eszterházy Károly Catholic University,Business,0.517141655132021,38
Eszterházy Károly Catholic University,Economics,0.631896337386558,16
Eszterházy Károly Catholic University,Education,0.412830106965072,17
Eszterházy Károly Catholic University,Engineering,0.672129898377402,30
Eötvös József College,Engineering,0.528551691289508,27
Eötvös Loránd University,Biology,0.549211462198139,55
Eötvös Loránd University,Business,0.527904106693631,450
Eötvös Loránd University,Chemistry,0.517426312205624,210
Eötvös Loránd University,Economics,0.566510865980455,150
Eötvös Loránd University,Education,0.455775123724689,564
Eötvös Loránd University,Engineering,0.704246198597651,830
Eötvös Loránd University,Finance,0.5648891207635,16
Eötvös Loránd University,Information Technology,0.776494000039525,79
Eötvös Loránd University,Law,0.496135799356417,50
Eötvös Loránd University,Marketing,0.525549353559453,40
Eötvös Loránd University,Mathematics,0.637461456770545,276
Eötvös Loránd University,Physics,0.587437986701135,164
"Faculty of Engineering, University of Debrecen",Architecture,0.483784748443053,17
"Faculty of Engineering, University of Debrecen",Business,0.531385887403132,36
"Faculty of Engineering, University of Debrecen",Engineering,0.523399335689933,376
Heller Farkas College of Advanced Financial Studies,Business,0.535141451586403,15
Heller Farkas College of Advanced Financial Studies,Economics,0.530001122073334,23
Hungarian University of Agriculture and Life Sciences,Architecture,0.463881109846184,117
Hungarian University of Agriculture and Life Sciences,Business,0.532630526272194,850
Hungarian University of Agriculture and Life Sciences,Economics,0.531478925554668,303
Hungarian University of Agriculture and Life Sciences,Education,0.425025254535983,25
Hungarian University of Agriculture and Life Sciences,Engineering,0.498843333694967,1300
Hungarian University of Agriculture and Life Sciences,Finance,0.557177219610023,172
Hungarian University of Agriculture and Life Sciences,Marketing,0.543117071786393,103
International Business School,Business,0.531054820031659,983
International Business School,Economics,0.552834533532847,171
International Business School,Finance,0.532771762554378,112
International Business School,Marketing,0.505541165995614,47
John von Neumann University,Business,0.549678890381863,11
John von Neumann University,Engineering,0.604478135784067,29
Kandó Kálmán Faculty of Electrical Engineering at Óbuda University,Engineering,0.559055135618526,12
Kodolányi János University,Business,0.528969903867395,379
Kodolányi János University,Economics,0.523470947263278,220
Kodolányi János University,Education,0.568979681206077,31
Kodolányi János University,Marketing,0.470854459510959,16
Károli Gáspár University of the Reformed Church in Hungary,Business,0.587254855356177,129
Károli Gáspár University of the Reformed Church in Hungary,Education,0.436522775332338,44
Károli Gáspár University of the Reformed Church in Hungary,Marketing,0.504250545709753,11
Ludovika University of Public Service,Business,0.515609191156476,277
Ludovika University of Public Service,Engineering,0.502048100100477,98
Ludovika University of Public Service,Finance,0.507865861297052,21
Ludovika University of Public Service,Law,0.465813486250768,45
McDaniel College Budapest,Business,0.525398232128293,15
Milton Friedman University,Business,0.558626233370257,199
Milton Friedman University,Economics,0.53247286693921,31
Milton Friedman University,Engineering,0.694391347505236,13
Milton Friedman University,Finance,0.562045339624841,29
Moholy-Nagy University of Arts,Architecture,0.483357910265435,23
Neumann János University,Business,0.525596881180592,86
Neumann János University,Economics,0.48004765712159,13
Neumann János University,Engineering,0.562026610763921,363
Neumann János University,Finance,0.586040751198011,11
Neumann János University,Information Technology,0.746744726265889,19
Pázmány Péter Catholic University,Business,0.576034956595386,60
Pázmány Péter Catholic University,Education,0.434841924111919,31
Pázmány Péter Catholic University,Engineering,0.627754459295343,206
Pázmány Péter Catholic University,Information Technology,0.70841693870419,27
Pázmány Péter Catholic University,Law,0.526098994896572,62
Pázmány Péter Catholic University - Faculty of Information Technology and Bionics,Engineering,0.583707524122172,48
Semmelweis University,Business,0.478726462673054,124
Semmelweis University,Education,0.399851226682931,62
