university_name,field,exposure_firstjob_beta,n_people
Agricultural University of Iceland,Architecture,0.442206065817167,14
Bifröst University,Business,0.482935504412066,355
Bifröst University,Economics,0.507584568077637,33
Bifröst University,Law,0.458711319153909,24
Iceland Academy of the Arts,Architecture,0.486923875858827,56
Reykjavík University,Business,0.507941128902432,801
Reykjavík University,Economics,0.506196617912512,22
Reykjavík University,Engineering,0.595229246566211,1515
Reykjavík University,Finance,0.513292394206362,28
Reykjavík University,Law,0.465694505910518,259
Reykjavík University,Marketing,0.507932717358953,44
University of Akureyri,Business,0.475627259256002,274
University of Akureyri,Education,0.419804085893335,15
University of Akureyri,Engineering,0.690424324317316,16
University of Akureyri,Law,0.489656258684421,37
University of Akureyri,Nursing,0.363272351761124,28
University of Iceland,Accounting,0.521098750409471,34
University of Iceland,Biology,0.514929166000048,82
University of Iceland,Business,0.49144147023359,760
University of Iceland,Chemistry,0.461106055934514,34
University of Iceland,Economics,0.52552693920939,225
University of Iceland,Education,0.418430671668278,169
University of Iceland,Engineering,0.553566123876741,1063
University of Iceland,Finance,0.536226585308187,45
University of Iceland,Law,0.462868580801979,308
University of Iceland,Marketing,0.505443831239061,46
University of Iceland,Mathematics,0.553147989121333,58
University of Iceland,Medicine,0.463320067653988,11
University of Iceland,Nursing,0.40518254906845,87
University of Iceland,Physics,0.60421682442371,39
University of Iceland (Háskóli Íslands),Business,0.514161620696528,12
University of Iceland (Háskóli Íslands),Engineering,0.579173774956087,33
