university_name,field,exposure_alljobs_beta,n_people
Agricultural University of Iceland,Architecture,0.439297158957901,14
Bifröst University,Business,0.487572860186479,355
Bifröst University,Economics,0.511883549880921,33
Bifröst University,Law,0.461448111494708,24
Iceland Academy of the Arts,Architecture,0.48866532709644,56
Reykjavík University,Business,0.503932594043545,801
Reykjavík University,Economics,0.531431256752817,22
Reykjavík University,Engineering,0.599755580022815,1515
Reykjavík University,Finance,0.511462816757992,28
Reykjavík University,Law,0.459517817542332,259
Reykjavík University,Marketing,0.508305603800566,44
University of Akureyri,Business,0.472864351966727,274
University of Akureyri,Education,0.437739607357007,15
University of Akureyri,Engineering,0.673012023067709,16
University of Akureyri,Law,0.486555285807164,37
University of Akureyri,Nursing,0.368557939412071,28
University of Iceland,Accounting,0.525424056220421,34
University of Iceland,Biology,0.50876625994559,82
University of Iceland,Business,0.493678009528935,760
University of Iceland,Chemistry,0.464491039618541,34
University of Iceland,Economics,0.528165805287673,225
University of Iceland,Education,0.419826673366494,169
University of Iceland,Engineering,0.556441325450946,1063
University of Iceland,Finance,0.531987438576806,45
University of Iceland,Law,0.456294219458847,308
University of Iceland,Marketing,0.484242396726544,46
University of Iceland,Mathematics,0.556828937828054,58
University of Iceland,Medicine,0.448257550483347,11
University of Iceland,Nursing,0.40039469982021,87
University of Iceland,Physics,0.60083106269017,39
University of Iceland (Háskóli Íslands),Business,0.513909389023664,12
University of Iceland (Háskóli Íslands),Engineering,0.594710540120373,33
