university_name,field,exposure_firstjob_beta,n_people
"A & M Institute of Management & Technology, Pathankot",Business,0.455665569806756,10
"A B N SEAL COLLEGE, COOCHBEHAR",Physics,0.4492274032179,11
A C PATIL College of Engineering,Engineering,0.617437154649614,320
A C PATIL College of Engineering,Information Technology,0.693837190029952,21
A C T College of Engineering and Technology,Engineering,0.605059346835198,25
A G PATIL INSTITUTE OF TECHNOLOGY 18 2A2 PRATANAGER SOREGON ROAD,Engineering,0.589341236821595,157
A J Institute of Medical Sciences,Medicine,0.439518128737546,25
"A M C College of Engineering, BANGALORE",Engineering,0.690279454315354,26
A R Engineering College,Engineering,0.560330503268046,46
"A S COLLEGE, DEOGHAR",Accounting,0.581447774996478,11
A. C. Patil College of Engineering  Navi Mumbai-410 210,Engineering,0.60840505045659,1117
A. C. Patil College of Engineering  Navi Mumbai-410 210,Information Technology,0.711727104905553,25
"A. P. Shah Institute of Technology, Thane",Engineering,0.598964138379599,444
"A. P. Shah Institute of Technology, Thane",Information Technology,0.691518206302471,14
A.D. Patel Institute of Technology,Engineering,0.553427265542504,1661
A.D. Patel Institute of Technology,Information Technology,0.696993676001123,51
"A.J. College of Science and Technology, Thonnakkal, Thiruvananthapuram",Engineering,0.59238212590663,12
"A.K.R.G. College of Engineering and Technology, Nallajerla-534112, (CC-HK)",Engineering,0.599175510587947,48
A.K.T. Memorial College of Education,Engineering,0.594180678265834,45
A.K.T. Memorial College of Engineering & Technology,Engineering,0.545123162021797,40
A.M. Reddy Memorial College of Engineering and Technology,Engineering,0.666897546578815,53
"A.M.C College, 18th Km. Bannerghatta Road, Bangalore-83",Engineering,0.607931608965977,52
A.R.J. College of Engineering and Technology,Engineering,0.566538647579929,93
A.S. College,Accounting,0.525535804926257,10
A.S. College,Engineering,0.705843643773924,16
"A.S.N. Women's Engineering College, Kamala Educational Society, Tenali",Engineering,0.756288387461364,23
"A.V. College of Arts, Science & Commerce",Accounting,0.529490093462948,10
"A.V. College of Arts, Science & Commerce",Chemistry,0.582128852586186,10
"A.V. College of Arts, Science & Commerce",Engineering,0.605351201379757,60
"A.V. College of Arts, Science & Commerce",Finance,0.524153816884949,16
A.V.C. College of Engineering,Engineering,0.587637777282231,299
A.V.C. College of Engineering,Information Technology,0.732341896349073,38
"A.V.Parekh Technical Institute,Rajkot 602",Engineering,0.588929275163915,11
A.V.S College of Arts & Science,Engineering,0.624282827991368,35
"A.V.V.M. Sri Pushpam College, Poondi",Business,0.554019067234258,15
"A.V.V.M. Sri Pushpam College, Poondi",Chemistry,0.394161046890029,22
"A.V.V.M. Sri Pushpam College, Poondi",Engineering,0.648871049917326,61
"A.V.V.M. Sri Pushpam College, Poondi",Mathematics,0.575531279702753,12
"A.V.V.M. Sri Pushpam College, Poondi",Physics,0.503852192208396,13
"A1 Global Institute of Engineering & Technology, Markapur- 523316 (CC-7Y)",Engineering,0.614971481368669,77
AAA COLLEGE OF ENGINEERING AND TECHNOLOGY,Engineering,0.597461879456357,252
AAKASH INSTITUTE,Medicine,0.558087663241921,10
"AARYA-VEER COLLEGE OF ENGINEERING & TECHNOLOGY,RAJKOT",Engineering,0.463013065393853,19
AAT College,Engineering,0.559868737934406,10
ABACUS Institute of Engineering and Management 240,Engineering,0.578519794002908,158
ABBS Bangalore,Business,0.563610293616164,23
ABES Engineering College,Business,0.569191248212046,19
ABES Engineering College,Engineering,0.620778031979295,3359
ABES Engineering College,Information Technology,0.675325056265636,503
ABESIT,Engineering,0.610435588076627,1130
ABESIT,Information Technology,0.667152657736806,196
