university_name,field,exposure_alljobs_beta,n_people
"A & M Institute of Management & Technology, Pathankot",Business,0.45155841570043,10
"A B N SEAL COLLEGE, COOCHBEHAR",Physics,0.471031493109081,11
A C PATIL College of Engineering,Engineering,0.616687343634796,320
A C PATIL College of Engineering,Information Technology,0.674917394217743,21
A C T College of Engineering and Technology,Engineering,0.586378102853252,25
A G PATIL INSTITUTE OF TECHNOLOGY 18 2A2 PRATANAGER SOREGON ROAD,Engineering,0.59400129471736,157
A J Institute of Medical Sciences,Medicine,0.44950515343066,25
"A M C College of Engineering, BANGALORE",Engineering,0.701643024727222,26
A R Engineering College,Engineering,0.557180636471063,46
"A S COLLEGE, DEOGHAR",Accounting,0.579498591621884,11
A. C. Patil College of Engineering  Navi Mumbai-410 210,Engineering,0.610631036588472,1117
A. C. Patil College of Engineering  Navi Mumbai-410 210,Information Technology,0.7168186769944,25
"A. P. Shah Institute of Technology, Thane",Engineering,0.605059929179561,444
"A. P. Shah Institute of Technology, Thane",Information Technology,0.690988542910055,14
A.D. Patel Institute of Technology,Engineering,0.557091036290555,1661
A.D. Patel Institute of Technology,Information Technology,0.691116798557361,51
"A.J. College of Science and Technology, Thonnakkal, Thiruvananthapuram",Engineering,0.603586120581983,12
"A.K.R.G. College of Engineering and Technology, Nallajerla-534112, (CC-HK)",Engineering,0.596997001838138,48
A.K.T. Memorial College of Education,Engineering,0.592656288033985,45
A.K.T. Memorial College of Engineering & Technology,Engineering,0.551092923106788,40
A.M. Reddy Memorial College of Engineering and Technology,Engineering,0.663916685952032,53
"A.M.C College, 18th Km. Bannerghatta Road, Bangalore-83",Engineering,0.620797285130161,52
A.R.J. College of Engineering and Technology,Engineering,0.569703866600049,93
A.S. College,Accounting,0.511352309791366,10
A.S. College,Engineering,0.706483452347827,16
"A.S.N. Women's Engineering College, Kamala Educational Society, Tenali",Engineering,0.752483476374942,23
"A.V. College of Arts, Science & Commerce",Accounting,0.542032489580719,10
"A.V. College of Arts, Science & Commerce",Chemistry,0.572853559977257,10
"A.V. College of Arts, Science & Commerce",Engineering,0.607724139937073,60
"A.V. College of Arts, Science & Commerce",Finance,0.539710510119091,16
A.V.C. College of Engineering,Engineering,0.594883530804639,299
A.V.C. College of Engineering,Information Technology,0.729496527825701,38
"A.V.Parekh Technical Institute,Rajkot 602",Engineering,0.583534789327766,11
