university_name,field,exposure_firstjob_beta,n_people
17 August 1945 University Banyuwangi,Business,0.495286124842388,14
17 August 1945 University Cirebon,Business,0.537618189171889,24
17 August 1945 University Cirebon,Engineering,0.35450107754912,54
17 August 1945 University Samarinda,Accounting,0.535812920704114,10
17 August 1945 University Samarinda,Business,0.458248244723447,14
17 August 1945 University Samarinda,Engineering,0.406040311849812,15
17 August 1945 University Samarinda,Law,0.472845973762808,20
17 August 1945 University Semarang,Accounting,0.615665629628287,16
17 August 1945 University Semarang,Architecture,0.457553984159392,15
17 August 1945 University Semarang,Business,0.474114376439011,31
17 August 1945 University Semarang,Engineering,0.448055912293252,54
17 August 1945 University Semarang,Law,0.513318562832434,63
17 August 1945 University Surabaya,Accounting,0.559360654091746,59
17 August 1945 University Surabaya,Architecture,0.480445263157564,42
17 August 1945 University Surabaya,Business,0.509936580594565,126
17 August 1945 University Surabaya,Economics,0.488810108431856,32
17 August 1945 University Surabaya,Engineering,0.486537459808004,287
17 August 1945 University Surabaya,Information Technology,0.652426834054131,72
17 August 1945 University Surabaya,Law,0.499619384912715,57
AKPRIND Institute of Science and Technology,Engineering,0.469260410389405,179
AKPRIND Institute of Science and Technology,Information Technology,0.571262336747515,11
Adhi Tama Institute of Technology Surabaya,Architecture,0.469150149461142,60
Adhi Tama Institute of Technology Surabaya,Engineering,0.467200149788425,452
Adhi Tama Institute of Technology Surabaya,Information Technology,0.64337050889,84
Adi Buana PGRI University,Accounting,0.577482588630874,17
Adi Buana PGRI University,Business,0.475867778034565,33
Adi Buana PGRI University,Education,0.481629487756158,109
Adi Buana PGRI University,Engineering,0.429260476953923,57
Adi Buana PGRI University,Statistics,0.618764244363077,12
Adventist University of Indonesia,Accounting,0.543378574111526,481
Adventist University of Indonesia,Business,0.532744602915507,80
Adventist University of Indonesia,Economics,0.535893996176766,51
Adventist University of Indonesia,Education,0.421670955772746,69
Adventist University of Indonesia,Engineering,0.601277198743249,31
Adventist University of Indonesia,Finance,0.549789210092996,83
Adventist University of Indonesia,Information Technology,0.637288589434202,71
Adventist University of Indonesia,Nursing,0.405076162288739,97
Ahmad Dahlan University,Accounting,0.55548592226571,150
Ahmad Dahlan University,Biology,0.474803349103462,21
Ahmad Dahlan University,Business,0.528113907366587,145
Ahmad Dahlan University,Economics,0.523469253343822,56
Ahmad Dahlan University,Education,0.505530936273734,319
Ahmad Dahlan University,Engineering,0.544209323712944,424
Ahmad Dahlan University,Finance,0.575690116339175,25
Ahmad Dahlan University,Information Technology,0.592557323832442,51
Ahmad Dahlan University,Law,0.535055442693818,44
Ahmad Dahlan University,Marketing,0.52058094601799,11
Ahmad Dahlan University,Mathematics,0.480496979431687,26
Airlangga University,Accounting,0.534762670344533,1279
Airlangga University,Biology,0.521959054233942,39
Airlangga University,Business,0.519582139029389,1272
Airlangga University,Chemistry,0.504432241099481,284
Airlangga University,Economics,0.535339992874271,870
Airlangga University,Education,0.45727820029168,58
Airlangga University,Engineering,0.526862458462209,387
Airlangga University,Finance,0.529358019106469,163
Airlangga University,Information Technology,0.632661592340352,20
Airlangga University,Law,0.50450880073122,608
