university_name,field,exposure_alljobs_beta,n_people
17 August 1945 University Banyuwangi,Business,0.497016320955801,14
17 August 1945 University Cirebon,Business,0.531772044333505,24
17 August 1945 University Cirebon,Engineering,0.375794937938543,54
17 August 1945 University Samarinda,Accounting,0.537478101243874,10
17 August 1945 University Samarinda,Business,0.473487155852197,14
17 August 1945 University Samarinda,Engineering,0.410371259537448,15
17 August 1945 University Samarinda,Law,0.476761816118877,20
17 August 1945 University Semarang,Accounting,0.589464938962204,16
17 August 1945 University Semarang,Architecture,0.451699324635936,15
17 August 1945 University Semarang,Business,0.47963490475962,31
17 August 1945 University Semarang,Engineering,0.455997174714672,54
17 August 1945 University Semarang,Law,0.522447713973056,63
17 August 1945 University Surabaya,Accounting,0.566842406488679,59
17 August 1945 University Surabaya,Architecture,0.467684670805617,42
17 August 1945 University Surabaya,Business,0.50655251835735,126
17 August 1945 University Surabaya,Economics,0.496085841835024,32
17 August 1945 University Surabaya,Engineering,0.484606195113787,287
17 August 1945 University Surabaya,Information Technology,0.651054333450591,72
17 August 1945 University Surabaya,Law,0.501771586660661,57
AKPRIND Institute of Science and Technology,Engineering,0.464166252219921,179
AKPRIND Institute of Science and Technology,Information Technology,0.572261178802526,11
Adhi Tama Institute of Technology Surabaya,Architecture,0.46184405175604,60
Adhi Tama Institute of Technology Surabaya,Engineering,0.467946768316836,452
Adhi Tama Institute of Technology Surabaya,Information Technology,0.651354393750056,84
Adi Buana PGRI University,Accounting,0.589435296359263,17
Adi Buana PGRI University,Business,0.476674582593974,33
Adi Buana PGRI University,Education,0.479778558994289,109
Adi Buana PGRI University,Engineering,0.426127998779639,57
Adi Buana PGRI University,Statistics,0.636924035737398,12
Adventist University of Indonesia,Accounting,0.541975670584968,481
Adventist University of Indonesia,Business,0.536646620332585,80
Adventist University of Indonesia,Economics,0.537891156072397,51
Adventist University of Indonesia,Education,0.418561934463784,69
Adventist University of Indonesia,Engineering,0.606070857495976,31
Adventist University of Indonesia,Finance,0.548591028505507,83
Adventist University of Indonesia,Information Technology,0.638835802605274,71
Adventist University of Indonesia,Nursing,0.411548995267986,97
Ahmad Dahlan University,Accounting,0.555090273702946,150
Ahmad Dahlan University,Biology,0.485356811866414,21
Ahmad Dahlan University,Business,0.527054987625409,145
Ahmad Dahlan University,Economics,0.525337470177116,56
Ahmad Dahlan University,Education,0.508469959118984,319
Ahmad Dahlan University,Engineering,0.543577375064847,424
Ahmad Dahlan University,Finance,0.58162064254606,25
Ahmad Dahlan University,Information Technology,0.592371091008076,51
Ahmad Dahlan University,Law,0.530709425627085,44
Ahmad Dahlan University,Marketing,0.510216728374416,11
Ahmad Dahlan University,Mathematics,0.477700850204298,26
Airlangga University,Accounting,0.53569480270971,1279
Airlangga University,Biology,0.524740832598138,39
Airlangga University,Business,0.520404119168892,1272
Airlangga University,Chemistry,0.505290499740844,284
Airlangga University,Economics,0.536720955598484,870
Airlangga University,Education,0.441562116284114,58
Airlangga University,Engineering,0.53093464146394,387
Airlangga University,Finance,0.527154516607405,163
Airlangga University,Information Technology,0.65007755766583,20
Airlangga University,Law,0.504251305500241,608
Airlangga University,Marketing,0.504887852939287,34
Airlangga University,Mathematics,0.567030362054709,170
Airlangga University,Medicine,0.416292278505865,571
Airlangga University,Nursing,0.430137072580504,137
Airlangga University,Physics,0.508574855850805,125
Airlangga University,Statistics,0.588934129045804,103
Akademi Pariwisata Indonesia,Business,0.463082177471287,11
Akademi Teknik Mesin Industri,Engineering,0.453490728529972,77
Akamigas Balongan,Engineering,0.358255912908793,20
Aki University,Business,0.560679897919674,10
Aki University,Engineering,0.53316612539613,18
Aki University,Information Technology,0.572748439667504,23
Al-Azhar University Indonesia,Accounting,0.533411738406553,110
Al-Azhar University Indonesia,Biology,0.497411988707762,13
Al-Azhar University Indonesia,Business,0.544375842879741,181
Al-Azhar University Indonesia,Economics,0.555248809176572,58
Al-Azhar University Indonesia,Education,0.393761623103103,18
Al-Azhar University Indonesia,Engineering,0.559350379693767,241
Al-Azhar University Indonesia,Finance,0.551655638912725,24
Al-Azhar University Indonesia,Information Technology,0.646029824903061,35
Al-Azhar University Indonesia,Law,0.51008266118702,116
Al-Azhar University Indonesia,Marketing,0.526793556627363,63
Al-Qur'an University of Science,Business,0.469435663824118,11
Amikom Purwokerto University,Engineering,0.567753215664084,61
Amikom Purwokerto University,Information Technology,0.613820334701043,25
Amikom University of Yogyakarta,Business,0.574064231636295,80
Amikom University of Yogyakarta,Engineering,0.614730082670947,533
Amikom University of Yogyakarta,Information Technology,0.630279088497424,382
Amir Hamzah University,Engineering,0.392452130507077,11
Andalas University,Accounting,0.547681392207453,546
Andalas University,Biology,0.494391928943133,42
Andalas University,Business,0.531027665837008,507
Andalas University,Chemistry,0.509113233160888,289
Andalas University,Economics,0.536218019027407,320
Andalas University,Education,0.547157936016138,13
Andalas University,Engineering,0.484726713123143,2233
Andalas University,Finance,0.537999674155719,61
Andalas University,Information Technology,0.723949675898944,29
Andalas University,Law,0.513815417633229,517
Andalas University,Marketing,0.526563622779837,22
Andalas University,Mathematics,0.548994925532212,117
Andalas University,Medicine,0.445882745167107,67
Andalas University,Nursing,0.422935169997921,46
Andalas University,Physics,0.528177522638783,97
Andalas University,Statistics,0.594119754844046,13
Ar-Raniry State Islamic University,Architecture,0.49165556094452,14
Ar-Raniry State Islamic University,Economics,0.510980336480516,19
Ar-Raniry State Islamic University,Education,0.487956478424296,120
Ar-Raniry State Islamic University,Engineering,0.543315793127787,13
Ar-Raniry State Islamic University,Information Technology,0.565457836978771,11
Ar-Raniry State Islamic University,Law,0.508743007079833,21
Asian Banking Finance & Informatics Institute Perbanas,Accounting,0.5493609053507,909
Asian Banking Finance & Informatics Institute Perbanas,Business,0.549477780489558,801
Asian Banking Finance & Informatics Institute Perbanas,Economics,0.544561463222222,268
Asian Banking Finance & Informatics Institute Perbanas,Engineering,0.638104164086163,46
Asian Banking Finance & Informatics Institute Perbanas,Finance,0.537683947472408,227
Asian Banking Finance & Informatics Institute Perbanas,Information Technology,0.638819238106051,67
Asian Banking Finance & Informatics Institute Perbanas,Marketing,0.542817398833731,34
Atma Jaya Catholic University of Indonesia,Accounting,0.538212624835925,2194
Atma Jaya Catholic University of Indonesia,Biology,0.489095992293237,15
Atma Jaya Catholic University of Indonesia,Business,0.521599615971837,1886
Atma Jaya Catholic University of Indonesia,Economics,0.536148262129432,714
Atma Jaya Catholic University of Indonesia,Education,0.444020909900327,366
Atma Jaya Catholic University of Indonesia,Engineering,0.52344350860558,1628
Atma Jaya Catholic University of Indonesia,Finance,0.534240109960422,385
Atma Jaya Catholic University of Indonesia,Law,0.499831025539792,1124
Atma Jaya Catholic University of Indonesia,Marketing,0.527600584801225,136
Atma Jaya Catholic University of Indonesia,Medicine,0.50399055930291,145
Atma Jaya Makassar University,Accounting,0.507467633269721,83
Atma Jaya Makassar University,Business,0.529922442915965,55
Atma Jaya Makassar University,Economics,0.527612877891744,25
Atma Jaya Makassar University,Engineering,0.469612275397825,38
Atma Jaya Makassar University,Finance,0.497929324791493,12
Atma Jaya Makassar University,Information Technology,0.609207203856036,23
Atma Jaya Makassar University,Law,0.515540231785379,29
Atma Jaya Yogyakarta University,Accounting,0.536623363390088,775
Atma Jaya Yogyakarta University,Architecture,0.492121992927397,538
