university_name,field,exposure_firstjob_beta,n_people
Abrar University,Engineering,0.59700214747849,66
Ahrar Institute of Technology and Higher Education,Architecture,0.529154454722372,15
Ahrar Institute of Technology and Higher Education,Engineering,0.577252877630489,73
Alborz Highschool,Engineering,0.422086233637234,12
Alborz University,Business,0.445071065326006,14
Alborz University,Engineering,0.486391612007302,24
Alborz University of Medical Sciences,Engineering,0.540162551768845,18
Ale-Taha Institute of Higher Education,Engineering,0.582980500896743,27
Allameh Tabataba'i University,Accounting,0.526139672241244,128
Allameh Tabataba'i University,Business,0.528135261810493,698
Allameh Tabataba'i University,Economics,0.532009738360096,385
Allameh Tabataba'i University,Education,0.402766970938286,35
Allameh Tabataba'i University,Engineering,0.555614656591989,107
Allameh Tabataba'i University,Finance,0.551754801956916,25
Allameh Tabataba'i University,Information Technology,0.567181566849861,27
Allameh Tabataba'i University,Law,0.468064241430276,171
Allameh Tabataba'i University,Statistics,0.567189809367008,98
Allaodole Semnani Institute of Higher Education,Architecture,0.478985299429409,16
Allaodole Semnani Institute of Higher Education,Engineering,0.469194238584915,17
Alzahra University,Accounting,0.526220514409218,69
Alzahra University,Architecture,0.502933306240279,14
Alzahra University,Biology,0.503604375978413,56
Alzahra University,Business,0.51734541488134,111
Alzahra University,Chemistry,0.51435568737912,100
Alzahra University,Economics,0.483233912138961,67
Alzahra University,Education,0.354609653904601,16
Alzahra University,Engineering,0.597209935305447,565
Alzahra University,Finance,0.555354014391284,10
Alzahra University,Information Technology,0.676031763586866,14
Alzahra University,Law,0.520197842242968,23
Alzahra University,Mathematics,0.544558409567382,80
Alzahra University,Physics,0.494389624537313,70
Alzahra University,Statistics,0.561793661725087,21
Amirkabir University of Technology,Business,0.537289828376587,17
Amirkabir University of Technology,Chemistry,0.469648416958257,11
Amirkabir University of Technology,Engineering,0.543572308890251,4636
Amirkabir University of Technology,Information Technology,0.663822755160421,74
Amirkabir University of Technology,Mathematics,0.563972845068016,124
Amirkabir University of Technology,Physics,0.560887723482567,100
Amol University of Special Modern Technologies,Biology,0.442619816263568,10
Amol University of Special Modern Technologies,Engineering,0.582085003498932,29
Arak University,Accounting,0.538132601197276,12
Arak University,Architecture,0.518243705470282,12
Arak University,Biology,0.547232220289424,17
Arak University,Business,0.490383318797525,14
