university_name,field,exposure_alljobs_beta,n_people
Abrar University,Engineering,0.604734530105784,66
Ahrar Institute of Technology and Higher Education,Architecture,0.513324757074481,15
Ahrar Institute of Technology and Higher Education,Engineering,0.586681772111631,73
Alborz Highschool,Engineering,0.450173699287806,12
Alborz University,Business,0.455410893700303,14
Alborz University,Engineering,0.486152871858139,24
Alborz University of Medical Sciences,Engineering,0.542769353330542,18
Ale-Taha Institute of Higher Education,Engineering,0.595692771835597,27
Allameh Tabataba'i University,Accounting,0.522973425937575,128
Allameh Tabataba'i University,Business,0.526773288844751,698
Allameh Tabataba'i University,Economics,0.535147917620906,385
Allameh Tabataba'i University,Education,0.417465222633617,35
Allameh Tabataba'i University,Engineering,0.546793364343611,107
Allameh Tabataba'i University,Finance,0.553034275197321,25
Allameh Tabataba'i University,Information Technology,0.578695286446057,27
Allameh Tabataba'i University,Law,0.46766607515823,171
Allameh Tabataba'i University,Statistics,0.567934961454952,98
Allaodole Semnani Institute of Higher Education,Architecture,0.481026074244547,16
Allaodole Semnani Institute of Higher Education,Engineering,0.487759670185463,17
Alzahra University,Accounting,0.529676842409269,69
Alzahra University,Architecture,0.505548077205422,14
Alzahra University,Biology,0.505781616302491,56
Alzahra University,Business,0.517143510919121,111
Alzahra University,Chemistry,0.511446687089228,100
Alzahra University,Economics,0.487023411395212,67
Alzahra University,Education,0.387631346009919,16
Alzahra University,Engineering,0.600622624480666,565
Alzahra University,Finance,0.555354014391284,10
Alzahra University,Information Technology,0.687983569865134,14
Alzahra University,Law,0.511799391268055,23
Alzahra University,Mathematics,0.553903994399543,80
Alzahra University,Physics,0.498169898511789,70
Alzahra University,Statistics,0.579968701665812,21
Amirkabir University of Technology,Business,0.543264896458622,17
Amirkabir University of Technology,Chemistry,0.481288038504386,11
Amirkabir University of Technology,Engineering,0.543484771742326,4636
Amirkabir University of Technology,Information Technology,0.663756138051876,74
Amirkabir University of Technology,Mathematics,0.569395891977298,124
Amirkabir University of Technology,Physics,0.55985359910306,100
Amol University of Special Modern Technologies,Biology,0.422355347088919,10
Amol University of Special Modern Technologies,Engineering,0.595099939975488,29
Arak University,Accounting,0.556509487148834,12
Arak University,Architecture,0.508868932794536,12
Arak University,Biology,0.537283775841317,17
Arak University,Business,0.501827473863534,14
Arak University,Chemistry,0.482816156242039,53
Arak University,Education,0.490245497137881,10
Arak University,Engineering,0.529075744731364,1143
Arak University,Mathematics,0.532280358182185,41
Arak University,Physics,0.545649969349222,42
Arak University of Medical Sciences,Nursing,0.32985092139058,27
Ardabil University of Medical Sciences,Nursing,0.368044922231651,13
Ardakan University,Engineering,0.614386952802357,33
Art University of Isfahan,Architecture,0.4955411636343,137
Art University of Isfahan,Engineering,0.503930472589987,54
Asrar Institute of Higher Education,Engineering,0.523443325629391,12
Ayatolah Borujerdei University,Economics,0.515266053298531,14
Ayatolah Borujerdei University,Engineering,0.542354765347196,81
Azarbaijan Shahid Madani University,Biology,0.458667267185024,10
Azarbaijan Shahid Madani University,Chemistry,0.495443575072257,15
Azarbaijan Shahid Madani University,Engineering,0.539571124717625,110
Azarbaijan Shahid Madani University,Information Technology,0.686460180191978,22
Babol Noshirvani University of Technology,Architecture,0.471717606184432,15
Babol Noshirvani University of Technology,Engineering,0.528652790459499,1250
Babol University of Medical Sciences,Engineering,0.527406039481963,16
Babol University of Medical Sciences,Nursing,0.369793637749026,28
Baha'i Institute for  Higher Education (BIHE),Accounting,0.513861647774569,16
Baha'i Institute for  Higher Education (BIHE),Architecture,0.474467902594329,14
Baha'i Institute for  Higher Education (BIHE),Business,0.532455855467782,17
Baha'i Institute for  Higher Education (BIHE),Engineering,0.588396184550207,61
Bahar Educational Institute,Engineering,0.592367596358062,15
Behbahan Khatam Alanbia University of Technology,Engineering,0.514636122537121,16
Birjand University of Medical Sciences,Nursing,0.371906474647591,24
Birjand University of Technology,Engineering,0.57590079306522,112
Bozorgmehr University of Qaenat,Engineering,0.722641684635495,10
Bu-Ali Sina University,Accounting,0.523532250758763,28
Bu-Ali Sina University,Architecture,0.480679364993967,72
Bu-Ali Sina University,Biology,0.507585050228629,14
Bu-Ali Sina University,Business,0.509878477078499,13
Bu-Ali Sina University,Chemistry,0.505385237175435,77
Bu-Ali Sina University,Economics,0.510985103179616,56
Bu-Ali Sina University,Education,0.49143810264267,10
Bu-Ali Sina University,Engineering,0.540866953647167,1012
Bu-Ali Sina University,Information Technology,0.637089298719709,16
Bu-Ali Sina University,Law,0.468601174473799,29
Bu-Ali Sina University,Mathematics,0.549113541177552,26
Bu-Ali Sina University,Physics,0.506210704877744,82
Bu-Ali Sina University,Statistics,0.674273683606003,17
Buein Zahra Technical University,Engineering,0.591992586284053,234
Buein Zahra Technical University,Information Technology,0.738887989740706,11
Bushehr Province University of Medical Sciences,Engineering,0.515155531216201,13
Bushehr Province University of Medical Sciences,Nursing,0.331914813186065,15
Chabahar Maritime University,Business,0.526631736495561,28
Chabahar Maritime University,Engineering,0.445688191614603,73
"Civil Aviation Technology College (CATC), IR",Engineering,0.43388694768955,70
"Civil Engineering Faculty, Shahid Rajaee Teacher Training University",Engineering,0.497868453001472,18
Damghan University,Biology,0.561088258822405,21
Damghan University,Chemistry,0.519517950608764,36
Damghan University,Engineering,0.610080321509658,197
Damghan University,Mathematics,0.537028579380978,25
Damghan University,Physics,0.534311448631355,28
