university_name,field,exposure_alljobs_beta,n_people
American College Dublin,Business,0.500360851126967,64
Athlone Institute of Technology,Accounting,0.527312291774899,80
Athlone Institute of Technology,Business,0.463837502949336,608
Athlone Institute of Technology,Education,0.403195249674766,19
Athlone Institute of Technology,Engineering,0.500221033688467,238
Athlone Institute of Technology,Finance,0.521738594639371,24
Athlone Institute of Technology,Law,0.535039474976744,21
Athlone Institute of Technology,Nursing,0.390484600840607,73
Atlantic Technological University,Accounting,0.516116157803655,53
Atlantic Technological University,Architecture,0.388635897429964,13
Atlantic Technological University,Biology,0.430960244963503,37
Atlantic Technological University,Business,0.483717584282718,962
Atlantic Technological University,Chemistry,0.518989473305704,22
Atlantic Technological University,Economics,0.47543660546264,13
Atlantic Technological University,Education,0.316877256572491,63
Atlantic Technological University,Engineering,0.518900845138435,756
Atlantic Technological University,Finance,0.488794597570216,18
Atlantic Technological University,Information Technology,0.603314339035098,38
Atlantic Technological University,Law,0.517987551145993,198
Atlantic Technological University,Marketing,0.468107259551529,40
Atlantic Technological University,Nursing,0.339094572145297,128
Atlantic Technological University,Physics,0.440668103931123,12
Ballyfermot College of Further Education,Business,0.520750552865511,65
CCT College Dublin,Business,0.458134864373773,423
CCT College Dublin,Engineering,0.560675338351972,75
CCT College Dublin,Information Technology,0.528290645741979,277
Carlow Institute of Technology,Accounting,0.531689365493271,140
Carlow Institute of Technology,Architecture,0.469870157648605,15
Carlow Institute of Technology,Biology,0.474582592547168,26
Carlow Institute of Technology,Business,0.482637423607112,1476
Carlow Institute of Technology,Chemistry,0.468645894575294,21
Carlow Institute of Technology,Education,0.360527811984582,245
Carlow Institute of Technology,Engineering,0.526354889890732,795
Carlow Institute of Technology,Finance,0.525798535721142,29
Carlow Institute of Technology,Information Technology,0.586927647142167,12
Carlow Institute of Technology,Law,0.521894084933531,177
Carlow Institute of Technology,Marketing,0.487493051973854,70
"Dhún Laoghaire Institute of Art, Design and Technology",Business,0.490197989930007,824
"Dhún Laoghaire Institute of Art, Design and Technology",Engineering,0.558094552304696,193
"Dhún Laoghaire Institute of Art, Design and Technology",Information Technology,0.572916356832993,25
Dorset College,Business,0.486856663037872,53
Dorset College Dublin,Business,0.500535906601628,404
Dorset College Dublin,Engineering,0.480605254866253,35
Dublin Business School,Accounting,0.537996563914157,18
Dublin Business School,Business,0.520400339624047,1656
Dublin Business School,Engineering,0.597936174767296,40
Dublin Business School,Finance,0.541379938020281,543
Dublin Business School,Law,0.523872526822171,159
Dublin Business School,Marketing,0.515522738092933,367
Dublin City University,Accounting,0.540262785873987,13
Dublin City University,Biology,0.457482568087187,187
Dublin City University,Business,0.518700289431094,2630
Dublin City University,Chemistry,0.479982831113487,128
Dublin City University,Economics,0.526901720280209,45
Dublin City University,Education,0.389108279095887,973
Dublin City University,Engineering,0.582512039737834,1223
Dublin City University,Finance,0.525049421347734,1013
Dublin City University,Information Technology,0.588374164720013,192
Dublin City University,Law,0.50904985078883,925
Dublin City University,Marketing,0.512806101007694,178
Dublin City University,Mathematics,0.615099510238965,227
Dublin City University,Nursing,0.382899986176902,447
Dublin City University,Physics,0.522772881236331,167
Dundalk Institute of Technology,Accounting,0.51880387584316,18
Dundalk Institute of Technology,Biology,0.455483133261145,29
Dundalk Institute of Technology,Business,0.503166691463565,1631
Dundalk Institute of Technology,Education,0.362164565977128,41
Dundalk Institute of Technology,Engineering,0.513507837534444,744
Dundalk Institute of Technology,Finance,0.531511102917409,390
Dundalk Institute of Technology,Information Technology,0.618402194912854,12
Dundalk Institute of Technology,Marketing,0.505209708135467,72
Dundalk Institute of Technology,Nursing,0.342275938234203,251
Galway Business School,Business,0.474128119255933,115
Galway-Mayo Institute of Technology,Accounting,0.502326981756145,101
Galway-Mayo Institute of Technology,Architecture,0.481154322747996,11
Galway-Mayo Institute of Technology,Biology,0.448251817099459,338
Galway-Mayo Institute of Technology,Business,0.492337823188873,2920
Galway-Mayo Institute of Technology,Chemistry,0.44125806404174,39
Galway-Mayo Institute of Technology,Economics,0.47208867700684,125
Galway-Mayo Institute of Technology,Education,0.375060455142744,101
Galway-Mayo Institute of Technology,Engineering,0.484757747028435,1161
Galway-Mayo Institute of Technology,Finance,0.512591839094992,57
Galway-Mayo Institute of Technology,Information Technology,0.613505572863358,60
Galway-Mayo Institute of Technology,Marketing,0.463864389879131,66
Galway-Mayo Institute of Technology,Nursing,0.371375133626216,56
Galway-Mayo Institute of Technology,Physics,0.451715980961959,69
Griffith College Cork,Business,0.500546766268724,117
Griffith College Cork,Engineering,0.546079370807886,21
Griffith College Cork,Finance,0.5037162501382,41
Griffith College Cork,Law,0.506363099905166,42
Griffith College Dublin,Accounting,0.456111597457489,15
Griffith College Dublin,Architecture,0.481896128810299,166
Griffith College Dublin,Business,0.495139809790196,890
Griffith College Dublin,Engineering,0.538048161138198,343
Griffith College Dublin,Finance,0.524110367377008,375
Griffith College Dublin,Law,0.507567892638423,349
Griffith College Dublin,Marketing,0.457375580104263,31
Griffith College Limerick,Business,0.469546832156829,64
Griffith College Limerick,Engineering,0.421428860975965,79
Griffith College Limerick,Finance,0.518694474261532,22
Hibernia College,Education,0.291433544079418,18
IBAT College Dublin,Business,0.492227377399564,66
ICD Business School,Finance,0.488724464758128,11
Independent College,Business,0.467761512608521,286
Independent College,Finance,0.498017202727718,52
Independent College,Law,0.527039380348703,24
Independent College,Marketing,0.441838415099636,67
Institute of Technology Sligo,Accounting,0.529105764964338,90
Institute of Technology Sligo,Architecture,0.446906084155934,79
Institute of Technology Sligo,Business,0.485233366871041,1773
Institute of Technology Sligo,Chemistry,0.430079522263272,26
Institute of Technology Sligo,Education,0.374436748536612,109
Institute of Technology Sligo,Engineering,0.463905975146015,1154
Institute of Technology Sligo,Finance,0.545618172843998,21
Institute of Technology Sligo,Marketing,0.492015396094817,81
Institute of Technology Tralee,Business,0.475249455727716,20
King’s Inns,Law,0.462200223926158,18
Limerick Institute of Technology,Accounting,0.529580959939764,18
Limerick Institute of Technology,Biology,0.412097392675407,66
Limerick Institute of Technology,Business,0.492060591914902,1591
Limerick Institute of Technology,Chemistry,0.470612735225639,30
Limerick Institute of Technology,Economics,0.522215338999484,34
Limerick Institute of Technology,Engineering,0.478142780241841,1062
Limerick Institute of Technology,Finance,0.528687096309633,112
Limerick Institute of Technology,Information Technology,0.598242811760453,61
Limerick Institute of Technology,Law,0.547800566451356,26
Limerick Institute of Technology,Marketing,0.45185690057453,19
Mary Immaculate College,Business,0.365147988157969,25
Mary Immaculate College,Education,0.331270942625927,747
Mary Immaculate College,Mathematics,0.458260588725977,36
Munster Technological University,Accounting,0.530031756218083,262
Munster Technological University,Architecture,0.460870102655243,160
