university_name,field,exposure_firstjob_beta,n_people
Achva Academic College,Business,0.523375975042272,17
Achva Academic College,Education,0.404167826123185,42
Adelson School of Entrepreneurship,Accounting,0.530607535806816,279
Adelson School of Entrepreneurship,Business,0.507251513102462,4439
Adelson School of Entrepreneurship,Economics,0.546489700746425,428
Adelson School of Entrepreneurship,Engineering,0.653690664699449,940
Adelson School of Entrepreneurship,Finance,0.497192130873234,115
Adelson School of Entrepreneurship,Information Technology,0.589386504994638,12
Adelson School of Entrepreneurship,Law,0.489388764411262,1355
Adelson School of Entrepreneurship,Marketing,0.537230111767377,162
Afeka Tel Aviv Academic College of Engineering,Business,0.588780878246563,24
Afeka Tel Aviv Academic College of Engineering,Engineering,0.603520054849831,2626
Ariel University,Accounting,0.550935374957022,42
Ariel University,Architecture,0.487902347377111,186
Ariel University,Biology,0.494529851385869,118
Ariel University,Business,0.55324247162315,756
Ariel University,Chemistry,0.47637390723338,40
Ariel University,Economics,0.553841880500652,475
Ariel University,Education,0.519967853124731,29
Ariel University,Engineering,0.58399878434683,3395
Ariel University,Finance,0.544771733335027,25
Ariel University,Marketing,0.534993745512206,51
Ariel University,Physics,0.597093430716324,60
Ashkelon Academic College,Business,0.571551206092693,47
Ashkelon Academic College,Economics,0.567723745643055,60
Ashkelon Academic College,Engineering,0.726357881909722,85
Azrieli College of Engineering Jerusalem,Business,0.566449872381397,22
Azrieli College of Engineering Jerusalem,Engineering,0.611671847076138,1556
Bar-Ilan University,Accounting,0.522647276809807,514
Bar-Ilan University,Biology,0.525494647889567,275
Bar-Ilan University,Business,0.537659403790418,1832
Bar-Ilan University,Chemistry,0.520076184503127,307
Bar-Ilan University,Economics,0.542417961930928,1470
Bar-Ilan University,Education,0.467443373405909,170
Bar-Ilan University,Engineering,0.641427998384657,1878
Bar-Ilan University,Finance,0.532823092013834,250
Bar-Ilan University,Information Technology,0.647754866111959,42
Bar-Ilan University,Law,0.487964879149824,681
Bar-Ilan University,Marketing,0.555702722763549,22
Bar-Ilan University,Mathematics,0.633651357692071,371
Bar-Ilan University,Physics,0.597980013657132,166
Bar-Ilan University,Statistics,0.649073039618019,40
