university_name,field,exposure_alljobs_beta,n_people
Achva Academic College,Business,0.55651352470742,17
Achva Academic College,Education,0.403889623136396,42
Adelson School of Entrepreneurship,Accounting,0.525911837115901,279
Adelson School of Entrepreneurship,Business,0.508264257685669,4439
Adelson School of Entrepreneurship,Economics,0.546167708600219,428
Adelson School of Entrepreneurship,Engineering,0.657670749222648,940
Adelson School of Entrepreneurship,Finance,0.494541711205863,115
Adelson School of Entrepreneurship,Information Technology,0.593434046136173,12
Adelson School of Entrepreneurship,Law,0.488340429373314,1355
Adelson School of Entrepreneurship,Marketing,0.53529650402267,162
Afeka Tel Aviv Academic College of Engineering,Business,0.585827177551072,24
Afeka Tel Aviv Academic College of Engineering,Engineering,0.60853862388568,2626
Ariel University,Accounting,0.5510406779591,42
Ariel University,Architecture,0.490749356770898,186
Ariel University,Biology,0.501230508479066,118
Ariel University,Business,0.554356098137165,756
Ariel University,Chemistry,0.498250551423401,40
Ariel University,Economics,0.555677395949913,475
Ariel University,Education,0.513941147356335,29
Ariel University,Engineering,0.588003356013369,3395
Ariel University,Finance,0.542275177002924,25
Ariel University,Marketing,0.531203457234106,51
Ariel University,Physics,0.59788255509838,60
Ashkelon Academic College,Business,0.573798723428211,47
Ashkelon Academic College,Economics,0.572844132434635,60
Ashkelon Academic College,Engineering,0.741531641679338,85
Azrieli College of Engineering Jerusalem,Business,0.565095790362136,22
Azrieli College of Engineering Jerusalem,Engineering,0.613718932248416,1556
Bar-Ilan University,Accounting,0.522530643525651,514
Bar-Ilan University,Biology,0.527206114405694,275
Bar-Ilan University,Business,0.53855703654363,1832
Bar-Ilan University,Chemistry,0.517816553648923,307
Bar-Ilan University,Economics,0.542983080191716,1470
Bar-Ilan University,Education,0.472107566102807,170
Bar-Ilan University,Engineering,0.644302917826596,1878
Bar-Ilan University,Finance,0.531915645852735,250
Bar-Ilan University,Information Technology,0.648623581413594,42
Bar-Ilan University,Law,0.483679521302449,681
Bar-Ilan University,Marketing,0.560244728982353,22
Bar-Ilan University,Mathematics,0.635268248024591,371
Bar-Ilan University,Physics,0.593589871022514,166
Bar-Ilan University,Statistics,0.652109484506713,40
Beit Berl College,Education,0.475078935312301,154
Ben-Gurion University of the Negev,Accounting,0.514916367471137,398
Ben-Gurion University of the Negev,Biology,0.535971516361378,218
Ben-Gurion University of the Negev,Business,0.535955836259448,3048
Ben-Gurion University of the Negev,Chemistry,0.503167937453426,287
Ben-Gurion University of the Negev,Economics,0.542012318796761,1354
Ben-Gurion University of the Negev,Education,0.480198089386412,324
Ben-Gurion University of the Negev,Engineering,0.599254871923368,9717
Ben-Gurion University of the Negev,Finance,0.524047708484619,174
Ben-Gurion University of the Negev,Information Technology,0.594442669725294,52
Ben-Gurion University of the Negev,Marketing,0.495030940034031,25
Ben-Gurion University of the Negev,Mathematics,0.576356552730083,108
Ben-Gurion University of the Negev,Medicine,0.434414417022412,45
Ben-Gurion University of the Negev,Nursing,0.390562249612116,69
Ben-Gurion University of the Negev,Physics,0.586743392176098,267
Ben-Gurion University of the Negev,Statistics,0.647398478172451,26
Bethlehem University,Accounting,0.527259480455891,37
Bethlehem University,Business,0.499541589533956,90
Bethlehem University,Engineering,0.560675833914688,19
Bethlehem University,Nursing,0.362300912316473,11
"Bezalel Academy of Arts and Design, Jerusalem",Architecture,0.487623286212062,353
Carmel Academic Center,Business,0.536175706240313,97
Carmel Academic Center,Law,0.480300436652822,15
Center For Academic Studies,Business,0.555962278854943,518
Center For Academic Studies,Education,0.484513206493163,12
Center For Academic Studies,Engineering,0.708468607046086,33
Center For Academic Studies,Information Technology,0.768963832689897,12
Center For Academic Studies,Marketing,0.503884773589285,17
College of Management Academic Studies,Accounting,0.52311085168977,1181
