university_name,field,exposure_firstjob_beta,n_people
"""""Food Marketing  and Commercial Strategies - Unicatt   """"",Marketing,0.550137709669083,19
"""""Gabriele d'Annunzio"""" University",Architecture,0.49394610581314,363
"""""Gabriele d'Annunzio"""" University",Business,0.528886493432767,1398
"""""Gabriele d'Annunzio"""" University",Chemistry,0.439648231479621,26
"""""Gabriele d'Annunzio"""" University",Economics,0.532256810620257,572
"""""Gabriele d'Annunzio"""" University",Education,0.389767053997741,21
"""""Gabriele d'Annunzio"""" University",Engineering,0.476538110255543,157
"""""Gabriele d'Annunzio"""" University",Finance,0.567577437507628,34
"""""Gabriele d'Annunzio"""" University",Marketing,0.530398725979496,37
"""""Gabriele d'Annunzio"""" University",Medicine,0.427027218753822,55
"""""Gabriele d'Annunzio"""" University",Nursing,0.367709810967024,56
Accademia Navale,Engineering,0.447754636630046,24
Accademia del Lusso,Business,0.500319623886126,14
American University of Rome,Business,0.502612565695557,59
Bio-Medical Campus University of Rome,Engineering,0.522829023146322,313
Bio-Medical Campus University of Rome,Medicine,0.447040816195929,56
Bio-Medical Campus University of Rome,Nursing,0.35993441713921,33
Brera Academy,Engineering,0.487240849578282,12
Ca' Foscari University of Venice,Business,0.521066802576394,2482
Ca' Foscari University of Venice,Chemistry,0.479636115066285,107
Ca' Foscari University of Venice,Economics,0.520823250204364,1188
Ca' Foscari University of Venice,Engineering,0.684339043085488,130
Ca' Foscari University of Venice,Finance,0.520519446688623,211
Ca' Foscari University of Venice,Information Technology,0.71235105435014,19
Ca' Foscari University of Venice,Law,0.512632832087646,25
Ca' Foscari University of Venice,Marketing,0.514766368704318,933
Campus CIELS,Business,0.465499859402354,52
Campus CIELS,Marketing,0.530256269122798,95
Carlo Cattaneo University,Business,0.533668537764102,1172
Carlo Cattaneo University,Economics,0.525984723700367,312
Carlo Cattaneo University,Engineering,0.529798336792374,386
Carlo Cattaneo University,Finance,0.562470329154614,21
Carlo Cattaneo University,Law,0.481436811390455,30
Carlo Cattaneo University,Marketing,0.515800389171644,206
Catholic University of the Sacred Heart,Accounting,0.508469129583031,16
Catholic University of the Sacred Heart,Business,0.531894449931593,9082
Catholic University of the Sacred Heart,Economics,0.530681908973707,2049
Catholic University of the Sacred Heart,Education,0.43815221979672,119
Catholic University of the Sacred Heart,Engineering,0.584287293236082,23
Catholic University of the Sacred Heart,Finance,0.538905975340918,331
Catholic University of the Sacred Heart,Law,0.505491685012789,241
Catholic University of the Sacred Heart,Marketing,0.521236230045596,1253
Catholic University of the Sacred Heart,Mathematics,0.560930054502914,50
Catholic University of the Sacred Heart,Medicine,0.427282005331418,120
Catholic University of the Sacred Heart,Nursing,0.381251229461099,97
Catholic University of the Sacred Heart,Physics,0.497262210790738,51
Catholic University of the Sacred Heart,Statistics,0.560150116104272,14
"DEA Università """"G. d'Annunzio"""" Chieti-Pescara",Business,0.517875220133719,57
"DEA Università """"G. d'Annunzio"""" Chieti-Pescara",Economics,0.483878027051975,24
Economia Tor Vergata,Business,0.544418398342763,287
Economia Tor Vergata,Economics,0.55419154283266,87
Economia e Management - Università di Parma,Business,0.506809965417706,58
Economia e Management - Università di Parma,Economics,0.422993881182422,13
Economia e Management - Università di Parma,Marketing,0.503121486260199,27
European Institute of Design,Architecture,0.515838691189987,13
European Institute of Design,Business,0.525417465340449,147
European Institute of Design,Engineering,0.520502778015355,38
European Institute of Design,Marketing,0.513165597728434,253
European School of Economics,Business,0.503289330941396,158
European School of Economics,Economics,0.531242232531883,10
European School of Economics,Marketing,0.531149665483923,33
Free University of Bozen-Bolzano,Business,0.51325095444444,631
Free University of Bozen-Bolzano,Economics,0.530053412723512,172
Free University of Bozen-Bolzano,Education,0.392658614393724,17
Free University of Bozen-Bolzano,Engineering,0.562085442710203,164
Free University of Bozen-Bolzano,Finance,0.563602884701528,12
Guglielmo Marconi University,Business,0.568850961774757,19
Guglielmo Marconi University,Economics,0.521044928456144,155
Guglielmo Marconi University,Engineering,0.536074110340078,225
Guglielmo Marconi University,Law,0.421465671765247,13
Guido Carli Free International University of Social Studies,Business,0.540330677357661,4258
Guido Carli Free International University of Social Studies,Economics,0.531125246658232,909
Guido Carli Free International University of Social Studies,Engineering,0.542331543831137,36
Guido Carli Free International University of Social Studies,Finance,0.542686266256518,226
Guido Carli Free International University of Social Studies,Law,0.483955614389436,323
Guido Carli Free International University of Social Studies,Marketing,0.532974597103473,494
H-FARM College,Business,0.537423339190022,77
Humanitas University,Medicine,0.433465768170193,14
IUAV University of Venice,Architecture,0.482144994401466,1148
IUAV University of Venice,Business,0.485513256249428,55
IULM University,Business,0.503735364488702,735
IULM University,Economics,0.538725576731765,12
IULM University,Marketing,0.521517673894277,504
IUSVE - Istituto Universitario Salesiano Venezia,Business,0.429690884204363,10
IUSVE - Istituto Universitario Salesiano Venezia,Marketing,0.518127744470699,330
International Telematic University UNINETTUNO,Business,0.500916497924843,59
International Telematic University UNINETTUNO,Economics,0.505819478097615,42
International Telematic University UNINETTUNO,Engineering,0.568198761765197,155
Istituto Marangoni Srl,Business,0.512327771629809,206
"John Cabot University, Rome",Business,0.51605682794716,223
"John Cabot University, Rome",Economics,0.556575840988689,24
"John Cabot University, Rome",Finance,0.549298158275931,41
"John Cabot University, Rome",Marketing,0.519933012500275,79
Kore University of Enna,Architecture,0.495285248103314,55
Kore University of Enna,Business,0.531641929836374,40
Kore University of Enna,Economics,0.521956364640278,113
Kore University of Enna,Engineering,0.515344351130068,87
Kore University of Enna,Law,0.474072070207052,12
L.UN.A. Libera Università delle Arti,Marketing,0.599096976289025,13
LIUC Business School,Business,0.567285202536542,13
LUM School of Management,Business,0.54839755116663,29
LUM School of Management,Economics,0.537951047359627,17
LUMSA University,Business,0.533045634551875,330
LUMSA University,Economics,0.54145579653366,127
LUMSA University,Law,0.514315568722498,74
LUMSA University,Marketing,0.531402422342304,704
Link Campus University,Business,0.517572362201168,149
Link Campus University,Economics,0.52786100891646,67
Link Campus University,Law,0.432494773974461,11
Link Campus University,Marketing,0.544807924909985,31
Luiss Business School,Business,0.522688726910816,153
Luiss Business School,Economics,0.51545985481168,45
Luiss Business School,Finance,0.503737447363524,16
Luiss Business School,Marketing,0.505762145927664,13
Lum Jean Monnet University,Business,0.531032919668382,426
Lum Jean Monnet University,Economics,0.525180544650569,144
Lum Jean Monnet University,Law,0.490263095772634,12
Marco Biagi Department of Economics,Business,0.539356103878597,109
Marco Biagi Department of Economics,Economics,0.518180168462846,139
Marco Biagi Department of Economics,Finance,0.516710209761872,18
