university_name,field,exposure_alljobs_beta,n_people
"""""Food Marketing  and Commercial Strategies - Unicatt   """"",Marketing,0.559582262135006,19
"""""Gabriele d'Annunzio"""" University",Architecture,0.490509879450064,363
"""""Gabriele d'Annunzio"""" University",Business,0.531352846422677,1398
"""""Gabriele d'Annunzio"""" University",Chemistry,0.460789922384277,26
"""""Gabriele d'Annunzio"""" University",Economics,0.531876759749832,572
"""""Gabriele d'Annunzio"""" University",Education,0.392104521828208,21
"""""Gabriele d'Annunzio"""" University",Engineering,0.479531739220108,157
"""""Gabriele d'Annunzio"""" University",Finance,0.565146813510651,34
"""""Gabriele d'Annunzio"""" University",Marketing,0.534183598793539,37
"""""Gabriele d'Annunzio"""" University",Medicine,0.435068524365536,55
"""""Gabriele d'Annunzio"""" University",Nursing,0.365757764977537,56
Accademia Navale,Engineering,0.450585754182033,24
Accademia del Lusso,Business,0.492985469430407,14
American University of Rome,Business,0.504215091962424,59
Bio-Medical Campus University of Rome,Engineering,0.521195435511138,313
Bio-Medical Campus University of Rome,Medicine,0.442380971285721,56
Bio-Medical Campus University of Rome,Nursing,0.361896605281479,33
Brera Academy,Engineering,0.486980087422961,12
Ca' Foscari University of Venice,Business,0.524227557043821,2482
Ca' Foscari University of Venice,Chemistry,0.469841480428152,107
Ca' Foscari University of Venice,Economics,0.522623411658006,1188
Ca' Foscari University of Venice,Engineering,0.680552390911896,130
Ca' Foscari University of Venice,Finance,0.533180261007666,211
Ca' Foscari University of Venice,Information Technology,0.694221430630403,19
Ca' Foscari University of Venice,Law,0.517876991024415,25
Ca' Foscari University of Venice,Marketing,0.518757004001407,933
Campus CIELS,Business,0.477867236629185,52
Campus CIELS,Marketing,0.526190479071303,95
Carlo Cattaneo University,Business,0.536507042885269,1172
Carlo Cattaneo University,Economics,0.52786886056485,312
Carlo Cattaneo University,Engineering,0.533830063739474,386
Carlo Cattaneo University,Finance,0.553752238239916,21
Carlo Cattaneo University,Law,0.486242359270703,30
Carlo Cattaneo University,Marketing,0.526544004051678,206
Catholic University of the Sacred Heart,Accounting,0.511717328253021,16
Catholic University of the Sacred Heart,Business,0.532055871273312,9082
Catholic University of the Sacred Heart,Economics,0.532262714788751,2049
Catholic University of the Sacred Heart,Education,0.435746521371007,119
Catholic University of the Sacred Heart,Engineering,0.58225113505855,23
Catholic University of the Sacred Heart,Finance,0.540635167682262,331
Catholic University of the Sacred Heart,Law,0.503633332091905,241
Catholic University of the Sacred Heart,Marketing,0.524459861689041,1253
Catholic University of the Sacred Heart,Mathematics,0.568176256104045,50
Catholic University of the Sacred Heart,Medicine,0.423166535239082,120
Catholic University of the Sacred Heart,Nursing,0.380565479762135,97
Catholic University of the Sacred Heart,Physics,0.498328829689873,51
Catholic University of the Sacred Heart,Statistics,0.559457449032881,14
"DEA Università """"G. d'Annunzio"""" Chieti-Pescara",Business,0.525797681608452,57
"DEA Università """"G. d'Annunzio"""" Chieti-Pescara",Economics,0.49434523959834,24
Economia Tor Vergata,Business,0.549779155268382,287
Economia Tor Vergata,Economics,0.558309777509066,87
Economia e Management - Università di Parma,Business,0.505507520284743,58
Economia e Management - Università di Parma,Economics,0.443444958239832,13
Economia e Management - Università di Parma,Marketing,0.520719276855214,27
European Institute of Design,Architecture,0.509284828787127,13
European Institute of Design,Business,0.522219215386896,147
European Institute of Design,Engineering,0.503766260313143,38
European Institute of Design,Marketing,0.510002304966018,253
European School of Economics,Business,0.508081251631097,158
European School of Economics,Economics,0.520222266082633,10
European School of Economics,Marketing,0.531198323736709,33
Free University of Bozen-Bolzano,Business,0.512404852501728,631
Free University of Bozen-Bolzano,Economics,0.529807258052019,172
Free University of Bozen-Bolzano,Education,0.398009545127102,17
Free University of Bozen-Bolzano,Engineering,0.565967268878423,164
Free University of Bozen-Bolzano,Finance,0.564830788864953,12
Guglielmo Marconi University,Business,0.56822477886542,19
Guglielmo Marconi University,Economics,0.525234581587738,155
Guglielmo Marconi University,Engineering,0.533304729881266,225
Guglielmo Marconi University,Law,0.429269388278352,13
Guido Carli Free International University of Social Studies,Business,0.540577299535524,4258
Guido Carli Free International University of Social Studies,Economics,0.529484884794305,909
Guido Carli Free International University of Social Studies,Engineering,0.556388462299414,36
