university_name,field,exposure_firstjob_beta,n_people
Akita International University,Business,0.548363639143086,80
Akita University,Engineering,0.5409202864212,28
Aoyama Gakuin University,Business,0.536645278708172,206
Aoyama Gakuin University,Chemistry,0.539643590448201,10
Aoyama Gakuin University,Economics,0.538926476277355,238
Aoyama Gakuin University,Education,0.454238106420397,24
Aoyama Gakuin University,Engineering,0.579232150744729,73
Aoyama Gakuin University,Information Technology,0.632552231431896,13
Aoyama Gakuin University,Law,0.535227536289596,100
Aoyama Gakuin University,Marketing,0.461871705783692,11
Aoyama Gakuin University,Physics,0.530699325735408,12
Ashikaga Institute of Technology,Engineering,0.461815004384655,10
Asia University,Business,0.502151852627426,18
Chiba Institute of Technology,Engineering,0.573656131978636,29
Chiba University,Architecture,0.517587004575427,18
Chiba University,Chemistry,0.528286257016341,16
Chiba University,Economics,0.54574563870753,22
Chiba University,Education,0.565048212438187,17
Chiba University,Engineering,0.549963002192797,156
Chiba University,Law,0.542287587071799,21
Chiba University,Physics,0.576118718879228,14
Chuo University,Accounting,0.516881465702761,22
Chuo University,Business,0.531750108494879,100
Chuo University,Economics,0.550664541808913,107
Chuo University,Engineering,0.535875709621611,70
Chuo University,Finance,0.515113526958418,24
Chuo University,Law,0.519775862881967,173
Chuo University,Marketing,0.535864674242568,26
Cyber University,Business,0.515546272723365,25
Dokkyo University,Business,0.501439255967072,22
Dokkyo University,Economics,0.552583563171773,22
Doshisha University,Business,0.5039819385303,54
Doshisha University,Economics,0.517936909742489,128
Doshisha University,Education,0.540395827101522,17
Doshisha University,Engineering,0.589554995066941,107
Doshisha University,Law,0.529961769699207,85
Ehime University,Engineering,0.408303368134513,19
Fukuoka Institute of Technology,Engineering,0.643237047404999,14
Fukuoka University,Engineering,0.524971906771227,11
Gakushuin University,Business,0.520971071359482,40
Gakushuin University,Economics,0.570113465451633,31
Gakushuin University,Law,0.52291673687071,27
Gakushuin University,Physics,0.584573311733841,11
Gifu University,Engineering,0.521117049946328,35
Gunma University,Engineering,0.59369005132856,43
Hiroshima University,Education,0.469115206550988,25
Hiroshima University,Engineering,0.555150067060067,56
Hitotsubashi University,Accounting,0.53568741207718,15
Hitotsubashi University,Business,0.496999471964247,174
Hitotsubashi University,Economics,0.513589110423726,265
Hitotsubashi University,Finance,0.504722813026243,26
Hitotsubashi University,Law,0.494985352320143,97
Hitotsubashi University,Marketing,0.530383841039569,23
Hokkaido Information University,Business,0.5813750521528,11
Hokkaido University,Biology,0.527341179636366,12
Hokkaido University,Business,0.508237490430295,33
Hokkaido University,Chemistry,0.510053429626081,27
Hokkaido University,Economics,0.48786869455912,37
Hokkaido University,Engineering,0.53980347810177,178
Hokkaido University,Law,0.516245839632523,35
Hokkaido University,Mathematics,0.536930964553662,10
Hokkaido University,Medicine,0.443102641219714,12
Hokkaido University,Physics,0.613816245507904,15
Hokkaido University of Education,Education,0.471192843030641,23
Hosei University,Business,0.530828084995713,141
Hosei University,Economics,0.531657557669117,96
Hosei University,Engineering,0.56565290661397,92
Hosei University,Law,0.537537747594339,41
Hyogo University,Business,0.561718524781876,11
Hyogo University,Economics,0.481395471297075,16
Hyogo University,Engineering,0.571360580896604,27
Ibaraki University,Engineering,0.561214406903853,35
International Christian University,Biology,0.539851397300684,21
International Christian University,Business,0.548134447263921,102
International Christian University,Chemistry,0.55544640225211,10
International Christian University,Economics,0.545903513760821,75
International Christian University,Education,0.507243796007544,69
International Christian University,Law,0.511696666006187,15
International Christian University,Physics,0.484291747955328,13
Iwate University,Engineering,0.603631638840256,17
J. F. Oberlin University,Business,0.519714052861599,24
Japan University of Economics,Business,0.539359172315038,13
Japan Women's University,Business,0.451899556543957,10
Kanagawa Institute of Technology,Engineering,0.494354658903816,24
Kanagawa University,Business,0.448529076028028,37
Kanagawa University,Economics,0.57887635265348,29
Kanagawa University,Engineering,0.591719328235209,10
Kanazawa Institute of Technology,Engineering,0.621212529150853,21
Kanazawa University,Engineering,0.53677177647487,37
Kanazawa University,Law,0.535040305939494,11
Kansai Gaidai University,Business,0.497580877277341,30
Keio University,Accounting,0.525873585928629,13
Keio University,Architecture,0.490476976508969,18
Keio University,Biology,0.61803694566748,13
Keio University,Business,0.522614738561767,796
Keio University,Chemistry,0.505359667956178,54
Keio University,Economics,0.533510789260726,1164
Keio University,Education,0.528689274529998,22
Keio University,Engineering,0.564270773084482,571
Keio University,Finance,0.516582376645763,31
Keio University,Information Technology,0.599682528159976,36
Keio University,Law,0.51433422420448,527
