university_name,field,exposure_alljobs_beta,n_people
Akita International University,Business,0.546571721638364,80
Akita University,Engineering,0.537222496551163,28
Aoyama Gakuin University,Business,0.533822020381163,206
Aoyama Gakuin University,Chemistry,0.539643590448201,10
Aoyama Gakuin University,Economics,0.541013175526639,238
Aoyama Gakuin University,Education,0.446098173965443,24
Aoyama Gakuin University,Engineering,0.579105026451471,73
Aoyama Gakuin University,Information Technology,0.642139792825412,13
Aoyama Gakuin University,Law,0.532690340787794,100
Aoyama Gakuin University,Marketing,0.476457893169076,11
Aoyama Gakuin University,Physics,0.526808999548163,12
Ashikaga Institute of Technology,Engineering,0.48016347597422,10
Asia University,Business,0.497935825551776,18
Chiba Institute of Technology,Engineering,0.583453424565397,29
Chiba University,Architecture,0.513034245506491,18
Chiba University,Chemistry,0.527834743884621,16
Chiba University,Economics,0.540397945474588,22
Chiba University,Education,0.563165706770117,17
Chiba University,Engineering,0.553705810554556,156
Chiba University,Law,0.545234173756593,21
Chiba University,Physics,0.573859887281429,14
Chuo University,Accounting,0.513357777747778,22
Chuo University,Business,0.535475404347812,100
Chuo University,Economics,0.547341256596344,107
Chuo University,Engineering,0.539254228620827,70
Chuo University,Finance,0.51130148589598,24
Chuo University,Law,0.519569453652501,173
Chuo University,Marketing,0.541785192314574,26
Cyber University,Business,0.514110446129633,25
Dokkyo University,Business,0.498315626916989,22
Dokkyo University,Economics,0.566621185660174,22
Doshisha University,Business,0.509992658226499,54
Doshisha University,Economics,0.521161190187536,128
Doshisha University,Education,0.555274151986352,17
Doshisha University,Engineering,0.592017909082823,107
Doshisha University,Law,0.533356025493209,85
Ehime University,Engineering,0.424387825140117,19
Fukuoka Institute of Technology,Engineering,0.644012742615135,14
Fukuoka University,Engineering,0.526334918874026,11
Gakushuin University,Business,0.520735615008882,40
Gakushuin University,Economics,0.570955502084837,31
Gakushuin University,Law,0.515154855066879,27
Gakushuin University,Physics,0.587417923855851,11
Gifu University,Engineering,0.522942781624662,35
Gunma University,Engineering,0.587935605379682,43
Hiroshima University,Education,0.483994823646491,25
Hiroshima University,Engineering,0.553608728195636,56
Hitotsubashi University,Accounting,0.532314412014681,15
Hitotsubashi University,Business,0.497278176021392,174
Hitotsubashi University,Economics,0.514728666420178,265
