university_name,field,exposure_alljobs_beta,n_people
Africa International University,Business,0.52441749549064,77
Africa International University,Information Technology,0.60126699048866,19
Africa Nazarene University,Accounting,0.535819092019961,102
Africa Nazarene University,Business,0.55095759829946,707
Africa Nazarene University,Education,0.364973842984312,67
Africa Nazarene University,Engineering,0.59933243023484,266
Africa Nazarene University,Finance,0.540268692740651,225
Africa Nazarene University,Information Technology,0.592335171022248,25
Africa Nazarene University,Law,0.520736752650685,108
Africa Nazarene University,Marketing,0.524455026180273,95
Amref International University,Business,0.529955130224654,11
Chuka University,Accounting,0.584065291438992,80
Chuka University,Biology,0.458976754333969,16
Chuka University,Business,0.522296615404132,839
Chuka University,Chemistry,0.465000754750683,19
Chuka University,Economics,0.52788852705586,291
Chuka University,Education,0.452366698302435,154
Chuka University,Engineering,0.64603667710281,365
Chuka University,Finance,0.561106715098866,116
Chuka University,Law,0.482294248940816,12
Chuka University,Marketing,0.535638444782906,24
Chuka University,Nursing,0.421895100129674,39
Chuka University,Statistics,0.578044314829208,261
Daystar University,Accounting,0.527077504961639,261
Daystar University,Business,0.538205516226058,1128
Daystar University,Economics,0.554933709746892,147
Daystar University,Education,0.440695335765101,46
Daystar University,Engineering,0.614814366741134,193
Daystar University,Finance,0.500343700149137,59
Daystar University,Information Technology,0.641632535192691,13
Daystar University,Law,0.485476823419936,10
Daystar University,Marketing,0.523437048849144,312
Daystar University,Nursing,0.404072262145399,48
Dedan Kimathi University of Technology,Accounting,0.55781525025205,158
Dedan Kimathi University of Technology,Business,0.544078435995315,1011
Dedan Kimathi University of Technology,Chemistry,0.515583956323393,90
Dedan Kimathi University of Technology,Engineering,0.523638439437903,1475
Dedan Kimathi University of Technology,Finance,0.561449620004922,275
Dedan Kimathi University of Technology,Information Technology,0.641633951752389,244
Dedan Kimathi University of Technology,Marketing,0.531101912784163,26
Dedan Kimathi University of Technology,Nursing,0.428817152597025,51
Dedan Kimathi University of Technology,Statistics,0.610749309870895,20
Egerton University,Accounting,0.554692593339556,497
Egerton University,Biology,0.520213995945088,142
Egerton University,Business,0.513578980293262,2167
Egerton University,Chemistry,0.49209804993508,150
Egerton University,Economics,0.530931369250803,1369
Egerton University,Education,0.446542886352931,819
Egerton University,Engineering,0.542244714122516,1457
Egerton University,Finance,0.540044194576122,682
Egerton University,Information Technology,0.630250342981167,22
Egerton University,Law,0.527650890879351,128
Egerton University,Marketing,0.536481131295765,122
Egerton University,Mathematics,0.555233571594979,117
Egerton University,Medicine,0.44668973487702,118
Egerton University,Nursing,0.409136088669608,44
Egerton University,Physics,0.622063311676978,23
Egerton University,Statistics,0.570597868036761,561
GRETSA University,Accounting,0.511526762506942,14
GRETSA University,Business,0.528555952603979,85
GRETSA University,Engineering,0.67713890247658,38
GRETSA University,Finance,0.552412336803535,21
Garissa University,Business,0.497148016851407,26
Garissa University,Education,0.506971163747372,12
Great Lakes University of Kisumu,Business,0.436061805835868,24
Great Lakes University of Kisumu,Education,0.360647233113995,10
Great Lakes University of Kisumu,Information Technology,0.635078445420929,25
Great Lakes University of Kisumu,Medicine,0.440254663501147,19
Great Lakes University of Kisumu,Nursing,0.425853141123834,43
Inoorero University,Business,0.518520592864333,19
Inoorero University,Information Technology,0.575075647123516,18
International Leadership University,Business,0.505897713117803,14
Jaramogi Oginga Odinga University of Science and Technology,Business,0.52471521885955,777
Jaramogi Oginga Odinga University of Science and Technology,Education,0.424077270414558,143
Jaramogi Oginga Odinga University of Science and Technology,Engineering,0.577068336663095,171
Jaramogi Oginga Odinga University of Science and Technology,Information Technology,0.638920732405458,35
Jaramogi Oginga Odinga University of Science and Technology,Medicine,0.485148664578292,11
Jomo Kenyatta University of Agriculture and Technology,Accounting,0.545430682688115,568
Jomo Kenyatta University of Agriculture and Technology,Architecture,0.473360459567413,705
Jomo Kenyatta University of Agriculture and Technology,Biology,0.509397735462681,345
Jomo Kenyatta University of Agriculture and Technology,Business,0.557856259081887,6591
Jomo Kenyatta University of Agriculture and Technology,Chemistry,0.501048305732538,460
Jomo Kenyatta University of Agriculture and Technology,Economics,0.543383673417134,280
Jomo Kenyatta University of Agriculture and Technology,Education,0.536809705198844,12
Jomo Kenyatta University of Agriculture and Technology,Engineering,0.556824889871793,6328
Jomo Kenyatta University of Agriculture and Technology,Finance,0.547595904591568,1356
Jomo Kenyatta University of Agriculture and Technology,Information Technology,0.61860526332984,3229
Jomo Kenyatta University of Agriculture and Technology,Law,0.507874109137337,344
Jomo Kenyatta University of Agriculture and Technology,Marketing,0.522449727921052,280
Jomo Kenyatta University of Agriculture and Technology,Mathematics,0.551568351918836,211
Jomo Kenyatta University of Agriculture and Technology,Medicine,0.456873322390977,192
Jomo Kenyatta University of Agriculture and Technology,Nursing,0.432604009487339,75
Jomo Kenyatta University of Agriculture and Technology,Physics,0.53268811992334,98
Jomo Kenyatta University of Agriculture and Technology,Statistics,0.620234509353782,430
KCA University,Business,0.549130927731406,11
KCA University,Finance,0.508660235964111,11
Kabarak University,Accounting,0.552405653097086,151
Kabarak University,Business,0.559605974226617,538
Kabarak University,Economics,0.556914205053946,117
Kabarak University,Education,0.443801968633222,86
Kabarak University,Engineering,0.623258039268324,498
Kabarak University,Finance,0.548469340477213,352
Kabarak University,Information Technology,0.631046812211248,138
Kabarak University,Law,0.519195546630092,288
Kabarak University,Marketing,0.506438569749954,85
Kabarak University,Medicine,0.503610007332362,26
Kabarak University,Nursing,0.396624824707097,37
Kabarak University,Statistics,0.607288559755845,38
Karatina University,Biology,0.488382474029883,11
Karatina University,Business,0.527516885361944,676
Karatina University,Economics,0.563717024211011,99
Karatina University,Education,0.445912798112044,125
Karatina University,Engineering,0.654487785741407,175
Karatina University,Finance,0.576779753430568,20
Karatina University,Information Technology,0.615769378572862,83
Karatina University,Statistics,0.621644673790689,204
Kenya Methodist University,Accounting,0.514941065459528,25
Kenya Methodist University,Biology,0.498348044605194,20
Kenya Methodist University,Business,0.52830575620362,4061
Kenya Methodist University,Education,0.432445283415542,128
Kenya Methodist University,Engineering,0.599804913426994,514
Kenya Methodist University,Finance,0.531748159460181,205
Kenya Methodist University,Information Technology,0.598269518681689,72
Kenya Methodist University,Marketing,0.496638744462315,69
Kenya Methodist University,Medicine,0.449202878925416,51
Kenya Methodist University,Nursing,0.406227822069017,157
Kenya Utalii College,Business,0.454843424310812,34
Kenyatta University,Accounting,0.546255448164197,949
Kenyatta University,Architecture,0.501403631832771,40
Kenyatta University,Biology,0.52890142783694,224
Kenyatta University,Business,0.514381777574962,4654
Kenyatta University,Chemistry,0.496161012763822,320
Kenyatta University,Economics,0.549006354506507,1733
Kenyatta University,Education,0.462923593478078,3520
Kenyatta University,Engineering,0.569284413048782,2547
Kenyatta University,Finance,0.548448042956856,3771
Kenyatta University,Information Technology,0.608148953474872,492
Kenyatta University,Law,0.504053310488461,720
Kenyatta University,Marketing,0.512524802916382,598
Kenyatta University,Mathematics,0.539002599029632,159
Kenyatta University,Medicine,0.45027290949244,225
Kenyatta University,Nursing,0.419485878759401,194
Kenyatta University,Physics,0.489868986834562,43
Kenyatta University,Statistics,0.583036886788496,1190
Kibabii University,Accounting,0.551320721370381,75
Kibabii University,Business,0.540543554144344,113
Kibabii University,Chemistry,0.566407211242294,10
Kibabii University,Education,0.435290430610259,102
Kibabii University,Engineering,0.663838453979341,128
Kibabii University,Finance,0.550192662056258,85
Kibabii University,Information Technology,0.615034952797203,111
Kibabii University,Marketing,0.460999886911589,11
Kibabii University,Mathematics,0.589356897438206,35
Kibabii University,Statistics,0.624895295320637,39
Kirinyaga University,Accounting,0.569783240996987,68
Kirinyaga University,Business,0.557390196781817,182
Kirinyaga University,Engineering,0.611460328250862,144
Kirinyaga University,Finance,0.559382096482753,106
Kirinyaga University,Information Technology,0.660331364766863,77
Kirinyaga University,Marketing,0.568059323020449,20
Kirinyaga University,Medicine,0.50242198041285,11
Kirinyaga University,Statistics,0.619904661416376,63
Kiriri Women's University of Science and Technology,Business,0.533059648906995,60
Kisii University,Accounting,0.541738979540849,187
Kisii University,Biology,0.477215170462584,18
Kisii University,Business,0.529853793232766,959
Kisii University,Chemistry,0.516632153266074,77
Kisii University,Economics,0.518813787015877,84
Kisii University,Education,0.437602576218182,197
Kisii University,Engineering,0.633056891701118,342
Kisii University,Finance,0.543425392033533,205
Kisii University,Information Technology,0.625521521848025,33
Kisii University,Law,0.502530679511648,98
Kisii University,Marketing,0.497404446454528,23
Kisii University,Mathematics,0.579026608461416,22
Kisii University,Medicine,0.480869558468453,11
Kisii University,Nursing,0.398751048707885,13
Kisii University,Statistics,0.586753423966572,138
Laikipia University,Accounting,0.57554297715166,33
Laikipia University,Business,0.503127571825865,238
Laikipia University,Economics,0.536273653771056,229
Laikipia University,Education,0.463283544502741,178
Laikipia University,Engineering,0.638375798409752,136
Laikipia University,Finance,0.530125328367173,109
Laikipia University,Information Technology,0.605687630713829,39
Laikipia University,Law,0.464158297249252,22
Laikipia University,Statistics,0.574342984383683,263
Lukenya University,Education,0.519539328697845,14
Lukenya University,Finance,0.410156839205804,12
Maasai Mara University,Accounting,0.56837246967429,48
Maasai Mara University,Biology,0.543884512781893,20
Maasai Mara University,Business,0.52362095328472,829
Maasai Mara University,Chemistry,0.46942252014722,26
Maasai Mara University,Economics,0.550866176444167,266
Maasai Mara University,Education,0.426291970304359,129
Maasai Mara University,Engineering,0.650670215646211,168
Maasai Mara University,Finance,0.551179141582463,91
Maasai Mara University,Information Technology,0.584855808675723,10
Maasai Mara University,Mathematics,0.569336585483766,39
Maasai Mara University,Physics,0.492608340046744,18
Maasai Mara University,Statistics,0.599328492314325,185
Machakos University,Accounting,0.554492508061353,63
Machakos University,Business,0.497986316576578,200
Machakos University,Economics,0.566248396189624,61
