university_name,field,exposure_firstjob_beta,n_people
European Humanities University,Law,0.57768555114185,22
ISM University of Management and Economics,Business,0.527384523883326,1236
ISM University of Management and Economics,Economics,0.538784789176498,679
ISM University of Management and Economics,Finance,0.542119660579291,92
Kaunas University of Technology,Accounting,0.551833790805617,95
Kaunas University of Technology,Architecture,0.497031023009183,151
Kaunas University of Technology,Business,0.508227057412444,1220
Kaunas University of Technology,Chemistry,0.472986050717454,168
Kaunas University of Technology,Economics,0.528829865447597,532
Kaunas University of Technology,Education,0.493539089105349,19
Kaunas University of Technology,Engineering,0.550242202997989,3697
Kaunas University of Technology,Finance,0.553481812118347,232
Kaunas University of Technology,Information Technology,0.690429640838517,293
Kaunas University of Technology,Marketing,0.517863621802793,228
Kaunas University of Technology,Mathematics,0.627389891580028,299
Kaunas University of Technology,Physics,0.565299719720447,50
Kauno technikos kolegija,Business,0.573990863427315,17
Kauno technikos kolegija,Engineering,0.432148087851947,243
Kazimieras Simonavičius University,Business,0.503132842495639,43
Kazimieras Simonavičius University,Marketing,0.516802419557163,10
Klaipėda University,Accounting,0.521363105934346,10
Klaipėda University,Architecture,0.493977476598626,37
Klaipėda University,Business,0.483708830023052,320
Klaipėda University,Economics,0.518657083750975,171
Klaipėda University,Education,0.401232484439631,45
Klaipėda University,Engineering,0.496467441151168,561
Klaipėda University,Finance,0.608928729718498,12
Klaipėda University,Information Technology,0.643488017121278,59
Klaipėda University,Mathematics,0.535000259989829,26
Klaipėda University,Nursing,0.433943279807336,17
Klaipėdos valstybinė kolegija / Higher Education Institution,Accounting,0.529458245272343,12
Klaipėdos valstybinė kolegija / Higher Education Institution,Business,0.486503745730574,93
Klaipėdos valstybinė kolegija / Higher Education Institution,Engineering,0.42908086663836,86
Klaipėdos valstybinė kolegija / Higher Education Institution,Finance,0.587523224756848,10
Klaipėdos valstybinė kolegija / Higher Education Institution,Information Technology,0.66432452833122,17
Kolping University of Applied Sciences,Business,0.590020113846347,12
LCC International University,Business,0.522740084605325,324
Lietuvos verslo kolegija / Lithuania Business College,Business,0.474084198449852,73
Lietuvos verslo kolegija / Lithuania Business College,Law,0.536726324815911,15
Lithuanian Academy of Music and Theatre,Business,0.531817409751355,35
Lithuanian Maritime Academy  - LAJM,Business,0.497810737074556,85
Lithuanian Maritime Academy  - LAJM,Engineering,0.341731103025917,114
Lithuanian Maritime Academy  - LAJM,Finance,0.521463709178386,22
Lithuanian Sports University,Business,0.46993157883207,133
Lithuanian Sports University,Education,0.367048669030532,75
Lithuanian University of Health Sciences,Education,0.451298039043523,10
Lithuanian University of Health Sciences,Medicine,0.474426463428418,11
Lithuanian University of Health Sciences,Nursing,0.382033856265444,42
Mykolas Romeris University,Accounting,0.592614530244535,17
Mykolas Romeris University,Business,0.514013877788169,684
Mykolas Romeris University,Economics,0.552393984379841,403
Mykolas Romeris University,Engineering,0.780074038844914,10
Mykolas Romeris University,Finance,0.532395075810844,69
Mykolas Romeris University,Information Technology,0.63649620207732,17
Mykolas Romeris University,Law,0.486052849317691,1546
Mykolas Romeris University,Marketing,0.526953029675326,22
Panevėžio kolegija/State Higher Education Institution,Accounting,0.462575996738565,12
Panevėžio kolegija/State Higher Education Institution,Business,0.454510506118615,17
Panevėžio kolegija/State Higher Education Institution,Engineering,0.515876026956236,59
SMK University of Applied Social Sciences,Business,0.496069434994532,429
SMK University of Applied Social Sciences,Engineering,0.713485507815946,41
SMK University of Applied Social Sciences,Law,0.507660152211631,66
SMK University of Applied Social Sciences,Marketing,0.503501625184539,103
TECHIN - Vilniaus technologijų ir inžinerijos mokymo centras,Engineering,0.475757277832189,12
VILNIUS TECH - Vilnius Gediminas Technical University,Architecture,0.50207868675726,107
VILNIUS TECH - Vilnius Gediminas Technical University,Business,0.531624697668548,576
VILNIUS TECH - Vilnius Gediminas Technical University,Economics,0.553308802051431,44
VILNIUS TECH - Vilnius Gediminas Technical University,Engineering,0.5607736869277,1527
VILNIUS TECH - Vilnius Gediminas Technical University,Finance,0.569792122896016,10
VILNIUS TECH - Vilnius Gediminas Technical University,Information Technology,0.694194198420098,114
VILNIUS TECH - Vilnius Gediminas Technical University,Mathematics,0.691249688648483,13
VMU Faculty of Economics and Management,Business,0.493421287310776,10
Vilniaus Kolegija,Accounting,0.559247779843149,182
Vilniaus Kolegija,Business,0.518225233465021,1469
Vilniaus Kolegija,Chemistry,0.509462715354791,16
Vilniaus Kolegija,Economics,0.535096267159035,101
Vilniaus Kolegija,Education,0.351149999044206,39
Vilniaus Kolegija,Engineering,0.635884110731188,630
Vilniaus Kolegija,Finance,0.553485889074409,99
Vilniaus Kolegija,Information Technology,0.684577073789189,83
Vilniaus Kolegija,Law,0.542998917494511,14
Vilniaus Kolegija,Marketing,0.535997923257689,46
Vilniaus Kolegija,Medicine,0.497627726747333,36
Vilniaus Kolegija,Nursing,0.375023657919158,54
Vilniaus technologijų ir dizaino kolegija,Business,0.523965435516868,54
Vilniaus technologijų ir dizaino kolegija,Engineering,0.415352529294828,186
Vilnius Academy of Arts,Architecture,0.478249389480585,88
Vilnius Academy of Arts,Business,0.510043529602761,16
Vilnius Gediminas Technical University,Architecture,0.49960528083209,249
Vilnius Gediminas Technical University,Business,0.527041646282682,1324
Vilnius Gediminas Technical University,Economics,0.543233229558057,108
Vilnius Gediminas Technical University,Engineering,0.53193439689392,3667
Vilnius Gediminas Technical University,Finance,0.573179024600436,17
Vilnius Gediminas Technical University,Information Technology,0.65942356061625,221
Vilnius Gediminas Technical University,Marketing,0.494521503654861,14
Vilnius Gediminas Technical University,Mathematics,0.630259079583436,30
Vilnius Gediminas Technical University,Statistics,0.614061041898592,15
Vilnius University,Accounting,0.558349955340791,46
Vilnius University,Biology,0.523992632772235,228
Vilnius University,Business,0.534158120914473,3451
Vilnius University,Chemistry,0.510192551958593,272
Vilnius University,Economics,0.547214273376332,2246
Vilnius University,Education,0.463592902626282,44
Vilnius University,Engineering,0.682777342550514,946
Vilnius University,Finance,0.569768430761363,232
Vilnius University,Information Technology,0.72335195294695,280
Vilnius University,Law,0.52846158145951,28
Vilnius University,Marketing,0.486917938410128,27
Vilnius University,Mathematics,0.623773584680618,528
Vilnius University,Medicine,0.463252160789315,25
Vilnius University,Nursing,0.39464206171548,17
Vilnius University,Physics,0.575575239220131,485
Vilnius University,Statistics,0.629445201512976,238
Vytautas Magnus University,Biology,0.527147971140676,38
Vytautas Magnus University,Business,0.513143953228479,752
Vytautas Magnus University,Economics,0.531962564224185,341
Vytautas Magnus University,Education,0.421809577235742,131
Vytautas Magnus University,Engineering,0.545413981174964,164
Vytautas Magnus University,Finance,0.545316474620855,200
Vytautas Magnus University,Information Technology,0.694048952054063,74
Vytautas Magnus University,Law,0.464783086056514,21
Vytautas Magnus University,Marketing,0.535477801877637,65
Vytautas Magnus University,Mathematics,0.612426211272939,67
Vytautas Magnus University,Physics,0.578789694673249,26
Šiauliai University,Business,0.510826930459948,170
Šiauliai University,Economics,0.523950571351207,200
Šiauliai University,Education,0.459627412903516,61
Šiauliai University,Engineering,0.553549370222324,248
Šiauliai University,Finance,0.546007992140285,12
Šiauliai University,Information Technology,0.647918012696772,65
Šiauliai University,Mathematics,0.554346749287588,14
Šiauliai University,Physics,0.475280890766444,13
