university_name,field,exposure_alljobs_beta,n_people
European Humanities University,Law,0.583810714717462,22
ISM University of Management and Economics,Business,0.526713197413806,1236
ISM University of Management and Economics,Economics,0.53723814064799,679
ISM University of Management and Economics,Finance,0.549775681849516,92
Kaunas University of Technology,Accounting,0.549355685077685,95
Kaunas University of Technology,Architecture,0.496601381874545,151
Kaunas University of Technology,Business,0.510411258582336,1220
Kaunas University of Technology,Chemistry,0.472374789583085,168
Kaunas University of Technology,Economics,0.529137527861237,532
Kaunas University of Technology,Education,0.497567525400262,19
Kaunas University of Technology,Engineering,0.553759914009332,3697
Kaunas University of Technology,Finance,0.551522474345878,232
Kaunas University of Technology,Information Technology,0.693636005083401,293
Kaunas University of Technology,Marketing,0.521454293982811,228
Kaunas University of Technology,Mathematics,0.630577814631682,299
Kaunas University of Technology,Physics,0.562021493973301,50
Kauno technikos kolegija,Business,0.574056143275978,17
Kauno technikos kolegija,Engineering,0.438639008658079,243
Kazimieras Simonavičius University,Business,0.50419053458018,43
Kazimieras Simonavičius University,Marketing,0.515083695473435,10
Klaipėda University,Accounting,0.51942511654671,10
Klaipėda University,Architecture,0.489675024687509,37
Klaipėda University,Business,0.482088475377271,320
Klaipėda University,Economics,0.51937353792855,171
Klaipėda University,Education,0.413654043484527,45
Klaipėda University,Engineering,0.494992867041998,561
Klaipėda University,Finance,0.605548633309756,12
Klaipėda University,Information Technology,0.646443266928878,59
Klaipėda University,Mathematics,0.53410056611517,26
Klaipėda University,Nursing,0.432030204294816,17
Klaipėdos valstybinė kolegija / Higher Education Institution,Accounting,0.54988872432915,12
Klaipėdos valstybinė kolegija / Higher Education Institution,Business,0.486154917208072,93
Klaipėdos valstybinė kolegija / Higher Education Institution,Engineering,0.435144826936324,86
Klaipėdos valstybinė kolegija / Higher Education Institution,Finance,0.617818539373988,10
Klaipėdos valstybinė kolegija / Higher Education Institution,Information Technology,0.665704303539892,17
Kolping University of Applied Sciences,Business,0.573761729847702,12
LCC International University,Business,0.522886671453161,324
Lietuvos verslo kolegija / Lithuania Business College,Business,0.4768646863279,73
Lietuvos verslo kolegija / Lithuania Business College,Law,0.538666052429328,15
Lithuanian Academy of Music and Theatre,Business,0.534068362102945,35
Lithuanian Maritime Academy  - LAJM,Business,0.497072940873709,85
Lithuanian Maritime Academy  - LAJM,Engineering,0.345162648313828,114
Lithuanian Maritime Academy  - LAJM,Finance,0.520714303634239,22
Lithuanian Sports University,Business,0.475691336984999,133
Lithuanian Sports University,Education,0.361040162800528,75
Lithuanian University of Health Sciences,Education,0.466379874688228,10
Lithuanian University of Health Sciences,Medicine,0.477783675536223,11
Lithuanian University of Health Sciences,Nursing,0.385238258875658,42
Mykolas Romeris University,Accounting,0.588524796817774,17
Mykolas Romeris University,Business,0.512217159923388,684
Mykolas Romeris University,Economics,0.548889586548319,403
Mykolas Romeris University,Engineering,0.770803372031456,10
Mykolas Romeris University,Finance,0.52949917791835,69
Mykolas Romeris University,Information Technology,0.658207520299921,17
Mykolas Romeris University,Law,0.485371859513509,1546
Mykolas Romeris University,Marketing,0.542362201808539,22
Panevėžio kolegija/State Higher Education Institution,Accounting,0.459371806121744,12
Panevėžio kolegija/State Higher Education Institution,Business,0.455769252938749,17
Panevėžio kolegija/State Higher Education Institution,Engineering,0.524417404952875,59
SMK University of Applied Social Sciences,Business,0.498826362236371,429
SMK University of Applied Social Sciences,Engineering,0.702149317330409,41
SMK University of Applied Social Sciences,Law,0.509570617810168,66
SMK University of Applied Social Sciences,Marketing,0.504282755094244,103
TECHIN - Vilniaus technologijų ir inžinerijos mokymo centras,Engineering,0.462313993794582,12
VILNIUS TECH - Vilnius Gediminas Technical University,Architecture,0.502166624357304,107
VILNIUS TECH - Vilnius Gediminas Technical University,Business,0.532207540768467,576
VILNIUS TECH - Vilnius Gediminas Technical University,Economics,0.549580833931076,44
