university_name,field,exposure_firstjob_beta,n_people
BBI Luxembourg & Brussels,Business,0.533962582716136,27
Haute École Robert Schuman (HERS),Education,0.348577049980101,16
Haute École Robert Schuman (HERS),Finance,0.522128026756255,10
LUNEX University,Business,0.45460054956943,12
University of Luxembourg,Accounting,0.562857475669783,20
University of Luxembourg,Business,0.538240133461976,357
University of Luxembourg,Economics,0.542954696329857,97
University of Luxembourg,Education,0.372460291014482,27
University of Luxembourg,Engineering,0.596129660689565,173
University of Luxembourg,Finance,0.538510142366577,34
University of Luxembourg,Information Technology,0.673874372710354,38
University of Luxembourg,Law,0.50151392932845,247
University of Luxembourg,Mathematics,0.555424292162439,23
University of Luxembourg,Physics,0.531770598684633,11
