university_name,field,exposure_alljobs_beta,n_people
BBI Luxembourg & Brussels,Business,0.53137928921504,27
Haute École Robert Schuman (HERS),Education,0.352818324569254,16
Haute École Robert Schuman (HERS),Finance,0.518757325099056,10
LUNEX University,Business,0.46629679102889,12
University of Luxembourg,Accounting,0.563391161965815,20
University of Luxembourg,Business,0.537287410293119,357
University of Luxembourg,Economics,0.535127230428526,97
University of Luxembourg,Education,0.371215020096759,27
University of Luxembourg,Engineering,0.593882495655572,173
University of Luxembourg,Finance,0.536372097131975,34
University of Luxembourg,Information Technology,0.683848433116391,38
University of Luxembourg,Law,0.49675486104852,247
University of Luxembourg,Mathematics,0.551981010940964,23
University of Luxembourg,Physics,0.524192207053625,11
