university_name,field,exposure_firstjob_beta,n_people
Alfonso Reyes University,Business,0.535918202935457,17
Alfonso Reyes University,Engineering,0.552538726680437,14
American University of Acapulco,Business,0.572553808454272,10
American University of Morelos,Business,0.528645400019959,11
Anáhuac Mexico University,Architecture,0.480380972275466,51
Anáhuac Mexico University,Business,0.516569208608213,312
Anáhuac Mexico University,Economics,0.532296077541028,36
Anáhuac Mexico University,Engineering,0.524041950404658,114
Anáhuac Mexico University,Finance,0.53552383476806,61
Anáhuac Mexico University,Law,0.474928093768315,113
Anáhuac Mexico University,Marketing,0.514071597967281,176
Anáhuac Mexico University,Medicine,0.461476318455431,40
Anáhuac Mexico University Anáhuac Cancún University,Architecture,0.479807140339628,82
Anáhuac Mexico University Anáhuac Cancún University,Business,0.509057845638655,654
Anáhuac Mexico University Anáhuac Cancún University,Economics,0.509247775590131,53
Anáhuac Mexico University Anáhuac Cancún University,Education,0.434366310631877,14
Anáhuac Mexico University Anáhuac Cancún University,Engineering,0.525620469764542,262
Anáhuac Mexico University Anáhuac Cancún University,Finance,0.529095917062279,108
Anáhuac Mexico University Anáhuac Cancún University,Law,0.473891204366849,93
Anáhuac Mexico University Anáhuac Cancún University,Marketing,0.512219190389612,325
Anáhuac Mexico University Anáhuac Cancún University,Medicine,0.452428189111515,48
Autonomous University of Aguascalientes,Accounting,0.53633964438514,72
Autonomous University of Aguascalientes,Architecture,0.485885838285115,77
Autonomous University of Aguascalientes,Business,0.548184540274074,290
Autonomous University of Aguascalientes,Chemistry,0.425782308413735,15
Autonomous University of Aguascalientes,Economics,0.5479584319252,32
Autonomous University of Aguascalientes,Education,0.424648584152192,13
Autonomous University of Aguascalientes,Engineering,0.574339261284239,265
Autonomous University of Aguascalientes,Finance,0.5508734082669,29
Autonomous University of Aguascalientes,Information Technology,0.692949743034162,43
Autonomous University of Aguascalientes,Law,0.505199311109532,113
Autonomous University of Aguascalientes,Marketing,0.535896875367338,220
Autonomous University of Aguascalientes,Medicine,0.44601620756741,16
Autonomous University of Baja California,Accounting,0.564800231121731,223
Autonomous University of Baja California,Architecture,0.483939952724281,185
Autonomous University of Baja California,Biology,0.450737548483127,16
Autonomous University of Baja California,Business,0.543002561486746,1074
Autonomous University of Baja California,Chemistry,0.465781019691024,19
Autonomous University of Baja California,Economics,0.540427805190709,140
Autonomous University of Baja California,Education,0.458872717978979,36
Autonomous University of Baja California,Engineering,0.540541230527301,1475
Autonomous University of Baja California,Finance,0.544318035083525,66
Autonomous University of Baja California,Information Technology,0.633449040053727,34
Autonomous University of Baja California,Law,0.499002718953324,306
Autonomous University of Baja California,Marketing,0.517700387799588,574
Autonomous University of Baja California,Mathematics,0.491402906307686,19
Autonomous University of Baja California,Medicine,0.435585207536524,44
Autonomous University of Baja California,Nursing,0.366675463316988,25
Autonomous University of Baja California,Physics,0.511708276284933,40
Autonomous University of Campeche,Accounting,0.535167826389537,30
Autonomous University of Campeche,Business,0.568590948215205,14
Autonomous University of Campeche,Engineering,0.634115474830498,16
Autonomous University of Campeche,Law,0.52717438511068,18
Autonomous University of Carmen,Accounting,0.56415204380958,13
Autonomous University of Carmen,Business,0.556732760797917,80
Autonomous University of Carmen,Engineering,0.479339569602655,116
Autonomous University of Carmen,Marketing,0.506449123758571,20
Autonomous University of Chapingo,Business,0.547517523434722,12
Autonomous University of Chapingo,Economics,0.528310301760351,42
Autonomous University of Chapingo,Engineering,0.5188124889372,31
Autonomous University of Chapingo,Statistics,0.576791925368634,18
Autonomous University of Chiapas,Accounting,0.547695533224991,54
Autonomous University of Chiapas,Architecture,0.485520484356616,63
Autonomous University of Chiapas,Business,0.508361549324179,111
Autonomous University of Chiapas,Economics,0.515419715502158,10
Autonomous University of Chiapas,Education,0.38047937330979,12
Autonomous University of Chiapas,Engineering,0.525796131501942,81
Autonomous University of Chiapas,Law,0.502054802191203,40
Autonomous University of Ciudad Juárez,Accounting,0.572637685021654,98
Autonomous University of Ciudad Juárez,Architecture,0.471127964808995,98
Autonomous University of Ciudad Juárez,Biology,0.464976331823966,13
Autonomous University of Ciudad Juárez,Business,0.53504383082066,381
Autonomous University of Ciudad Juárez,Chemistry,0.460652745791394,68
Autonomous University of Ciudad Juárez,Economics,0.513438682762535,53
Autonomous University of Ciudad Juárez,Education,0.433319026818115,49
