university_name,field,exposure_alljobs_beta,n_people
Alfonso Reyes University,Business,0.547277793995285,17
Alfonso Reyes University,Engineering,0.556021458489828,14
American University of Acapulco,Business,0.55593086766776,10
American University of Morelos,Business,0.528816164458819,11
Anáhuac Mexico University,Architecture,0.483833903178176,51
Anáhuac Mexico University,Business,0.513965497390751,312
Anáhuac Mexico University,Economics,0.546503066500469,36
Anáhuac Mexico University,Engineering,0.526124389044814,114
Anáhuac Mexico University,Finance,0.536702409413513,61
Anáhuac Mexico University,Law,0.469945164591428,113
Anáhuac Mexico University,Marketing,0.514289927489944,176
Anáhuac Mexico University,Medicine,0.453488537449781,40
Anáhuac Mexico University Anáhuac Cancún University,Architecture,0.481028444795873,82
Anáhuac Mexico University Anáhuac Cancún University,Business,0.508122395379594,654
Anáhuac Mexico University Anáhuac Cancún University,Economics,0.514594903720194,53
Anáhuac Mexico University Anáhuac Cancún University,Education,0.455968797182684,14
Anáhuac Mexico University Anáhuac Cancún University,Engineering,0.521123470097569,262
Anáhuac Mexico University Anáhuac Cancún University,Finance,0.527043055626144,108
Anáhuac Mexico University Anáhuac Cancún University,Law,0.474043643594946,93
Anáhuac Mexico University Anáhuac Cancún University,Marketing,0.512472403245357,325
Anáhuac Mexico University Anáhuac Cancún University,Medicine,0.453667235929589,48
Autonomous University of Aguascalientes,Accounting,0.537114836740713,72
Autonomous University of Aguascalientes,Architecture,0.487183070649349,77
Autonomous University of Aguascalientes,Business,0.549095971847392,290
Autonomous University of Aguascalientes,Chemistry,0.444318285870651,15
Autonomous University of Aguascalientes,Economics,0.535781392922835,32
Autonomous University of Aguascalientes,Education,0.4311850344161,13
Autonomous University of Aguascalientes,Engineering,0.573602995347957,265
Autonomous University of Aguascalientes,Finance,0.547240602660342,29
Autonomous University of Aguascalientes,Information Technology,0.693505322116752,43
Autonomous University of Aguascalientes,Law,0.502342608155338,113
Autonomous University of Aguascalientes,Marketing,0.534173145759978,220
Autonomous University of Aguascalientes,Medicine,0.441425237430154,16
Autonomous University of Baja California,Accounting,0.557765106362572,223
Autonomous University of Baja California,Architecture,0.480821949828515,185
Autonomous University of Baja California,Biology,0.460101361956128,16
Autonomous University of Baja California,Business,0.544423438119368,1074
Autonomous University of Baja California,Chemistry,0.46692458651112,19
Autonomous University of Baja California,Economics,0.542725478508637,140
Autonomous University of Baja California,Education,0.461546494229823,36
Autonomous University of Baja California,Engineering,0.543684225170354,1475
Autonomous University of Baja California,Finance,0.545315905493577,66
Autonomous University of Baja California,Information Technology,0.62720100768948,34
Autonomous University of Baja California,Law,0.501991475500582,306
Autonomous University of Baja California,Marketing,0.518803119458315,574
Autonomous University of Baja California,Mathematics,0.508049569027986,19
Autonomous University of Baja California,Medicine,0.446057286837059,44
Autonomous University of Baja California,Nursing,0.375025222728464,25
Autonomous University of Baja California,Physics,0.523080495738062,40
Autonomous University of Campeche,Accounting,0.550852201560956,30
Autonomous University of Campeche,Business,0.569071786787149,14
Autonomous University of Campeche,Engineering,0.646389212433846,16
Autonomous University of Campeche,Law,0.502510560335445,18
Autonomous University of Carmen,Accounting,0.543726437002965,13
Autonomous University of Carmen,Business,0.554051478500195,80
Autonomous University of Carmen,Engineering,0.48002732922428,116
Autonomous University of Carmen,Marketing,0.508222371657412,20
Autonomous University of Chapingo,Business,0.535186482963002,12
Autonomous University of Chapingo,Economics,0.51537237142243,42
Autonomous University of Chapingo,Engineering,0.510254421845594,31
Autonomous University of Chapingo,Statistics,0.585132731289412,18
Autonomous University of Chiapas,Accounting,0.544861059531184,54
Autonomous University of Chiapas,Architecture,0.481582876778138,63
Autonomous University of Chiapas,Business,0.511749875265322,111
Autonomous University of Chiapas,Economics,0.524780924140681,10
Autonomous University of Chiapas,Education,0.37930333395415,12
Autonomous University of Chiapas,Engineering,0.523716053887812,81
Autonomous University of Chiapas,Law,0.497311193157056,40
Autonomous University of Ciudad Juárez,Accounting,0.569451914448192,98
Autonomous University of Ciudad Juárez,Architecture,0.470944270420044,98
Autonomous University of Ciudad Juárez,Biology,0.489687914409512,13
Autonomous University of Ciudad Juárez,Business,0.529647899316259,381
Autonomous University of Ciudad Juárez,Chemistry,0.456186207074435,68
Autonomous University of Ciudad Juárez,Economics,0.516916688305496,53
Autonomous University of Ciudad Juárez,Education,0.435533785042649,49
Autonomous University of Ciudad Juárez,Engineering,0.544655624611639,862
Autonomous University of Ciudad Juárez,Finance,0.530215027637734,28
Autonomous University of Ciudad Juárez,Law,0.505595504859769,100
Autonomous University of Ciudad Juárez,Marketing,0.494347499070623,28
Autonomous University of Ciudad Juárez,Mathematics,0.38029563765434,10
Autonomous University of Ciudad Juárez,Medicine,0.432610258752775,32
Autonomous University of Ciudad Juárez,Nursing,0.423751449245502,21
Autonomous University of Coahuila,Accounting,0.55865753654236,136
Autonomous University of Coahuila,Architecture,0.482366903123017,81
Autonomous University of Coahuila,Business,0.538762143280307,397
Autonomous University of Coahuila,Chemistry,0.473482967348733,27
Autonomous University of Coahuila,Economics,0.536826446636639,50
Autonomous University of Coahuila,Education,0.424319718428017,10
Autonomous University of Coahuila,Engineering,0.524717106220772,213
Autonomous University of Coahuila,Finance,0.53571074549779,65
Autonomous University of Coahuila,Law,0.499953862910994,145
Autonomous University of Coahuila,Marketing,0.524684160333238,214
Autonomous University of Coahuila,Mathematics,0.514828210585993,11
Autonomous University of Coahuila,Medicine,0.443529093611343,15
Autonomous University of Coahuila,Nursing,0.379294889981189,27
Autonomous University of Durango,Architecture,0.493435592943656,65
Autonomous University of Durango,Business,0.53108008724203,50
Autonomous University of Durango,Engineering,0.559976171251396,12
Autonomous University of Durango,Law,0.502754978404524,32
Autonomous University of Durango,Marketing,0.518596240236297,52
Autonomous University of Guadalajara,Accounting,0.557222986650738,29
Autonomous University of Guadalajara,Architecture,0.48452081939487,79
Autonomous University of Guadalajara,Business,0.522959168664094,198
Autonomous University of Guadalajara,Economics,0.542533685948064,13
Autonomous University of Guadalajara,Education,0.340247658270478,11
Autonomous University of Guadalajara,Engineering,0.528677036851823,304
Autonomous University of Guadalajara,Finance,0.552745695966073,13
Autonomous University of Guadalajara,Law,0.498738143138838,54
Autonomous University of Guadalajara,Marketing,0.496668396004532,103
Autonomous University of Guadalajara,Medicine,0.438662392012368,60
Autonomous University of La Laguna,Business,0.534350354768635,34
Autonomous University of La Laguna,Marketing,0.463793315389066,14
Autonomous University of Nuevo León,Accounting,0.562128633006301,382
Autonomous University of Nuevo León,Architecture,0.481859162393345,580
Autonomous University of Nuevo León,Biology,0.501944279467612,16
Autonomous University of Nuevo León,Business,0.561163745064745,2411
Autonomous University of Nuevo León,Chemistry,0.47516333500388,130
Autonomous University of Nuevo León,Economics,0.547486485819791,154
Autonomous University of Nuevo León,Education,0.48238108039199,112
Autonomous University of Nuevo León,Engineering,0.543301892394401,2199
Autonomous University of Nuevo León,Finance,0.56815912494697,144
Autonomous University of Nuevo León,Information Technology,0.645433852951722,276
Autonomous University of Nuevo León,Law,0.520025333717772,702
Autonomous University of Nuevo León,Marketing,0.53169079309362,318
Autonomous University of Nuevo León,Mathematics,0.483483821314853,49
Autonomous University of Nuevo León,Medicine,0.463552806880322,126
Autonomous University of Nuevo León,Nursing,0.388255880240478,60
Autonomous University of Nuevo León,Physics,0.546258273226893,58
Autonomous University of Querétaro,Accounting,0.559534306965878,108
Autonomous University of Querétaro,Architecture,0.456683097562027,24
Autonomous University of Querétaro,Business,0.550792156327634,315
Autonomous University of Querétaro,Chemistry,0.556701969650349,17
Autonomous University of Querétaro,Economics,0.528676855084717,31
Autonomous University of Querétaro,Education,0.483497463606384,15
Autonomous University of Querétaro,Engineering,0.552532992330146,266
Autonomous University of Querétaro,Finance,0.57746190102545,30
Autonomous University of Querétaro,Information Technology,0.638567367710048,10
Autonomous University of Querétaro,Law,0.490791059024764,177
Autonomous University of Querétaro,Marketing,0.578602501234028,17
Autonomous University of Querétaro,Mathematics,0.529547355033814,11
Autonomous University of Querétaro,Medicine,0.434215006407057,21
Autonomous University of Querétaro,Nursing,0.323990178872995,14
Autonomous University of Quintana Roo,Business,0.501228113825382,27
Autonomous University of Quintana Roo,Law,0.492087023770677,24
Autonomous University of Quintana Roo,Marketing,0.456362538662559,12
Autonomous University of San Luis Potosí,Accounting,0.558489616125797,161
Autonomous University of San Luis Potosí,Architecture,0.476795483876042,103
Autonomous University of San Luis Potosí,Business,0.555962354847178,395
Autonomous University of San Luis Potosí,Chemistry,0.485934035996114,48
Autonomous University of San Luis Potosí,Economics,0.533605348996847,99
Autonomous University of San Luis Potosí,Engineering,0.495724185750161,532
Autonomous University of San Luis Potosí,Finance,0.575705182738694,49
Autonomous University of San Luis Potosí,Law,0.490443367001368,168
Autonomous University of San Luis Potosí,Marketing,0.516426648440431,82
Autonomous University of San Luis Potosí,Medicine,0.454332734198936,16
Autonomous University of San Luis Potosí,Nursing,0.398983548449144,46
Autonomous University of San Luis Potosí,Physics,0.460269195380194,13
Autonomous University of Sinaloa,Accounting,0.541040157312121,96
Autonomous University of Sinaloa,Architecture,0.480473725734758,229
Autonomous University of Sinaloa,Business,0.51898332507156,278
Autonomous University of Sinaloa,Chemistry,0.422518867009912,19
Autonomous University of Sinaloa,Economics,0.553732917993922,57
Autonomous University of Sinaloa,Education,0.453697999718227,17
Autonomous University of Sinaloa,Engineering,0.566734156662313,288
Autonomous University of Sinaloa,Finance,0.551170659369996,33
Autonomous University of Sinaloa,Information Technology,0.694005804720925,14
Autonomous University of Sinaloa,Law,0.530633863056448,103
Autonomous University of Sinaloa,Marketing,0.513682827273527,132
Autonomous University of Sinaloa,Medicine,0.419146418804529,29
Autonomous University of Sinaloa,Nursing,0.349647221902663,23
Autonomous University of Sinaloa,Physics,0.526507456535845,12
Autonomous University of Tamaulipas,Accounting,0.572338997617854,13
Autonomous University of Tamaulipas,Architecture,0.465720699477762,15
Autonomous University of Tamaulipas,Business,0.511413542332817,50
Autonomous University of Tamaulipas,Engineering,0.52865474917494,47
Autonomous University of Tamaulipas,Law,0.488138414071073,16
Autonomous University of Tlaxcala,Accounting,0.58984409706389,21
Autonomous University of Tlaxcala,Business,0.550509704656222,72
