university_name,field,exposure_firstjob_beta,n_people
Academy of Theatre and Dance,Education,0.323849215224063,11
Aeres University of Applied Science Almere,Biology,0.380155884242287,34
Aeres University of Applied Science Almere,Business,0.41275071756652,16
Aeres University of Applied Sciences Dronten,Business,0.443011969189504,506
Aeres University of Applied Sciences Wageningen,Business,0.420379723833383,54
Aeres University of Applied Sciences Wageningen,Education,0.386609284052648,154
Albeda College,Business,0.328334981201281,12
Amsterdam Fashion Academy,Business,0.384546778045439,25
Amsterdam Fashion Institute,Business,0.473878085330766,630
Amsterdam Fashion Institute,Marketing,0.487646805186611,29
Amsterdam University College,Economics,0.512257817811813,71
Amsterdam University College,Engineering,0.537876881420671,27
Amsterdam University College,Law,0.496910787878808,48
Amsterdam University College,Mathematics,0.533721302301941,22
Amsterdam University College,Physics,0.537546131804079,33
Amsterdam University of Applied Sciences,Business,0.523788215555671,1268
Amsterdam University of Applied Sciences,Finance,0.494534999771052,10
Amsterdam University of Applied Sciences,Marketing,0.50391134738804,13
Amsterdam University of Applied Sciences (AUAS),Accounting,0.50846408961665,46
Amsterdam University of Applied Sciences (AUAS),Architecture,0.474751353370709,166
Amsterdam University of Applied Sciences (AUAS),Business,0.514064272581886,13734
Amsterdam University of Applied Sciences (AUAS),Economics,0.506438004647023,1010
Amsterdam University of Applied Sciences (AUAS),Education,0.397855574373159,2003
Amsterdam University of Applied Sciences (AUAS),Engineering,0.524464115051389,4445
Amsterdam University of Applied Sciences (AUAS),Finance,0.501218971630028,427
Amsterdam University of Applied Sciences (AUAS),Information Technology,0.683358260402049,161
Amsterdam University of Applied Sciences (AUAS),Law,0.494505740145442,304
Amsterdam University of Applied Sciences (AUAS),Marketing,0.511559056616826,1220
Amsterdam University of Applied Sciences (AUAS),Mathematics,0.536662804655848,94
Amsterdam University of Applied Sciences (AUAS),Nursing,0.382526705688744,403
Amsterdam University of the Arts,Business,0.481830871610224,18
Amsterdam University of the Arts,Education,0.401916433766468,306
ArtEZ Institute of the Arts,Architecture,0.393462826943479,52
ArtEZ Institute of the Arts,Education,0.409295686598991,526
Avans University of Applied Science,Accounting,0.520046782580016,62
Avans University of Applied Science,Architecture,0.461105768601166,129
