university_name,field,exposure_alljobs_beta,n_people
Academy of Theatre and Dance,Education,0.323393828415814,11
Aeres University of Applied Science Almere,Biology,0.422816308444794,34
Aeres University of Applied Science Almere,Business,0.420163111853316,16
Aeres University of Applied Sciences Dronten,Business,0.455616676966627,506
Aeres University of Applied Sciences Wageningen,Business,0.421161195674783,54
Aeres University of Applied Sciences Wageningen,Education,0.392076251799784,154
Albeda College,Business,0.339579059806154,12
Amsterdam Fashion Academy,Business,0.450023023246632,25
Amsterdam Fashion Institute,Business,0.480302969584937,630
Amsterdam Fashion Institute,Marketing,0.484310213221207,29
Amsterdam University College,Economics,0.527091447363633,71
Amsterdam University College,Engineering,0.543031069618928,27
Amsterdam University College,Law,0.49792031589804,48
Amsterdam University College,Mathematics,0.534568639070869,22
Amsterdam University College,Physics,0.534645393170774,33
Amsterdam University of Applied Sciences,Business,0.525486164106385,1268
Amsterdam University of Applied Sciences,Finance,0.495815431281243,10
Amsterdam University of Applied Sciences,Marketing,0.47864943349019,13
Amsterdam University of Applied Sciences (AUAS),Accounting,0.508178589638712,46
Amsterdam University of Applied Sciences (AUAS),Architecture,0.475634186979526,166
Amsterdam University of Applied Sciences (AUAS),Business,0.518711767845534,13734
Amsterdam University of Applied Sciences (AUAS),Economics,0.508439227415787,1010
Amsterdam University of Applied Sciences (AUAS),Education,0.401368631776681,2003
Amsterdam University of Applied Sciences (AUAS),Engineering,0.530715559387886,4445
Amsterdam University of Applied Sciences (AUAS),Finance,0.50972130380756,427
Amsterdam University of Applied Sciences (AUAS),Information Technology,0.682159923134224,161
Amsterdam University of Applied Sciences (AUAS),Law,0.496869374183039,304
Amsterdam University of Applied Sciences (AUAS),Marketing,0.514971009286177,1220
Amsterdam University of Applied Sciences (AUAS),Mathematics,0.543731044189547,94
Amsterdam University of Applied Sciences (AUAS),Nursing,0.381818848946592,403
Amsterdam University of the Arts,Business,0.474130055962715,18
Amsterdam University of the Arts,Education,0.405925584118303,306
ArtEZ Institute of the Arts,Architecture,0.406619692813822,52
ArtEZ Institute of the Arts,Education,0.410090782660573,526
Avans University of Applied Science,Accounting,0.524237557379945,62
Avans University of Applied Science,Architecture,0.465868953957827,129
Avans University of Applied Science,Biology,0.491299087632282,134
Avans University of Applied Science,Business,0.516990344884221,11503
Avans University of Applied Science,Chemistry,0.460686940078444,236
Avans University of Applied Science,Economics,0.520478049099206,967
Avans University of Applied Science,Education,0.381454141652827,282
Avans University of Applied Science,Engineering,0.506014954495605,3843
Avans University of Applied Science,Finance,0.503229011632241,679
Avans University of Applied Science,Information Technology,0.692685960092963,138
Avans University of Applied Science,Law,0.508098841334511,64
Avans University of Applied Science,Marketing,0.513266618217576,522
Avans University of Applied Science,Nursing,0.370656749011989,918
Avans+,Business,0.488741033067236,157
Avans+,Engineering,0.465383546286947,20
Avans+,Finance,0.483163316616144,10
Avans+,Nursing,0.368564973855454,222
Beeckestijn Business School,Business,0.54412644932913,20
Beeckestijn Business School,Marketing,0.521735777463377,55
Bestuursacademie Nederland,Business,0.469232251425294,14
Breda University of Applied Sciences,Architecture,0.566154398710144,202
Breda University of Applied Sciences,Business,0.489958267449736,8793
Breda University of Applied Sciences,Economics,0.520534614953076,102
Breda University of Applied Sciences,Engineering,0.519974280832985,391
Breda University of Applied Sciences,Marketing,0.504879038128486,106
Breitner Academie,Education,0.411459289942756,45
Business School Nederland,Business,0.494838445608682,32
Business School Notenboom,Business,0.503761833629974,414
Business School Notenboom,Marketing,0.494370165938518,17
CS Opleidingen BV,Business,0.456862965077057,23
Christian University of Applied Sciences,Business,0.514916353155496,551
Christian University of Applied Sciences,Education,0.371057751855078,435
Christian University of Applied Sciences,Nursing,0.387433461684424,259
Codarts University for the Arts,Education,0.385804849729347,108
Conservatorium van Amsterdam,Education,0.387985973029055,35
De Kempel University Teacher Education College,Education,0.352205817255388,256
Delft University of Technology,Architecture,0.475501300259713,1407
Delft University of Technology,Business,0.53785622747391,315
Delft University of Technology,Chemistry,0.497636499532151,15
Delft University of Technology,Engineering,0.519120484852398,10083
Delft University of Technology,Mathematics,0.549291733101354,352
Delft University of Technology,Medicine,0.448429601982542,13
Delft University of Technology,Physics,0.531742833848333,538
Deltion College,Business,0.385908188450664,13
