university_name,field,exposure_firstjob_beta,n_people
Aspire2 International,Business,0.398670112223291,31
Aspire2 International,Engineering,0.441812226108962,10
Aspire2 International,Information Technology,0.597878950960336,10
Auckland Institute of Studies,Accounting,0.532606528969377,12
Auckland Institute of Studies,Business,0.465491054203911,116
Auckland Institute of Studies,Engineering,0.44942135778899,16
Auckland Institute of Studies,Information Technology,0.624676787252456,34
Auckland University of Technology,Accounting,0.540328303295012,347
Auckland University of Technology,Architecture,0.382511298788279,34
Auckland University of Technology,Biology,0.407157435185733,48
Auckland University of Technology,Business,0.489986122270292,5759
Auckland University of Technology,Chemistry,0.445913339965316,84
Auckland University of Technology,Economics,0.479525766933938,66
Auckland University of Technology,Education,0.357230120785639,403
Auckland University of Technology,Engineering,0.522789306270787,2435
Auckland University of Technology,Finance,0.537575413586143,287
Auckland University of Technology,Information Technology,0.580723145957196,54
Auckland University of Technology,Law,0.480670379232661,290
Auckland University of Technology,Marketing,0.488306383493489,384
Auckland University of Technology,Mathematics,0.528570572074719,34
Auckland University of Technology,Nursing,0.376409629614881,370
Bethlehem Tertiary Institute,Education,0.391321715585341,45
Capable NZ - Otago Polytechnic,Business,0.461991841929522,67
Christchurch Polytechnic Institute of Technology,Architecture,0.483740827531996,59
Christchurch Polytechnic Institute of Technology,Business,0.516477195416791,137
Christchurch Polytechnic Institute of Technology,Education,0.439358129840494,22
Christchurch Polytechnic Institute of Technology,Engineering,0.541425826911871,98
Christchurch Polytechnic Institute of Technology,Information Technology,0.65380159875995,15
Christchurch Polytechnic Institute of Technology,Nursing,0.381806371412159,117
"Creative Arts and Industries, the University of Auckland",Architecture,0.442577870187269,20
EDENZ Colleges,Business,0.471761374086727,25
Institute of the Pacific United New Zealand,Business,0.43401299801088,40
International College of Auckland,Engineering,0.442732968666267,10
Laidlaw College,Education,0.360274768583491,36
Lincoln University,Accounting,0.492051746552856,50
Lincoln University,Architecture,0.356018397206064,160
Lincoln University,Business,0.460870159654137,1015
Lincoln University,Economics,0.502405498661677,18
Lincoln University,Engineering,0.600155597692953,17
Lincoln University,Finance,0.472301282276103,95
Lincoln University,Information Technology,0.664753456994785,13
Lincoln University,Marketing,0.421453561930787,136
Manukau Institute of Technology,Accounting,0.529587545815921,42
Manukau Institute of Technology,Business,0.513261997245955,372
Manukau Institute of Technology,Education,0.332791988281583,74
Manukau Institute of Technology,Engineering,0.460841597674294,408
Manukau Institute of Technology,Finance,0.538217471934675,16
Manukau Institute of Technology,Information Technology,0.650400401678961,59
Manukau Institute of Technology,Marketing,0.405179707556284,15
Manukau Institute of Technology,Nursing,0.372664129655586,209
Massey University,Accounting,0.535102736149938,453
Massey University,Biology,0.386675353353339,124
Massey University,Business,0.49041318230833,4113
Massey University,Chemistry,0.435187188916706,81
Massey University,Economics,0.51708608032902,117
Massey University,Education,0.400468421038058,477
Massey University,Engineering,0.559564168578957,1067
Massey University,Finance,0.536430958004342,253
Massey University,Information Technology,0.607375547209052,136
Massey University,Marketing,0.497562789849545,433
Massey University,Mathematics,0.526993101699126,42
Massey University,Medicine,0.318371116033301,108
Massey University,Nursing,0.371242016471959,297
Massey University,Statistics,0.549302021436213,57
Media Design School,Engineering,0.618922932658719,111
NZMA,Business,0.410207628838075,19
Nelson Marlborough Institute of Technology,Accounting,0.537763554360926,80
Nelson Marlborough Institute of Technology,Business,0.508554222717832,84
Nelson Marlborough Institute of Technology,Engineering,0.620413597782709,12
Nelson Marlborough Institute of Technology,Information Technology,0.609069080127382,95
Nelson Marlborough Institute of Technology,Marketing,0.529603637360066,20
Nelson Marlborough Institute of Technology,Nursing,0.37263495736296,81
New Zealand College of Chinese Medicine,Medicine,0.259743914066972,18
New Zealand Drama School,Business,0.458014944842867,30
New Zealand Tertiary College,Education,0.331364665879261,137
NorthTec Tai Tokerau Wānanga,Business,0.479999711802526,68
NorthTec Tai Tokerau Wānanga,Nursing,0.391494480600212,52
Open Polytechnic of New Zealand,Accounting,0.530214777652961,54
Open Polytechnic of New Zealand,Business,0.520242863465286,304
Open Polytechnic of New Zealand,Education,0.342872081446881,49
Open Polytechnic of New Zealand,Engineering,0.503265221828827,22
Open Polytechnic of New Zealand,Information Technology,0.605738590666116,31
Pacific International Hotel Management School,Business,0.449379491979802,173
Queens Academic Group,Business,0.473679398527292,19
Queens Academic Group,Engineering,0.31022702721407,16
South Pacific College of Natural Medicine,Medicine,0.427406699490252,81
Southern Institute of Technology,Accounting,0.542545100752793,56
Southern Institute of Technology,Business,0.465948080331102,129
Southern Institute of Technology,Engineering,0.494360875649232,48
Southern Institute of Technology,Information Technology,0.56839125025536,116
Southern Institute of Technology,Nursing,0.35687344299091,55
Te Pūkenga - New Zealand Institute of Skills and Technology,Accounting,0.548285147558821,58
Te Pūkenga - New Zealand Institute of Skills and Technology,Architecture,0.444298393570984,264
Te Pūkenga - New Zealand Institute of Skills and Technology,Business,0.478164802440786,607
Te Pūkenga - New Zealand Institute of Skills and Technology,Economics,0.481619022968062,42
Te Pūkenga - New Zealand Institute of Skills and Technology,Education,0.381609606876827,57
Te Pūkenga - New Zealand Institute of Skills and Technology,Engineering,0.497115127453272,510
Te Pūkenga - New Zealand Institute of Skills and Technology,Finance,0.524789278672738,21
Te Pūkenga - New Zealand Institute of Skills and Technology,Information Technology,0.628230521254862,271
Te Pūkenga - New Zealand Institute of Skills and Technology,Marketing,0.505182139738522,19
Te Pūkenga - New Zealand Institute of Skills and Technology,Nursing,0.357086921167212,235
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Accounting,0.544954680730611,26
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Business,0.479159936603162,171
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Education,0.380055504062398,14
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Engineering,0.585285838409691,88
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Information Technology,0.608621675147719,30
Te Pūkenga - New Zealand Institute of Skills and Technology Eastern Institute of Technology,Nursing,0.374910014010096,100
Te Pūkenga - New Zealand Institute of Skills and Technology Otago Polytechnic,Architecture,0.361193005705515,21
Te Pūkenga - New Zealand Institute of Skills and Technology Otago Polytechnic,Business,0.464732549660957,617
Te Pūkenga - New Zealand Institute of Skills and Technology Otago Polytechnic,Engineering,0.488463394882283,105
Te Pūkenga - New Zealand Institute of Skills and Technology Otago Polytechnic,Information Technology,0.601545838970284,225
Te Pūkenga - New Zealand Institute of Skills and Technology Otago Polytechnic,Nursing,0.369408302566373,169
Te Pūkenga - New Zealand Institute of Skills and Technology Universal College of Learning,Business,0.53401887898836,35
Te Pūkenga - New Zealand Institute of Skills and Technology Universal College of Learning,Engineering,0.534766724147524,34
