university_name,field,exposure_alljobs_beta,n_people
Aspire2 International,Business,0.418617156118453,31
Aspire2 International,Engineering,0.433802700525687,10
Aspire2 International,Information Technology,0.574834659132891,10
Auckland Institute of Studies,Accounting,0.52603064535487,12
Auckland Institute of Studies,Business,0.475153212171914,116
Auckland Institute of Studies,Engineering,0.479825795069336,16
Auckland Institute of Studies,Information Technology,0.627146408942764,34
Auckland University of Technology,Accounting,0.53997623957561,347
Auckland University of Technology,Architecture,0.401395897316528,34
Auckland University of Technology,Biology,0.433920952298938,48
Auckland University of Technology,Business,0.496050496381673,5759
Auckland University of Technology,Chemistry,0.445747134423403,84
Auckland University of Technology,Economics,0.482251578744072,66
Auckland University of Technology,Education,0.362788636014393,403
Auckland University of Technology,Engineering,0.530838987006399,2435
Auckland University of Technology,Finance,0.544202144946973,287
Auckland University of Technology,Information Technology,0.589803834340585,54
Auckland University of Technology,Law,0.479646113463988,290
Auckland University of Technology,Marketing,0.497014857093897,384
Auckland University of Technology,Mathematics,0.526412884346899,34
Auckland University of Technology,Nursing,0.380920043642917,370
Bethlehem Tertiary Institute,Education,0.389058081123891,45
Capable NZ - Otago Polytechnic,Business,0.448695060590532,67
Christchurch Polytechnic Institute of Technology,Architecture,0.481052089126986,59
Christchurch Polytechnic Institute of Technology,Business,0.514289613032002,137
Christchurch Polytechnic Institute of Technology,Education,0.424891956765661,22
Christchurch Polytechnic Institute of Technology,Engineering,0.541024686963722,98
Christchurch Polytechnic Institute of Technology,Information Technology,0.645429222028596,15
Christchurch Polytechnic Institute of Technology,Nursing,0.388307001636235,117
"Creative Arts and Industries, the University of Auckland",Architecture,0.469654146587876,20
EDENZ Colleges,Business,0.471797657797116,25
Institute of the Pacific United New Zealand,Business,0.450079167505029,40
International College of Auckland,Engineering,0.442010350483476,10
Laidlaw College,Education,0.364737476272155,36
Lincoln University,Accounting,0.490841702372953,50
Lincoln University,Architecture,0.357230713420556,160
Lincoln University,Business,0.463661405962172,1015
Lincoln University,Economics,0.520131754844631,18
Lincoln University,Engineering,0.600326870443505,17
Lincoln University,Finance,0.486313696651451,95
Lincoln University,Information Technology,0.649521291585161,13
Lincoln University,Marketing,0.441841485792783,136
Manukau Institute of Technology,Accounting,0.55634236476727,42
Manukau Institute of Technology,Business,0.516945376392583,372
Manukau Institute of Technology,Education,0.342711599813826,74
Manukau Institute of Technology,Engineering,0.465987686351828,408
Manukau Institute of Technology,Finance,0.529967110918712,16
Manukau Institute of Technology,Information Technology,0.652374550339128,59
Manukau Institute of Technology,Marketing,0.431146859340293,15
Manukau Institute of Technology,Nursing,0.375982255633754,209
Massey University,Accounting,0.537385432434074,453
Massey University,Biology,0.397061863739151,124
