university_name,field,exposure_firstjob_beta,n_people
Abubakar Tafawa Balewa University,Accounting,0.537422434847213,13
Abubakar Tafawa Balewa University,Business,0.524626186202691,20
Abubakar Tafawa Balewa University,Chemistry,0.500706915813206,12
Abubakar Tafawa Balewa University,Economics,0.507125866286972,15
Abubakar Tafawa Balewa University,Engineering,0.521745315623637,30
Achievers University,Accounting,0.530028913990921,98
Achievers University,Business,0.527716186958572,57
Achievers University,Economics,0.537936204160864,35
Achievers University,Engineering,0.568194788709802,93
Achievers University,Finance,0.470579769513542,17
Achievers University,Nursing,0.446240171308229,32
"Adamawa State University, Mubi",Accounting,0.507726308717604,54
"Adamawa State University, Mubi",Biology,0.514840001246872,11
"Adamawa State University, Mubi",Business,0.473914385192659,52
"Adamawa State University, Mubi",Chemistry,0.473305701463393,18
"Adamawa State University, Mubi",Economics,0.497993038187041,68
"Adamawa State University, Mubi",Engineering,0.573945993361449,80
Adekunle Ajasin University,Accounting,0.522951053097538,588
Adekunle Ajasin University,Biology,0.501308369576707,188
Adekunle Ajasin University,Business,0.515160850667075,530
Adekunle Ajasin University,Chemistry,0.504212693908553,418
Adekunle Ajasin University,Economics,0.516107654673818,430
Adekunle Ajasin University,Education,0.479523660920508,825
Adekunle Ajasin University,Engineering,0.588829068370525,505
Adekunle Ajasin University,Finance,0.523572149573916,262
Adekunle Ajasin University,Law,0.498324797046065,309
Adekunle Ajasin University,Mathematics,0.53496115763393,215
Adekunle Ajasin University,Physics,0.506762504869794,272
Adeleke University,Accounting,0.543306362186101,56
Adeleke University,Business,0.587890524109013,21
Adeleke University,Economics,0.534388150031167,27
Adeleke University,Engineering,0.584245352502128,114
Adeleke University,Law,0.515414921274184,73
Afe Babalola University,Accounting,0.542578114639448,182
Afe Babalola University,Business,0.544596074744717,102
Afe Babalola University,Chemistry,0.47447695463693,12
Afe Babalola University,Economics,0.546420445445982,131
Afe Babalola University,Engineering,0.545540715930921,758
Afe Babalola University,Finance,0.557088325250149,26
Afe Babalola University,Law,0.501734149104475,516
Afe Babalola University,Medicine,0.39954754061817,89
Afe Babalola University,Nursing,0.421779760222837,79
Ahmadu Bello University,Accounting,0.530786517714599,767
Ahmadu Bello University,Architecture,0.492647890121507,332
Ahmadu Bello University,Biology,0.487425375466818,226
Ahmadu Bello University,Business,0.509213305396731,1012
Ahmadu Bello University,Chemistry,0.494476878567767,366
Ahmadu Bello University,Economics,0.525114870185643,763
Ahmadu Bello University,Education,0.450495447995458,638
Ahmadu Bello University,Engineering,0.505296618591911,2712
Ahmadu Bello University,Finance,0.526886497599651,117
Ahmadu Bello University,Law,0.479227758537594,720
Ahmadu Bello University,Mathematics,0.507110993954131,185
Ahmadu Bello University,Medicine,0.444621634789755,191
Ahmadu Bello University,Nursing,0.404326220684907,167
Ahmadu Bello University,Physics,0.49184083331104,196
Ahmadu Bello University,Statistics,0.529309034795201,199
Ajayi Crowther University,Accounting,0.544642507690287,200
Ajayi Crowther University,Business,0.532445241146019,258
Ajayi Crowther University,Chemistry,0.467276096218285,20
Ajayi Crowther University,Economics,0.520050344307122,261
Ajayi Crowther University,Engineering,0.612746302754744,377
Ajayi Crowther University,Finance,0.533700438729247,171
Ajayi Crowther University,Law,0.515818772040691,95
Ajayi Crowther University,Physics,0.538659829845346,14
Ajayi Crowther University,Statistics,0.576205503744566,21
Akwa Ibom State University,Accounting,0.518146503804642,41
Akwa Ibom State University,Biology,0.464671209998566,31
Akwa Ibom State University,Business,0.534050023029926,35
Akwa Ibom State University,Chemistry,0.499557073113893,21
Akwa Ibom State University,Economics,0.514288043278733,52
Akwa Ibom State University,Education,0.476650042057712,30
Akwa Ibom State University,Engineering,0.496195906461315,267
Akwa Ibom State University,Marketing,0.512227436075937,23
Akwa Ibom State University,Physics,0.502898139677991,10
Akwa Ibom State University,Statistics,0.537156438181368,21
"Al-Qalam University, Katsina",Accounting,0.480313594661275,10
"Al-Qalam University, Katsina",Business,0.561325207966543,12
"Al-Qalam University, Katsina",Economics,0.474000705676639,13
"Al-Qalam University, Katsina",Engineering,0.553103435703302,61
Ambrose Alli University,Accounting,0.52937052335611,970
Ambrose Alli University,Architecture,0.487378100011831,169
Ambrose Alli University,Biology,0.49689315740356,141
Ambrose Alli University,Business,0.499121213782774,951
Ambrose Alli University,Chemistry,0.493187938427561,301
Ambrose Alli University,Economics,0.51206527690833,786
Ambrose Alli University,Education,0.479368621050082,385
Ambrose Alli University,Engineering,0.498219235614987,2026
Ambrose Alli University,Finance,0.516820330581242,374
Ambrose Alli University,Law,0.487782432876628,509
Ambrose Alli University,Mathematics,0.513885816271926,139
Ambrose Alli University,Medicine,0.4733871036771,84
Ambrose Alli University,Nursing,0.380438748933133,61
Ambrose Alli University,Physics,0.497142940142891,88
Ambrose Alli University,Statistics,0.569116557024631,108
American University of Nigeria,Accounting,0.521593537121755,39
American University of Nigeria,Business,0.520603670717039,127
American University of Nigeria,Chemistry,0.49230672219899,61
American University of Nigeria,Economics,0.561498988446921,83
American University of Nigeria,Engineering,0.597472342005612,187
American University of Nigeria,Information Technology,0.631285524211284,11
American University of Nigeria,Law,0.576368019105205,15
"Anchor University, Lagos",Accounting,0.543853923635715,12
"Anchor University, Lagos",Economics,0.572683677125839,13
"Anchor University, Lagos",Engineering,0.678720839078924,30
"Auchi Polytechnic, Auchi",Engineering,0.536728462503002,13
Augustine University Ilara-Epe,Engineering,0.698202182788945,12
Babcock University,Accounting,0.54117485271943,959
Babcock University,Architecture,0.484222232449964,11
Babcock University,Business,0.535999129567257,652
Babcock University,Economics,0.541056764426782,728
Babcock University,Education,0.497612134489854,49
Babcock University,Engineering,0.61333878582897,1445
Babcock University,Finance,0.533542786199734,209
Babcock University,Information Technology,0.555264911376632,10
Babcock University,Law,0.530377964337581,1104
Babcock University,Marketing,0.531725673602545,102
Babcock University,Medicine,0.464345791336885,64
Babcock University,Nursing,0.398864672905329,233
"Bayero University, Kano",Accounting,0.52814488307441,504
"Bayero University, Kano",Architecture,0.49732663281405,27
"Bayero University, Kano",Biology,0.497587455066423,157
"Bayero University, Kano",Business,0.512909194453748,447
"Bayero University, Kano",Chemistry,0.472766166958423,337
"Bayero University, Kano",Economics,0.522097092737914,494
"Bayero University, Kano",Education,0.468999313153891,383
"Bayero University, Kano",Engineering,0.511641310202471,1204
"Bayero University, Kano",Finance,0.52595945063874,70
"Bayero University, Kano",Law,0.473088965369652,248
"Bayero University, Kano",Mathematics,0.526163548097211,90
"Bayero University, Kano",Medicine,0.450219191777636,100
"Bayero University, Kano",Nursing,0.405514276263267,52
"Bayero University, Kano",Physics,0.508411193123558,134
Baze University,Accounting,0.541007233458164,10
Baze University,Business,0.558940768494618,31
Baze University,Economics,0.548162955500431,25
Baze University,Engineering,0.550187135812623,80
Baze University,Law,0.505524094627133,108
Bells University of Technology,Accounting,0.555384017798121,119
Bells University of Technology,Architecture,0.493754924833052,149
Bells University of Technology,Business,0.523691260809697,143
Bells University of Technology,Chemistry,0.486202882248162,18
Bells University of Technology,Economics,0.536252115863014,77
Bells University of Technology,Engineering,0.521766284027616,503
Bells University of Technology,Finance,0.500949640629088,15
Bells University of Technology,Information Technology,0.619299180135239,36
Bells University of Technology,Physics,0.527645651701481,12
Benue State University,Accounting,0.51515706010626,477
Benue State University,Biology,0.457378124192032,61
Benue State University,Business,0.499419110769214,403
Benue State University,Chemistry,0.475766592756959,190
Benue State University,Economics,0.504636926379487,481
Benue State University,Education,0.472461389136641,204
Benue State University,Engineering,0.595360518955368,354
Benue State University,Finance,0.540162778505768,45
Benue State University,Law,0.479269095433181,274
Benue State University,Mathematics,0.502662140492317,64
Benue State University,Medicine,0.489644341885358,25
Benue State University,Physics,0.474765710500666,83
Bingham University,Accounting,0.547602046116535,94
Bingham University,Business,0.541584549059647,60
Bingham University,Economics,0.531866274459453,122
Bingham University,Engineering,0.627250724303481,146
Bingham University,Finance,0.510530796248392,19
Bingham University,Medicine,0.39886511607237,52
Bowen University,Accounting,0.53253337937026,160
Bowen University,Business,0.525000569931932,104
Bowen University,Chemistry,0.519160766268924,35
Bowen University,Economics,0.537137192677496,136
Bowen University,Engineering,0.588533704347997,152
Bowen University,Finance,0.547698211296591,48
Bowen University,Law,0.485652329830939,17
Bowen University,Physics,0.51365661147691,16
Bowen University,Statistics,0.543937040340595,13
"Bowen University, Iwo",Accounting,0.532555504137964,373
"Bowen University, Iwo",Biology,0.519974623829883,11
"Bowen University, Iwo",Business,0.533616978999171,235
"Bowen University, Iwo",Chemistry,0.541520701671708,82
"Bowen University, Iwo",Economics,0.528608718825866,385
"Bowen University, Iwo",Engineering,0.611968779763196,478
"Bowen University, Iwo",Finance,0.531109919500893,154
