university_name,field,exposure_alljobs_beta,n_people
Abubakar Tafawa Balewa University,Accounting,0.525422268210753,13
Abubakar Tafawa Balewa University,Business,0.521009297183523,20
Abubakar Tafawa Balewa University,Chemistry,0.508834089202976,12
Abubakar Tafawa Balewa University,Economics,0.504719115898349,15
Abubakar Tafawa Balewa University,Engineering,0.515810358836551,30
Achievers University,Accounting,0.535012126570601,98
Achievers University,Business,0.523615021286688,57
Achievers University,Economics,0.537664717838425,35
Achievers University,Engineering,0.565364799727002,93
Achievers University,Finance,0.460809190263795,17
Achievers University,Nursing,0.427730042584728,32
"Adamawa State University, Mubi",Accounting,0.506058987669166,54
"Adamawa State University, Mubi",Biology,0.497913818818675,11
"Adamawa State University, Mubi",Business,0.473910745866585,52
"Adamawa State University, Mubi",Chemistry,0.484415266541178,18
"Adamawa State University, Mubi",Economics,0.49419452470083,68
"Adamawa State University, Mubi",Engineering,0.574759463906706,80
Adekunle Ajasin University,Accounting,0.524818392091865,588
Adekunle Ajasin University,Biology,0.503474290692761,188
Adekunle Ajasin University,Business,0.516649512552245,530
Adekunle Ajasin University,Chemistry,0.50341950369301,418
Adekunle Ajasin University,Economics,0.519267614107338,430
Adekunle Ajasin University,Education,0.483635558771502,825
Adekunle Ajasin University,Engineering,0.590335972657705,505
Adekunle Ajasin University,Finance,0.525874680837128,262
Adekunle Ajasin University,Law,0.496927938475849,309
Adekunle Ajasin University,Mathematics,0.535985828151141,215
Adekunle Ajasin University,Physics,0.509878468031459,272
Adeleke University,Accounting,0.539928178436253,56
Adeleke University,Business,0.583144057683636,21
Adeleke University,Economics,0.533492894553772,27
Adeleke University,Engineering,0.580208947091061,114
Adeleke University,Law,0.513419749900295,73
Afe Babalola University,Accounting,0.545649535914115,182
Afe Babalola University,Business,0.544815228703019,102
Afe Babalola University,Chemistry,0.47240931603403,12
Afe Babalola University,Economics,0.547078954976958,131
Afe Babalola University,Engineering,0.543686981397495,758
Afe Babalola University,Finance,0.539266190604984,26
Afe Babalola University,Law,0.501762613895553,516
Afe Babalola University,Medicine,0.403958388473605,89
Afe Babalola University,Nursing,0.412547785254301,79
Ahmadu Bello University,Accounting,0.531389270300576,767
Ahmadu Bello University,Architecture,0.493218585179509,332
Ahmadu Bello University,Biology,0.48844438536417,226
Ahmadu Bello University,Business,0.509526441985694,1012
Ahmadu Bello University,Chemistry,0.499913414127187,366
Ahmadu Bello University,Economics,0.525070812813235,763
Ahmadu Bello University,Education,0.455427063655156,638
Ahmadu Bello University,Engineering,0.507133776148542,2712
Ahmadu Bello University,Finance,0.530621562760951,117
Ahmadu Bello University,Law,0.481026495012064,720
Ahmadu Bello University,Mathematics,0.507315717716853,185
Ahmadu Bello University,Medicine,0.445598572981988,191
Ahmadu Bello University,Nursing,0.4018566396991,167
Ahmadu Bello University,Physics,0.494933901519279,196
Ahmadu Bello University,Statistics,0.533346751909938,199
Ajayi Crowther University,Accounting,0.539802307279892,200
Ajayi Crowther University,Business,0.529718639939244,258
Ajayi Crowther University,Chemistry,0.475676672067772,20
Ajayi Crowther University,Economics,0.525069795122899,261
Ajayi Crowther University,Engineering,0.613133518630431,377
Ajayi Crowther University,Finance,0.531274077538725,171
Ajayi Crowther University,Law,0.51781170310538,95
Ajayi Crowther University,Physics,0.534170815862596,14
Ajayi Crowther University,Statistics,0.566161259875236,21
Akwa Ibom State University,Accounting,0.520310506671534,41
Akwa Ibom State University,Biology,0.454183799717509,31
Akwa Ibom State University,Business,0.540251007104778,35
Akwa Ibom State University,Chemistry,0.498800995986997,21
Akwa Ibom State University,Economics,0.51503695315584,52
Akwa Ibom State University,Education,0.494584992229141,30
Akwa Ibom State University,Engineering,0.499898974185523,267
Akwa Ibom State University,Marketing,0.524932484105758,23
Akwa Ibom State University,Physics,0.516643016562115,10
Akwa Ibom State University,Statistics,0.550169993616272,21
"Al-Qalam University, Katsina",Accounting,0.490042243142838,10
"Al-Qalam University, Katsina",Business,0.565311078056192,12
"Al-Qalam University, Katsina",Economics,0.458218077271347,13
"Al-Qalam University, Katsina",Engineering,0.555426880288282,61
Ambrose Alli University,Accounting,0.528123504212454,970
Ambrose Alli University,Architecture,0.482352359570891,169
Ambrose Alli University,Biology,0.496416410133381,141
Ambrose Alli University,Business,0.500765355206011,951
Ambrose Alli University,Chemistry,0.490839429393005,301
Ambrose Alli University,Economics,0.513726768294465,786
Ambrose Alli University,Education,0.480009979476818,385
Ambrose Alli University,Engineering,0.49960630506577,2026
Ambrose Alli University,Finance,0.517332278134442,374
Ambrose Alli University,Law,0.488024438118674,509
Ambrose Alli University,Mathematics,0.512737890373768,139
Ambrose Alli University,Medicine,0.47170651495854,84
Ambrose Alli University,Nursing,0.387009053294469,61
Ambrose Alli University,Physics,0.492192772194367,88
Ambrose Alli University,Statistics,0.562337820358237,108
American University of Nigeria,Accounting,0.522299403550419,39
American University of Nigeria,Business,0.524058168127533,127
American University of Nigeria,Chemistry,0.500029213356605,61
American University of Nigeria,Economics,0.560598937906462,83
American University of Nigeria,Engineering,0.601702999624896,187
American University of Nigeria,Information Technology,0.633575455120807,11
American University of Nigeria,Law,0.558310501157767,15
"Anchor University, Lagos",Accounting,0.545672455357609,12
"Anchor University, Lagos",Economics,0.578010573334297,13
"Anchor University, Lagos",Engineering,0.692533829961635,30
"Auchi Polytechnic, Auchi",Engineering,0.537018012797543,13
Augustine University Ilara-Epe,Engineering,0.682503023765247,12
Babcock University,Accounting,0.541238256838019,959
Babcock University,Architecture,0.488511679173969,11
Babcock University,Business,0.538041659571965,652
Babcock University,Economics,0.542138806501526,728
Babcock University,Education,0.494971236897423,49
Babcock University,Engineering,0.612662469589836,1445
Babcock University,Finance,0.536625567941319,209
Babcock University,Information Technology,0.569167120145424,10
Babcock University,Law,0.531102160327143,1104
Babcock University,Marketing,0.526325726447632,102
Babcock University,Medicine,0.456569248890578,64
Babcock University,Nursing,0.400135712465706,233
"Bayero University, Kano",Accounting,0.526822852972087,504
"Bayero University, Kano",Architecture,0.497716545626709,27
"Bayero University, Kano",Biology,0.491781330484642,157
"Bayero University, Kano",Business,0.51460982977028,447
"Bayero University, Kano",Chemistry,0.469978635314381,337
"Bayero University, Kano",Economics,0.519890658175167,494
"Bayero University, Kano",Education,0.471187270153826,383
"Bayero University, Kano",Engineering,0.515075776790526,1204
"Bayero University, Kano",Finance,0.525304274282762,70
"Bayero University, Kano",Law,0.473332253375206,248
"Bayero University, Kano",Mathematics,0.529161168246007,90
"Bayero University, Kano",Medicine,0.450217354087842,100
"Bayero University, Kano",Nursing,0.39910651416228,52
"Bayero University, Kano",Physics,0.506493977124756,134
Baze University,Accounting,0.539833762842926,10
Baze University,Business,0.560876287146084,31
Baze University,Economics,0.549504880842969,25
Baze University,Engineering,0.555687981674035,80
Baze University,Law,0.504586024001057,108
Bells University of Technology,Accounting,0.554284137153191,119
Bells University of Technology,Architecture,0.492919312898434,149
Bells University of Technology,Business,0.526642968596685,143
Bells University of Technology,Chemistry,0.486967359175924,18
Bells University of Technology,Economics,0.544743545199336,77
Bells University of Technology,Engineering,0.526882115240884,503
Bells University of Technology,Finance,0.49906298641384,15
Bells University of Technology,Information Technology,0.618479324498351,36
Bells University of Technology,Physics,0.537658701879794,12
Benue State University,Accounting,0.51635532873617,477
Benue State University,Biology,0.473063308510262,61
Benue State University,Business,0.502162312944466,403
Benue State University,Chemistry,0.477855402427745,190
Benue State University,Economics,0.504830679883615,481
Benue State University,Education,0.478332500961277,204
Benue State University,Engineering,0.598502030132759,354
Benue State University,Finance,0.547058287382484,45
Benue State University,Law,0.478059751058528,274
Benue State University,Mathematics,0.514201756378261,64
Benue State University,Medicine,0.472019857221375,25
Benue State University,Physics,0.479758873172391,83
Bingham University,Accounting,0.551400244453815,94
Bingham University,Business,0.544098898311749,60
Bingham University,Economics,0.530657872960398,122
Bingham University,Engineering,0.6276629210413,146
Bingham University,Finance,0.508187534728076,19
Bingham University,Medicine,0.425685732729622,52
Bowen University,Accounting,0.530917218054848,160
Bowen University,Business,0.525350802416547,104
Bowen University,Chemistry,0.51548977677867,35
Bowen University,Economics,0.536618121277157,136
Bowen University,Engineering,0.58635692995093,152
Bowen University,Finance,0.545876729916811,48
Bowen University,Law,0.482003666387433,17
Bowen University,Physics,0.519847960458017,16
Bowen University,Statistics,0.54343076861604,13
"Bowen University, Iwo",Accounting,0.533695157333182,373
"Bowen University, Iwo",Biology,0.50524391309766,11
"Bowen University, Iwo",Business,0.534247031483415,235
"Bowen University, Iwo",Chemistry,0.53402739782545,82
"Bowen University, Iwo",Economics,0.530246613846926,385
"Bowen University, Iwo",Engineering,0.610340420692868,478
"Bowen University, Iwo",Finance,0.535800354533314,154
"Bowen University, Iwo",Law,0.505361765060162,151
"Bowen University, Iwo",Marketing,0.553789499217938,14
"Bowen University, Iwo",Mathematics,0.532984260203598,23
"Bowen University, Iwo",Medicine,0.417548056071278,66
"Bowen University, Iwo",Nursing,0.433035881869863,30
"Bowen University, Iwo",Physics,0.529489711907821,59
"Bowen University, Iwo",Statistics,0.584314297988267,45
Caleb University,Accounting,0.551974415804883,157
Caleb University,Architecture,0.499152170201287,226
Caleb University,Business,0.544793466197932,149
Caleb University,Chemistry,0.528061980403801,31
Caleb University,Economics,0.522555265583847,141
