university_name,field,exposure_firstjob_beta,n_people
Aalesund University College,Business,0.493733771508771,126
Aalesund University College,Economics,0.491342536392458,24
Aalesund University College,Education,0.362248905178163,21
Aalesund University College,Engineering,0.536036861944378,242
Aalesund University College,Marketing,0.489304449285975,89
Aalesund University College,Nursing,0.390140097673242,16
American College of Norway (ACN),Business,0.465508302192839,11
BI BERGEN,Business,0.520315922823718,15
BI Norwegian Business School,Accounting,0.516533612868155,120
BI Norwegian Business School,Business,0.496762209004079,10957
BI Norwegian Business School,Economics,0.502241284346107,1316
BI Norwegian Business School,Education,0.422462717364663,18
BI Norwegian Business School,Finance,0.517909294884258,517
BI Norwegian Business School,Law,0.499779615747096,41
BI Norwegian Business School,Marketing,0.501201435900042,3217
Bergen School of Architecture,Architecture,0.449005425847814,13
Diakonhjemmet Høgskole AS,Education,0.359159661599974,25
Diakonhjemmet Høgskole AS,Nursing,0.432983259423039,26
Gjovik University College,Business,0.510262118001642,101
Gjovik University College,Education,0.356421470125635,31
Gjovik University College,Engineering,0.533435797908404,265
Gjovik University College,Nursing,0.376836999483204,22
Handelshøgskolen (HHN),Business,0.507678026609927,34
Handelshøgskolen (HHN),Economics,0.506941015836332,13
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Business,0.472733407393261,226
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Economics,0.479582598059434,54
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Law,0.520392891931312,12
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Marketing,0.40765552792785,22
Haraldsplass Diakonale Høgskole,Nursing,0.398500141118892,13
Harstad University College (HiH),Business,0.486104221357084,52
Harstad University College (HiH),Education,0.350385676721569,11
Harstad University College (HiH),Nursing,0.362738270320897,11
Inland Norway University of Applied Sciences,Accounting,0.466998235289921,14
Inland Norway University of Applied Sciences,Business,0.473022067630484,715
Inland Norway University of Applied Sciences,Economics,0.510040111944493,119
Inland Norway University of Applied Sciences,Education,0.360801071811356,95
Inland Norway University of Applied Sciences,Engineering,0.534690170510885,27
Inland Norway University of Applied Sciences,Law,0.476276868867772,126
Inland Norway University of Applied Sciences,Marketing,0.451810021456691,64
Inland Norway University of Applied Sciences,Nursing,0.33215732772589,21
Kristiania University College,Architecture,0.447416852678733,99
Kristiania University College,Business,0.483612400185053,1478
Kristiania University College,Economics,0.412671462063752,26
Kristiania University College,Engineering,0.662751172635463,151
Kristiania University College,Information Technology,0.642995743669099,277
Kristiania University College,Marketing,0.486768772309525,598
Kristiania University College,Medicine,0.322326009940855,22
Lovisenberg Diaconal University College,Education,0.371362677875683,82
Lovisenberg Diaconal University College,Nursing,0.383558561621541,71
Molde University College - Specialized University in Logistics,Business,0.458698071117754,532
Molde University College - Specialized University in Logistics,Economics,0.469497439239073,78
Molde University College - Specialized University in Logistics,Education,0.361671964524012,21
Molde University College - Specialized University in Logistics,Engineering,0.538562422439665,15
Molde University College - Specialized University in Logistics,Information Technology,0.589513949833575,18
Molde University College - Specialized University in Logistics,Law,0.458974489029143,33
Molde University College - Specialized University in Logistics,Nursing,0.394516665554054,27
NLA University College,Business,0.469622645452169,33
NLA University College,Economics,0.477479045848888,12
NLA University College,Education,0.373457371168493,57
NTNU Faculty of Medicine and Health Sciences,Education,0.335905914515784,19
Narvik University College,Business,0.50464196289048,28
Narvik University College,Engineering,0.507197968112937,207
Nord University,Accounting,0.535978925485214,39
Nord University,Biology,0.40452443249893,18
Nord University,Business,0.432773268122064,350
Nord University,Economics,0.473919178367923,78
Nord University,Education,0.363543400822646,139
Nord University,Engineering,0.552059616377953,15
Nord University,Information Technology,0.607054335040238,22
Nord University,Marketing,0.464261335646218,77
Nord University,Nursing,0.329041384582285,52
Norges Markedshøyskole,Marketing,0.441643367206023,10
Noroff,Engineering,0.621146331200602,15
North Trøndelag University College,Accounting,0.519209629336865,18
North Trøndelag University College,Business,0.484639040486208,38
North Trøndelag University College,Economics,0.484921821456245,23
North Trøndelag University College,Education,0.384179198480977,85
North Trøndelag University College,Engineering,0.548374269260839,20
North Trøndelag University College,Information Technology,0.577617669067653,12
North Trøndelag University College,Nursing,0.354112980567308,22
Norwegian Defence University College,Business,0.475288403957792,65
Norwegian Defence University College,Engineering,0.442628261948958,100
Norwegian Defence University College,Law,0.352210877624489,12
Norwegian Military Academy,Engineering,0.474935901000971,18
Norwegian School of Economics,Business,0.512114916132259,1673
Norwegian School of Economics,Economics,0.505190598391798,208
Norwegian School of Sport Sciences,Biology,0.405811255809309,42
Norwegian School of Sport Sciences,Business,0.388289991987199,221
Norwegian School of Sport Sciences,Education,0.328444989457825,22
Norwegian University of Life Sciences,Biology,0.420209568481411,32
Norwegian University of Life Sciences,Business,0.473608944670871,145
Norwegian University of Life Sciences,Chemistry,0.418389793442803,21
Norwegian University of Life Sciences,Economics,0.473966333163024,62
Norwegian University of Life Sciences,Engineering,0.460190896243431,19
Norwegian University of Science and Technology,Accounting,0.541369935978678,11
Norwegian University of Science and Technology,Architecture,0.511621428909273,10
Norwegian University of Science and Technology,Biology,0.472920376465023,145
Norwegian University of Science and Technology,Business,0.4938282416304,821
Norwegian University of Science and Technology,Chemistry,0.456614708353751,116
Norwegian University of Science and Technology,Economics,0.507030977737464,514
Norwegian University of Science and Technology,Education,0.368905642638336,224
Norwegian University of Science and Technology,Engineering,0.517656962954053,1738
Norwegian University of Science and Technology,Information Technology,0.627757596290309,96
Norwegian University of Science and Technology,Marketing,0.500351372138395,35
Norwegian University of Science and Technology,Mathematics,0.567423062849442,39
Norwegian University of Science and Technology,Nursing,0.362585426005718,58
Norwegian University of Science and Technology,Physics,0.51619454164227,78
Norwegian University of Science and Technology,Statistics,0.588364776263738,10
Oslo National Academy of the Arts,Architecture,0.466126893633603,40
Sør-Trøndelag University College,Accounting,0.500429516586492,20
Sør-Trøndelag University College,Business,0.52880359188124,435
Sør-Trøndelag University College,Chemistry,0.483796844257887,20
Sør-Trøndelag University College,Economics,0.498192818398708,101
Sør-Trøndelag University College,Education,0.381345293532562,67
Sør-Trøndelag University College,Engineering,0.536712735334886,919
Sør-Trøndelag University College,Finance,0.520411420327863,31
Sør-Trøndelag University College,Information Technology,0.671005415320772,86
Sør-Trøndelag University College,Marketing,0.469582795043057,11
Sør-Trøndelag University College,Nursing,0.427184493411612,87
The Oslo School of Architecture and Design,Architecture,0.401550440773324,12
Trondheim Business School,Business,0.51884256783888,86
UiT The Arctic University of Norway,Accounting,0.533757534746094,13
UiT The Arctic University of Norway,Biology,0.462603795018216,18
UiT The Arctic University of Norway,Business,0.470842295958695,370
UiT The Arctic University of Norway,Chemistry,0.413780573638804,17
UiT The Arctic University of Norway,Economics,0.499370513254394,175
UiT The Arctic University of Norway,Education,0.374985991209531,102
UiT The Arctic University of Norway,Engineering,0.497752118877562,442
UiT The Arctic University of Norway,Information Technology,0.64846508384534,14
UiT The Arctic University of Norway,Marketing,0.504764064468457,39
UiT The Arctic University of Norway,Nursing,0.393842998882091,47
UiT The Arctic University of Norway,Physics,0.509851724536697,16
University of Agder,Accounting,0.483427951362821,22
University of Agder,Biology,0.415915352166241,22
University of Agder,Business,0.472413684341335,426
University of Agder,Economics,0.48347459668599,180
University of Agder,Education,0.391802805486393,187
