university_name,field,exposure_alljobs_beta,n_people
Aalesund University College,Business,0.493271781253211,126
Aalesund University College,Economics,0.497461189439133,24
Aalesund University College,Education,0.406570917427428,21
Aalesund University College,Engineering,0.53531461031566,242
Aalesund University College,Marketing,0.489203914489122,89
Aalesund University College,Nursing,0.396264840786265,16
American College of Norway (ACN),Business,0.483430727400265,11
BI BERGEN,Business,0.501567876779898,15
BI Norwegian Business School,Accounting,0.520625160350769,120
BI Norwegian Business School,Business,0.501812501184216,10957
BI Norwegian Business School,Economics,0.508723396008071,1316
BI Norwegian Business School,Education,0.437578584951785,18
BI Norwegian Business School,Finance,0.521124662806787,517
BI Norwegian Business School,Law,0.506401823066641,41
BI Norwegian Business School,Marketing,0.503241215839038,3217
Bergen School of Architecture,Architecture,0.444544781667818,13
Diakonhjemmet Høgskole AS,Education,0.361663147744003,25
Diakonhjemmet Høgskole AS,Nursing,0.433971356182715,26
Gjovik University College,Business,0.512584366829817,101
Gjovik University College,Education,0.366666592502171,31
Gjovik University College,Engineering,0.535863088649032,265
Gjovik University College,Nursing,0.382487465610289,22
Handelshøgskolen (HHN),Business,0.507620570509427,34
Handelshøgskolen (HHN),Economics,0.504005141325037,13
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Business,0.480786357375272,226
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Economics,0.502354892724816,54
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Law,0.500062996810565,12
"Handelshøyskolen ved UiA / School of Business and Law, University of Agder",Marketing,0.427166991328347,22
Haraldsplass Diakonale Høgskole,Nursing,0.398554033144815,13
Harstad University College (HiH),Business,0.487940180287871,52
Harstad University College (HiH),Education,0.376154089953419,11
Harstad University College (HiH),Nursing,0.368999545993443,11
Inland Norway University of Applied Sciences,Accounting,0.479292002214894,14
Inland Norway University of Applied Sciences,Business,0.478057178017986,715
Inland Norway University of Applied Sciences,Economics,0.51310284325993,119
