university_name,field,exposure_firstjob_beta,n_people
AGH University of Science and Technology in Kraków,Business,0.553530013934548,194
AGH University of Science and Technology in Kraków,Engineering,0.608808045903008,3108
AGH University of Science and Technology in Kraków,Information Technology,0.659479003699895,87
AGH University of Science and Technology in Kraków,Mathematics,0.627523564899309,209
AGH University of Science and Technology in Kraków,Physics,0.60020091429525,44
Academy of Fine Arts in Gdańsk,Education,0.547098886964285,10
Academy of Tourism and Hotel Management in Gdansk,Business,0.518926184443476,32
Adam Mickiewicz University in Poznań,Biology,0.557706010032263,44
Adam Mickiewicz University in Poznań,Business,0.567885091916616,119
Adam Mickiewicz University in Poznań,Chemistry,0.514661569056206,107
Adam Mickiewicz University in Poznań,Education,0.482490591876509,84
Adam Mickiewicz University in Poznań,Engineering,0.684778145906193,191
Adam Mickiewicz University in Poznań,Information Technology,0.672436374929913,15
Adam Mickiewicz University in Poznań,Law,0.546905293565228,60
Adam Mickiewicz University in Poznań,Marketing,0.547768119226329,30
Adam Mickiewicz University in Poznań,Mathematics,0.636243621537252,62
Adam Mickiewicz University in Poznań,Physics,0.552545906346461,26
Akademia Nauk Stosowanych Wyższa Szkoła Zarządzania i Administracji w Opolu,Business,0.506684451042346,22
Akademia WSB Dabrowa Gornicza,Business,0.58855415705376,65
Akademia WSB Dabrowa Gornicza,Engineering,0.692697272359691,31
Alcide De Gasperi University of Euroregional Economy in Józefów,Business,0.451312312864688,60
Andrzej Frycz Modrzewski Kraków University,Architecture,0.505836972014878,19
Andrzej Frycz Modrzewski Kraków University,Business,0.583592049071115,185
Andrzej Frycz Modrzewski Kraków University,Education,0.574003596203143,12
Andrzej Frycz Modrzewski Kraków University,Engineering,0.626630477910126,14
Bialystok University of Technology,Architecture,0.530407928546644,44
Bialystok University of Technology,Business,0.594502015904061,53
Bialystok University of Technology,Engineering,0.612445647265845,315
Bialystok University of Technology,Information Technology,0.808890703490674,12
Bielsko-Biała School of Finances and Law,Finance,0.582999493956879,15
Cardinal Stefan Wyszynski University in Warsaw,Biology,0.506976386732591,10
Cardinal Stefan Wyszynski University in Warsaw,Economics,0.574903342586743,40
Cardinal Stefan Wyszynski University in Warsaw,Education,0.529191419541489,12
Cardinal Stefan Wyszynski University in Warsaw,Engineering,0.677901059919477,43
Cardinal Stefan Wyszynski University in Warsaw,Mathematics,0.615327745590384,14
College of Communications and Management in Poznan,Business,0.582910319901919,11
College of Communications and Management in Poznan,Engineering,0.7337993897153,12
College of Economics and Computer Science in Kraków,Business,0.605107760047567,53
College of Economics and Computer Science in Kraków,Engineering,0.717210365902231,73
College of Economics and Computer Science in Kraków,Finance,0.68780743235047,11
College of Entrepreneurship and Administration in Lublin,Architecture,0.482205991612035,11
College of Entrepreneurship and Administration in Lublin,Business,0.563053941965878,37
College of Entrepreneurship and Administration in Lublin,Engineering,0.688141609277883,50
College of Linguistics in Częstochowa,Business,0.479364312382275,15
College of Logistics in Poznań,Business,0.546172450739186,44
"College of Promotion, Media and Show Business in Warsaw",Business,0.506455440286111,37
Collegium Civitas,Business,0.572640837075159,58
Collegium Civitas,Marketing,0.488449045435316,22
Collegium Da Vinci,Business,0.554319080541043,36
Collegium Da Vinci,Engineering,0.689679089027197,58
Collegium Da Vinci,Marketing,0.557424964475257,22
Copernicus University of Information Technology and Management inWroclaw,Engineering,0.68710158634592,63
Cracow University of Economics,Accounting,0.570055578043611,390
Cracow University of Economics,Business,0.573121000349374,956
Cracow University of Economics,Economics,0.570588604191752,573
Cracow University of Economics,Education,0.494674301664177,19
Cracow University of Economics,Engineering,0.634298909503895,258
Cracow University of Economics,Finance,0.559897350934382,920
Cracow University of Economics,Information Technology,0.636942759559297,36
Cracow University of Economics,Marketing,0.56208915392716,96
Cracow University of Technology,Architecture,0.486981930847396,213
Cracow University of Technology,Engineering,0.583235011666585,901
Cracow University of Technology,Finance,0.546931974734488,18
Cracow University of Technology,Information Technology,0.690850934561359,16
Cracow University of Technology,Mathematics,0.624361323876374,37
Czestochowa University of Technology,Business,0.567797898255126,56
Czestochowa University of Technology,Engineering,0.670388137285946,139
Czestochowa University of Technology,Finance,0.505473868198349,13
European University of Information Technology and Economics in Warsaw,Engineering,0.74588084939864,10
Faculty of Economic Sciences at Warsaw University,Accounting,0.54050951506634,13
Faculty of Economic Sciences at Warsaw University,Economics,0.58791022462954,14
Faculty of Economic Sciences at Warsaw University,Finance,0.555304903089288,18
Feliks Nowowiejski Academy of Music in Bydgoszcz,Engineering,0.501290947864806,11
Gdansk University of Technology,Architecture,0.490445789289099,94
Gdansk University of Technology,Business,0.547506126555738,162
Gdansk University of Technology,Chemistry,0.441919433454968,10
Gdansk University of Technology,Economics,0.621908061623442,12
Gdansk University of Technology,Engineering,0.586305106683319,1603
Gdansk University of Technology,Information Technology,0.703991486903116,23
Gdansk University of Technology,Mathematics,0.647402684039845,102
Gdansk University of Technology,Physics,0.657488693007451,11
Gdańsk College of Health Sciences,Engineering,0.753670839437844,19
Helena Chodkowska University of Technology and Economics,Business,0.55396335481779,39
Helena Chodkowska University of Technology and Economics,Finance,0.597267712050613,13
Higher School of Information Technology in Katowice,Engineering,0.71321591297138,60
Higher School of Information Technology in Katowice,Information Technology,0.712591666397877,15
Higher School of Management and Banking in Kraków,Business,0.551432863641112,99
Higher School of Management and Banking in Kraków,Engineering,0.704528327798346,83
Higher School of Management and Banking in Kraków,Finance,0.564493640878288,103
Higher School of Management and Banking in Kraków,Information Technology,0.636047615020771,12
Higher School of Management and Banking in Kraków,Marketing,0.570104397717299,12
Higher School of Management and Banking in Poznan,Business,0.577874932321039,16
Higher School of Tourism and Foreign Languages in Warsaw,Business,0.497589836355365,16
Humanitas University in Sosnowiec,Business,0.55568210110561,31
Ignatianum Jesuit University of Philosophy and Education in Kraków,Business,0.508353103787233,25
Ignatianum Jesuit University of Philosophy and Education in Kraków,Education,0.500496988291622,10
"International University of Logistics and Transport, Wrocław",Business,0.58354284315012,37
"International University of Logistics and Transport, Wrocław",Engineering,0.576061628993311,10
