university_name,field,exposure_alljobs_beta,n_people
AGH University of Science and Technology in Kraków,Business,0.557073568581891,194
AGH University of Science and Technology in Kraków,Engineering,0.612994369096148,3108
AGH University of Science and Technology in Kraków,Information Technology,0.674075956069965,87
AGH University of Science and Technology in Kraków,Mathematics,0.633009771877578,209
AGH University of Science and Technology in Kraków,Physics,0.611519891039645,44
Academy of Fine Arts in Gdańsk,Education,0.531359759241389,10
Academy of Tourism and Hotel Management in Gdansk,Business,0.519610388421796,32
Adam Mickiewicz University in Poznań,Biology,0.559270816648623,44
Adam Mickiewicz University in Poznań,Business,0.565867585722417,119
Adam Mickiewicz University in Poznań,Chemistry,0.517020695114544,107
Adam Mickiewicz University in Poznań,Education,0.487753901039683,84
Adam Mickiewicz University in Poznań,Engineering,0.690412153121064,191
Adam Mickiewicz University in Poznań,Information Technology,0.660551943474933,15
Adam Mickiewicz University in Poznań,Law,0.546632533453606,60
Adam Mickiewicz University in Poznań,Marketing,0.555429519404816,30
Adam Mickiewicz University in Poznań,Mathematics,0.652141714208678,62
Adam Mickiewicz University in Poznań,Physics,0.551696934572211,26
Akademia Nauk Stosowanych Wyższa Szkoła Zarządzania i Administracji w Opolu,Business,0.504795967622224,22
Akademia WSB Dabrowa Gornicza,Business,0.577148700978494,65
Akademia WSB Dabrowa Gornicza,Engineering,0.671848237967458,31
Alcide De Gasperi University of Euroregional Economy in Józefów,Business,0.455548163178192,60
Andrzej Frycz Modrzewski Kraków University,Architecture,0.507723270582549,19
Andrzej Frycz Modrzewski Kraków University,Business,0.580595464971969,185
Andrzej Frycz Modrzewski Kraków University,Education,0.573397091952899,12
Andrzej Frycz Modrzewski Kraków University,Engineering,0.644242330416296,14
Bialystok University of Technology,Architecture,0.532163356587557,44
Bialystok University of Technology,Business,0.589848528851372,53
Bialystok University of Technology,Engineering,0.616875800259861,315
Bialystok University of Technology,Information Technology,0.788149447250203,12
Bielsko-Biała School of Finances and Law,Finance,0.584218742536592,15
Cardinal Stefan Wyszynski University in Warsaw,Biology,0.505484553429874,10
Cardinal Stefan Wyszynski University in Warsaw,Economics,0.587250431555714,40
Cardinal Stefan Wyszynski University in Warsaw,Education,0.534154807969458,12
Cardinal Stefan Wyszynski University in Warsaw,Engineering,0.691523173548341,43
Cardinal Stefan Wyszynski University in Warsaw,Mathematics,0.621511495182704,14
College of Communications and Management in Poznan,Business,0.589512008162298,11
College of Communications and Management in Poznan,Engineering,0.724933942885334,12
College of Economics and Computer Science in Kraków,Business,0.603294653824287,53
College of Economics and Computer Science in Kraków,Engineering,0.715876023643194,73
College of Economics and Computer Science in Kraków,Finance,0.651992655322395,11
College of Entrepreneurship and Administration in Lublin,Architecture,0.475756403324743,11
College of Entrepreneurship and Administration in Lublin,Business,0.573303055880984,37
College of Entrepreneurship and Administration in Lublin,Engineering,0.688312528916541,50
College of Linguistics in Częstochowa,Business,0.52341790832147,15
College of Logistics in Poznań,Business,0.548564577165692,44
"College of Promotion, Media and Show Business in Warsaw",Business,0.518858309789486,37
Collegium Civitas,Business,0.587168837708411,58
Collegium Civitas,Marketing,0.504869754126909,22
Collegium Da Vinci,Business,0.55181131844664,36
Collegium Da Vinci,Engineering,0.682698190757991,58
Collegium Da Vinci,Marketing,0.577126417845304,22
Copernicus University of Information Technology and Management inWroclaw,Engineering,0.686435130030026,63
Cracow University of Economics,Accounting,0.569986739851803,390
Cracow University of Economics,Business,0.570334141737914,956
Cracow University of Economics,Economics,0.570330957770319,573
Cracow University of Economics,Education,0.507008291387218,19
Cracow University of Economics,Engineering,0.63441755663316,258
Cracow University of Economics,Finance,0.560015589664915,920
Cracow University of Economics,Information Technology,0.638725226341729,36
Cracow University of Economics,Marketing,0.559320379804903,96
Cracow University of Technology,Architecture,0.491307199298104,213
Cracow University of Technology,Engineering,0.582661587882713,901
Cracow University of Technology,Finance,0.559610157311149,18
Cracow University of Technology,Information Technology,0.68730191733258,16
Cracow University of Technology,Mathematics,0.630904983723184,37
Czestochowa University of Technology,Business,0.562197762056885,56
Czestochowa University of Technology,Engineering,0.672865197468953,139
Czestochowa University of Technology,Finance,0.512001892454772,13
European University of Information Technology and Economics in Warsaw,Engineering,0.739696829633815,10
Faculty of Economic Sciences at Warsaw University,Accounting,0.531265905910486,13
Faculty of Economic Sciences at Warsaw University,Economics,0.586184016204383,14
Faculty of Economic Sciences at Warsaw University,Finance,0.559457037993302,18
Feliks Nowowiejski Academy of Music in Bydgoszcz,Engineering,0.593149371303357,11
Gdansk University of Technology,Architecture,0.493560432454347,94
Gdansk University of Technology,Business,0.552182805832119,162
Gdansk University of Technology,Chemistry,0.471236650192731,10
Gdansk University of Technology,Economics,0.661039830394074,12
Gdansk University of Technology,Engineering,0.590322430072448,1603
Gdansk University of Technology,Information Technology,0.698612939634827,23
Gdansk University of Technology,Mathematics,0.655674799729961,102
Gdansk University of Technology,Physics,0.657827369979115,11
Gdańsk College of Health Sciences,Engineering,0.756823694981203,19
Helena Chodkowska University of Technology and Economics,Business,0.549050504635034,39
Helena Chodkowska University of Technology and Economics,Finance,0.611051092863302,13
Higher School of Information Technology in Katowice,Engineering,0.708932837392268,60
Higher School of Information Technology in Katowice,Information Technology,0.706065828583617,15
Higher School of Management and Banking in Kraków,Business,0.554431748841369,99
Higher School of Management and Banking in Kraków,Engineering,0.702980426491989,83
Higher School of Management and Banking in Kraków,Finance,0.573240997309712,103
Higher School of Management and Banking in Kraków,Information Technology,0.634884212974929,12
Higher School of Management and Banking in Kraków,Marketing,0.573106085064386,12
Higher School of Management and Banking in Poznan,Business,0.577237455309466,16
Higher School of Tourism and Foreign Languages in Warsaw,Business,0.502155423501317,16
Humanitas University in Sosnowiec,Business,0.554682258527497,31
Ignatianum Jesuit University of Philosophy and Education in Kraków,Business,0.542965652711663,25
Ignatianum Jesuit University of Philosophy and Education in Kraków,Education,0.509266464021894,10
"International University of Logistics and Transport, Wrocław",Business,0.585665334469985,37
"International University of Logistics and Transport, Wrocław",Engineering,0.562495038274963,10
Jagiellonian University in Kraków,Biology,0.54737257559093,88
Jagiellonian University in Kraków,Business,0.551130836035925,593
Jagiellonian University in Kraków,Chemistry,0.508067132476798,129
Jagiellonian University in Kraków,Economics,0.572962769109119,161
Jagiellonian University in Kraków,Education,0.538199801133012,60
Jagiellonian University in Kraków,Engineering,0.705977752111401,292
Jagiellonian University in Kraków,Finance,0.648334561596606,11
Jagiellonian University in Kraków,Information Technology,0.68224959198108,10
Jagiellonian University in Kraków,Law,0.533219989758441,68
Jagiellonian University in Kraków,Mathematics,0.631956893784342,115
Jagiellonian University in Kraków,Nursing,0.468878518076803,29
Jagiellonian University in Kraków,Physics,0.691356816775462,21
Jan Kochanowski University in Kielce,Business,0.550476341163534,17
Józef Piłsudski Academy of Physical Education in Warsaw,Business,0.480332922370757,20
Józef Piłsudski Academy of Physical Education in Warsaw,Education,0.436936538685737,28
Jędrzej Śniadecki Academy of Physical Education and Sport in Gdańsk,Business,0.485927868913943,11
Jędrzej Śniadecki Academy of Physical Education and Sport in Gdańsk,Education,0.420566455207316,12
Kazimierz Wielki University in Bydgoszcz,Business,0.596750314316646,11
Kazimierz Wielki University in Bydgoszcz,Education,0.50140785033908,17
Kazimierz Wielki University in Bydgoszcz,Engineering,0.714861315143735,55
Kielce University of Technology,Business,0.551333171779211,10
Kielce University of Technology,Engineering,0.617349466892839,166
Kielce University of Technology,Information Technology,0.707293559254279,10
Koszalin University of Technology,Engineering,0.607254954725887,18
Kozminski University,Business,0.54115694320153,928
Kozminski University,Economics,0.550467220502495,103
Kozminski University,Finance,0.556924132891106,305
Kozminski University,Marketing,0.509698419462136,30
Kozminski University in Warsaw,Business,0.527857406548908,123
Kozminski University in Warsaw,Finance,0.552550161643399,39
Lodz University of Technology,Architecture,0.48909488142225,92
Lodz University of Technology,Business,0.556451234240784,138
Lodz University of Technology,Chemistry,0.497443657524555,15
Lodz University of Technology,Engineering,0.606876032002848,1043
Lodz University of Technology,Information Technology,0.74096868335778,43
Lodz University of Technology,Mathematics,0.629916308851072,74
Lublin University of Technology,Engineering,0.628312919757445,49
Marie Curie-Skłodowska University,Biology,0.494859299992217,11
Marie Curie-Skłodowska University,Business,0.543484344938826,124
Marie Curie-Skłodowska University,Chemistry,0.501953999224824,54
Marie Curie-Skłodowska University,Economics,0.58641157317603,83
Marie Curie-Skłodowska University,Education,0.568893674711349,24
Marie Curie-Skłodowska University,Engineering,0.706723199420503,81
Marie Curie-Skłodowska University,Finance,0.593805694386431,95
Marie Curie-Skłodowska University,Information Technology,0.692910385484021,15
Marie Curie-Skłodowska University,Mathematics,0.666756870862965,18
Maritime University of Szczecin,Engineering,0.392206083627389,141
Medical University of Gdańsk,Nursing,0.39423689568427,13
Medical University of Warsaw,Medicine,0.499002007014314,16
Medical University of Warsaw,Nursing,0.451484317991145,28
Medical University of Łódź,Medicine,0.492925023559958,11
Menedżerska Akademia Nauk Stosowanych w Warszawie,Business,0.552907964935251,61
Menedżerska Akademia Nauk Stosowanych w Warszawie,Engineering,0.687595784847798,18
Military University of Technology,Business,0.569182344861539,55
Military University of Technology,Engineering,0.631622168007494,292
Nicolaus Copernicus University in Toruń,Biology,0.51253567621712,15
Nicolaus Copernicus University in Toruń,Business,0.558002174695389,125
Nicolaus Copernicus University in Toruń,Chemistry,0.501835526214426,56
