university_name,field,exposure_firstjob_beta,n_people
CESPU - Polytechnic Health Institute of the North,Nursing,0.36355281646322,44
Catholic University of Portugal,Business,0.515196802793616,389
Catholic University of Portugal,Economics,0.535198158577498,137
Catholic University of Portugal,Education,0.359442440208042,25
Catholic University of Portugal,Engineering,0.536343061500486,79
Catholic University of Portugal,Law,0.476097208862429,655
Catholic University of Portugal,Marketing,0.480320629525294,21
Catholic University of Portugal,Nursing,0.357125715759354,140
Católica Porto Business School,Business,0.531319885006661,337
Católica Porto Business School,Economics,0.535786800697397,125
ESTG - Politécnico do Porto,Business,0.515568060223469,13
ESTG - Politécnico do Porto,Engineering,0.607999700155677,23
ESTGOH - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,Marketing,0.539753085635484,24
Egas Moniz Institute of Health Sciences,Education,0.38307412543688,10
Egas Moniz Institute of Health Sciences,Nursing,0.361842844643941,37
Escola De Hotelaria E Turismo Do Porto,Business,0.472194559562143,19
Escola Superior Náutica Infante D. Henrique,Business,0.487470572577755,61
Escola Superior Náutica Infante D. Henrique,Engineering,0.458363644588406,54
Escola Superior de Comunicação Social,Business,0.48642384057709,28
Escola Superior de Comunicação Social,Marketing,0.52794204941773,504
Escola Superior de Saúde da Cruz Vermelha Portuguesa,Education,0.377879544275822,20
Escola Superior de Saúde da Cruz Vermelha Portuguesa,Nursing,0.374091173820474,99
Escola Superior de Tecnologia da Saúde de Lisboa,Medicine,0.45423073755615,10
Escola Superior de Tecnologia e Gestão - Instituto Politécnico de Beja,Business,0.568538612070772,24
Escola Superior de Tecnologia e Gestão - Instituto Politécnico de Beja,Engineering,0.621048085496619,42
Escola Superior de Tecnologia e Gestão de Viseu,Marketing,0.523692247098604,17
Escola de Direito da Universidade do Minho,Law,0.480770947081173,108
Escola de Economia e Gestão - Universidade do Minho,Accounting,0.476901715647003,11
Escola de Economia e Gestão - Universidade do Minho,Business,0.519346580728184,48
Escola de Economia e Gestão - Universidade do Minho,Economics,0.549162756927902,48
Escola de Economia e Gestão - Universidade do Minho,Marketing,0.474239899087959,41
Escolas Do Turismo De Portugal,Business,0.427835521809953,15
Estoril Higher Institute for Tourism and Hotel Studies,Business,0.49123296371726,523
European University,Business,0.519137665320946,559
European University,Economics,0.497278796959153,18
European University,Engineering,0.607466948388131,19
European University,Law,0.470673666291705,21
European University,Marketing,0.512585574538691,67
FEUC - Faculdade de Economia da Universidade de Coimbra,Business,0.519782820851825,174
FEUC - Faculdade de Economia da Universidade de Coimbra,Economics,0.537284793693935,325
Faculdade De Direito Da Universidade De Lisboa,Law,0.479146543848117,922
Faculdade De Economia Da Universidade Do Porto,Business,0.525353953636702,390
Faculdade De Economia Da Universidade Do Porto,Economics,0.538693927851807,907
Faculdade de Arquitectura da Universidade do Porto,Architecture,0.486976199622125,41
Faculdade de Arquitetura - Universidade de Lisboa,Architecture,0.497299198403338,61
Faculdade de Direito - Católica no Porto,Law,0.478088748652264,30
Faculdade de Direito - Universidade Lusófona,Law,0.509760721616009,26
Faculdade de Direito da Universidade do Porto,Law,0.477025155723389,301
Faculdade de Engenharia da Universidade do Porto,Engineering,0.509492458496417,579
Faculdade de Motricidade Humana,Business,0.518581455689873,22
Faculdade de Motricidade Humana,Education,0.39689472918273,16
Faculty of Science at University of Porto,Architecture,0.418391014562568,22
Faculty of Science at University of Porto,Biology,0.505687560148767,127
Faculty of Science at University of Porto,Chemistry,0.49226124602393,112
Faculty of Science at University of Porto,Engineering,0.575359848336226,125
Faculty of Science at University of Porto,Mathematics,0.542707292840055,68
Faculty of Science at University of Porto,Physics,0.521795839610462,41
Faculty of Sciences and Technology at New University of Lisbon,Biology,0.527953477748412,188
Faculty of Sciences and Technology at New University of Lisbon,Chemistry,0.496547942179717,47
Faculty of Sciences and Technology at New University of Lisbon,Engineering,0.558478920131442,509
Faculty of Sciences and Technology at New University of Lisbon,Mathematics,0.577894162461606,64
Fernando Pessoa University,Business,0.481984589512871,13
Fernando Pessoa University,Engineering,0.541209952449349,48
Fernando Pessoa University,Marketing,0.523020049745548,16
Fernando Pessoa University,Nursing,0.355413266631835,40
Higher School of Education of Paula Frassinetti,Education,0.404834679472668,26
IADE,Business,0.470516014215352,10
IADE,Marketing,0.509431994179897,248
