university_name,field,exposure_alljobs_beta,n_people
CESPU - Polytechnic Health Institute of the North,Nursing,0.358413360947363,44
Catholic University of Portugal,Business,0.513363827758791,389
Catholic University of Portugal,Economics,0.53721555115791,137
Catholic University of Portugal,Education,0.35896467915777,25
Catholic University of Portugal,Engineering,0.540393492239287,79
Catholic University of Portugal,Law,0.476487591304312,655
Catholic University of Portugal,Marketing,0.480044401783005,21
Catholic University of Portugal,Nursing,0.367832032969843,140
Católica Porto Business School,Business,0.5367905844366,337
Católica Porto Business School,Economics,0.536043083369834,125
ESTG - Politécnico do Porto,Business,0.523742542397933,13
ESTG - Politécnico do Porto,Engineering,0.654571292546569,23
ESTGOH - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,Marketing,0.498957893177836,24
Egas Moniz Institute of Health Sciences,Education,0.38307412543688,10
Egas Moniz Institute of Health Sciences,Nursing,0.370634155177478,37
Escola De Hotelaria E Turismo Do Porto,Business,0.471665656941743,19
Escola Superior Náutica Infante D. Henrique,Business,0.505404144151814,61
Escola Superior Náutica Infante D. Henrique,Engineering,0.461152794266326,54
Escola Superior de Comunicação Social,Business,0.496192386338816,28
Escola Superior de Comunicação Social,Marketing,0.525996387355591,504
Escola Superior de Saúde da Cruz Vermelha Portuguesa,Education,0.380949922125457,20
Escola Superior de Saúde da Cruz Vermelha Portuguesa,Nursing,0.371859818828276,99
Escola Superior de Tecnologia da Saúde de Lisboa,Medicine,0.450185990004494,10
Escola Superior de Tecnologia e Gestão - Instituto Politécnico de Beja,Business,0.582205748264844,24
Escola Superior de Tecnologia e Gestão - Instituto Politécnico de Beja,Engineering,0.625174977838569,42
Escola Superior de Tecnologia e Gestão de Viseu,Marketing,0.501626433164323,17
Escola de Direito da Universidade do Minho,Law,0.477155832909911,108
Escola de Economia e Gestão - Universidade do Minho,Accounting,0.48678440003302,11
Escola de Economia e Gestão - Universidade do Minho,Business,0.504960213405839,48
Escola de Economia e Gestão - Universidade do Minho,Economics,0.55549633669183,48
Escola de Economia e Gestão - Universidade do Minho,Marketing,0.482945742131176,41
Escolas Do Turismo De Portugal,Business,0.450394427202558,15
Estoril Higher Institute for Tourism and Hotel Studies,Business,0.497140570864881,523
European University,Business,0.521961323243882,559
European University,Economics,0.50697154718503,18
European University,Engineering,0.658524206678819,19
European University,Law,0.499958015065844,21
European University,Marketing,0.506165832136057,67
FEUC - Faculdade de Economia da Universidade de Coimbra,Business,0.526587636324829,174
FEUC - Faculdade de Economia da Universidade de Coimbra,Economics,0.536399632849234,325
Faculdade De Direito Da Universidade De Lisboa,Law,0.479018653576044,922
Faculdade De Economia Da Universidade Do Porto,Business,0.52985132945116,390
Faculdade De Economia Da Universidade Do Porto,Economics,0.539563921887327,907
Faculdade de Arquitectura da Universidade do Porto,Architecture,0.499097244840899,41
Faculdade de Arquitetura - Universidade de Lisboa,Architecture,0.498738467827053,61
Faculdade de Direito - Católica no Porto,Law,0.481307908812315,30
Faculdade de Direito - Universidade Lusófona,Law,0.51881622602017,26
Faculdade de Direito da Universidade do Porto,Law,0.475490413252525,301
Faculdade de Engenharia da Universidade do Porto,Engineering,0.51480214915043,579
Faculdade de Motricidade Humana,Business,0.513497155945762,22
Faculdade de Motricidade Humana,Education,0.345814270959486,16
Faculty of Science at University of Porto,Architecture,0.425797559941301,22
Faculty of Science at University of Porto,Biology,0.508952805321305,127
Faculty of Science at University of Porto,Chemistry,0.492758121512375,112
Faculty of Science at University of Porto,Engineering,0.58821981917104,125
Faculty of Science at University of Porto,Mathematics,0.547486012971343,68
Faculty of Science at University of Porto,Physics,0.538206637620461,41
Faculty of Sciences and Technology at New University of Lisbon,Biology,0.524064907436031,188
Faculty of Sciences and Technology at New University of Lisbon,Chemistry,0.494030278922063,47
Faculty of Sciences and Technology at New University of Lisbon,Engineering,0.565629454328533,509
Faculty of Sciences and Technology at New University of Lisbon,Mathematics,0.588928143257096,64
Fernando Pessoa University,Business,0.478752479186303,13
Fernando Pessoa University,Engineering,0.543846112198358,48
Fernando Pessoa University,Marketing,0.525381592551786,16
Fernando Pessoa University,Nursing,0.347177677780333,40
Higher School of Education of Paula Frassinetti,Education,0.403802487919833,26
IADE,Business,0.491343573935701,10
IADE,Marketing,0.508476008074867,248
ISCTE - University Institute of Lisbon,Architecture,0.49223277391739,23
ISCTE - University Institute of Lisbon,Business,0.537382860334619,627
ISCTE - University Institute of Lisbon,Economics,0.532696823846352,203
ISCTE - University Institute of Lisbon,Engineering,0.644015985125624,521
ISCTE - University Institute of Lisbon,Finance,0.546588046597301,89
ISCTE - University Institute of Lisbon,Marketing,0.523166653513521,63
ISCTE Business School,Business,0.532439022339792,886
ISCTE Business School,Economics,0.528185800736706,150
ISCTE Business School,Engineering,0.586611663084124,20
ISCTE Business School,Finance,0.547275153659028,133
ISCTE Business School,Marketing,0.493037769888422,52
ISEG - Lisbon School of Economics & Management,Business,0.537015716491092,815
ISEG - Lisbon School of Economics & Management,Economics,0.547221314664554,599
ISEG - Lisbon School of Economics & Management,Finance,0.516264938517322,62
ISG - Business and Economics School,Business,0.529746682545978,170
ISG - Business and Economics School,Economics,0.474839529930137,12
ISG - Business and Economics School,Marketing,0.534084659903494,15
ISLA - Instituto Politécnico de Gestão e Tecnologia,Business,0.518574659314585,99
ISLA - Instituto Politécnico de Gestão e Tecnologia,Engineering,0.641178113271382,10
ISLA Santarém,Business,0.449605425684708,27
ISPGAYA,Business,0.454466025119509,14
ISPGAYA,Engineering,0.510728083974058,28
Institute of Administration and Management,Business,0.512313293282623,118
Institute of Administration and Management,Economics,0.570660452977065,11
Institute of Advanced Technologies of Lisbon,Engineering,0.671596836211642,81
Institute of Advanced Technologies of Lisbon,Information Technology,0.611331792560525,10
Institute of Business and Tourism,Business,0.419108574296972,28
Institute of Business and Tourism,Marketing,0.482533839973995,109
Institute of Educational Sciences,Education,0.389286372537361,30
Institute of Entre Douro and Vouga,Accounting,0.563379945637515,30
Institute of Entre Douro and Vouga,Business,0.502266548242585,15
Institute of Entre Douro and Vouga,Engineering,0.495005748360256,13
Institute of Entre Douro and Vouga,Marketing,0.522094377257535,33
Institute of Paços de Brandão,Marketing,0.50647600586341,13
Instituto Politécnico da Guarda,Accounting,0.56239539081507,15
Instituto Politécnico da Guarda,Business,0.489093177052515,51
Instituto Politécnico da Guarda,Engineering,0.577224243360942,19
Instituto Politécnico da Guarda,Marketing,0.465810284327544,51
Instituto Politécnico da Guarda,Nursing,0.354028061719673,40
Instituto Politécnico de Viseu,Accounting,0.566098025841734,16
Instituto Politécnico de Viseu,Business,0.519907210979777,44
Instituto Politécnico de Viseu,Education,0.394181173151087,33
Instituto Politécnico de Viseu,Engineering,0.552934885976711,124
Instituto Politécnico de Viseu,Marketing,0.510272269548763,146
Instituto Politécnico de Viseu,Nursing,0.358356959398859,56
Instituto Português de Administração de Marketing,Business,0.508549494006569,838
Instituto Português de Administração de Marketing,Marketing,0.498125179689867,855
Instituto Superior De Comunicação Empresarial,Business,0.522539543167556,83
Instituto Superior De Comunicação Empresarial,Marketing,0.503957067010104,37
Instituto Superior Técnico,Architecture,0.50008770973966,37
Instituto Superior Técnico,Engineering,0.572945849753487,3048
Instituto Superior Técnico,Mathematics,0.588103718514355,100
Instituto Superior de Ciências Sociais e Políticas,Business,0.52569353711612,186
Instituto Superior de Contabilidade e Administracao do Porto,Accounting,0.549410512706767,148
Instituto Superior de Contabilidade e Administracao do Porto,Business,0.519769828174233,186
Instituto Superior de Contabilidade e Administracao do Porto,Finance,0.551536904664265,23
Instituto Superior de Contabilidade e Administracao do Porto,Marketing,0.501927609506704,566
Instituto Superior de Contabilidade e Administração de Coimbra,Accounting,0.551353859111213,35
Instituto Superior de Contabilidade e Administração de Coimbra,Business,0.516577529594996,168
Instituto Superior de Contabilidade e Administração de Coimbra,Economics,0.601601960045194,10
Instituto Superior de Contabilidade e Administração de Coimbra,Marketing,0.508763564186326,126
Instituto Superior de Contabilidade e Administração de Lisboa,Accounting,0.554783691562532,215
Instituto Superior de Contabilidade e Administração de Lisboa,Business,0.552526985053916,291
Instituto Superior de Contabilidade e Administração de Lisboa,Economics,0.573368063545728,13
Instituto Superior de Contabilidade e Administração de Lisboa,Finance,0.542444402691075,147
Instituto Superior de Contabilidade e Administração de Lisboa,Law,0.639230014193752,12
Instituto Superior de Economia e Gestão,Business,0.511169537519902,18
Instituto Superior de Engenharia de Coimbra,Engineering,0.539474522382267,431
Instituto Superior de Engenharia do Porto,Engineering,0.544838965562138,1444
Instituto de Artes Visuais Design e Marketing,Business,0.495723312548114,20
Instituto de Artes Visuais Design e Marketing,Marketing,0.505928831675236,548
Jean Piaget Polytechnic Institute of the South,Education,0.364697553127787,35
Jean Piaget Polytechnic Institute of the South,Nursing,0.361781314282561,33
Jean Piaget School of Education of Arcozelo,Education,0.371995682523424,17
Lusophone University of Humanities and Technologies,Accounting,0.516488253755017,11
Lusophone University of Humanities and Technologies,Architecture,0.442204210928173,31
Lusophone University of Humanities and Technologies,Biology,0.51450384225684,16
Lusophone University of Humanities and Technologies,Business,0.531069001837733,296
Lusophone University of Humanities and Technologies,Economics,0.561957970215848,49
Lusophone University of Humanities and Technologies,Education,0.357556069670933,97
Lusophone University of Humanities and Technologies,Engineering,0.573149135960603,196
Lusophone University of Humanities and Technologies,Law,0.498274971482346,76
Lusophone University of Humanities and Technologies,Marketing,0.516543267957035,90
Manuel Teixeira Gomes Institute,Business,0.537977176912544,18
