university_name,field,exposure_firstjob_beta,n_people
Academy of Labour and Social Relations,Business,0.568834879224086,15
Admiral Makarov State Maritime Academy,Business,0.537563235776421,39
Admiral Makarov State Maritime Academy,Engineering,0.591310691029652,54
All-Russian State University of Justice,Law,0.504302391378287,24
Altai State Technical University named after I.I. Polzunova,Engineering,0.680232931918789,45
Altai State University,Business,0.592537770619385,10
Altai State University,Engineering,0.747615116318392,18
Arkhangelsk State Technical University,Engineering,0.578833595623382,24
Astrakhan State Technical University,Engineering,0.39732897087069,10
Astrakhan State University,Business,0.51917498401633,11
Astrakhan State University,Economics,0.510315377087951,11
Astrakhan State University,Education,0.472518461505307,11
Baikal State University,Business,0.570281528476759,15
Baikal State University,Economics,0.532319062525989,14
Baltic State Technical University named after D.F. Ustinov 'Voenmeh',Business,0.585688999898336,20
Baltic State Technical University named after D.F. Ustinov 'Voenmeh',Engineering,0.629533220546091,83
Bashkir State University,Engineering,0.534684541282573,15
Bashkir State University,Law,0.472648420899196,13
Belgorod State National Research University,Business,0.640807644476283,12
Belgorod State National Research University,Economics,0.58928558111422,10
Belgorod State National Research University,Engineering,0.634743680723892,10
Belgorod State Technological University named after V.G. Shoukhov,Business,0.55164035136844,10
Belgorod State Technological University named after V.G. Shoukhov,Engineering,0.633724673747156,51
Bryansk State Technical University,Engineering,0.701675763880823,25
Chelyabinsk State University,Business,0.563394970675459,26
Chelyabinsk State University,Engineering,0.761149012474364,18
Chelyabinsk State University,Information Technology,0.693448170655143,12
Chuvash State University named after I.M. Uljanova,Business,0.561088832434568,11
Chuvash State University named after I.M. Uljanova,Engineering,0.706560325702029,31
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Economics,0.523830716780953,33
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Law,0.573854302194285,13
Don State Technical University,Business,0.537943937255297,20
Don State Technical University,Engineering,0.634192456382277,99
Don State Technical University,Information Technology,0.757538190785558,21
Dubna University,Business,0.64050604089085,14
Dubna University,Engineering,0.71359483966958,30
Emperor Alexander I Petersburg State Transport University,Business,0.565210631076239,27
Emperor Alexander I Petersburg State Transport University,Engineering,0.533121911747758,35
Far Eastern Federal University,Business,0.54000422077775,42
Far Eastern Federal University,Economics,0.583241265687693,41
Far Eastern Federal University,Engineering,0.669840897690568,85
Far Eastern State Transport University,Business,0.544991858748106,25
Far Eastern State Transport University,Engineering,0.64216916438515,35
Finance University under the Russian Federation Government,Accounting,0.51966827628485,28
Finance University under the Russian Federation Government,Business,0.552663908539623,581
Finance University under the Russian Federation Government,Economics,0.547395587600736,459
Finance University under the Russian Federation Government,Engineering,0.632429850300183,92
Finance University under the Russian Federation Government,Finance,0.55562861273847,395
Finance University under the Russian Federation Government,Information Technology,0.647468705248464,25
Finance University under the Russian Federation Government,Law,0.521213576949862,88
Finance University under the Russian Federation Government,Marketing,0.579416183200372,16
Finance University under the Russian Federation Government,Mathematics,0.638977628357209,53
Higher School of Economics,Business,0.570491595824065,2130
Higher School of Economics,Economics,0.570661617697367,1739
Higher School of Economics,Engineering,0.649047650644652,421
Higher School of Economics,Finance,0.555470004136543,331
Higher School of Economics,Information Technology,0.674378495778981,48
Higher School of Economics,Law,0.518975651810998,350
Higher School of Economics,Marketing,0.525904238169493,113
Higher School of Economics,Mathematics,0.621942076044893,259
Higher School of Economics,Statistics,0.596550158070775,100
Immanuel Kant Baltic Federal University,Business,0.529554574222082,30
Immanuel Kant Baltic Federal University,Economics,0.507376589419023,15
Immanuel Kant Baltic Federal University,Engineering,0.599745162808259,22
Immanuel Kant Baltic Federal University,Law,0.53606924403526,16
Industrial University of Tyumen,Business,0.528664645223318,28
Industrial University of Tyumen,Engineering,0.506732063423098,82
Innopolis University,Engineering,0.701286085130843,119
Institute of Business Studies Moscow,Business,0.539822419310049,32
"Institute of Computational Mathematics and Information Technologies, Kazan Federal University",Engineering,0.74332208737262,23
International Banking Institute,Business,0.567284884166531,14
International Institute of Management Link,Business,0.472405326184097,12
International Law Institute,Law,0.52380662608258,15
International University In Moscow,Business,0.563970862952342,14
Irkutsk National Research Technical University,Architecture,0.508185642584441,12
Irkutsk National Research Technical University,Engineering,0.574304936424321,24
Irkutsk State University,Business,0.532020984978676,48
Irkutsk State University,Economics,0.549660695507099,13
Irkutsk State University,Engineering,0.845198957043863,19
Irkutsk State University,Law,0.502210948834269,10
Irkutsk State University,Mathematics,0.800896156749511,10
Ivanovo State University of Chemistry and Technology,Engineering,0.569845460746416,10
Ivanovo State University of Power Engineering named after V.I. Lenin,Business,0.547225321187795,14
Ivanovo State University of Power Engineering named after V.I. Lenin,Engineering,0.713929746842781,56
Izhevsk State Technical University named after M.T. Kalashnikov,Business,0.553579976075589,21
Izhevsk State Technical University named after M.T. Kalashnikov,Economics,0.608036988099337,14
Izhevsk State Technical University named after M.T. Kalashnikov,Engineering,0.672272627613908,107
Jaroslavl State Technical University,Engineering,0.542061631622945,13
Jaroslavl State University named after P.G. Demidov,Business,0.571650273271349,11
Jaroslavl State University named after P.G. Demidov,Engineering,0.765249845879555,33
Jaroslavl State University named after P.G. Demidov,Mathematics,0.769128410710684,13
Kabardino-Balkarian State University named after H.M. Berbekov,Engineering,0.640164796105597,10
Kaliningrad State Technical University,Business,0.517342072631087,15
Kaliningrad State Technical University,Economics,0.679657082794352,10
Kaliningrad State Technical University,Engineering,0.510871529068461,21
Kazan (Volga Region) Federal University,Accounting,0.538466422889531,14
Kazan (Volga Region) Federal University,Biology,0.587319024872241,18
Kazan (Volga Region) Federal University,Business,0.565110872368328,101
Kazan (Volga Region) Federal University,Economics,0.555193077660087,52
Kazan (Volga Region) Federal University,Education,0.529636969722113,36
Kazan (Volga Region) Federal University,Engineering,0.691930060922992,149
Kazan (Volga Region) Federal University,Finance,0.523252337307806,21
Kazan (Volga Region) Federal University,Information Technology,0.758901727379083,33
Kazan (Volga Region) Federal University,Law,0.526915872474809,55
Kazan (Volga Region) Federal University,Marketing,0.557429697386663,14
Kazan (Volga Region) Federal University,Mathematics,0.679266948827966,37
Kazan (Volga Region) Federal University,Physics,0.607251508366409,36
Kazan National Research Technical University named after A.N. Tupolev,Business,0.661608236327823,26
Kazan National Research Technical University named after A.N. Tupolev,Economics,0.579985923235094,14
Kazan National Research Technical University named after A.N. Tupolev,Engineering,0.660401762750571,123
Kazan National Research Technical University named after A.N. Tupolev,Information Technology,0.781513074080605,14
Kazan National Research University of Technology,Business,0.528789576929286,17
Kazan National Research University of Technology,Engineering,0.573130936719817,89
Kazan State Power Engineering University,Engineering,0.571770646766684,37
Kazan State University of Architecture and Civil Engineering,Architecture,0.502160938399971,30
Kazan State University of Architecture and Civil Engineering,Engineering,0.531758595002146,27
Kemerovo State University,Business,0.54309994082642,10
Khabarovsk State University of Economics and Law,Business,0.523664832734121,26
Khabarovsk State University of Economics and Law,Economics,0.610542015709205,14
Komsomol'sk-on-Amur State University,Engineering,0.624487804234541,10
Krasnojarsk State Pedagogical University names after V.P. Astafev,Education,0.471963325988843,11
Kuban State University,Business,0.545617055676458,74
Kuban State University,Economics,0.584802186970681,36
Kuban State University,Engineering,0.71490468218222,52
Kuban State University,Finance,0.505566391350893,15
Kuban State University,Mathematics,0.67852973462483,18
Kuban State University of Technology,Business,0.568476403991158,22
Kuban State University of Technology,Engineering,0.553910322716848,67
Kurgan State University,Engineering,0.694376792665032,13
Kursk State University,Engineering,0.77630654826297,15
Lipetsk State Technical University,Engineering,0.548317070172365,18
MIREA - Russian Technological University,Business,0.608729432004828,75
MIREA - Russian Technological University,Chemistry,0.579191292358522,18
MIREA - Russian Technological University,Economics,0.554881910238894,21
MIREA - Russian Technological University,Engineering,0.680739332715064,334
MIREA - Russian Technological University,Information Technology,0.723505968634735,99
MIREA - Russian Technological University,Mathematics,0.702782187378013,27
Magnitogorsk State Technical University named after G.I. Nosov,Engineering,0.649802351895398,10
Mordovian State National Research University named after N.P. Ogarev,Business,0.570982216553427,14
Mordovian State National Research University named after N.P. Ogarev,Engineering,0.74804397334276,20
Moscow Automobile and Road Construction State Technical University,Business,0.559635527065772,54
Moscow Automobile and Road Construction State Technical University,Economics,0.551450405179883,21
Moscow Automobile and Road Construction State Technical University,Engineering,0.618956370969838,65
Moscow Aviation Institute,Business,0.582882405964199,139
Moscow Aviation Institute,Economics,0.536793879540613,29
Moscow Aviation Institute,Engineering,0.642168690178566,258
Moscow Aviation Institute,Information Technology,0.717117300555597,54
Moscow Aviation Institute,Mathematics,0.676343119997735,20
Moscow City Pedagogical University,Education,0.487949641023847,17
Moscow Finance and Law University,Business,0.527156989850127,32
Moscow Finance and Law University,Finance,0.578551009300112,14
Moscow Finance and Law University,Law,0.533543076102737,29
Moscow Humanitarian Economics University,Business,0.582985483096434,15
Moscow Institute of Architecture (State Academy),Architecture,0.499990422592608,221
Moscow Institute of Art and Industry,Business,0.587096677119979,16
Moscow Institute of Art and Industry,Engineering,0.691193796922138,20
Moscow Institute of Electronics and Mathematics (Technical University),Business,0.593728829085013,17
Moscow Institute of Electronics and Mathematics (Technical University),Engineering,0.666321371785917,36
Moscow Institute of Electronics and Mathematics (Technical University),Information Technology,0.659979349532319,11
Moscow Institute of Electronics and Mathematics (Technical University),Mathematics,0.644643043378516,11
Moscow Institute of Physics and Technology (National Research University),Business,0.576856893260426,19
Moscow Institute of Physics and Technology (National Research University),Engineering,0.610625465087679,220
Moscow Institute of Physics and Technology (National Research University),Mathematics,0.606674396557395,819
Moscow Institute of Physics and Technology (National Research University),Physics,0.594621804646403,177
Moscow International Higher School of Business 'MIRBIS' (Institute),Business,0.550572301778532,16
Moscow Polytech,Business,0.582930656550358,29
Moscow Polytech,Engineering,0.668654619618066,68
Moscow Polytech,Information Technology,0.730088022265449,14
Moscow State Forest University,Engineering,0.701315844419665,10
Moscow State Institute of International Relations (University),Accounting,0.590539116659813,15
Moscow State Institute of International Relations (University),Business,0.547510638599869,289
Moscow State Institute of International Relations (University),Economics,0.547515296415881,424
Moscow State Institute of International Relations (University),Finance,0.533356465405617,66
Moscow State Institute of International Relations (University),Law,0.505508066830341,407
Moscow State Institute of International Relations (University),Marketing,0.535305417930919,33
Moscow State Linguistic University,Business,0.57469860974845,20
Moscow State Linguistic University,Economics,0.508491138509571,19
Moscow State Linguistic University,Education,0.464290108956636,14
Moscow State Linguistic University,Law,0.510254604981487,24
Moscow State National Research University of Civil Engineering,Architecture,0.491437025094541,19
Moscow State National Research University of Civil Engineering,Business,0.545755945401211,30
Moscow State National Research University of Civil Engineering,Economics,0.607611115019967,21
Moscow State National Research University of Civil Engineering,Engineering,0.541787038519392,192
Moscow State Pedagogical University,Business,0.550036364306104,28
Moscow State Pedagogical University,Education,0.484984421543998,69
Moscow State Pedagogical University,Law,0.523972948675328,10
Moscow State Technical University named after N.E. Bauman,Business,0.576900804276249,112
Moscow State Technical University named after N.E. Bauman,Economics,0.583267173412391,15
Moscow State Technical University named after N.E. Bauman,Engineering,0.634535092329936,802
Moscow State Technical University named after N.E. Bauman,Information Technology,0.739244327946891,83
Moscow State Technical University named after N.E. Bauman,Mathematics,0.662812063045114,45
Moscow State Technical University named after N.E. Bauman,Physics,0.643149866818185,28
