university_name,field,exposure_alljobs_beta,n_people
Academy of Labour and Social Relations,Business,0.586582448602828,15
Admiral Makarov State Maritime Academy,Business,0.543303374289904,39
Admiral Makarov State Maritime Academy,Engineering,0.588981604883146,54
All-Russian State University of Justice,Law,0.510345772445239,24
Altai State Technical University named after I.I. Polzunova,Engineering,0.676653795659497,45
Altai State University,Business,0.587987740608285,10
Altai State University,Engineering,0.746776103286942,18
Arkhangelsk State Technical University,Engineering,0.578971709612832,24
Astrakhan State Technical University,Engineering,0.397784866993021,10
Astrakhan State University,Business,0.522679121716379,11
Astrakhan State University,Economics,0.508910909862463,11
Astrakhan State University,Education,0.467610799492524,11
Baikal State University,Business,0.57016556758277,15
Baikal State University,Economics,0.543898097875734,14
Baltic State Technical University named after D.F. Ustinov 'Voenmeh',Business,0.595792580829128,20
Baltic State Technical University named after D.F. Ustinov 'Voenmeh',Engineering,0.630582389260346,83
Bashkir State University,Engineering,0.528111106469108,15
Bashkir State University,Law,0.481976198750064,13
Belgorod State National Research University,Business,0.628707044875364,12
Belgorod State National Research University,Economics,0.575134248800355,10
Belgorod State National Research University,Engineering,0.637472793053769,10
Belgorod State Technological University named after V.G. Shoukhov,Business,0.552915328643034,10
Belgorod State Technological University named after V.G. Shoukhov,Engineering,0.640460752998254,51
Bryansk State Technical University,Engineering,0.702861577812652,25
Chelyabinsk State University,Business,0.562629853102616,26
Chelyabinsk State University,Engineering,0.754038795741309,18
Chelyabinsk State University,Information Technology,0.698494451475607,12
Chuvash State University named after I.M. Uljanova,Business,0.558899554820438,11
Chuvash State University named after I.M. Uljanova,Engineering,0.704194182955791,31
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Economics,0.523853525445426,33
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,Law,0.567161432134186,13
Don State Technical University,Business,0.534843674505167,20
Don State Technical University,Engineering,0.641641659479411,99
Don State Technical University,Information Technology,0.759873015869747,21
Dubna University,Business,0.648150739915993,14
Dubna University,Engineering,0.720174171523708,30
Emperor Alexander I Petersburg State Transport University,Business,0.5748230341877,27
Emperor Alexander I Petersburg State Transport University,Engineering,0.532289497308316,35
Far Eastern Federal University,Business,0.539288928246486,42
Far Eastern Federal University,Economics,0.583647423305954,41
Far Eastern Federal University,Engineering,0.664973959998273,85
Far Eastern State Transport University,Business,0.548029719964688,25
Far Eastern State Transport University,Engineering,0.64606827547187,35
Finance University under the Russian Federation Government,Accounting,0.523445035261669,28
Finance University under the Russian Federation Government,Business,0.551231631627279,581
Finance University under the Russian Federation Government,Economics,0.54798059575678,459
Finance University under the Russian Federation Government,Engineering,0.638769031702675,92
Finance University under the Russian Federation Government,Finance,0.555937990238753,395
Finance University under the Russian Federation Government,Information Technology,0.668395127883717,25
Finance University under the Russian Federation Government,Law,0.523277435486426,88
Finance University under the Russian Federation Government,Marketing,0.579431025615259,16
Finance University under the Russian Federation Government,Mathematics,0.646653043916019,53
