university_name,field,exposure_firstjob_beta,n_people
Al Baha Private College of Science,Business,0.579603870385102,10
Al Baha Private College of Science,Engineering,0.553914464120364,83
Al Yamamah University,Accounting,0.557020436843223,27
Al Yamamah University,Architecture,0.484034544309646,50
Al Yamamah University,Business,0.533393695649849,704
Al Yamamah University,Engineering,0.574631550453139,141
Al Yamamah University,Finance,0.539466227002,138
Al Yamamah University,Law,0.504275733486548,69
Al Yamamah University,Marketing,0.5336529722122,74
Al-Imam Mohammad Ibn Saud Islamic University,Accounting,0.548738366950529,835
Al-Imam Mohammad Ibn Saud Islamic University,Business,0.538336905951924,3052
Al-Imam Mohammad Ibn Saud Islamic University,Chemistry,0.457095524341231,56
Al-Imam Mohammad Ibn Saud Islamic University,Economics,0.530104321136749,151
Al-Imam Mohammad Ibn Saud Islamic University,Education,0.489872322982022,136
Al-Imam Mohammad Ibn Saud Islamic University,Engineering,0.596806863313211,524
Al-Imam Mohammad Ibn Saud Islamic University,Finance,0.527352650637654,500
Al-Imam Mohammad Ibn Saud Islamic University,Information Technology,0.603304549131854,84
Al-Imam Mohammad Ibn Saud Islamic University,Law,0.490636203965793,543
Al-Imam Mohammad Ibn Saud Islamic University,Marketing,0.543861545675363,304
Al-Imam Mohammad Ibn Saud Islamic University,Mathematics,0.553076523744433,31
Al-Imam Mohammad Ibn Saud Islamic University,Medicine,0.462572192183316,63
Al-Imam Mohammad Ibn Saud Islamic University,Physics,0.508506439122662,26
Al-Riyada College For Health Sciences,Nursing,0.409916447626789,17
AlMaarefa colleges,Medicine,0.450254280743725,74
AlMaarefa colleges,Nursing,0.32514814730717,10
Alasala Colleges,Business,0.524885643383016,29
Alasala Colleges,Engineering,0.37604838194342,15
Alasala Colleges,Law,0.493446649533961,29
Albaha University,Business,0.465500488470228,16
Albaha University,Engineering,0.48505370110255,52
Alfaisal University,Accounting,0.567235935084929,41
Alfaisal University,Business,0.546163807822629,707
Alfaisal University,Engineering,0.532773912869732,496
Alfaisal University,Finance,0.533990977012471,71
Alfaisal University,Marketing,0.562494560641318,34
Alfaisal University,Medicine,0.456682465531434,202
Almaarefa University,Medicine,0.405510476280137,25
Applied Engineering College,Business,0.611703446029966,10
Applied Engineering College,Engineering,0.518125062515516,331
Arab Open University,Accounting,0.571746028002255,33
Arab Open University,Business,0.51741866193015,886
Arab Open University,Education,0.457195594540979,17
Arab Open University,Engineering,0.596502329115563,149
Arab Open University,Information Technology,0.595927360376085,675
Arab Open University,Marketing,0.539735305919984,20
Batterjee Medical College,Medicine,0.418632150369141,120
Batterjee Medical College,Nursing,0.425328414947948,14
Dammam Community College - KFUPM,Business,0.433250819705154,13
