university_name,field,exposure_alljobs_beta,n_people
Al Baha Private College of Science,Business,0.551847938542205,10
Al Baha Private College of Science,Engineering,0.563822340077105,83
Al Yamamah University,Accounting,0.556560418952081,27
Al Yamamah University,Architecture,0.48411079760598,50
Al Yamamah University,Business,0.531611309604085,704
Al Yamamah University,Engineering,0.580505599809811,141
Al Yamamah University,Finance,0.542873916573063,138
Al Yamamah University,Law,0.501493691414335,69
Al Yamamah University,Marketing,0.529702232474488,74
Al-Imam Mohammad Ibn Saud Islamic University,Accounting,0.551054694995202,835
Al-Imam Mohammad Ibn Saud Islamic University,Business,0.540227395457424,3052
Al-Imam Mohammad Ibn Saud Islamic University,Chemistry,0.462600151476345,56
Al-Imam Mohammad Ibn Saud Islamic University,Economics,0.528005271555882,151
Al-Imam Mohammad Ibn Saud Islamic University,Education,0.489040476497349,136
Al-Imam Mohammad Ibn Saud Islamic University,Engineering,0.601288337389499,524
Al-Imam Mohammad Ibn Saud Islamic University,Finance,0.533215889732159,500
Al-Imam Mohammad Ibn Saud Islamic University,Information Technology,0.60262182315914,84
Al-Imam Mohammad Ibn Saud Islamic University,Law,0.491884214614367,543
Al-Imam Mohammad Ibn Saud Islamic University,Marketing,0.54668289386578,304
Al-Imam Mohammad Ibn Saud Islamic University,Mathematics,0.551423077424836,31
Al-Imam Mohammad Ibn Saud Islamic University,Medicine,0.462071114363197,63
Al-Imam Mohammad Ibn Saud Islamic University,Physics,0.478655096664451,26
Al-Riyada College For Health Sciences,Nursing,0.393587167829605,17
AlMaarefa colleges,Medicine,0.451043108042192,74
AlMaarefa colleges,Nursing,0.326721761090243,10
Alasala Colleges,Business,0.526182217849861,29
Alasala Colleges,Engineering,0.374072808100799,15
Alasala Colleges,Law,0.492382997418844,29
Albaha University,Business,0.474228857108583,16
Albaha University,Engineering,0.49075170928112,52
Alfaisal University,Accounting,0.569101138371534,41
Alfaisal University,Business,0.54429603730412,707
Alfaisal University,Engineering,0.541392345256502,496
Alfaisal University,Finance,0.534316500533701,71
Alfaisal University,Marketing,0.56124411845928,34
Alfaisal University,Medicine,0.456509276759163,202
Almaarefa University,Medicine,0.420193484083616,25
Applied Engineering College,Business,0.616116240371931,10
Applied Engineering College,Engineering,0.523993761788982,331
Arab Open University,Accounting,0.560654496322726,33
Arab Open University,Business,0.516698617322605,886
Arab Open University,Education,0.46278724733275,17
Arab Open University,Engineering,0.594399313956169,149
Arab Open University,Information Technology,0.593991241292648,675
Arab Open University,Marketing,0.527680037654375,20
Batterjee Medical College,Medicine,0.417667339300041,120
Batterjee Medical College,Nursing,0.423129012551072,14
Dammam Community College - KFUPM,Business,0.443485185964003,13
Dar Al Uloom University,Architecture,0.485820980983503,117
Dar Al Uloom University,Business,0.526168055792375,248
Dar Al Uloom University,Engineering,0.517587364986355,136
Dar Al Uloom University,Finance,0.540620912931714,135
Dar Al Uloom University,Information Technology,0.60697280538478,22
Dar Al Uloom University,Law,0.500345391256594,487
Dar Al Uloom University,Marketing,0.515985224960858,63
Dar Al Uloom University,Medicine,0.439914891531327,14
Dar Al-Hekma University,Architecture,0.485491129205437,186
Dar Al-Hekma University,Business,0.557172553803938,212
Dar Al-Hekma University,Education,0.407277516068548,58
Dar Al-Hekma University,Finance,0.538601532884177,180
Dar Al-Hekma University,Law,0.484230971374974,195
Dar Al-Hekma University,Marketing,0.525510529301562,67
Dar Al-Hekma University,Nursing,0.398804936593558,12
Effat University,Architecture,0.489748523465674,462
Effat University,Business,0.53333002933616,245
Effat University,Education,0.46502837101935,16
Effat University,Engineering,0.564733164986602,300
Effat University,Finance,0.549700956504678,112
Effat University,Marketing,0.522641819492471,60
Fahad Bin Sultan University,Business,0.523367486443728,53
Fahad Bin Sultan University,Engineering,0.489656519089449,327
Fakeeh College of Medical Sciences,Nursing,0.385017950571155,16
Ibn Sina National College for Medical Studies,Medicine,0.397180692537456,133
Imam Abdulrahman Bin Faisal University,Accounting,0.56525296446784,771
Imam Abdulrahman Bin Faisal University,Architecture,0.470838112215209,338
Imam Abdulrahman Bin Faisal University,Biology,0.45912998264659,72
Imam Abdulrahman Bin Faisal University,Business,0.547674313746051,2454
Imam Abdulrahman Bin Faisal University,Chemistry,0.472654812799632,260
Imam Abdulrahman Bin Faisal University,Education,0.472609968865183,237
Imam Abdulrahman Bin Faisal University,Engineering,0.563759735988121,1402
Imam Abdulrahman Bin Faisal University,Finance,0.556818666014823,546
Imam Abdulrahman Bin Faisal University,Information Technology,0.60912370124552,16
Imam Abdulrahman Bin Faisal University,Law,0.534784519315119,14
Imam Abdulrahman Bin Faisal University,Marketing,0.527122525543787,153
Imam Abdulrahman Bin Faisal University,Mathematics,0.488794471326513,89
Imam Abdulrahman Bin Faisal University,Medicine,0.443403428687603,255
Imam Abdulrahman Bin Faisal University,Nursing,0.403791917856486,208
Imam Abdulrahman Bin Faisal University,Physics,0.515550739350325,76
Imam Abdulrahman Bin Faisal University,Statistics,0.592439462892763,19
Institute of Public Administration Saudi Arabia,Business,0.53706812368464,14
"International Indian School, Dammam",Engineering,0.582335516792939,12
"International Indian School, Riyadh",Engineering,0.549712210478872,10
Islamic University,Engineering,0.501412840479649,13
Islamic University,Law,0.473609775202372,14
Islamic University of Madinah,Chemistry,0.419947213196156,26
Islamic University of Madinah,Engineering,0.527601199042806,148
Islamic University of Madinah,Information Technology,0.586278835677047,31
Islamic University of Madinah,Law,0.473804202596493,121
Jazan University,Accounting,0.554641055633231,70
Jazan University,Architecture,0.472297095346683,64
Jazan University,Biology,0.435246421658889,21
Jazan University,Business,0.522275765896381,437
